ParlaMint-BE_2017-02-01-54-commissie-ic579x.u1	Debates of the European Parliament Mrs Ben Hamou's 14536 will be converted into a written question.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u2	Mr President, Prime Minister, the Lufthansa Group endorsed the complete acquisition of Brussels Airlines in mid-December, following a green light from both the "historical Belgian shareholders" and the German carrier's board of directors. According to our information, the Belgian brand should remain for at least two years. Subsequently, it could potentially evolve to the benefit of BrusselsWings, with reference to the Eurowings subsidiary, with a view to marketing objectives. At the company level, this acquisition is expected to have a positive impact on the future renewal of the aircraft fleet, within a hub that would be kept at the heart of Brussels Airport. However, nothing filtered on the negotiations on the distribution of air links between the different components of the group and the promotion of their specificities. Finally, and not least, with regard to the issue of jobs and the fear of the abolition of posts, it would appear that the overall figure should not decrease but rather increase. The increase in new destinations should be confirmed over time and demand labour in Belgium and abroad. Prime Minister, you had some reassuring words when you announced last September that you would support a partnership that strengthens the company's anchoring in our country, namely a framework that takes into account our expertise, particularly in the African market, but also guarantees for employment and a decision centre in Belgium. In this regard, the government committed to inviting itself to the negotiating table to support the best possible reconciliation scenario between the two airlines. In the light of the contacts with the various parties to the file and the information available to you, could you inform us about the general state of the situation? What exactly are the conditions for this acquisition and therefore what are their implications for Brussels Airlines and its staff, as well as for the Zaventem airport economic centre?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u3	Mr President, I thank the honourable Member for this question. Indeed, the full takeover on which I had committed myself in Parliament, in plenary session, was closely followed by my firm but also by the Federal Equity and Investment Corporation (SFPI), the latter holds beneficiary shares in SN Brussels Airlines and is 25% shareholder at Brussels airport. Mobility, infrastructure and the airport strategy are key elements for Belgium's future in terms of economic development and, consequently, in terms of job creation. In this respect, I consider that the future of SN Brussels Airlines and the development of Brussels airport are subjects of national interest to the government and to the SFPI, which sent a letter to the CEO of Lufthansa in this respect. It was therefore important that Lufthansa make as firm a commitment as possible on a number of points that you mentioned. First of all, respect for Brussels Airlines' current business model, a strong European network, complemented by long-haul activities, particularly to the African continent, as well as a competitive and high-quality product offer. The second element is the high level of vigilance in support of employment, the maintenance of employment and the creation, we hope, of additional jobs directly or indirectly and, thirdly, the maintenance of decision-making centres in Belgium. It seems to me that these commitments are important if we are to create added value and ensure that this operation is a success on both sides, both for activities in Belgium and Brussels on the one hand, and for the whole Lufthansa Group on the other. I have therefore had the opportunity to meet the various actors in the case on several occasions. I personally met the management of SN Brussels Airlines and my advisers had continued contact with their teams. In addition, I have had the opportunity to meet with Lufthansa's CEO on several occasions in order to highlight the important points for the Belgian government. I also had several more informal contacts with representatives of the federated entities to ensure that the Belgian position was as consistent as possible in the ongoing process. As you know, the signing of the Integration Convention took place. It is the culmination of long and intense discussions but also the beginning of a process of operational integration. You have certainly read the joint communication of Brussels Airlines and Lufthansa last December, which confirms the intentions reflected in a letter I sent to the CEO of Lufthansa and to which he replied. We will remain very attentive. We are well aware that a number of more detailed points are a matter of business secrecy and on which we cannot legally communicate, but there is a concern for vigilance in this extremely important process, in particular through the implementation of investments which should take place in the course of 2017 - we hope in any case - because this was one of the important issues during the last straight line of finalisation of this agreement between SN Brussels Airlines and Lufthansa. Thank you.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u4	I thank you, Prime Minister, for these elements of the response, which are encouraging because they confirm your remarks made last September in the House of Commons. Indeed, political groups had raised concerns, sometimes from citizens. Your involvement and that of your firm in this case has been decisive. This issue is important for Brussels but also symbolic for the whole country.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u5	Mr President, Prime Minister, last September you announced a national Pace for strategic investments worth ten billion euros. Since then, you have mentioned the priority sectors that will be taken into account (energy, health, mobility and digital agenda) and you have started discussions with the Regions that will be responsible for most of these potential investments. We also had the opportunity to discuss this at the policy note Chancellery you presented at the end of last year, in which you confirmed that you would use the public-private partnership as part of this strategic plan and that a first roadmap would be available in the first quarter of 2017. In a press article on December 21, your spokesperson added that your firm did seem to favour public-private partnerships. It was also stated that this option had already given rise to contacts with several large companies with a Belgian anchor – by Belgian anchoring, it was stated that they were not specially Belgian but had either a historical or a geographical link with Belgium – and that this would be one of the main themes and one of the main reasons for your participation in the Davos Forum. Prime Minister, what types of public-private partnerships do you envisage under this National Investment Pact? You can think of everything that is DBFM (Design, Build, Finance, Maintain), Sale and Leaseback or other formulas. On what basis, and therefore on what types of assembly, have you had discussions with international companies with Belgian roots, as reported? The Davos Forum is behind us today. Could you give us more details about the discussions you have already had in this context? Which sectors do the companies you have discussed belong to? Can you give us concrete examples, if any? What was the content of your proposals to businesses in your discussions in Davos? Also within the framework of the Investment Pact, what progress has been made in setting up the strategic council to lead the Pact and what will be its composition?
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u6	Prime Minister, I suspect it is a well-known fact for you that our group has a particular interest in the National Investment Plan. I have therefore expressly congratulated you on the intention of the lively debate on the State of the Union. The announcement of the National Investment Plan dates from a short time before the State of the Union. After the State of the Union, however, we have had a number of parliamentary debates on policy and the Chancellery. I thought it would be a good time to look at the situation. It is crucial for us that 2017 delivers very concrete results in this area. Our economy is looking for strong impulses and our country is looking for federalism for cooperation. A National Investment Plan would, in my view, be a very fine expression of both intentions. January is already over, but today I thought it was appropriate to press for your good intentions in this matter, with relatively general questions. What's the status? How is the consultation with the Länder going? How will civil society actors ultimately be involved in this process? You announced the launch of an advisory council; a good thing to anchor that National Investment Plan socially. How will this council be assembled and what is the state of play? Finally, in view of our enthusiasm and perhaps that of other groups, how are we going to strengthen cooperation between the government and Parliament on this issue in the near future? The time horizon of the National Investment Plan must go beyond this legislature. It is of course our ambition to see the composition of the majority also changed post 2019. We are happy to contribute to this by now so that the investment plan has a broader political basis for the coming years. I look forward to your answers.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u7	Mr President, it is indeed a project that is very close to our hearts, to the government and to me. I am pleased to note that this is one of the projects in which it is possible to overcome the conventional divides, the majority against opposition in this Parliament. So, thank you for the questions. I will try to take stock of the work undertaken in recent weeks on this subject. I took the initiative to announce this project in September. Since then, we have worked intensively. I was able to see that there was an agreement on a number of points in the consultation committee with the federated entities. On other points, discussions should continue. Thus, there is agreement that there are three priority areas shared by the federal government and the federated entities: the digital agenda, mobility and the energy transition. This does not close the door for dialogue to continue on other potentially strategically important areas. The aim of this approach is to stimulate public investment, to ensure that it may be more synchronized and coordinated, and to bring a short-, medium- and long-term vision. I propose the 2030 horizon because I believe that not investing today is a way of getting poorer in the long run. And you know that, through a recent study, the Plan Office has supported this reasoning by demonstrating that mobilizing investment can help support an economic growth strategy and, therefore, additional jobs. That is why I believe that bodies such as the Planning Office and the National Bank must also be involved in the implementation of this plan. What stage are we in exactly? I had announced that I would like to see tangible results for the first quarter of 2017. It was a calendar that I myself had set out. We are, within the federal government, in the inventory phase of projects in the three areas validated with federated entities and likely to be taken into account in the framework of this Investment Pact. We will have more information on this in the next few weeks, but I have already received some concrete proposals from the various ministerial departments. That's point one. Secondly, I myself and my cabinet also have intense conversations with different actors, not just political actors. First of all, my priority is to get a contribution, for example from the academic world, from the economic actors. I have made many contacts in Belgium, but also abroad. You asked an important question: what about funding? That is, of course, a very important point. We are developing financial mechanisms. This may indeed be a cooperation between private and public actors, but for the concrete modalities this may vary according to the projects. There is not necessarily the same mechanism for each project. There are modalities possible. We are also looking with the financial actors at what the concrete modalities could be for a financial boost in a perspective of credibility of such an important structural project. Finally, one important point. Since the last discussions in plenary and in committee, we have had additional technical meetings with the European Commission, not only at political level, but also at technical level. We now have a little experience and we know that there are occasional difficulties with the states or public authorities to launch ambitious investment projects, given the European regulations in this area. I believe that we have made progress in this area. I am aware that we are not yet at the end of the journey. There is still a need for additional arguments, and we still have to argue at both political and technical level. I have had talks with Jean-Claude Juncker, Donald Tusk and a number of European colleagues. This is always an important point on the agenda of my bilateral talks at European level. I will do everything I can to achieve concrete results in the first quarter of 2017 and to take a step in the right direction. Finally, with regard to governance, i.e. the organisation of the decision-making process, strategic orientations, project validation and financial mechanisms, I am in favour of an approach that goes beyond the policy framework. It would involve external actors, in order to increase the chances of carrying out projects that go beyond the scope of a single legislature, and that is the meaning of the consultations that I have conducted. Stability and security must be given to the implementation of these projects. That is why I will do my utmost to ensure that, before the end of the first quarter of 2017, we find the modalities for properly involving Parliament in this project that is very close to my heart.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u8	Prime Minister, thank you for this answer, which provides us with an update on your discussions. As you will understand, ecologists find this project particularly interesting. We have always argued for the necessary public investment in infrastructure. I think the sectors you mentioned are particularly interesting, and I have already told you that. I take note with enthusiasm of the fact that you will involve Parliament and the ad hoc committees in all the discussions. It is also very positive. My question was specifically about funding mechanisms. It is well known that in other areas, sometimes public-private partnerships may have been constructive. We have also seen the difficulties; I am thinking in particular of the prisons or plans recently made by the Régie des Bâtiments. We will be particularly careful at this level so that, on a case-by-case basis, some public investment projects can make sense. We will observe what types of public-private partnerships will be preferred. This is fundamental, and we will have the opportunity to return to it.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u9	Mr President, I would like to thank the Prime Minister for his reply, which gives us an insight into the situation. First of all, Prime Minister, I would like to talk about the working method. You are making a clear commitment to try to work out a working method for Parliament and the government before the end of this quarter. I think that's a good idea. In fact, I think that we really need to agree on a formal, defined place where the recognised groups can talk to you about the National Investment Plan, in the womb of Parliament, for example in a working group or a follow-up committee, I do not care about its name. I insist that this important plan should be accompanied by an intensive dialogue between the recognised groups and you as Prime Minister. Our group really wants to stick to the National Investment Plan 2020-2030, without being impeccable, because our country needs it. In the Conference of Presidents next week, we will put forward a concrete proposal on this subject. Secondly, the question of financing is of course important. The creative and open view of cooperation with the private sector makes sense. However, I think you will also have to consider how public funds can be invested. It is about the discussion with the European Commission, but also about the classic budget work, where we are currently seeking, without being polemical, with a magnifying glass of impulses, oxygen and investment. An agreement on the Investment Plan 2020-2030 is therefore also an agreement with the budget layout and budgetary adjustment of 2017 and 2018. The three domains that have been identified seem to me to be three very relevant areas and they also sound like music to our group: digital agenda, mobility and energy. Those are logical yards. I do think it is crucial to align existing plans and routes with the National Investment Plan in these yards. I would like to mention the energy pact as a concrete example, the implementation of which has lasted for two years. On Monday, on the occasion of my 30th birthday, the four energy ministers sat together, hurray! However, it would be particularly inefficient to draw up an energy pact on the one hand and, on the other hand, to design the energy yard differently in the National Investment Plan. Those things really need to come together. I also believe that as Prime Minister, you can develop more political strength than a trade minister. Finally, I understand that you have asked the Minister to take stock of projects. In order to become sufficiently substantial, this inventory should transcend existing projects and plans. That is what we are going to test at the end of this trimester. An Excel document containing an overview of decided policies that would already be implemented is not enough. A National Investment Plan must go further and deeper, including by launching new projects and intentions. I understand from your reply that we will soon have a new agreement on this, for which I thank you.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u10	Debates of the European Parliament Mr Gilkinet's 15664 will be dealt with in the Committee on Finance and the Budget. Question No 1, by Mr De Pasquale (H-l Mr Gilkinet's 15665 and 15666 were converted into written questions. Debates of the European Parliament Mr Gilkinet's 15679 will be dealt with in the Committee on Finance and the Budget. Debates of the European Parliament 15837 by Mrs Grovonius will be dealt with in the Committee on External Relations.
ParlaMint-BE_2017-02-01-54-commissie-ic579x.u11	Prime Minister, during and after the American presidential elections, we regularly read in the media that foreign hackers played a role in the elections. The aim of these hackers was not only to destabilise the system but also to steer public opinion. As a result of these reports, Germany already decided to take action against the hacking of politicians and so-called fake news. Even a new agency with some 500 employees would be set up to deal with the false propaganda. Political statements have already been made on this issue in our own country. According to Secretary of State Philippe De Backer, responsible for protecting privacy, large-scale cyber attacks against politicians and their parties are no longer excluded. He therefore considered that the Centre for Cybersecurity Belgium, the CCB, should play a role in protecting politicians and political parties. In addition, the secretary thinks of emergency cybersecurity courses for politicians. I can certainly welcome that in itself, but I do have a number of questions. Firstly, does the CCB have any indication that Belgian politicians and political parties are effectively endorsed by hackers? If so, have any incidents been reported? How much? Where and when did they take place? Secondly, has the relevant Secretary of State had discussions with the CCB on the subject? If so, when? What was the outcome? Third, are you authorized? If you are competent for the CCB, do you believe that protecting politicians and political parties is a core task of the CCB? Are there sufficient resources at the CCB to protect politicians and political parties? How much are these resources? Does the CCB have any concrete ideas for dealing with this? Fourthly, it is of course not a purely Belgian problem; I mentioned Germany earlier. Have there been any contacts with other European cybersecurity centres on the subject? Does the CCB know about other CCB political entities, which are involved to better protect politicians and political parties? Finally, does the CCB also intend to draw up a programme to increase the awareness of politicians? In what way will that happen? What's the timing? Can this also be reflected in the proposal on this subject for public administrations?
