ParlaMint-BE_2017-11-29-54-commissie-ic771x.u1	Mrs. Jadin isn't here, and she hasn't said a word.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u2	Minister, in 2015 you stated in response to my question that the Cyber Security Operations Center at ADIV would be expanded to 25 new staff. During the Committee of 22 February 2017, you replied that 13 new members of staff had been recruited at that time. In order to counter the lack of new recruitments, you also reported that you would consider the extent to which staff could shift to cyber activities. Can you give an update on the implementation and further operationalisation of the Cyber Security Operations Center? Can you give an update on the investigation that you spoke of in the February committee?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u3	Mr Buysrogge, my answer is much longer, because these were originally grouped questions. Indeed, I have announced several times that the existing embryonic cyber expertise in Defense has been systematically developed since 2014 and certainly from 2015. In the first phase, of course, the focus is on developing defensive capabilities to optimally protect territorial military systems and quarters. Afterwards, we will be able to shift our focus to expeditionary support of operations and offensive expertise to eventually achieve a full military cyber capacity by 2030. We have accelerated the actions. More places were declared vacant. At the committee meeting of 22 February 2017, I gave a specific result, namely 25 staff members. Of these, nine have currently been recruited. A number of candidates are still taking part in tests today. We hope to be able to get the figures set out or at least to catch up. I can inform you that we continue to invest and recruit in that domain. In parallel to the recruitment of cyber specialist citizens, the expansion of cyber capacity is also supported by a lateral influx from the existing internal military population. We therefore recruit externally through Selor, but also internally we look towards candidates at commander level. Perhaps some of us who are in an operational environment at the end of their growth potential can use retraining in the cyber centre.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u4	Indeed, Minister, it is important to continue to work on both external influx and internal mobility. Could you clarify the external influx for a moment? You just talked about nine candidates out of 25. Does this mean that the recruitment process has still failed?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u5	I do not hide the fact that the market demand for IT specialists is high and that we do not always have the best assets to be very competitive in that market. One of the reasons for this is, of course, that Defence is always covered by statutory provisions and payable subsidies. We're looking for a specific profile, and that's not obvious. Anyone looking for IT personnel, in the government or in the private sector, is having trouble finding them today. That is why we must continue to work on this, and that is why we are making greater use of the internal channel.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u6	I wish you every success, because it is necessary. Last time, you also referred to the possibility of working more flexibly with wage-earners in order to respond to labour market problems. I look forward to seeing concrete results in this area.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u7	Minister, since 2011, the 80th squadron has been operating every year in the region around the Portuguese city of Beja, to train with drones and thus to reach and maintain the necessary level. From those drones, Unmanned Aerial Vehicles (UAV) in military jargon, 18 pieces were purchased for a sum of 52 million euros. It is a drone that is used, among other things, to make observations over the North Sea, to assist in the counting of wild animals and to provide support for fires. The aircraft also links the fight against organized crime and protects our borders. Finally, it still does data collection for the services of the Defence and Government. According to the Defence website, that UAV is perfectly suitable and safe enough to fly above inhabited areas. However, L'Avenir reports that a drone would have crashed during the exercise in Portugal. Fortunately, there are no casualties and the damage is limited. Apart from the loss of two drones in Congo in 2006 and the loss of two drones due to landing problems, there is now also a loss in Portugal. The parachute, which still needs to ensure a soft landing, apparently did not open. Mr Minister, the statement that it is safe to fly over residential areas and the crash brought me to ask the following questions. First of all, how often do the drones' airworthiness checks take place? Secondly, will you investigate further or will you investigate the incident further, in order to avoid worse in the future? Thirdly, how many drones have already fallen out? We are aware of the two incidents in Congo and of the two drones inoperative due to landing problems. Are there any other cases of attrition known? Fourthly, how many of the 18 originally purchased units do Defense have today? Fifth, were the B-Hunters still deployed for military missions in Bosnia and Herzegovina in 2005 and in Congo in 2006? Sixth, how many amounts or were the maintenance costs for the aircraft in 2016? Finally, are the devices being used today for other purposes than training and monitoring the pollution of the North Sea?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u8	Mr Minister, Mr Top, thank you for your completeness, both in your introduction and in your question. As a result, I can confine myself to my questions as I have submitted them. Minister, what type of drone is this? How many of them did the DOD buy, and how many of them are left? Are these drones deployed abroad? For what kind of assignments? Will they also be deployed in Belgium? Where exactly did the accident happen? What caused it? Were there any injuries or any other damage?
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u9	Madam President, Defense initially purchased 18 B-Hunter aircraft. After the incident in Beja in Portugal, Defense still has 11 air-powered aircraft. Maintenance and periodic checks shall be carried out in accordance with the requirements of the manufacturer, in this case Israel Aerospace Industries Ltd. In addition to the prior and subsequent checks on each flight, the technical staff of 80 UAV shall carry out periodic checks, based on either the calendar or the flight hours, on the structure of the aircraft and on its various components. The large maintenance is ensured by an industrial partner. As with any air accident, the Air Component Aviation Safety Directorate is also now carrying out a thorough analysis and investigation to determine the causes of the incident and, where necessary, to make proposals to improve existing procedures. That investigation hasn't been completed yet. In connection with the deployment, they were deployed abroad in the past, including in monitoring movements in the context of elections in Congo. They were also deployed in other places in Africa. Following the attacks of 22 March 2016, we deployed four B-Hunter aircraft from Brasschaat base to carry out a thorough surveillance of the port of Antwerp for the benefit of the National Crisis Cell. In the context of training, the drones are also used, in addition to the orders above the North Sea, to follow the wild stock in the Ardennes. In addition, very regular support is provided to the federal police and customs authorities. For this I can specifically mention the projects around the French border. In 2016, the maintenance costs of the aircraft B-Hunter amounted to a total of three million euros. According to the applicable procedures, the defective drone crashed in an abandoned zone about five kilometres from Beja airport. This abandoned zone was explored and identified in advance. This has contributed to the absence of human damage and the prevention of further material damage.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u10	Thank you, Minister, for your answers. Regular checks, according to the calendar or flying hours, are of course normal. I hope that the report resulting from the further investigation will be made public at the end. With regard to the useful deployment, you have listed the tasks that drones perform today. However, there is still concern. In recent years, their number has been reduced from 18 to 11 due to attrition. I'm missing another one somewhere, but maybe that plane was just written off. Considering the number of incidents, a permanent focus must be the safety of the aircraft to fly above inhabited areas.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u11	Minister, I do not have much to add. Like my colleague, Mr Top, I am in favour of the strategic vision of the Minister of Defence, which invests in those drones. I believe that investing in the renewal of such equipment is a good thing.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u12	Mr Yüksel, through his colleague, said that the questions under item 2 could be dealt with as far as he was concerned. We will deal with it now.
ParlaMint-BE_2017-11-29-54-commissie-ic771x.u13	Mr De Vriendt, I assume you will ask your three questions one after the other.
