ParlaMint-BE_2017-06-07-54-commissie-ic681x.u1	Mr Brotcorn's questions 221 and 222 were withdrawn from the agenda.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u2	Mr Minister, I would like to ask you about the progress of the work of the Reflection Group on dual nationality. As a reminder, last year I tabled with my group a proposal for a law to put an end to the declaration of conservatory nationality. This proposal was rejected by the majority parties despite the fact that several actors welcomed the legislative initiative and its objective to simplify the existing procedure. When I interviewed you in July 2016, you told me that a think tank with representatives from the Justice and Foreign Affairs FPS had been set up. The aim of this group was to think about simplifying the modes of expression of the desire to remain Belgian. Minister, can you give me a brief overview of the progress of this group's work? Are there any avenues to simplify existing procedures on the table? Have they already been discussed within the government?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u3	Mr Crusnière, with regard to your question concerning the progress of the work of the Reflection Group on the simplification of the modes of expression of the will to remain Belgian, as referred to in my reply of 13 July 2016, I can inform you that two consultation meetings took place between my administration and that of Foreign Affairs in 2016. The proposals and recommendations made at the meeting are discussed at intercabinets meetings on the basis of a more comprehensive preliminary draft law aimed at amending various provisions of the Belgian Nationality Code. In the preliminary draft which I would like to submit to the Council of Ministers in the coming weeks, a concrete proposal will be formulated in order to meet the desire for simplification of the way in which the will to maintain Belgian nationality is expressed.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u4	I thank the minister for his response.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u5	Minister, the reform of the justice system is currently under way throughout the country. Indeed, the reorganization of the judicial cantons, the first phase of which was approved on 23 December 2015, appears in the government agreement. This first phase of centralisation in one seat for cantons with two or more cantons is being implemented. As a result, some 20 buildings have already been closed. The second phase, on the organization of joint registries in urban cantons, is also in the process of being implemented. We are now in the third phase of remodeling the cantons on the basis of better geographical distribution and workload. In Brussels, where there are about 20 justices of the peace, your plan provides for the abolition of the canton of Auderghem, which will be reassigned partly to the canton of Etterbeek and partly to the canton of Uccle. It is also planned to centralize the transplants into six buildings. This change in the Brussels judicial landscape does not in any case give rise to the accession of the two Brussels municipalities concerned, since they brought an action for suspension and annulment before the Council of State to prevent the announced closure of Auderghem's justice system. The municipality of Watermael-Boitsfort also decided to file its own appeal, the inhabitants of the latter depending directly on the justice of peace of Auderghem. Mr Minister, it is true that much has been said about justices of peace in less populated towns and villages, but the question of the reform of the justice of peace is also very acute with regard to large cities. I would therefore like more information on how this implementation of your plan for the Brussels-Capital Region and its various justices of peace is proceeding. Do you already have a timetable for the different phases that are being implemented? Can you tell us more about the centralization of transplants into six buildings? Indeed, there is so far very little information. Many justices of the peace and their transplants are concerned because they feel that, in the end, reform is being advanced without them knowing enough what to do with it. How do you react to the actions brought before the Council of State by the municipalities of Watermael-Boitsfort and Auderghem?
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u6	Mr President, Mrs Schepmans, I have already outlined in this committee and on several occasions my plan for justices of peace, as well as the third phase and all the criteria taken into account. I don't think I have to call them back. As far as the justice of peace in Auderghem is concerned, I can remain brief. The decision in principle was taken to close the canton for the reason that its workload was the lowest in Brussels and that it was below the national average. Moreover, the Brussels territory has a limited extent and is well served by public transport, making the argument of proximity less relevant. The decision in principle has yet to be confirmed by an amendment to the Judicial Code, which is being prepared and will be submitted to the Council of Ministers. When this preparatory work is completed, which will soon be the case, a concrete timetable will be communicated. The objective is to achieve full deployment over approximately two years. With regard to the questions relating to the Braine-l'Alleud peace court, the link with sous l'arbre is not quite clear. I agree with you that housing there is inadequate, so I have repeatedly asked Minister Jambon to provide a solution. However, this is independent of the principle of sous l'arbre. It has been clearly stated that, if there is a sous l'arbre somewhere, there will always be an agreement with the municipality concerned, which clearly covers the rights and obligations of each party. As for the entanglement, in the past it was the task of the congregation to house the peace court. That has always been the case and this legislation was only amended in 2014. That's when this wasn't raised. Moreover, I do not think that this argument of conflict of interest has influenced a court of peace. In addition, only a local or a conference room was used. It is not intended that the municipal services should continue to be called upon. In addition, a peace dish often sits in a building that is rented and that the landlord can be a trial party. Finally, when a court of peace sits in a building of the State, this does not prevent the court of peace from taking notice of matters before or against the Belgian State.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u7	Minister, thank you for your answers. It is true that the reform of the justice system has already been presented on a number of occasions, but in general, by focusing on areas where the population density is lower and where, as you have pointed out, transport facilities are rarer. For Brussels, this question does not arise, but there are very many litigants. Justice of the peace is a justice of the locality, to which citizens frequently resort. It would therefore be interesting for the Brussels justices of the peace to have information on the centralisation of the registries into six buildings. Some communes are densely populated, so the workload of the transplants is enormous. That is why their staff pay particular attention to how the reform will be organised. I hear she'll be finished in two years. The litigants, as well as the justices of the peace and the clerks, wish to understand how they will have to organize themselves as a result of the consolidation of activities in these six buildings.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u8	Thank you, Mrs. Schepmans. Unfortunately, Mr. Hedebouw, you're a little late, but you have other questions.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u9	Question No 18852 by Mrs Fabienne Winckel is transformed into a written question.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u10	Mrs. Winckel is absent.
ParlaMint-BE_2017-06-07-54-commissie-ic681x.u11	Minister, the Belgian State has recently been sentenced by the European Court of Human Rights to compensation of more than EUR 11 000 to two detainees. That concerned their stay in the prisons of Prince and Lantin. It was suggested that the person concerned in Vorst had less than 3 square meters of personal space, could only leave the cell one hour a day, could not participate in the activities and could only shower twice a week, often with cold water. In the end, it is still limited, I think, a compensation of EUR 3 500. Another inmate, someone from Lantin, had enough personal space, but had to share his cell with someone who smoked and was forced to smoke passively. He could only shower twice a week, could only get out of prison twice a day and there were no activities in which he could participate. As a result, he received compensation of 11 500 euros. Mr. Secretary, we know the situation in Prince. We know it's not good. You're trying to deal with the overpopulation, and we know that. Let us hope that there will also be a new prison in Haren very soon, so that this situation in Frost can stop because of the closure of the prison. On the other hand, Lantin's prison dates back to 1979 and is certainly newer and more modern compared to our other old prisons. It should also be able to make a newer prison policy possible. In addition, all prisons may and may smoke in the cell. I understand that, too. For this reason alone, as the ruling has set a precedent, many new cases are already possible. If I remember correctly from my previous life, they all smoke in prison. How do you assess the convictions? What consequences will the Belgian State have for this? Can the smoking policy in the cells be reviewed on the basis of the conviction? Is it still possible for non-smokers to share a cell with smokers? On the basis of the condemnation, will the shower system and activities in prisons be revised and extended? Finally, are there still pending legal proceedings against the Belgian State in which similar arguments are put forward by detainees? If so, how many?
