ParlaMint-BE_2017-07-18-54-commissie-ic717x.u1	Question No 19272 by Mrs Renate Hufkens is transformed into a written question.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u2	Minister, you may have provided answers since my question was tabled. On May 12, the federations representing Francophone nurses organized a symposium on the new definition of the profession of general care nurse. It has appeared that you have not yet taken a position on the recognition of a new function or profession of caregiver better trained than today or nursing helper. This new profession would help to preserve training accessible to those who are now part of the training of "patented nurses". Without this recognition, it is impossible for the Communities to organise these training courses. Both the schools which organise the training concerned and the nurses of all categories are therefore subject to uncertainty. We have also learned that in Flanders, many players believe that HBO5 training could not meet the new minimum training criteria to be "euro-mobile". It seems that, on the German-speaking side, bachelor's training is planned to last four years. However, since no change in patented training has taken place, it takes only three years. Minister, what are your ambitions with regard to caregivers? What about a possible health-care function that could offer a future for HBO5 patent education and for nurses who wish to complete their training by specialising? Following your consultations with the Communities, can you give us their respective positions? In March, you presented us with a concept note on the profession. You can refer to the place of specialized nurses and nurses in advanced practice. Do you already have an idea and what is your ambition with regard to the scope of these advanced specializations and practices and the additional training needed to achieve this level?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u3	Mrs Gerkens, as far as the carer is concerned, I will examine the legal framework in force, in particular to verify the activities allowed to them and the conditions required. In my view, it is necessary to adapt the authorized activities in order to better meet the demand for care. With regard to the HBO5 case last February, the European Commissioner responsible for Directive 2013/55 on the recognition of professional qualifications informed me that any training of nurses responsible for general care must meet the minimum training requirements set out in the Directive, which was transposed into our legislation in June 2016. She stated that a level of training was not required. This training can therefore be organised both in secondary vocational education and at the bachelor's or master's level. If a training does not meet the minimum requirements, it cannot give access to the same title as a nurse. Graduates will not be "euromobiles". I therefore believe that it is up to the Ministers of the Communities, responsible for education, to ensure that the training of nurses responsible for general care, at patent level 5 or bachelor's degree level, corresponds to the minimum requirements laid down by the Directive and transposed into Belgian legislation. It is not for me to give you the position of each Community on this matter. Some of your colleagues may question the ministers concerned. In a changing health care system, the many current specializations of nurses will need to be rethought. I would rather focus on generic areas of specialization. For these specializations, further training still to be determined, will be supplemented by real professional experience in the field - for example, two years. The Federal Council on Nursing should shortly issue an opinion that will inform further discussions on this subject. I also consider it important that, as in many other countries, we consider developing advanced nursing practices. They should be subject to university training - master level. In any case, nurses' specializations must enable our health care system to rely on even more competent nurses to whom the doctor can entrust more actions.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u4	Thank you, Madam Minister. I can hear your answer. It opens up prospects. It is disturbing to be constantly confronted with high levels of power, one of training and the other of recognition of skills and professions. They're looking at the ball. Tell me if I'm wrong, but there are the skills to be acquired, which are therefore defined regardless of the type of teaching that will give them. It can take two, three, five, ten years. It will be the skills to be acquired that will be the criterion for being recognized as a general care nurse.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u5	This topic is being worked on through the Interministerial Conference on Public Health, in the presence of the Ministers responsible for education in the Communities.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u6	Madam President, Madam Minister, on 6 June 2017, a memorandum of paediatrics was recently issued, signed by the President of the Belgian Professional Association of Paediatricians in connection with the Absym. The least we can say is that this call is extremely strong. Indeed, the conclusion of this memorandum is to recall how "regional paediatric units are critical centres for the overall management of medical and social problems related to children. They must be reference centres close to the patient in close contact with the generalists and the unexpected closure of these units would result in a drastic reduction in the quality of care for children". They clearly actuate the alarm bell by urging you not to separate the paediatric maternity services from the emergency. They support all their comments both on the fact that, if the average occupancy rate of paediatric services in Belgium fluctuates around 50%, there are seasonal peaks and, more particularly, in winter, with all epidemics and viruses. It is therefore essential to take account of winter occupancy in order to judge whether beds are superfluous or not. They also support all aspects of day hospitalisation in order to recall the importance of day hospital care for children, but also to denounce the fact that the authorities do not take any steps to encourage them. They recall the importance of the presence of paediatricians at the level of emergency services for the qualitative aspect, but also for that of savings in complementary examinations. Again, they say that no positive initiative has come from the authorities. Finally, they recall as an argument the correct functioning of a maternity which cannot be ensured without the presence of a paediatric service without forgetting all the issues related to the care and multidisciplinary collaboration in the consultations. They draw a picture fully in line with the reality on the ground, which I can testify to. But it's an alarm bell for you! You met them in October 2016. Since then, a layer has been added at the level of their call, if I read the memorandum of June 6, 2017, what one can understand, given the announcements made and the way in which you advance on the reform of the hospital landscape. Minister, will you take into account the various elements put forward by the paediatricians? What is your answer?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u7	Madam President, Mrs Fonck, as you certainly know, there are various aspects to the policy of reshaping the hospital landscape and, given the federal competence in this area, the restructuring of the supply is based on two essential concepts: the networking of hospitals and the programming of care missions. The first step is the formation of local and regional hospital networks. These networks must be able to provide all basic care to the local population and the whole Belgian territory must be covered by the networks. In this context, you refer to the consultation that took place with the Belgian Academy of Paediatrics and the Flemish Association of Paediatrics. The discussions covered, inter alia, the introduction of specific professional qualifications in the field of paediatrics at level 3 and the new needs for paediatrics. In addition, we will soon receive a delegation from the medical trade unions on this subject. After weighing the pros and cons of the views of the two groups which are somewhat different, I intend to set up a working group within the FPS, composed of representatives of paediatricians appointed by the Higher Council and representatives of the Paediatric College. This working group will be responsible for developing a concept note for a new ministerial decree on specific conditions of accreditation for paediatricians, traineeships and traineeships. In addition, there is a need for an integrated concept in the field of paediatrics, following the recent cancellation, as you know, of the 2014 Royal Decree setting out the standards that a child care programme must meet in order to be approved, as I have already mentioned on several occasions, in the context of the reform of the hospital landscape. Since the royal decree had been annulled, the procedure had to be repeated. Discussions will take place in a working group.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u8	Minister, I must admit that I am a little disappointed by your answer. Indeed, as far as the appeal is concerned, you remind me of the great generalities on the reform of the hospital landscape. All right! But I'm not quite drunk! I'm a little familiar with the frame. Second, you come back with the royal decree. I've already asked you about this. All this, I can see where we are going and all the work we have to do again. But that's not what it's about through my question. My question is: "Yes or no, are we going to assess the reality and issues of quality paediatric care, whether in hospital, in consultation, in emergencies, in day-time hospitalization, the major links between paediatric, maternity and emergency services? Are we not going tomorrow, through the reform of hospitals, to close half of the paediatric services?" The question I asked you...
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u9	Who said we were gonna shut down half the pediatric services?
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u10	If I'm not interrupted, I may be able to finish. The memorandum that was sent to you in June is nothing other than an alarm signal, Madam Minister. In this respect, I can only ask you to give serious consideration to the matter with the actors concerned and not to proceed unilaterally with the special powers granted to you by this government, or, as far as the quality of the care of children is concerned, to go straight into the wall. It will not be for the benefit of the State.
ParlaMint-BE_2017-07-18-54-commissie-ic717x.u11	Madam President, Minister, I asked your colleague the Minister of Finance a few weeks ago. The least we can say is that he had made a pretty bursting announcement. In view of the decline in tax revenues related to tobacco, and given the budgetary slippage, he wanted to reduce excise duties on tobacco in the hope of increasing these tax revenues. It is a pure and hard economic analysis, and in the very short term. If tax revenues fall, this may in part be due to a decrease in tobacco consumption. In the medium and long term, this is good news, since it will allow significant savings for social security with a reduction in spending on tobacco pathologies. Minister, are you going to block the Minister of Finance's willingness to reduce excise duty on tobacco or not? Indeed, price is the most important factor in reducing tobacco consumption. This is scientifically proven by international studies.
