ParlaMint-BE_2017-01-17-54-commissie-ic566x.u1	The interplay No. 154 of Mrs Pas has been postponed.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u2	Mr President, Minister, I would like to ask you about the anti-Belgian climate that has prevailed in Burundi for the past few weeks following accusations of human rights violations. While several officials verbally attacked Belgium on Thursday 8 December, it was reported that the Burundian ambassador to Belgium had been called back in consultation in Bujumbura. A few days later, it appears that several searches were carried out by the Burundian police in the presence of the Belgian consul in a building known to house many Belgian nationals. It would appear that the purpose of these searches was to search all apartments and check passports. Minister, can you give us the latest information in your possession about these searches, in particular the reasons why the Burundian police carried them out? Have you had any recent contact with your Burundian counterpart on the current situation? If so, can you debrief us for this exchange?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u3	Mr Crusnière, a series of searches took place on 15 December 2016 in the residential area called "Les appartements du lac" where several Belgian nationals reside. The consul of this post, once notified, was present until the writing of the minutes at about 12:15 p.m. We have not been informed of the precise reason for these searches, but this type of operation has been recurrent in Bujumbura for several months. I confirm, however, that the apartments occupied by diplomatic staff were not searched. They are covered by the inviolability guaranteed by the Vienna Convention. I have not had direct contact with my colleague since the last La Francophonie summit, but we concluded at the time that despite the difficult period of Belgian-Burundian relations, it was important to keep the channels of communication open between our two countries. It is in this context that my services and our ambassador on the spot have regular contacts with the Minister of Foreign Affairs and other important members of the Burundian authorities. Burundi is extremely sensitive to the signals sent by Belgium, the former colonial power, which often explains the disproportionate reactions of the Burundian authorities. It is by maintaining a frank and open dialogue that we will succeed in removing misunderstandings and that we will be able to help Burundians get out of the crisis they are going through. It is up to them, as I reminded my colleague at La Francophonie meetings, to find themselves in an inclusive dialogue that can involve the opposition as widely as possible. With regard to the searches that have taken place, as I have told you, we have not had any more details on the reasons, but this is not anomalous in the judicial proceedings, including in our country, but, in any case, consular arrangements have been made. The consul was on site and the apartments occupied by staff of the diplomatic substatus were not searched. However, on the ambient climate, we have had the opportunity to react on numerous occasions, asking that the Burundian authorities be able to call for calm rather than to throw oil on the fire, as has sometimes been the case.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u4	Minister, thank you for your answer and clarification. The situation in Burundi, of course, remains dramatic. As we know, the population continues to suffer enormously and I hope that, since we are at the beginning of the year, 2017 will make some progress on this issue. Hopefully, the situation continues to worsen and the suspension of European and Belgian aid is damaging to the population. I therefore hope that we will see some progress on this issue in 2017.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u5	Mr President, Minister, President Kabila's mandate ended on 19 December. As you know, there have been no elections to designate a successor. Kabila and his entourage have opted for a gratification, with several reasons for not having elections taking place. Kabila is clearly clinging to power. Since 19 December, Congo has clearly been in an unconstitutional situation. The EU has also taken an important step by imposing sanctions against a number of Congolese people. The US had taken such a step before. Among other things, the sanctions came at the pressure of Belgium, for which we appreciate. Of course, the fear of manifestations is permanent. Many civil society organisations, in the Congo, and also in the opposition, hold their hearts. There has been conciliation and a transitional arrangement has been reached. That happened after the question was submitted. I have a number of questions about this. Can you explain more about the bishops' mediation efforts and the transitional arrangements that have been achieved? What specific expectations do you have of the announced European sanctions? How will Belgium concretely promote inclusive dialogue, including the holding of elections in the course of 2017? How much do you estimate the risk of an escalation of violence in Congo? How can this be avoided? To what extent does the situation weigh on the bilateral relations between Congo and our country? What are the consequences of the visa measure you recently took, whereby Congolese diplomats can only obtain a six-month visa? Are there other indications that bilateral relations are deteriorating? What are the possible consequences for the Belgians in the country?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u6	I just want to make a mistake. Debates of the European Parliament Mr Van Hees' 15590 was accidentally placed on this agenda, but it is intended for Minister De Croo.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u7	Minister, I would like to ask you about the agreement reached on 31 December with a view to an inclusive transition and the holding of new elections in 2017 in the Democratic Republic of the Congo. This agreement provides that President Joseph Kabila, whose term of office ended in principle on 19 December, will remain at the head of the country and will not be replaced until after the election of his successor. In return, the opposition received satisfaction on two points: the creation of a National Transitional Council chaired by the historic opponent Etienne Tshisekedi and the appointment of a Prime Minister from the coalition known as the "Reassembly of the Opposition". The agreement also provides for an end to the prosecution of several political prisoners. A commission of high-ranking magistrates will soon be set up for careful consideration, on a case-by-case basis, of political and opinion prisoners and beneficiaries of the last amnesty law, but who have not yet been released. The reopening of the media is also mentioned in this agreement, which will be implemented in the coming days. You welcomed this agreement, which organizes management towards an inclusive transition. In an interview, you rightly stated that "Belgium will be attentive to the implementation of this text, as well as to the measures that will be taken to restore democratic space and rights and freedoms, so that all opinions can be expressed in the country and that the elections can be an authentic reflection of the aspirations of the Congolese people". Of course, we share your point of view. Minister, what do you think of the evolution of the situation? Do you intend to propose Belgium's potential support for the organisation and effective holding of the elections scheduled for December 2017 if the implementation of the agreement of 31 December and the restoration of the democratic space and respect for rights and freedoms are effective? What will Belgium's 3D approach be in this area, particularly in terms of logistics? Do you intend to discuss this issue with your European counterparts with a view to monitoring the preparation and organisation of the presidential elections?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u8	Mr President, Minister, Mr Crusnière has already referred to the long-awaited agreement that was reached on 31 December under the guidance of the Episcopal Conference, the CENCO, and which was negotiated by the opposition. That agreement states that President Kabila can remain in power until the end of 2017, after which elections must take place, and that the government will be led by the opposition in the interim period. As my colleague said, it is important that a new Prime Minister be appointed and that a follow-up committee be set up with regard to the agreement. A third important element, which was not mentioned, is that it is the first time that President Kabila will no longer participate in the elections. He said that himself. That's not unimportant. By means of a press release, you said you were pleased with the agreement and also called for a significant increase in operational and financial transparency, which will create the conditions for good management and external support, which is currently lacking. I suspect you are talking about the CENI, the electoral commission, which is a bit critical of corruption and so on. It's just that body that's gonna have to prepare for the election. The question is how the situation is evolving today. Minister, how do you estimate the scope of the agreement reached within the political world in Congo? There are still opposition parties who haven't signed it. What's their weight today? Can this call into question the agreement? What is the impact of the agreement on the security situation in Congo? What is the impact of the agreement on the measures taken against the Congolese Government, in particular the EU sanctions, which have absolutely done their job with regard to reaching a new agreement? Is our country considering supporting the preparations for the elections? What precise conditions are attached to this? December's approach to human rights concerns young people. Can you estimate whether the agreement reached will improve on human rights in the country?
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u9	Mr President, ladies and gentlemen, on 31 December 2016, a comprehensive and inclusive political agreement was reached between different Congolese parties, following a dialogue facilitated by the National Episcopal Conference of the Congo (CENCO). This compromise contains the elements of an exit from the political and institutional crisis in the country, a crisis caused by the non-organisation – we must remember – of the presidential elections in 2016, as prescribed by the Constitution. It is an important and positive step towards a short inclusive transition with a prospect of elections and the reopening of the democratic space. This agreement is the result of collective work. First of all, there is strong internal pressure from civil society, citizen movements and the Congolese population, which aspires not only to the holding of elections as soon as possible, but also to the improvement of its living conditions and to the assurance of its security throughout the territory. We can then mention the perseverance of the National Episcopal Conference of the Congo, which we have supported and which we congratulate on the enormous work done. The constructive engagement of the country's main political forces should also be commended. The majority finally agreed that the President would not be able to stand for a third term. And the opposition has agreed that the current president will remain in office until the elections that are expected to take place this year. I call on all actors to support the agreement, as the major players, the Rally, the parties of the presidential majority, the MLC and Vital Kamerhe, have already done. Finally, let us not forget the commitment and cohesion of the international community. It was above all at this level that Belgium played its part in its diplomatic efforts, mainly within the European Union, through the adoption, for example, of individual sanctions against law enforcement officials in the security system, but also in close cooperation with the members of the United Nations Security Council and our partners, such as the United States, and the countries of the region, such as Angola and the Congo-Brazzaville. Our Special Envoy for the Great Lakes Region and our embassies maintain close contact with all stakeholders. I myself have had a number of contacts with the main players in the Congolese debate. The agreement must now be faithfully implemented, which requires the negotiation of a particular arrangement. I call on the negotiators to continue their work constructively and to resolve quickly all outstanding issues, in particular the practical arrangements for the inclusive management of the executive during pre-election and electoral periods. A first test will be carried out on the occasion of the appointment as soon as possible – that is, for us, before the end of January – of a new Prime Minister proposed by the Gathering and the establishment of a National Council to follow up the agreement and the electoral process. During the transition period, all State institutions will derive their legitimacy from both their inclusiveness and their ability to fully implement the agreement. It provides for a series of descriptors such as the end of the prosecution of several political prisoners – as you have recalled – the reopening of the media and the end of the duplication of certain political formations, a practice that is not new in the Democratic Republic of the Congo. Belgium will continue to monitor closely the restoration of democratic space and rights and freedoms. In recent weeks, there have been too many victims and too many arbitrary arrests. It is important that all opinions be expressed in a peaceful manner. That is why I strongly condemned the Congolese government's decision to expel two Belgian television teams. In my contacts with the Congolese authorities, I called for respect for the right to information. I welcome the few advances in human rights, such as the release of a few members of the citizen movements and the recent authorization for Human Rights Watch representative Ida Sawyer to return to the Congo. However, many issues still need to be resolved, including the fate of some opposition leaders such as Moïse Katumbi. With regard to the electoral process, the path towards the effective holding of elections in 2017 will not be easy. We expect the new authorities to speed up preparations for the elections in order to meet the deadlines laid down in the agreement. This requires stepping up operations and making them more efficient. Furthermore, we call on Congolese institutions to significantly increase the operational and budgetary transparency of the elections in order to create the conditions of governance that are lacking today. These are the two necessary conditions, in addition to respecting the agreement of the Saint-Sylvestre, for external support of the electoral process, which I also call for. Apart from the political situation, I am also very concerned about the socio-economic and security situation. The growth forecast for 2017 is slightly more than 2%, which is too little for a country such as the DRC, given the huge increase in population. The reserves of the National Bank seem to be less and less able to support the Congolese franc and cover the foreign exchange reserves. The country is mainly dependent on imports for the main food products. If inflation were to continue to increase, it could have a major political impact. In the last week of 2016, we saw new areas of conflict spread all over the country, including in Boma, Kananga and the former Equator Province. The message from the Governor of North Kivu that some 200 re-armed ex-M23 elements would have crossed the DRC border from Uganda is alarming. We encourage both countries to activate the existing regional mechanisms, such as those of the CEGL, to verify that information and to find the reasons and solutions for it. Let it be clear, the socio-economic and security problems must not be invoked to justify delays in the implementation of the agreement. On the contrary, they have made the need for a rapid appointment of an elected, legitimate government, which can tackle the problems in a sustainable way, even more urgent. Just as the conclusion of the agreement was a collective achievement of the actors involved, implementation will ultimately depend on the joint efforts of the Congolese authorities, the opposition, the Church, civil society and the international community. On 20 December, following the expiry of the constitutional mandate of the President, I, together with my colleague in Development Cooperation, stated that there could be no business as usual for our country in our relations with the Democratic Republic of Congo. Now that an inclusive agreement has been reached, our country will remain vigilant about its implementation. As part of its mandate, the new transition government deserves our full support. Our relations will be dominated by the timely organisation of elections. So we will not enter into a new long-term commitment. We also hope that the new transition government will soon make better arrangements for further guaranteeing the security of our postal network and the fellow countrymen present. In any case, I can confirm that the security of our compatriots has never been compromised during the past crisis period. I would like to thank all the Belgian services in Brussels, Kinshasa and Lubumbashi for their availability and commitment during the Christmas period. The travel advice for the DRC has been relaxed in the meantime, but all non-essential travel is not recommended for the time being. Our country will act in the coming weeks mainly in a multilateral context, together with the EU partners, the UN Security Council and the region, to help ensure the follow-up to the agreement. An important moment will be the renewal of UN Security Council Resolution 2277. For example, we believe that, in the run-up to the forthcoming elections, MONUSCO should play a more important role in the security of citizens in the east but also in large cities. The UN must also play a more visible and stronger role in the elections. I will conclude by saying that we will continue to implement the decisions that have been taken, in particular in terms of sanctions at European level. Having said that, there is obviously no question of speculating for the moment on the decisions that we could take if the agreement were not implemented correctly. We want to do everything we can to make it happen. Similarly, as I have asked since the beginning of the discussions, it is important that the elections take place this year, not – as had been imagined at some point – whether they be postponed in spring or autumn 2018. That would of course make no sense.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u10	Thank you, Minister, for your reply.
ParlaMint-BE_2017-01-17-54-commissie-ic566x.u11	Minister, thank you for your very comprehensive answer. I believe that we must indeed welcome the agreement that has been reached and also stress the fact that it is an intra-Congolese agreement. They didn't need any foreign emissary to get around the table and be able to negotiate. It is an element to be noted and a lesson also perhaps to be learned for the future. This agreement had the merit of temporarily appeasing minds. But, as you have said, we must continue to be vigilant about the follow-up to this agreement, among other things – I also agree with you – about many unknowns that remain. I am thinking of the case of Moses Katumbi who will still have to be decided. I draw all the more attention to the vigilance that even now, a few days after this agreement, within the majority, it is already understood that any delay in the formation of a possible government may indeed be reflected in the organisation of the elections at the end. We are already talking about elections that cannot be held in December because we have already lost almost a month. The pressure will have to continue to be put on this to insist that they be kept on time. It is also known that there is a problem with the electoral register. According to some reports, in some provinces, this is progressing pretty well. But there is also a risk, at some point, of the problem of financing. I hear what you said. It is always open under two conditions that you have clearly explained. However, I come back to the proposal for tranche funding that I incorporated into the resolution that this Parliament voted on last July. Indeed, I would not like them to use the excuse of non-financing to say that they are unable to organise the elections and cause a postponement. Eventually, let's start working in tranches, the first one that can be used to finalize, as I have already said, the electoral file, with concrete results in order to be able to release other things. What I would not like is for them to find again this excuse for a Belgian and European non-financing and other possible donors to postpone the elections.
