ParlaMint-BE_2017-05-10-54-commissie-ic660x.u1	Debates of the European Parliament Mr Clarinval's 17644 was converted into a written question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u2	Madam Minister, this question is put in answer to written question No. 183 showing that Flanders is already much more committed to day hospitalization than Wallonia. Mrs Fonck, we have already talked about the fact that other Länder would be doing worse in other areas. You referred to antibiotics at the time. Those figures have also reached me recently, and Wallonia appears to be doing worse, but this is completely out of the question. Back to day hospitalization. In Flanders, too, much more is being devoted to this. There are a percentage of more interventions in daily hospitalization in Flanders comparing at the south of the language border. Recently, a KCE report was added which points out that in general a lot of extra money could be saved by using even more on day hospitalization. One of the obstacles to this is the existence of a list of interventions eligible for day hospitalization, for which hospitals receive a bonus. That list wouldn't do. For example, there are interventions that can be carried out today in hospitalization, but which are not on that list. One example is removing the gallbladder without complications. Since hospitals do not receive a bonus, they often opt for a classic recording. Why don't you edit that list? Isn't that possible, beyond the larger reform of hospital funding that you are working on and in which we fully support you? Can we not take steps in a simple way without having to wait for years?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u3	Minister, as part of the hospital reform, you have announced your intention to increase the number of day surgery operations. The KCE, which has been asked in this case, has just submitted its report, which points to a marked disparity in the number of surgeries which are already taking place mainly in day hospitals. I am thinking in particular of operations such as cataract extraction, the removal of tonsils or intervention on the carpal canal. These differences of practice obviously raise questions. Minister, for the authors of the report, the current method of funding does not encourage day surgery. They point to a complex and inconsistent system, based on lists of interventions that can be performed in day surgery and which they consider obsolete. The KCE therefore recommends updating these lists and reviewing the entire funding system using a single and transparent scheme. What are you planning on doing about this in the hospital reform that is currently under way? Are you considering reviewing these lists of day surgery procedures? If yes, how and by whom will this revision be carried out? Is a broad consultation of the actors in the field planned for this purpose in the near future?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u4	Minister, day surgery is the name of the surgical operations after which the patient can leave the day of admission to the health care facility. The Federal Centre of Expertise for Health Care (KCE) recently published a report on day surgery in Belgium. It appears in this report that day surgery could be better used and more frequently. The KCE has thus identified some structural obstacles that reduce its effectiveness, including the way in which this type of surgery is funded. Minister, what is your analysis of this KCE report? What are the options for improvement proposed by the KCE?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u5	Madam President, we did indeed need the study of the Centre of Knowledge to see what measures should be taken. It was an interesting report from the KCE. It was confirmed once again that the financing of our hospitals and the regulation is very complex, but there are also obstacles to making the best choice for the patient. It's about the patient having to have a classic hospitalization, while for his or her case day surgery might well happen. That is why we have rightly asked the study to find out what direction we can continue to work; all this in the wider context of the reform of the hospital landscape and hospital funding. We also receive a number of examples of interventions from the KCE, which show that there is still room for further growth in day surgery in Belgium. A number of major differences have also been identified. It is not so clear that there would generally be more day surgery in Flanders than in Wallonia. It differs not only from surgery to surgery, but also from discipline to discipline and from hospital to hospital. It is a fact that there are great differences between the disciplines of the different hospitals. There are currently financial barriers to encouraging day surgery. You gave an example from the report, namely the removal without complications of the gallbladder. In other countries, this procedure is more often performed in day surgery than in Belgium. It should be noted that there is no BMF funding or daily package 1 to 7 for the hospital as part of this operation. That's what I call an obstacle. The recommendations of the KCE report were noted. Currently, there is a consultation with administrations, both with the Public Health FPS and with INAMI, to examine what measures will be taken in the short to medium term to stimulate day surgery. Legally, it doesn't have to fit into the hospital reform, but it's ultimately a piece of the whole puzzle. All other planned reforms must be taken into account. We'll continue to do so. It is about interventions in which the safety and quality of the procedure are primordial for the patient. In view of the comfort of being able to go home, the individual situation of the people must always be looked at. Older people are sometimes alone and so on. We must pay due attention to this.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u6	Madam Secretary, I am pleased that your administration and you are sitting together. I do not know at what time a result is possible, but I take it from your answer that there is no need to wait for the full reform of hospital funding, although of course it fits in. I will certainly ask questions about how far the administration is going to solve that problem, so that the government can save even more. I heard you say that in Flanders there is no longer any use of day hospitalization. I formally contradict that with the figures you have given me in question. 183. This shows that out of the total number of interventions one in four in Flanders is already in daily hospitalization and one in five in Wallonia. It is clear that Flanders is more committed to this than Wallonia and that there is still work to be done there.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u7	Madam President, it is always interesting to analyse the evolution of the health system in our country, its quality and that, on the basis of figures that put the effectiveness of the communities in competition with each other. I don't have medical training, but I'm still under arrest. But it's certainly genetic in some people's minds and I can't upset them or make them change their minds. Thank you, Minister, for your response to a report that you share the concern to increase, if possible, this type of daytime intervention with safety and quality assurance elements that you have highlighted, perhaps also to adapt to those who are undergoing these interventions. You also said that you had started a consultation (this has just been recalled) with your administrations. I will look forward to your conclusions. If you don't come back to us, in the coming weeks, we'll come back to you.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u8	Madam President, Minister, thank you. I will not make it a Community matter. I will see, as you and as reported in the KCE report, the interest in developing these paths, which I also share. These leads, as you said, must go hand in hand with quality health care in hospitals that will be able to accommodate this type of service or already do so. I already see this as an interesting lead in the reform of the hospitals that you are considering and that I do not know how to be the easiest. I'll wait for the results you can offer us at this level, actors and Health FPS together.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u9	I would also like to say that, at the beginning of the legislature, we rightly asked for a number of studies to be made available for an objectification, a comparison with what is developing abroad in terms of daily hospitalization. These studies have been asked by us to the Knowledge Centre, to have supporting scientific and objective data, to see if our compass is pointing in the right direction and what and where the obstacles are on the ground. That is a very interesting study, and we can give you that link, Madam President, so that Members can read it too, which may have escaped the attention of some. This will certainly be further discussed in the measures we are taking, but also in the whole of the recasting of our hospital landscape.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u10	Madam Minister, in reply to my oral question No. 16340 on the standard-setting and financing of care staff in the health care institutions, you have provided me with a very clear list. I would like to thank you specifically for this of the number of nurses financed per service and of the real bestaffin. You also noticed: the real bestaffin is much higher than the standardaffining. You added, however, that the difference is partly due to several agreements concluded in the early 1990s and more recently, which provided for additional staff, for example through the social Maribel. Can you supplement the table you gave me with the exact number of VTEs and VTEs per bed that are financed by the BFM on top of the standard bestaffin so that we get a complete picture?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u11	As I have already said, additional hospital care staff have been provided at various times in previous years, i.e. on top of the basic staffing. The main expansions for the care staff on bed financed through the budget over the past decades are the following. By a ministerial decision of 28 November 1990 on the increase in staff benefits from 1 June 1991, one full-time equivalent was added to every 30 approved beds, which are all beds excluding those with certificate letters K, Sp. In 1994 and 1997 there was an increase only for the K-service. In 1999, one full-time equivalent was added for the organisation of playful activities and one for psychosocial support per approved E-service or pediatrician. In 1998, 0.5 full-time equivalents per 30 recognized C-, D-, E- and H-beds were added for the mobile teams. In 1999, a ministerial decision for the mobile teams established that 0.5 full-time equivalents per 30 recognized C-, D-, E- and H-beds were added. The KB of 2002 was again mobile teams. The first phase was launched as a pilot study in 2008. In the second phase in 2009, 0.5 full-time equivalents were added per 30 beds of each category. The final phase took place in January 2011, with another 0.5 equivalent for 30 beds added. As regards the 2002 Royal Decree, the 2011 mini-agreement added national 125 full-time equivalents for mobile teams. Its implementation was administrative or logistical assistance to the care units, night care professionals, maintenance staff. The scheme started on 1 January 2011. Then there was the social agreement 2005-2010, with additional staff for the operating quarters based on the number of hospital rooms financed at that time. There were also 0.5 full-time equivalents for hospitals with less than five operating rooms, one for hospitals between five and ten operating rooms and 1.5 for a hospital in the case of more than ten operating rooms financed. One half- or full-time nurse or nursing staff per 60 beds was also added for the nightequipes. I'll give you the list. It is difficult to make the sum because not all the schemes came into force simultaneously. As you can see, the social agreements have been working on this.
