ParlaMint-BE_2017-04-19-54-commissie-ic639x.u1	Debates of the European Parliament 17568 by Mrs Van Vaerenbergh has been postponed.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u2	I ask this question with mixed feelings. We have waited a long time for the reform, which some had hoped would not come. In any case, for reasons of efficiency and cost-benefit analysis, I believe that the reform of the peace process should be implemented. So I fully support that you have prepared and performed that exercise, even though there are always winners and losers. As far as the canton of Geel is concerned, a lot of questions are also being asked. After all, there are a number of bitter comments to be made on the dossier. Let's go over the history. With the approval of the reform, the nuclear cabinet has decided to retain the canton of Geel, but to house the court elsewhere. For example, the peace court of Geel will be placed with the Registry at the seat of the peace court of the canton of Mol. Of course, that's a little harsh for the city of Yellow. As early as 2009, the city of Geel started talks with the Ministry of Justice about a new location for the peace court of Geel, as evidenced by the correspondence and the documents of the Patrimonium of the city of Geel. From 2013 onwards, the city of Geel had as an interlocutor in the matter the Government of the Buildings, because the authority over the housing had come into its hands. At that time, a purchase agreement with the city of Geel was negotiated with the interested party, who then pre-financed the investments for a new building at the new location for the peace court of Geel. That building has been completely finished for a few years now, with furnishings and all sworn treasurers have estimated the value of the furnished building. Afterwards, the Regie asked the city of Geel to negotiate a lease instead of a purchase agreement. The right modalities were also negotiated for a long time, until there was a ready-made lease at some point. There have been several contacts and exchanges of letters on this subject. The last report received by the city of Geel from the Government of the Buildings in mid-2015, was that, despite the agreement on the lease, the Regie could not sign in view of the announced reform of the peace courts by the Minister of Justice. The contact was then broken for a while and we had to wait for the reform of the peace courts. Now it appears that the peace court of Geel is unable to move to the new location, while some EUR 1.2 million of investments have been made, including EUR 585 483.67 in furnishings with parquet floors, for example, at the specific request of the peace court of Geel. That can be substantiated on the basis of the file. As a co-resident and policymaker in the city of Geel, I regret these investments and believe it is only natural that fair compensation should be negotiated now that the reform of the peace courts has been approved. Minister, is the decision to reform the peace courts, firstly, final? Can the canton of Geel still sit in Geel? I understand that it would be possible if the city of Geel provided a location for that purpose. Secondly, what is the further timing for the reform and relocalisation of the Yellow Peace Court? Thirdly, can you commit yourself, in view of the progress of that dossier, to plead with the federal government for compensation from the city of Geel for the investments made in the construction and specific arrangement of the peace process in the Ecodrome project? Finally, who is competent to study such compensation and financial compensation?
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u3	Mrs Smaers, I understand that the decision is difficult for you and the city of Geel. Of course, the matter still has to be submitted to the Council of Ministers and the law has to be amended in Parliament, but the decision of principle has indeed been taken. Of course, there is the possibility for a city of a double canton such as yours to hold, as I have explained on several occasions, a sitting room sous löwarbre. Its definition is included in the draft law known as the draft Law "Potpourri V.V.," which is currently being discussed in the Committee on Justice. As far as timing is concerned, I also refer to previous answers. It is a complex and comprehensive dossier and the administration is currently in the process of taking all the necessary steps for the implementation and preparation of the related planning. The negotiation of housing is the responsibility of the Government of the Buildings. It should include these aspects with the city of Geel. For my part, I will have contact with you in order to highlight the specific details of your case. I am committed to arguing with Mr Jambon that this could happen in the best possible conditions for your city.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u4	Thank you, Minister, for your reply. Of course, some people in the city hope that the peace court will still be housed in our city. However, I understand that for reasons of efficiency, you are making a certain decision in the area of justice. In any case, I would like to thank you for your commitment to your colleague in charge of the Government of the Buildings, in order to promote a solution which could be to pay compensation for the investments made in a mutual agreement between the city of Geel, the peace court of Yellow and the federal government. So the matter is being prosecuted.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u5	Minister, in the past you have repeatedly expressed your support for alternative, out-of-court dispute resolution, in particular mediation. I can only agree to this because this is the way to find a solution that is acceptable to each party in the dispute. It also responds to your starting point of bringing fewer disputes to justice. My questions are as follows. Are you considering initiatives in the context of out-of-court solutions on debt issues? If so, which ones are they?
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u6	Mrs Lambrecht, as you rightly point out, I am in favour of resolving a number of disputes outside the courts. Everyone usually wins, both the parties and the government. This also applies to disputes relating to debt issues. I am in favour of the many initiatives that exist to guide and support people facing excessive debt problems. These initiatives, based, for example, on OCMWFs or private organisations, do not fall within my competence. However, I am in favour of this approach, provided it is efficient and effective, which is the case in many situations. With the introduction of the procedure for the recovery of undisputed debts, with the Act of 19 October 2015 "the Potpourri I', entered into force in July 2016, when the platform was finished, we have taken an important step to keep these proceedings as far as possible out of court, with many benefits for debtors. It is a procedure which informs the debtor, causes much less costs which would be charged to that debtor, sets a maximum limit on the additional costs that are required and in many cases leads to payment arrangements between the parties, which would not have been made without the procedure. Although the first signals are positive, it is too early to make an overall assessment of this new procedure. She must be sufficiently well-established for that. I hope to be able to take the second step in modernising the collective debt regime before the recess. In Potpourri IV the digital platform was approved. The second step is to adapt the procedure for debt mediation to the digital environment. Here, too, a significant reduction in costs and efficiency gains must be achieved in favour of those facing excessive debt and in favour of the government. Finally, I would like to refer to the draft law on insolvency which I will be explaining next week in the committee responsible for the Problems of Trade and Economic Law. These designs also include measures, such as faster changeability and the separation of future income from the bankrupt estate, which help people to free themselves from a debt problem in which they have ended up.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u7	Thank you, Minister.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u8	Mr President, Minister, unpaid invoices are sometimes quickly recovered. The intellectual work involved is very limited. Unless a dispute is raised, standard documents are used which mainly require administrative work. It does not therefore seem logical to us that ordinary judicial fees should be paid for this type of standard recovery. My question is therefore whether you are considering introducing a specific lower legal fees for such cases.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u9	Mr President, Mrs Lambrecht, the system of redress for a lawyer's remuneration was introduced by the Law of 21 April 2007, which put an end to the legal uncertainty that had arisen in this respect following the judgment of the Court of Cassation of 2 September 2004. In the end, the legislator has opted for a forfait. The judicial allowance shall be a flat-rate allowance in the costs and remuneration of the lawyer of the successful party, Article 1023 of the Code of Civil Procedure. The logic of the forfait implies that the precise reality of the work performed and the specific characteristics of each procedure cannot be taken into account. Moreover, the system in question is not merely flat-rate. The basis is flat-rate, but the judge has a discretion within the margin between a maximum and a minimum. If the court departs from the basic amount of the judicial fee, it shall have several criteria for its decision, including the complexity of the case. For example, a party may at any time ask the court to reduce the judicial fee on the basis of that criterion, which may lead to both an increase and a reduction. In this way, account can be taken of the volume of work caused by the complexity of the case, in order to increase or reduce the legal fees. My administration is currently preparing a draft law and a royal decision to bring into force the law of 21 February 2010. This law amends the provision of the justice allowance.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u10	Minister, I understand that the basis is flat-rate and that it is up to the courts to reduce compensation. In fact, my question was whether it is not possible to look at the flat-rate fees for such things, because they are very high when you simply take a standard form. Perhaps this will be possible in the future, in order to reduce costs.
ParlaMint-BE_2017-04-19-54-commissie-ic639x.u11	Minister, unlike other prisons in Belgium, where the population fell in the last few months of 2016, the number of prisoners in the prison in Saint Gillis increased to an unprecedented level. There are now around 900 inmates. That's way above the maximum capacity of 850. The situation has become untenable for both security personnel and detainees. After two months of prison strikes last year, you announced that you would turn the Prince's prison into a prison house and the St. Gillis prison into a home of custody. The maximum limit for the prison of Saint Gilis was then laid at 850 prisoners. At the end of last month, the government trade union ACOD submitted a new ten-day strike announcement for the prison staff of Saint Gillis. The demand of the socialist trade union is only 850 prisoners in a building that actually has a maximum capacity of 620 prisoners. According to the mayor of Saint Gillis, Charles Picqué, the security of the prisoners, the visitors and the guards is compromised. He announced that he would order the police to keep every new inmate at the prison gate as long as the maximum limit of 850 inmates is not respected. Hence my questions. How do you explain the increase in the number of prisoners in St. Gillis' prison? Why is the maximum limit of 850 prisoners not respected? What measures will you take to respect the maximum limit of 850 prisoners and to guarantee the security of detainees, visitors and guards? What will you do if the mayor of Saint Gillis takes the action and instructs his police to refuse prisoners at the prison gate?
