Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DefraigneChristine	Defraigne, Christine	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	JunckerJeanClaude	Juncker, Jean-Claude	U	-	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	BrackeSiegfried	Bracke, Siegfried	M	1953	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	LuykxPeter	Luykx, Peter	M	1964	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	CrusnièreStéphane	Crusnière, Stéphane	M	1967	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	MillerRichard	Miller, Richard	M	1954	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanPeteghemVincent	Van Peteghem, Vincent	M	1980	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	TurtelboomAnnemie	Turtelboom, Annemie	F	1967	
ParlaMint-BE-en_2017-02-21-54-commissie-ic600x	ParlaMint-BE_2017-02-21-54-commissie-ic600x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 21-02-2017	2017-02-21	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
