ParlaMint-BE_2017-05-16-54-commissie-ic664x.u1	Debates of the European Parliament 17479 by Mrs Leen Dierick was converted into a written question.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u2	Madam Chair, Minister, on March 28, 2017, you stated in the Economy Committee: "I am prepared to participate in the examination of Mr de Lamotte's proposals in this committee." I have asked your Commissioner for Consumer Protection to take stock in the Committee on the Economy on 2 May of the status of the case when I re-entered the text of the resolution I had tabled. You announced that an agreement was expected on the draft revision by 18 April. Minister, his only answer was to say that he had no comment to make. How surprised I was to hear him say that! I believe that this is not a constructive way to move forward on this crucial issue of consumer protection. The resolution dates back to last year. You announced progress for December 2016. It wasn't. I had already arrested you in March. When the matter is put on the agenda, nothing happens. Minister, therefore, I would like us to take stock of the progress of the matter. Since the previous inquiry, have you read the opinions of CREG and Test-Achats on my motion for a resolution? Test-Achats has submitted a text, which has been forwarded to you and to all members of the committee. The CREG has also sent you opinions. I have tabled amendments to this motion for a resolution following these opinions. Minister, have you consulted with CREG and Test-Achats as you promised to do in your response to my inquiry? What are the proposals for action that you are putting on the table now to move forward on this agreement? When we worked with your collaborator, there was no new input in terms of accuracy. I would therefore like to hear your views on these four questions on the problem of revising the 'Consumer in the liberalised electricity and gas market' agreement.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u3	Madam President, ladies and gentlemen, Mr de Lamotte, at the meeting on 18 April, a final draft of the Code of Conduct was submitted to the participants who validated it with some corrections. Subsequently, this text was forwarded to all energy suppliers who have entered into contracts with consumers requesting to confirm their adherence to this adapted code and to propose deadlines for its entry into force. In the meantime, I have received confirmation from 17 energy suppliers. Due to the status of the Consumer component, there have been no new testing-achats consultations. Concertation on the extension of the code to SMEs is ongoing. My firm had an interview with representatives of CREG on April 25, an interview at which this point was discussed. The definition of small and medium-sized enterprises referred to in CREG is a post-factum definition. In doing so, it is not appropriate for suppliers to be engaged before or at the time of the conclusion of the contract. That is why another definition is needed.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u4	Minister, I take note of your answers. To hear you, things are moving forward, but we need to move much faster since everything should have been completed by the end of 2016. Having said that, I would like to know why you did not contact Test-Achats again when the latter, on its initiative, sent a note to the Parliament which was forwarded to you. Furthermore, as far as the meter criterion for SMEs is concerned, is the 56 kVA criterion, in your opinion, a criterion for defining an SME (consumption of less than 56 kVA) in order to move forward with the revision of this agreement?
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u5	Mr de Lamotte, to answer your first question about Test-Achats, I should like to know that I have a meeting with this association every month to discuss all the points that it considers important. On this occasion, she is informed about the problem that you have raised. The answer to your second question is negative because this criterion is not practicable.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u6	Can you say more? Are there any technical criteria that make this impracticable? What is the basis of your decision? Fifty-six kVA is an objective criterion.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u7	It's not about objectivity, it's about organization. In consulting the experts, I understand that it is not realistic to proceed in this way.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u8	What will be the practical criteria? What are you preparing for? What beacons will be set, apart from ex ante, as you said earlier?
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u9	I'm looking for a lasting solution. My point of view was based on experts. The discussion is open and not over. You're more positive than the experts. If a solution is practical and lasting, I am ready to adopt it. I hope that we will find a solution soon. It's as simple as that!
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u10	Mr Minister, it is a long procession that this resolution because I have already put it, I have developed it, I have come with amendments. I delivered the text through an inquiry. This was re-discussed two weeks ago in relation to the analysis of bills and resolutions. I would like to know, Minister, if you can commit yourself, when the text comes back definitively in a forthcoming committee analysis, to be present so that you can really make the political choice you are going to make with regard to this subject which was to be resolved by December 2016. So I particularly insist that we move forward on the subject.
ParlaMint-BE_2017-05-16-54-commissie-ic664x.u11	Mr de Lamotte, I propose to send you all the impassable technical elements, to make sure that after this information, like me, you are also convinced that some solutions are not reasonable. I'm going to ask you to list all the technical elements and forward them to you. For example, I was informed that it was not possible to know about consumption before. This is one of the questions that are now on the table.
