ParlaMint-BE_2017-02-15-54-commissie-ic598x.u1	Debates of the European Parliament Mrs Gabriels' 16285 will be converted into a written question.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u2	Mr. Demon is apologized.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u3	Mr President, Minister, the city of Bruges has a safety and prevention plan, an agreement with the Home Office to shape local prevention policies. For the city of Bruges, this means an important source of funding for the operation of the prevention service, i.e. for community guards, prevention workers of all kinds and normal operation. The current contract runs for the first time in a four-year cycle, from 2014 to 2017. It was announced a while ago that this cycle would be aligned with the cycle of the municipal councils, i.e. six-yearly. In the meantime, that has been decided for the zonal safety plans. An extension of the existing zonal safety plan 2014-2017 is foreseen for two years - 2018-2019 - so that a new management team can draw up a new zonal safety plan for six years. The same scenario has been predicted for the strategic safety and prevention plans, but this is still not being implemented. Mr Minister, I have the following questions. Firstly, will you extend the application of the safety and prevention plans in accordance with the decision on the zonal safety plans until 2019? Secondly, when will that be decided? Thirdly, are you considering savings in these benefits, which are very important for cities and municipalities?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u4	Mr President, Mrs Lambrecht, the evaluation and work of the strategic safety and prevention plans have begun. Optimum coordination between all policy texts will be considered. The SVPPs will thus be complementary to the Integrated Security Framework Paper, to the National Security Plan and to the zonal security plans. This is entirely in accordance with the Royal Decree of 7 November 2013. That principle is important, because, as you said, the zonal security plans were adapted to the local policy cycle. No reference was made to the strategic safety and prevention plans, but the government agreement provides for an extension after an in-depth review. As regards timing, I would like to present the basic principles - award criteria, methodology and type of initiatives to be subsidised - of the new cycle of strategic safety and prevention plans to my colleagues in the government before the recess. As far as your third and final question on savings is concerned, I have always maintained, as far as possible, the funds allocated to the municipalities. We didn't save up on that. I would like to remind you that the funds allocated to each municipality in the current cycle are by no means a right for the next cycle. There will therefore be no savings on the global pot, but that does not mean that each municipality will necessarily receive the same. The distribution of subsidies for this next cycle is a decision that is ultimately reserved for the government.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u5	Thank you, Minister, for the answer. Forgive me if I ask you again for the sake of clarity, so we should not be entirely reassured that we will get the same amount.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u6	No, if I were to respond positively, I would anticipate the situation. The pot remains the same, but just like last time we look at how we distribute these subsidies among the municipalities. The better your plans, the more sure you are of your subsidies.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u7	Debates of the European Parliament Mr Kir 16447 was converted into a written question. Mr Blanchart is still present in the Committee on Justice and will be here as soon as possible. We shall now continue with Mr Nollet's questions.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u8	Mr President, Minister, during our recent on-site visit, the company's management informed us that, according to them, everything was in order and that the date for the re-launching of the plant could be maintained by 15 February. However, this 9 February, a fifth postponement has just been announced to the market. Tihange 1 power station has been under arrest since 7 September, more than five months now. Can you explain where we are? Has Electrabel submitted all the necessary documents? Has AFCN ever given the operator a return? Did it require additional information? Which ones? Can you now tell us what the AFCN's analysis of the safety demonstration documents, particularly with regard to the seismic resistance calculations of the building, has given us? At what level is resistance guaranteed? Is it at a higher level than before September 7, 2016? Can you also tell us what still needs to be done and/or tested and/or analyzed before you can consider a possible restart? Is the date of February 28 credible as a "possible" date of a restart or should we once again expect a further postponement?
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u9	Mr. Nollet, I'm not going to repeat myself. Various questions have already been asked on the subject. I will give you an update on the previous questions and answers. Since September 2016, the Safety Authority has held regular follow-up meetings with the operator Electrabel and, among other things, has required on-site and laboratory tests to characterize the nature of the loosely-consolidated embankment layer, the justification for the stability (carrying capacity and compaction) in the normal and accidental situation of the Tihange 1 safety structures located on the loosely-consolidated embankment layer and the justification for the development of the loosely-consolidated embankment layer. To date, the operator Electrabel has provided a considerable number of documents to the Security Authority. The Commission analyses them with a view to assessing the extent to which the questions it has asked to date have been answered in a favourable manner and in order to verify whether the installation safety is demonstrated. Discussions are still ongoing. In particular, the stability of the W building in normal and accidental conditions is not clearly demonstrated. The justification for displacement in the event of an earthquake must be completed and reviewed. Justifications for the stability of other buildings are being analysed. For your second question, concerning the guarantee in terms of resistance, I refer to the answer I have already given to Question No 15861. So we're not going to change our requirements.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u10	Minister, I agree, but I guess we're waiting to see what's going on with this guarantee. You're talking about the goal.
ParlaMint-BE_2017-02-15-54-commissie-ic598x.u11	Yes, yes. We're making a comparison. They must reach this level of guarantee.
