ParlaMint-BE_2017-04-26-54-commissie-ic647x.u1	Debates of the European Parliament Mr Luykx's 17321 was converted into a written question.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u2	Minister, over the last few weeks the referendum on the possible separation of Scotland from the United Kingdom has been discussed in the media and in many fora. The President of the Northern Irish Sinn Fein Party also calls for a referendum to be held on leaving the United Kingdom. The effects of the Brexit are also dramatic for Northern Ireland, not only for Flanders. It is hoped that these effects will be minimized by attaching themselves to the Republic of Ireland. This proposal came shortly after Prime Minister Sturgeon's announcement of the Scottish referendum. We understand that the debate is taking place there, but I also have a few questions about it. How do you see this situation? Could this, in your view, have an impact on the Northern Irish peace process? How do you see the further communication around this file so that tensions are not increased? Do you think there is any possibility that European subsidies will be withdrawn if political parties in Northern Ireland take advantage of the Brexit negotiations to seek out the conflict? I want to thank you for your answers.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u3	Mr Luykx, the conflict between the two countries, an official peace in Northern Ireland, came to an end in 1998. The European Union played an important role in the context of the Northern Irish peace process. A British departure from the European Union could, among other things, affect conflict management measures in the context of the Northern Irish peace process and its EU funding, as well as the border regime between the United Kingdom and the Irish Republic. The possibility of a change in the existing condition feeds aspirations of attachment on one side, and fears for it on the other. I refer to the Sinn Fein statement on a possible referendum. This is therefore indeed a risk to the peace process. There are also still armed groups that are striving for one united Ireland and other groups that wish to prevent this from happening. Following the elections in Northern Ireland on 2 March, it was hoped that the parties would quickly form a government and relaunch the dialogue in this context. Since the blow-up of the coalition talks by the Catholic-Republican Sinn Fein, June 29th was put forward as a new deadline for a government formation. As regards the deadline, Belgium has no advice to give. We can only encourage constructive communication between the parties. It is not up to us to comment on the United Kingdom's internal communication strategy. In its white paper on the exit of the United Kingdom from the European Union, British Prime Minister Theresa May stated that he wanted to maintain freedom of movement with the Republic of Ireland. In addition, she mentioned in the future that she wanted to continue to respect the agreements of the Good Friday Agreement. There are several European programmes and grants available to Northern Ireland, including the EU Peace Programme for Peace and Reconciliation aimed at strengthening progress towards a peaceful and stable society in Northern Ireland and the border region of Ireland. At present, however, there is no indication that there would be any reason to question the funding of this programme. I should like to add that I have been in contact with both my colleagues from Ireland and the United Kingdom. So far, I have not received an exact answer to the question of how the relationship between the two countries may evolve after the Brexit. That will be a very specific point during the negotiations. However, there were no real preparatory work before the Brexit and before the decisions after the referendum. So we must now wait for a number of proposals. So far I have only heard an analysis but not a real proposal on a possible solution after the Brexit.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u4	Minister, it is important that we remain proactive about the new dynamics that are emerging. I still feel that not everyone on the ground realizes how far the Brexit can have an impact on developments in Catalonia, Scotland and Ireland, for example. It is true that we should not replace the Irish. Nor should we determine their communication. However, there are certain effects and risks associated with the situation, which you also recognise. We must open the debate, perhaps not directly within the framework of my current question and your answer. Asking the question is sometimes more important than getting an answer. The debate may perhaps take place as part of a special initiative in the Committee on External Relations. However, I will discuss this with the other Members. Thank you for your answer.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u5	Madam President, Minister, you took the lead in Geneva last year in calling for better control of the Copenhagen criteria at the UN High Commissioner for Human Rights. These are criteria in terms of human rights, democratic principles and economic conditions that candidate countries must fulfil. You regretted that these criteria would not be subject to stricter controls after acceptance of the new Member State and would like to see a system that would follow the state of the rule of law and human rights in Member States, so that there would be continuous monitoring, which I believe would be a good thing. Especially in the context of the various ongoing procedures for EU membership of a number of Western Balkan countries, your plea is very interesting. In the current situation, the EU has no advantage in allowing countries that are not so close to human rights and other rights. I have a few questions on this, Minister. Have you already started to develop the periodic monitoring mechanism you advocated? What is the government's and EU's position on a better control system? Does the EU already have concrete plans? Is there anything in the making yet? Can you reiterate what added value and functions this mechanism could have in a possible future EU enlargement procedure?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u6	Madam President, Mr Luykx, respect for human rights and the achievements of the rule of law are, as you rightly say, important elements of the Copenhagen criteria to be met by candidate countries when they wish to become members of the European Union. However, after accession, the importance of these criteria does not cease to exist. That is why, on behalf of the government, I launched in the General Affairs Council the proposal for a periodic monitoring mechanism, which regularly evaluates respect for the important principles of the rule of law and human rights in all Member States. This proposal for a periodic monitoring mechanism was welcomed by a significant number of EU Member States. Belgium organised a seminar on this subject at official level in July 2016. In October 2016, I attended a ministerial meeting in Rome. The General Affairs Council of November last year decided to take a further step towards such a monitoring mechanism through a more structured horizontal discussion within the Council on central questions on respect for the rule of law. In its conclusions, the Slovak Presidency indicated the explicit possibility of a periodic monitoring mechanism in a subsequent reflection on the rule of law dialogue. Belgium and other like-minded Member States will continue to argue in favour of this. The fact that, even after accession, such a periodic monitoring mechanism would carry out a regular review of the Copenhagen criteria in relation to the candidate countries underlines the need for sustainable reforms of the rule of law, with a view to maintaining demonstrable results in the field of fundamental rights and freedoms, and in the fight against corruption and organised crime. Very concretely, Mr Luykx, we are now evolving step by step. I now have the agreement of about 15 out of 28 Member States after the Brexit 27 Member States. I also have the support of a number of political groups in the European Parliament. We have contacted the members of the General Affairs Council and the European Parliament. Step by step, however, also means a possible evolution within the Council. We now have a horizontal approach, for example by discussing in all the Member States the evolution of freedom of the press or another item. Then perhaps over the next two years, which is very long at European level, I hope to be able to establish a real monitoring mechanism for all European Member States. I would like to add, as I have always said in plenary sessions, that as a former Minister of Finance, I consider it necessary to do so. It is not enough just to check the budgets, euro per euro. That is necessary, but not enough. We must make the same assessment of the evolution of the rule of law. Since a number of recent elections in Europe, it has become increasingly urgent to find such a solution.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u7	Minister, we fully support this initiative and the way in which you operate; 15 out of 27 Member States, that is a significant number. It is also interesting that you want this monitoring to take place thematically, for example on freedom of the press. That way we can mature the idea and realize the system step by step. We think it is very important to ensure that monitoring is structured and continuous.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u8	Madam President, Deputy Prime Minister, on March 15, the UN Economic and Social Commission for Western Asia (ESCWA) published on its website a report written by two international law experts, American professors Richard Falk and Virginia Tilley. The text concluded, after a census and analysis of numerous discriminations against Palestinians, that "Israel is guilty of policies and practices constituting the crime of apartheid". The term is very strong. The authors of this report even called on UN member countries to support the international campaign BDS (Boycott, Disinvestment, Sanctions), which advocates the complete boycott of the State of Israel. On 17 March, under pressure from the new Secretary-General of the United Nations, who himself was strongly questioned by the ambassadors of Israel and, above all, by the new Ambassador of the United States, the Executive Secretary of ESCWA, Jordan's Rima Khalaf, resigned. As a result, the report was removed from the United Nations website. Mr. Deputy Prime Minister, how did our ambassador to the United Nations react in the international arena to this act of censorship that runs counter to all United Nations principles? Has a European position been agreed in order to see the Member States react in the same way in this difficult case? In the absence of a BDS approach, is this umpteenth case not likely to see you strengthen any initiative to label more effectively and then ban products from the Israeli settlement of Palestine for sale in Belgium?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u9	Madam President, Mr Hellings, neither Belgium nor the European Union are members of the United Nations Economic and Social Commission for Western Asia, which is a regional body. It is therefore not up to us to decide on the internal procedures in the United Nations leading to the publication of a report from that commission, nor to make a judgement on the decision to resign from Ms. Khalaf. I will therefore not dwell on these decisions in which we have not taken any part. The European Union and Belgium have a clear position on the Middle East peace process, based on essential principles unanimously recognized by the international community, including parameters on how to achieve a two-State peace – I recall the conclusions of the Foreign Affairs Council in July 2014 – and an unequivocal condemnation of all measures that risk ruining this solution, first and foremost the policy of colonization of the territories occupied by Israel. This position, which is also reflected in many conclusions on the Middle East peace process of the Foreign Affairs Council, has not changed. Belgium, like the European Union, does not miss an opportunity to remind the Israeli authorities of this message. That is the heart of our message. Belgium and the European Union want to focus on this. As regards the application of the Commission's interpretative communication on indications of origin, I draw attention to the fact that the implementation of the rules on trade and the market in goods and services falls within the competence of my colleague the Deputy Prime Minister and Minister for Employment, Economy and Consumer Affairs. I have already drawn the attention of the various ministers responsible for this in successive governments. As for a possible ban on the sale of colonial products, you know that this decision can only be taken at European Union level. However, there is, and certainly not at the moment, a real will within the European Union to adopt further measures in this area, given that interpretative communication is generally considered to be sufficiently clear. I have given all the relevant information to the minister responsible.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u10	Minister, I am well aware that Belgium is not part of the UN's Western Asia Commission. It is a very useful geographical precision that you have brought. On the other hand, the new Secretary-General of the United Nations, of which we are a member, is the basis of the pressure exerted on the person in question, Mrs. Rima Khalaf. A movement or position taken by Belgium, if only by letter, could have been interesting. It would have been appreciated if we could discuss it with our allies in the European Union in order to reach a joint letter with one or more other member countries. I'm not going to go back to the bottom of the case. I just note that American university professors have used the strong word "apartheid" in an official UN report, although they have in the meantime withdrawn it. I believe that this should attract our attention and influence our attitude towards the Israeli government in the coming weeks and months. In particular, this should encourage us to take more proactive and determined action to prohibit the sale in Europe and Belgium of products illegally manufactured in the territories occupied by Israel in Palestine.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u11	Mr Deputy Prime Minister, at the invitation of the President of the Syrian Parliament but with the political and logistical support of Russia, and under the auspices of the Parliamentary Assembly of the Council of Europe, a Brussels regional MP and Senator MR visited the areas of Syria controlled by the Bashar al-Assad regime from 20 to 22 March. The visit consisted of a meeting with the Syrian President – nothing less! - a visit to Russian military installations (the Hmeimim base) and a passage to Aleppo. According to the first Russian television channel, "The task of the parliamentary delegation was to understand and develop a goal: what Europe can do for peace in the Arab Republic". It looks like a 1984 passage from Orwell. Political instrumentalisation is therefore obvious. It is not currently possible in Syria to go and come to the part controlled by the Assad regime without a visa. They are therefore granted only to journalists and politicians who agree with the ideas put forward by the regime or who do not know enough about them to raise the points at issue. Visits are naturally highly supervised by political agents of the regime. From there, Deputy Prime Minister, come my questions. Your party co-religionist, in a video released on 24 March, explains his trip by the need to realize the situation and calls for solidarity in favour of the inhabitants of Aleppo, deprived of everything. On this point, I agree. Access to Aleppo is very difficult and only Russians can reach this city. If Alain Destexhe, since this is him, had been a little informed, especially with you and your extremely well-informed services, as well as with his former MSF employer, he would have known that it was the Syrians who blocked access to Aleppo. Do you defend with the Russians the access of NGOs to this city-martyr within the appropriate bodies? I am thinking in particular of the United Nations. This mission to Syria is obviously aimed at influencing the attitude of the EU and its members. During the visit, a Russian official said: "Today our colleagues saw what is happening in Syria. And, of course, this will have a positive feedback on the solutions within these circles allowing, in the near future, the revision of these discriminatory sanctions." We're going back. Does Belgium still defend the sanctions under way against the regime of Bashar al-Assad and Russia? Finally, with the exception of Alain Destexhe, the delegation was made up of very problematic personalities. Adam Delimkhanov is suspected of violence and assassinations of Chechen opponents. Vladimir Abdualiyevich Vasilyev, vice-president of the Duma, is prohibited from visa, while his assets have been frozen by the Council of the European Union for his involvement in the annexation of Crimea. Finally, Leonid Eduardovich Slutski, Member of Parliament for the Duma, is banned from visa in Europe for the same reasons. It should be noted, moreover, that the Parliamentary Assembly of the Council of Europe has itself decided to suspend Russia's right to vote within it for all these reasons. Mr Minister, does Belgium always support the sanctions adopted by both the Council of Europe and the European Commission on this issue?
