ParlaMint-BE_2017-03-29-54-commissie-ic633x.u1	Questions by Mrs Fabienne Winckel (Nos. 15154, 15545, 15546, 15550, 15823, 15998, 16609, 17497, 17157 and 17535) and question No. 15221 by Mr. Benoît Friart are transformed into written questions.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u2	Madam President, Madam Secretary of State, I would like to ask you about a poster that shocked me. On March 10, the Belgian section of the AKP broadcast an electoral poster on social networks, which I find quite shocking. In fact, we see the fight between two silhouettes, one brandishing a cross, the other a crescent. The slogan used in this illustration was clear: "This struggle is the struggle between the crescent and the cross. Let's get together under the crescent. You will see that there will be many of us." In my view, this is an unacceptable call for division and hatred. It is very dangerous to try to turn a political struggle into an interfaith conflict. This is a real provocation on the part of the AKP, which seeks to oppose the communities in Belgium. Madam Secretary of State, are you aware of this poster? What is your reaction to such propaganda, which seeks to raise Belgians of different origins and beliefs against each other? Do you intend to initiate prosecutions? What actions do you intend to take to stop the dissemination of such messages on social networks, in meetings and in statements?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u3	Thank you for your question, Mr. Dallemagne. I would also like to greet the young people who are there. Good day to the youth who sits upstairs, you are always welcome. Mr Dallemagne, I share your concern because it goes without saying that such a message is not only regrettable but quite worrying. Different cultures and religions are set against each other. This is unacceptable. I'm in touch with Unia who has expertise in this area. In fact, Unia has already received several notifications and a file has been opened on this subject. In this context, the image is assessed on the basis of the legal provisions on incitement to hatred, violence and discrimination. The Internet Reference Unit (IRU), which falls within the competence of my colleague, Minister Jambon, is the national point of contact for digital crimes at the Ministry of the Interior. As far as this case is concerned, a case has already been opened. They have thus had a Facebook page deleted and are particularly vigilant in order to ensure maximum elimination of this image by making contact with the web page providers each time. The IRU also reported this case to the judicial police. How it has dealt with the matter further falls under the secrecy of the investigation and under the competence of my colleague Koen Geens.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u4	If I understand correctly, a criminal complaint has been filed since the court is seized?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u5	We're not there yet. I don't know. I simply know that the IRU reported that there is a case with the judicial police and that, in the context of the secret of the investigation, I cannot say anything about it, but perhaps you can question the Minister of Justice, Koen Geens, about it. We have Unia and the Internet Referral Unit dealing with this.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u6	Thank you for your good intentions in this regard. You're right, it's totally unacceptable, it's dangerous. We know the provocations of the AKP. I believe that, of course, we must stop this kind of propaganda which is totally unacceptable in our country and which is dangerous to social cohesion and which, I think, is totally intolerable in terms of the principles and values that we defend. I am counting on you to have all possible vigilance on this issue.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u7	Questions Nos. 15543 and 15789 by Ms. Catherine Fonck are transformed into written questions. Questions Nos 15719 and 16707 by Mrs Sabien Lahaye-Battheu are transformed into written questions. Ms. Nahima Lanjri requested the postponement of her question No. 16344. Mr Gautier Calomne asked for the postponement of his question No 16749.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u8	Madam President, I am honoured to ask a question to the Secretary of State for the very first time. I have already said this in other fora and I repeat: I am particularly proud that we now have a Secretary of State of Kurdish and Turkish origin because it clearly shows that we are an open country and that we know how to integrate its communities of foreign origin. Madam Secretary of State, Unia, the Interfederal Centre for Equal Opportunities, is an independent body. Since its inter-federalization, all legislation has been applicable to it. Joods Actueel, a newspaper representing the Jewish community in Flanders, questioned Unia about the 600 euros fine and six months suspended prison sentence for a pro-Palestinian calling for the slaughter of all Jews during a demonstration in 2014. The director of Unia inadvertently ordered an e-mail from one of its members – a lawyer, I believe – mentioning this conviction as a problem, because it does not reflect what the law says. "Tordue" is the exact term used. In fact, Unia gave notice to the newspaper of the association for broadcasting the e-mail and the name of its author. The Centre for Equal Opportunities states that the position of the employee does not reflect that of the Centre for Equal Opportunities, which states that it condemns all forms of anti-Semitism. Joods Actueel considers that the e-mail in question defends the author of the e-mail and not the Jews, objects of incitement to murder, so as not to say genocide, to the extent that the convicted person called for the slaughter of all Jews. Unia defends the opinion of its member by escaping behind the freedom of expression, the limits of which the Centre itself has defined: any incitement, encouragement to discrimination, hatred, violence, segregation against others, in public, intentionally and for a specific reason, while stressing that it always favours freedom of expression by combating discourse through dialogue. Should not plurality of opinion be limited by the very principles of the law on non-discrimination that Unia is supposed to promote? What did the representatives of Unia say? As far as the law and its application in the field of discrimination and racism are concerned, have you repeated that in Belgium it is the parliament which defines the law, the justice which applies it, the Unia which ensures that it is respected? Have you addressed the fact that it is essential that every discrimination or act of anti-Semitism or racism be combated in the same way, with the same force, with respect for the same principles of law enshrined in the Belgian Constitution, Belgian legislation, in accordance with the Universal Declaration of Human Rights, the Charter of Fundamental Rights of the European Union and by all human rights defenders? Should not their fight be to ensure that policies which they consider to be infringing on those rights are challenged, not to the physical threat to the perpetrators of violations of those rights, and, more importantly, to the confusion between the acts of a government and its population, and to the ethnic or religious groups from which it emanates? What did you trade with Unia? We have already discussed this in plenary, but I think it is a particularly important issue. I would add that Unia may not have always followed these violations of the rights of homosexuals and transsexuals sufficiently and relentlessly.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u9	Madam Secretary of State, I was questioned because, barely taking office, with a political guidance note that we had not had the opportunity to discuss, we were able to read in the press your comments which, in my view, disqualified the independent body that is Unia, responsible for evaluating the implementation of policies in terms of non-discrimination and equality. We have had an opportunity to discuss this in plenary and you have told us that you are reprimanding Unia, in its annual report, for being much more focused on racial discrimination than on others. I would like to reply that when a public body prepares an annual report, a self-criticism and an evaluation of its policies, it is interesting to note that it recognizes the achievement of certain objectives better than others and that it raises the question of improving its functioning. This approach seems interesting to me and needs to be supported by public bodies. Criticisms of how they work should not be used to disqualify them, but rather to seek to improve things. As you noted, they have not paid sufficient attention to the discrimination against older workers. The previous week, however, a report by Unia dealt with this subject. At the end of 2016, a major campaign should have been conducted by the administration responsible for disabled people. But Unia reported on the integration of people with disabilities in the professional, cultural and social spheres. They have various actions that are not perceived in the same way. So, on what reports and figures do you base yourself? The annual report of their activities or other elements? How will you re-establish the collaboration between Unia, the federal, the regions? All entities are concerned, both to maintain a national dimension and to maintain its missions so that real collective work can be carried out. How are you going to do it and with what calendar?
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u10	Madam Chair, when I say that Unia has a perception problem, I'm based on an Indiville study commissioned and funded by Unia. From this study, it appears that 51% of the respondents feel that the Interfederal Centre for Equal Opportunities (Unia) exists mainly to help allochtonians. In addition, 51% of respondents believe that discrimination against certain population groups is considered to be more serious than when other groups are affected. I will read you a passage from the summary of this study, which is available on the Unia website. "The Inter-Federal Centre for Equal Opportunities is seen first of all as an institution which deals with the field of indigenous-allochtonic tensions and which, in this context, does not always intervene in a neutral, impartial and independent manner. This has a negative effect on the image of the Centre, makes the other branches of the Centre invisible and causes the Aboriginal population to feel that it too cannot address the Centre." For me, it's a problem because Unia has to talk to everyone. I share Mr Flahaux' concern. A large part of the population has lost confidence in Unia and that is truly regrettable. Following the incident, I met with representatives of the Jewish community. In addition to this very specific dossier, they have provided me with other examples of cases of anti-Semitism that have not been adequately responded to by Unia. All of this raises questions. As a point of contact for the fight against discrimination, Unia must be accessible to all groups and therefore also to Jews. As I have already said, if the Jewish victims of anti-Semitism in this country feel that Unia is of no use, then we are facing a problem. In the short term, I will meet with the co-directors of Unia. I will explain to them the various concerns on this subject and in particular on this point. It was Unia herself who commissioned the study that served as the basis for me when I argued that this institution had a perception problem. I see that it is open to criticism. As Secretary of State in charge of this matter, I have the task of criticising myself and considering anyone who feels discriminated against. It's very important to me. The fight against discrimination is a very important fight. For these reasons, I believe that we should take part in the reflection on how we can address the problem of Unia's perception. I would like to stress that it is not a criticism of the criticism, but rather a constructive criticism. I therefore believe that healthy criticism between adults does not necessarily have to negatively influence this working relationship. I am sure that, by 2019, I will have had the opportunity to receive critical remarks from them about my policy, and that will not prevent me from working constructively with them. I want to open the debate because it is very important, and to hold it with all the relevant actors in this field, particularly with Unia, as I have just said. I will soon meet again this week with co-directors Patrick Charlier and Els Keytsman. If I come here to present my policy paper, it is appropriate to have the discussion here, because many Members think this is an important issue. Madam President, in June, Unia will present the new annual report. Perhaps that is an opportunity to invite Unia here to present that annual report to us. The federal government pays €6 million to Unia. My budget for the fight against poverty is 3 million!
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u11	Unia has already been invited to this commission. We expect to meet with them on a regular basis to assess with them their missions and the problems they raise.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u12	The answer really satisfies me. It would have been a shame if the Secretary of State and Unia looked at each other in faience dogs. Especially since you're allochtonic yourself. At the Advisory Committee on Social Emancipation of which you were a member and of which Ms Gerkens and I are a member, you yourself put on the table the issue of work and allochtonic women. It is also a subject very much related to the Unia problem. So I can only welcome the frank discussions that are taking place between you and Unia. If this can help to ensure that Unia is equally open to all discrimination - I have recalled a few about gays and transsexuals - it is extremely positive. As the socialists sometimes say, "from the past let's sit down." That will be my conclusion.
ParlaMint-BE_2017-03-29-54-commissie-ic633x.u13	As I understand it, you will have the opportunity to meet with Mr. Charlier and Ms. Keytsman before coming to present your policy brief. So you can integrate it into your presentation for the next two years. I insist that a common working method be found. It is important to recognize the courage that some administrations or organizations sometimes have in asking for studies to assess their work or how it is perceived - which is another reality - in order to improve their services. There is a risk of a situation in which the person who carries out assessment work becomes vulnerable and is punished. It's always like this; you never do anything perfectly. This goes against the interest of the approach. This discussion will continue on April 19, the day your memo is presented.
