ParlaMint-BE_2017-02-01-54-commissie-ic581x.u1	Mr Secretary of State, ladies and gentlemen, welcome to our committee.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u2	Mr President, Mr Secretary of State, in November 2015, I asked your predecessor Mr. Bart Tommelein a question about the commercial use of identity cards. Indeed, some businesses, such as Media Markt, use identity card readers to allow customers to access all their purchases to keep all guarantee tickets online. You are aware that the data contained on an identity card is protected, in particular by the law on the protection of privacy with regard to the processing of personal data. It requires that "personal data must be processed fairly and lawfully for specified, explicit and legitimate purposes". The case-law in this regard is, moreover, very strict. Thus, on 9 May 2012, the 9th Chamber of the Brussels Court of Appeal sentenced a computer company that had developed a service to use electronic identity cards as a loyalty card for commercial purposes. In his response, at the time, your predecessor referred to an ongoing investigation into the Privacy Commission. A person may be asked to present his or her identity card by a private company only when his or her identification is necessary for the performance of a contractual relationship, customer service or where a legal statement so provides. In this case, only data strictly relevant to the processing carried out by the controller may be collected, pursuant to section 4 of the Privacy Act. Mr Secretary of State, what about this investigation? What are the results? What actions can result from this? Are we in a position today to know what data are being collected by businesses? How? How are they used? Does this approach pose a risk to personal data and, in general, to the protection of consumers' privacy? More and more businesses are using this method, which turns an identity document into a loyalty card. Have they been informed of the vagueness of the legislation concerning this practice?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u3	Madam, at the reception of your question in June 2016, we contacted the Privacy Commission, which had already opened an investigation into this matter in the last few months. At this stage, the investigation is not yet closed. The Commission has met with the various actors very recently and clearly, it is still waiting for some elements of response from the controllers. As far as the legislative framework is concerned, I would point out that each controller who performs such an electronic reading of the identity card is already obliged to proactively communicate certain information to the data subject, such as the identity, address of the controller and also the purpose for which the data are collected. On the other hand, the data subject shall, in any case and at any time, have the possibility to ask the controller whether he is processing the data concerning him and the nature of the data, the use to be made of it and the source thereof. There is a responsibility on both sides. As a follow-up to your question, I would like to point out that the royal decrees required by the Law of 19 July 1991 on identity cards to regulate the automated control of identity cards and their use have not yet been adopted. My colleague Jan Jambon has to take them. I suggest that you contact him when the Privacy Commission issues the findings of his investigation. In this case, I can inform you that the use of the ID card for the purpose of storing guarantee tickets is not mandatory. The customer can refuse and benefit from the guarantee. On the other hand, unlike the Brussels Court of Appeal case you are quoting, there is no reference to the use of the identification number in the national register. Again, we are discussing with Mr. Jambon the possibilities of better framing the use of this issue.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u4	Secretary of State, do you have a guideline for the conclusions of the working group? Can you give me a timing? I'm sure I'll come back to interview you.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u5	Mrs Ben Hamou, we have contacted the Privacy Commission very recently. The investigation has been under way for a few months.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u6	It's been two years!
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u7	You also know that the Commission is an independent organisation. So she's going to work calmly, but I'm going to ask her to conclude this investigation as soon as possible.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u8	I will not fail to also question the Minister of Security, Mr Jambon, and to come back and ask you further questions.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u9	Mr Secretary of State, therefore, the question of a possible illegality of the minutes for speeding up in case of immediate and physical non-verbalisation of the offenders is settled: nothing illegal. There's nothing illegal about future acts. But for those punished in the past and affected by the initial question, what about it? You announced that this would be a matter of the judge's decision. How are you going to remove the issue of inadmissibility following the illegality of the contravention on the grounds of illegality? Are offenders obliged to pay their fines or are they still entitled to challenge the penalty? Are we sure that past offences will be punished? I would like to remind you that every day there are some 9,300 fines for speeding. The failure to collect these fines represents both a financial loss of EUR 100 million which will be lacking in the fight against road crime. Your services have studied the decisions of the Court of Cassation mentioned. What have they inferred about the possible nullity of the fines claimed before you brought the proceedings into line? Mr Secretary of State, a recast of the repressive arsenal of road offences is under way. In your projects, how are you going to ensure that any risk of legal insecurity that might hinder the work of the police is now carefully and preventively controlled and neutralized? Furthermore, Mr Secretary of State, what position does the Commission take for the protection of privacy for the many Belgian drivers, 420,000 in France alone, flashed for speeding in other European countries with which there are agreements for the transmission of minutes of traffic offences? Similarly, how does it view the contraventions concerning non-Belgian drivers who violate the legislation on speed limits in our country? Does it also object to respect for privacy in order to prohibit the police from consulting the databases of the countries of origin of the offenders? Does it also object to the privacy infringement argument in order to close the files in question without further action? Have you settled this issue in the cross-border project developed at European level? Finally, how did you act to clarify and operationalize legislation on radar speed controls not accompanied by physical verbalization? You had announced that you would want to appoint one person per department for the management of data banks, as well as more stringent control by the Privacy Commission. What past dysfunctions have caused you to act in this direction? Have they been the reason for the Privacy Commission's prior agreement requirement? Thank you.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u10	You know, of course, that the judgments of the Court of Cassation have given rise to a certain legal uncertainty, because it was apparently impossible at that time for the police services to have access to personal data coming from other public administrations, in particular the Crossroads Bank of vehicles. As soon as I became aware of these judgments, I contacted my colleagues from the Interior and Mobility and the Privacy Commission in order to reach solutions quickly. In this context, we have developed a two-pronged strategy: on the one hand, obtaining immediate authorisation from the Sectoral Committee for the Federal Authority - this is what the Commission on the Protection of Privacy did within a few weeks - and on the other hand, an amendment to the Law on the Protection of Privacy, in particular Article 36a on the Sectoral Committee, clearly explaining that police services are not subject to the approval of that Committee. It has always been the intention of the legislator to ensure that police services and others do not necessarily pass through an authorisation. Since the KB leaves room for interpretation, I will present a new draft law to the Council of Ministers on this matter. I believe that this incident makes it clear that the system of authorisations we have today is not working properly and does not protect us sufficiently. It allows the exchange of information for which there is no authorisation and for which there is no clarity. That is at the heart of the simplification of the exchange of information between public authorities that I wish to carry out myself. In a second phase, this will also cover a new framework law that I want to introduce to modernise privacy legislation. This is a first step. The legal basis for data exchange already exists for police and IVD services. But under our current system, this is not enough, because there is a need for formal additional authorisation. In fact, an authorization is a compliance review that confirms the legal conditions for the exchange of data. But I wonder what the value is when there is no posterior control. Thirdly, the authorities that do things right have an additional compliance examination, whereas authorities that do not apply for authorisation must not fear control and therefore pass between the meshes of the net. There is a control problem with the system as it exists. My conclusion is very clear. I think we need to modernise this system and make it more consistent with the GDPR (General Data Protection Regulation), the European rules decided a few months ago. This means, among other things, that: We must clearly refine the legal framework with the criteria for data exchange. We can reduce the administrative burden by organising the system differently. The appointment of a data protection officer within the service that follows and controls the databases places the responsibility where it should lie. These people must ensure that everything is done in accordance with European and Belgian legislation. The Privacy Commission can then make a very strong commitment in the field of audits and controls to see whether everything is effectively consistent with the rules and not just at that one moment in time, when one can exercise no or too little control afterwards. I have provided a table prepared by the Privacy Commission. It details the various authorizations that have been granted to the IVD databases. I am not going to go through this list now, but I am going to ask that it be made available to the chairman of the committee.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u11	Mr Secretary of State, thank you for your answer and for your perfect bilingualism - normal from the possible future mayor of Antwerp. On the other hand, I imagine that your project is part of the reform of the Privacy Commission, which we have already mentioned. In any case, I am satisfied with your answer.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u12	I apologize for my lateness, Mr Secretary of State, but I was still on another committee. However, I have heard most of your reply. There was a commotion about the police clearance. It was very soon about the fact that the police authorities were given that authorisation again, which makes it possible to ask whether that system is working properly, if it is so easy to obtain that authorisation from the committee. It's a good thing you'll reconsider that. I just heard that announcement. It brings with it a great deal of red tape. Let's see if there are any more effective methods of protecting personal data than through the general authorisation system. I look forward to the follow-up and work that you and your cabinet will do for a more transparent, better and, above all, less cumbersome administrative process of protection. Thank you for your answer.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u13	Mr President, Mr Secretary of State, in 2016, we were already exchanging about press publishers, but not only, who are blocking access to their website for Internet users using advertising blockers on their browsers. A controversy arose at that time, as the Commission rightly believed that the scripts inserted by publishers in their web pages to detect blockers of advertisements must comply with the Privacy and Electronic Communications Directive and in particular Article 5.3 thereof. Thus, publishers must notify the Internet user when they attempt to access information about the user's terminal. In answer to my question, you said: "I share this view of the European Commission: the person has the right to be informed of all software which accesses the information contained on his computer." On 10 January, the European Executive presented a new proposal for a regulation on privacy and electronic communications to replace the current legislative framework. The proposed regulation will allow users to install ad blocker software on their device, but believes that "be aware that the online content available free of charge is often funded by advertising revenues. The proposed regulation therefore allows website providers to check whether the end-user device can display their content, including advertisements, without obtaining the consent of the user. If a website provider finds that not all content can be displayed by the end user, it is up to the end user to respond appropriately, e.g. by asking the end user whether he or she uses an ad blocker and whether he or she would agree to disable it when visiting the relevant website." Mr Secretary of State, this upcoming legislative change will entail a significant paradigm shift in the way the European authorities will consider privacy protection. Indeed, we would move away from the principle of privacy by design, which is dear to both of us. What position will you defend in the Council with regard to this worrying legislative development in the framework of the trialogue which opens until 25 May 2018? What measures are you planning to take at the federal level to discourage Belgian publishers of news sites from installing these devices to detect the presence of advertising blockers on Belgian netizens' devices – whether on computers or phones, things having changed?
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u14	Mr Hellings, thank you for your question. Indeed, the European Commission has proposed to revise the e-privacy directive. This proposal will take the form of a GDPR (General Data Protection Regulation). The situation is somewhat strange, but we are at the same time very careful that the two texts remain compatible. The Commission has also carried out an in-depth analysis. As you said, negotiations within the Council of the European Union are beginning. Telecommunications is the responsibility of my colleague Alexander De Croo. Having said that, I am very attentive to any developments in this matter, since – as you have indicated – it affects the protection of privacy. Moreover, as I have already said, consistency must be maintained with the GDPR. For me, it's crucial. It is not a question of going in several directions and proposing different interpretations. Otherwise, the situation would be made more difficult. I hope that we can at least maintain the compatibility of these two projects. With regard to your question about advertising blockers, Articles 6, 7, 8 and 9 of the European Commission's e-privacy proposal lay down the rules for the protection of communications and information contained in the user's device. However, I must also point out that the latter's equipment and content are considered to be within its private sphere, which is protected by the Charter of Fundamental Rights of the European Union and the Convention for the Protection of Human Rights. So we already have legal tools to protect this type of data. Therefore, any interference with privacy can only take place with the consent of the end user and in certain well-defined situations. The concept of consent refers to the one used in the GDPR, which demonstrates increased protection. However, we are at the beginning of the negotiations. There is a need for careful reflection and consistency, which means that these data are protected. We will have to pay close attention to the exceptions proposed by the other Member States or by the European Parliament, not only on specific points but also on the whole project that is being discussed in the Council of the European Union. I therefore remain attentive to the progress of this proposal from the European Commission. I also stand in line with what I said in June: these are essential data that must be protected.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u15	Mr Secretary of State, thank you for your answers. We will be very attentive and we will support you in the continuation of the positioning that you have stated here. I urge you to do the same with Minister De Croo, who is going to negotiate. The principle of privacy by design is really fundamental. Today, computer science is everywhere. We're both talking with computer devices. It is very important, as with the cookie policy, which has profoundly changed the use of the Internet, that content providers obtain the consent of the reader before any aspect of its own material is changed by the publisher in question. That is a fundamental point of view. It is necessary to inform the consumer who can no longer do without the technological means. It is very important that this Commission proposal can be radically modified during the trialogue. We trust you to defend this view on behalf of Belgium in the future.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u16	Questions Nos 15831, 16263 and 16264 by Mrs Fabienne Winckel are transformed into written questions.
ParlaMint-BE_2017-02-01-54-commissie-ic581x.u17	Mr President, Minister, we have learned that the public bpost company will soon be responsible for sending fines to foreign drivers who have committed an offence on Belgian territory. By entrusting the dispatch of these orders to bpost, the government's objective is to allow police officers and prosecutors to focus more on their main tasks and not on administrative formalities. In order to fully fulfil its mission, bpost will therefore set up a website to enable offenders to make payments from abroad. Minister, can you tell us when the website will be posted? How will bpost monitor offender payments?
