ParlaMint-BE_2017-02-14-54-commissie-ic593x.u1	Question No 15981 is erroneously placed on the Committee's agenda. It is addressed to Mr Borsus.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u2	ENGIE Electrabel announced, at the end of the extraordinary works council on 20 January, that it would want to make drastic savings. Electrabel confirms a savings plan of 430 million in Benelux by 2018. There are 275 job closures at Electrabel in Belgium. Did Electrabel inform you of this plan? I come out of what I wrote because since then, it has been known that, in fact, all this is known but that you would have requested a postponement of the review of this plan after the final vote on the extension of the nuclear power plants. Can you confirm these elements or not? Did you know about this? When were you informed? What are the rationales and objectives of this plan? What is the precise content? What positions are targeted? What guarantees do you have that safety and security are already failing – should I recall the letters from the AFCN and the multiple incidents? – are not negatively impacted? What guarantees do you have that cybersecurity is already failing (cf. the many problems already demonstrated recently including by the press) are not negatively affected by a reduction in IT costs which is explicitly addressed in the measures of the plan? More broadly, what link can or should be made between this decision and the Bianca project that we have already talked about?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u3	Mr President, Mr Nollet, this is the information that Electrabel has given me. Electrabel SA announced, after an extraordinary business council on 20 January 2016, that it would implement a savings plan. Electrabel confirms a €430 million savings plan in Benelux by 2018. There were 275 job closures in Belgium at Electrabel and this is a voluntary departure plan. The federal government has been informed of this cost reduction plan. The company recalled the difficult market context in which this plan was developed and its determination to transform the Benelux business unit in an accelerated manner. I was told that this transformation project is quite consistent with the overall strategy of the ENGIE Group, which aims to be a key player in the energy transition in Europe as elsewhere. I was also informed that this plan and the underlying strategic objectives were discussed with staff representatives. I have noted that only 15 per cent of the cost reduction relates to the reduction of staff costs. I have learned that voluntary departure forms are open primarily to staff of the Marketing and Sales gas and electricity division as well as support staff. As far as sales activities are concerned, we know that competition in the Belgian market is very intense and that consumer mobility is very high. Our gas and electricity market has become very competitive and the impact of digitalisation is strongly felt as in other sectors, such as banking or insurance, cf. recent restructuring in these areas. Market conditions and technological developments have a significant impact on the energy sector, where, in a process of accelerated change, some jobs disappear and others are created. The restructuring under way is entirely at the expense of Electrabel. Major efforts are being made, in consultation with trade union representatives, to train workers in the trades of the future. It was also confirmed to me, as it was taken up in the press and repeated by Mrs Kocher in parliament on 24 January 2017, that the cost reductions do not concern nuclear activities in Doel and Tihange. This economic plan will therefore have no impact on nuclear safety or security. At the hearing of the Nuclear Safety Committee on 22 November 2016, it was clarified that cybersecurity for nuclear power plants was not a problem. In addition, Electrabel assured me that cost-cutting efforts would have no impact on nuclear safety in the broad sense. The performance plan also affects the entire ENGIE group in the world, not just Belgium. I note that Mrs Kocher replied on 24 January 2017 on the subject of Bianca that she was open to strengthening the local anchoring of her Belgian subsidiaries by opening up the capital to local investors.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u4	Minister, as we know, the nuclear sector is not doing well financially. We see it with EDF and Toshiba. Prospects are down in terms of stock exchanges and investments. ENGIE is affected by this, as it remains under nuclear pressure in our country. It's not for nothing that the Bianca plan was solicited. You relayed Mrs. Kocher's remarks, but you didn't say what you thought. But that is what matters. I was talking to you, not Mrs. Kocher. Indeed, I had noted his statements well. Similarly, you do not tell me when you have been informed of the restructuring plan. You're just saying, "The government has been informed." I was referring to an article that stated that you had been warned before and that you had asked to post the release of the information, because you first wanted to vote for your extension of Doel 1 and 2 power plants. You don't say a word about the moment you were informed. Then you repeat Ms. Kocher's remarks, saying that there are no cybersecurity issues. I believe that he has not been given the report of the sub-committee hearings or the press reports on various problems in this regard. You make sure that there will be no deletion of security-related positions – particularly in the computer field. I will, of course, monitor the progress of the case. In any case, I can't pretend that there was no cybersecurity problem. Otherwise, we wouldn't be talking about it. I therefore expect additional information from you on the date you were informed and on the Bianca plan.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u5	Mr President, honourable Member, I have been informed verbally. I can't tell you exactly when. It was at the end of the year, in December, or already at the beginning of January. To answer your question, in reality, the extension of Doel 1 and Doel 2 was already accomplished since beautiful lurette. That said, who am I to block an international company and ask it – excuse me for a little – to do what it wants to do when I decide? If you are linking this question to the extension, know, in any case, that the extension was done for a very long time since it was completed since June 2015. What I think should be your focus, if it is your focus too, is the company and its human resources capabilities. Having raised my concern, I have asked questions that you also seem to be asking yourself. For example, I asked whether these departures would make the company's skilled workforce more difficult. I was told that no and that only the business unit located in Brussels would be the subject of a voluntary departure plan negotiated with the trade unions, which is itself part of a more comprehensive plan which has already given rise to other waves of departures and which is only in its umpteenth phase. If I remember correctly, that's what came out of the interview I had. I said: "As long as you have negotiated all this with the unions, as long as you are going to step up the training of staff towards what you want in the context of the energy transition – since this is all about the new technologies that are very much needed in this context – and there is no problem with the operation of your nuclear fleet, I obviously have no problem." I was very well warned well in advance – be reassured – and, frankly, quite far in the time of the actual completion of the extension of Doel 1 and Doel 2. As for the Bianca plan, you saw that Mrs. Kocher was very careful. She said that there must first be an interest in the local territory. This interest has not been expressed in any way. That means there's nothing. That's exactly what it means. There is nothing to say, in its head, "the Belgian State wants this or that" or "the market allows this or that". On the other hand, I still care about the situation. I therefore requested an interview with Mrs Kocher which has not yet taken place. We'll set an appointment. I'll see you. I tried to see her when she came for the Nuclear Safety Committee, but her schedule did not allow her. She's been busy. You've, in part, been busy, too. So I said that I would wait for a next time before setting a date where we can still have an exchange of at least one hour, what she sees and what I can answer her. For now, I can't think of anything more because I don't have accurate information.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u6	Thank you, Minister, for this additional information. Mr Nollet, I give you the floor for a second reply.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u7	Minister, I understand that you are waiting for this meeting and that, therefore, you cannot say much at the moment on this aspect.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u8	On this first question, I observe that the preliminary drafts are brief but that the exchanges are long.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u9	Madam Minister, in the third week of January, and also in the subsequent period, there was a cold wave in our country, as in France and in the neighbouring countries. Free days during the winter months are traditionally a challenge for achieving the necessary capacity, especially for the consumption peak between 17 hours and 20 hours. For this, you have extended a number of reactors in life together with the coalition partners. At the top of the peak was the temporary unavailability of Objective 4 due to an accident at work. Elia first announced that there were no problems in the power supply, but the strategic reserves needed to be addressed, at least according to reports in the media. There was also a threat of scarcity in France. At that time, a number of reactors were shut down, which meant that imports from France were not evident. I have the following questions about that period. Can you give us an overview of the charted consumption peak in the third week of January 2017? How was the necessary capacity foreseen? How much power had to be imported in that week? In what way and from which countries was the import organised? Which reactors were unavailable at the time? Was it necessary to address the strategic reserves? I submitted this question a few weeks ago. I had also asked if you would expect any problems in the coming weeks, but in the meantime it has become a lot happier and springier again. Therefore, there will probably no longer be any problems in the coming weeks, but would the exit plan have been up to date if the opening period of Objective 1 and Objective 2 had not been extended by this government? How do you explain that there are sufficient strategic reserves for the winter period 2016-2017, but that you will still increase 150 megawatts for the next winter period?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u10	Mr President, ladies and gentlemen, I can answer your first question as follows. On the website of Elia you can get the daily and weekly charts with the total load via the link www.elia.be. On the basis of the calendar, you can at any time look up the data for the previous 365 days by setting the reference date. The complete overview of the total tax for the period from 15 to 20 January 2017 can also be consulted via this link. At my employee, present here, you can find an overview of the highest measured and scaled consumption peaks of the third week of 2017, as well as the estimate of consumption peaks at that time. The highest peaks of consumption, except on 20 January, were measured during the evening between 5 p.m. and 8 p.m. The answer to your second question is the same. You can consult the daily and weekly import charts on Elia's website via the same link. On the basis of the calendar, you can at any time look up the data for the previous 365 days by setting the reference date. To your third question I can answer that in Belgium all nuclear power stations, except Tihange 1, were available. Then I come to your fourth question. An activation of the strategic reserves has not been necessary in the past week. Then I come to your fifth question. As of Friday, 20 January, the situation is likely to be tense again. Elia, however, remains vigilant and will keep me informed of the situation. It is clear that the evolution of the nuclear fleet in France and the level of imports that we will be able to benefit from, in particular in the case of low temperatures, combined with a small volume of renewable energy, are crucial points. There are still important elements that need to be taken into account to ensure our security of supply. For your next question, the risk of activation of the discharge plan would obviously have been higher without Doel 1 and Doel 2 – I have already had the opportunity to say so several times – and this, especially since the volume of our imports was, at times, limited. The estimate of 900 megawatts was made on the basis of probabilistic calculations. Remember that the closure of an additional gas plant, especially Drogenbos, was announced for the next winter. The gas plants in Seraing and Vilvoorde, accounting for 750 megawatts, were contracted for three winters. This winter, that contract is coming to an end. In November 2016, Elia identified no need for strategic reserves for the winter from 2016 to 2017 in a situation where the entire Belgian nuclear park is functioning again, as is the case with the extension of Objective 1 and Objective 2 and the restart of Objective 3 and Tihange 2. I come to the basic scenario based on the normal availability of the French nuclear park. At the time of the analysis, no unavailability was known. They weren't established until the end of the summer. For the winter 2017-2018, in a scenario in which a nuclear power plant in Belgium and nine nuclear plants in France are absent throughout the winter, a need of 900 megawatts was calculated to meet the legal criteria. This scenario was used because no additional information was available on 15 January 2017 on whether or not the Belgian and French nuclear park is fully available for the winter 2017-2018. At the same time, our essential exports to ensure security of supply may at times be very limited. Tensions on the electricity market in November 2016 clearly demonstrated the need for a strategic reserve. On the basis of these elements, I instructed Elia to set up a reserve of 900 megawatts, taking into account the role played by the strategic reserves to ensure Belgian supplies.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u11	Madam Minister, in the meantime, your colleague has been so proactive in e-mailing me all the necessary information, for which I am grateful. I note that, despite the cold period and the difficulties in the French nuclear park, Belgium has never experienced any difficulties on the network. I think we should make an assessment at the end of the winter. You would be well advised to have a good plan for the strategic reserves available for next year. I note that you are actively working on this!
