ParlaMint-BE_2017-06-15-54-plenair-ip173x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u2	Mr President, I am speaking on the organisation of topical issues. Today, obviously, disorganization prevails. Two members of my group wanted to be able to ask questions to ministers and their requests were not met. My colleague Gilles Vanden Burre, knowing that Minister Peeters was absent, asked to be able to interview Minister Borsus with a specific angle regarding SMEs. You are proposing that the question be put to Minister Geens. Unless there has been a change of jurisdiction within the government, it seems to me that Minister Geens is not yet, at all, in charge of SMEs. Of course, this is a problem that affects other ministers, but the angle of attack taken by my colleague is specifically that of SMEs. We therefore ask that this question be put to Minister Borsus. Mr. Reynders is not present. But we learn this this morning at 10:15 a.m. when yesterday, in the Conference of Presidents, it was announced. My colleague Wouter De Vriendt agrees to reorient his question, but by keeping the same angle, this time addressing it to Minister De Croo, who is present. We therefore hope that he will be able to respond. He's opining. So it's fine.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u3	Mr Nollet, in fact, and I apologize if my answer is wrong, I understood that there was a question from Mr Vanden Burre to Minister Geens. So I have to look at my oral question sheet. In the Conference of Presidents, it was known that Minister Peeters was on his way from Luxembourg but that he would not arrive in time. From there, the decision...
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u4	What about Minister Borsus?
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u5	Just a minute.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u6	In your table, on the page concerning Minister Geens, it says: "Mr. Vanden Burre, question addressed to Minister Borsus."
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u7	I turn to the government... Is Minister Borsus here? Is he in the country?
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u8	Perhaps we can find out while the first questions are being asked.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u9	I need to look at this. With respect to the question to Minister Reynders, I recognize a small miscommunication. As you said, yesterday we thought Minister Reynders would be here. But this morning it appeared that he was in New York, far from here. It's a miscommunication. I do not want to surprise Minister De Croo, but if he is willing to answer the question, I agree. Mr De Croo, will you answer? (The Minister shakes his head in the negative) Then I suggest we stick to the scenario that was agreed. [[Objection]] I understand that, too. Anyway, I didn't know anything. It's a very difficult issue.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u10	Mr President, we have indeed complied with the list of absent ministers which we have received. We have tabled a question on the prohibition of nuclear weapons. Both the Minister of Foreign Affairs and the Minister of Defence are responsible for this. We have addressed our question to Minister Vandeput. I am surprised to note that the question was assigned to Minister Bacquelaine. I would nevertheless like Mr Vandeput to come and answer the question.
ParlaMint-BE_2017-06-15-54-plenair-ip173x.u11	We have communicated on this in advance, Mrs Kitir. I told you what I was told, in particular that in the matter in question, this depends on government to government, at the time of the division of powers at the beginning, Minister Vandeput was absolutely prepared to come here but is not competent from any side. That is a matter for Mr Reynders. The replacement of Mr Reynders, Mr Bacqelaine, will therefore reply.
