ParlaMint-BE_2017-05-10-54-commissie-ic661x.u1	Minister, welcome to our committee.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u2	Minister, the coalition agreement states that there will be a clear legal framework for the patrimonial rights and obligations of legal and factual cohabitants. This has also been announced in several policy papers in recent years. I would simply like to ask you today what the concrete impact of this announced reform will be, and what the current state of affairs is.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u3	Mrs Lahaye-Battheu, a working group has been set up in this area. That working group decided to deal first with the reform of inheritance law, then with matrimonial property law, and then with cohabitation property law. The reform of inheritance law was submitted to the Chamber by legislative proposal at the end of 2016 and will be dealt with in the Chambers Committee for Justice as of next week or the week after. Discussions on the reform of matrimonial property law are almost complete. Afterwards, discussions will be held on the reform of the legal and factual cohabitation. The intention is to submit concrete texts to the Chamber on the reform of cohabitation property law in the autumn of 2017. Although the reform of cohabitation property law is the last part of the working party's work, the issue of property law for legal and factual cohabitation has already been raised in several meetings of the working group. A possible policy rush that often comes back is the limitation of legal cohabitation to affective relationships, provided that a transitional arrangement is in place. It also examines whether and to what extent a more extensive protection should be registered in the law for both legal and factual cohabitation. These policy quests are also explained in my second judicial plan "The jump to law for tomorrow, border number 115."
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u4	Thank you, Minister, for this state of affairs. I look forward to the debate at the end of this year.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u5	Mr President, Minister, at the end of 2016, I asked you a question about the employment of detainees. That question was part of a visit by a number of MEPs to the prison in Ittre. That visit was focused on the theme of the recidivism. During the visit we were told by the detainees that a lack of own resources in the release often increases the risk of a recurrence. You replied to my question that you would allow the administration to analyse the desirability and feasibility of taking an initiative with regard to the management of inmates' funds. Is that analysis done by now? If so, what are the results?
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u6	Mr President, Mrs Lahaye-Battheu, the penitentiary administration has indeed carried out an analysis of the desirability and feasibility of a savings scheme. It is clear from this that in the past, on the basis of Article 30b of the Code of Criminal Procedure, there was a system whereby convicted persons for whom the work was compulsory deposited money in a reserve fund. The implementing decision subsequently stipulated that six tenths of the proceeds of prison work were paid into a reserve fund. Half of those six tenths were made available to the prisoner at his release, the other half could be spent freely. With the introduction of the basic law of 12 January 2005, this legal basis was deleted. The 2005 law was based, among other things, on the principles of accountability and standardisation. An earlier patriarchal obligation to save was therefore no longer consistent with the letter and spirit of the law. The European minimum rules on prisons also clearly state in recommendations 26.1 and 26.12 that it is the free choice of the prisoner to work. Other arguments for deciding that a saving obligation is not appropriate are the limited employment opportunities which could only be achieved by some of the detainees, as well as the low level of remuneration for prison employment which accounts for at least a substantial part of the total amount of expenditure incurred by the detainees in order to alleviate prison life, including the financing of needs related to, inter alia, their physical and environmental hygiene. Of course, it remains an added value to provide savings for prisoners in order to release them. I therefore agree with the administration's proposal to focus on responding to the detainees in the context of the detention plan and the reclassification plan, as well as the provision of savings formulas, training in budget management, etc., which can be part of detention and parole planning.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u7	Mr President, Minister, during the Wake-up ATV programme on Sunday, Flemish Minister Liesbeth Homans said he did not want to recognise mosques for the time being. She says she's not getting enough information from the federal government about the operation of the prayer houses. "I don't want to acknowledge it if I don't have enough information. I don't compromise when it comes to safety," she said. What information have you already forwarded to the Flemish Minister for the Interior in the various recognition files? Do you think the federal government did what she had to do with it? What else will you do to get out of this impasse?
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u8	The cooperation agreement of 2 July 2008 on the recognition of worship services does not specify the opinion to be delivered by the Minister of Justice on a proposal from his service on the recognition of local communities of faith. In practice, that service obtains relevant information from the Security of the State and requests a budget agreement. On 23 December 2016, in compliance with this cooperation agreement, I delivered positive advice to Minister Homans on the recognition of twenty Islamic faith communities. On 17 January 2017, I informed Minister Homans in a letter that the Security of the State was always prepared to present Minister Homans' dossier to the investigations carried out on a case-by-file basis. Such a meeting between the Homans Cabinet and the Security of the State took place on 7 February, after the Security of the State had previously sat together with the Homans Cabinet on the recognition of mosques at the end of December 2016. Next, on 13 February 2017, I delivered the State Security Files on each of the twenty mosques to Minister Homans. Finally, a third meeting between the Security of the State and the Homans cabinet was scheduled on 19 April, this time also in the presence of my cabinet. The Homans cabinet cancelled that meeting at the last minute. On 2 May, in a letter to Minister Homans, I called for the planned but cancelled meeting with the State's Security to continue in the near future to discuss the twenty mosques again. In response to that letter, there was a contact between the two policy cells and a new consultation date was set.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u9	I thank the Minister for his reply. We'll see what comes out of that meeting.
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u10	Mr President, Minister, I would like to ask you about the functioning of the geolocation system in prisons. Each guard, in some prisons, holds this system, which, when he presses a button, allows his colleagues to locate him and help him if necessary inside the prison. However, this system appears to be experiencing defections within Ittre Prison. A first incident occurred in early April and a new incident occurred on 27 April, when a guard was caught by several detainees. When the guard wanted to warn his colleagues by pressing the button of his eBox, it would appear that the system did not work. Minister, can you give me a debriefing of the last incident at the prison on April 27th? Can you give me more details on the source of the problem? Are regular tests carried out in each prison to ensure that the system is 100% operational throughout the prison? Have there been problems similar to those observed in prison in other prisons? Has training on the use of this eBox been planned or is it planned for the various custodians?
ParlaMint-BE_2017-05-10-54-commissie-ic661x.u11	Mr President, Mr Crusnière, according to the information provided by my services, the incident in Ittre would be linked to an error in handling the tool. This incident would therefore not undermine the reliability of the system, which appears to be an improvement in communication within prisons. Regular tests are planned. Generally, when a malfunction is reported, the firm that installed the tool is contacted to resolve the problem. The fact that problems arise should not be denied, but they are solved as and when they occur. It is true that problems have been observed elsewhere, but I repeat that these technical problems are difficult to avoid with computer equipment. Every effort is made to resolve them as quickly as possible when they appear.
