Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U1	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U2	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	d_boroditš_19791101	Boroditš, Deniss	M	1979	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U3	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U4	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U5	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U6	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U7	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_must_19510325	Must, Aadu	M	1951	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U8	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U9	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	a_must_19510325	Must, Aadu	M	1951	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U10	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2012-02-09	ParlaMint-EE_2012-02-09_U11	XII Parliament term, III Session, Plenary Assembly regular meeting on Thursday, 09.02.2012, 10:00	2012-02-09	Unicameralism	XII Riigikogu	III regular session	-	2012-02-09	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	s_mikser_19731108	Mikser, Sven	M	1973	
