Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8789	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	KajtaziVeljko	Kajtazi, Veljko	M	1960	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8790	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpremBoris	Šprem, Boris	M	1956	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8791	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8792	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpremBoris	Šprem, Boris	M	1956	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8793	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	HajdukovićDomagoj	Hajduković, Domagoj	M	1981	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8794	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpremBoris	Šprem, Boris	M	1956	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8795	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	HNS	Hrvatska narodna stranka	Coalition	Centre to centre-left	BeusRichemberghGoran	Beus Richembergh, Goran	M	1965	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8796	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpremBoris	Šprem, Boris	M	1956	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8797	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	KosorJadranka	Kosor, Jadranka	F	1953	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8798	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpremBoris	Šprem, Boris	M	1956	
ParlaMint-HR-en_2012-05-25-0	ParlaMint-HR_2012-05-25-0.u8799	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 4	2012-05-25	Unicameralism	7. mandat	-	Zasedanje 4	2012-07-12	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	ŠpoljarDunja	Špoljar, Dunja	F	1966	
