ParlaMint-HR_2012-07-10-0.u6085	I see a hand in the air, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u6086	Your Honor, Mr. Vice President, on behalf of the National Minority Representatives Club, I'd like to request a break of 10 minutes. Namely, tomorrow is the Memorial day of the Srebrenica genocide, and I would like to say a few words about it today in the Croatian Parliament. I would also like to share in the break all of my distinguished colleagues the flower of Srebrenica as a symbol of the memory of this terrible event.
ParlaMint-HR_2012-07-10-0.u6087	Thank you very much. I'm setting a break of 10 minutes.
ParlaMint-HR_2012-07-10-0.u6088	Thank you.
ParlaMint-HR_2012-07-10-0.u6089	I'll see you at 10.55. I call on the representative of the National Minority Club, the respected representative of Nedzad Hodzic to address. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u6091	Thank you very much, Mr. Vice President of the Croatian Parliament, dear colleagues and colleagues. 17 years ago in July 1995, Srebrenica, or Srebrenica tragedy, took place. The protected zone, declared by the United Nations Security Council in April 1993 with the presence of UNPROFOR forces who arrived in the Srebrenica area immediately after the declaration of a protected zone with the task of safeguarding the safety of the population, is attended by General Mladic. General Mladic and his troops occupy a protected zone and separate men from women, mothers and husbands, daughters and sisters, separates fathers, husbands, brothers and sons. General Mladic liquidates more than 8,000 men from 12 year-old boys to 77 old people in just a few days in the most brutal way. The entire families are being repressed, the whole family is being killed, the entire nation is trying to destroy itself. There's a silver tragedy, there's a genocide going on. Instead of the dignified burial that every human being deserves, the victims are buried in unknown places in mass graves from which they are later re-excavated and transferred to the so-called so-called so-called graves. Secondary and tertiary tombs to cover every lead in the crime. Dear colleagues and colleagues, today we remember this terrible event and pay our deep respects to all the victims and condolences to their families. But the silver tragedy isn't just a tragedy of the Bosniak people to whom the victims of genocide belonged. The silver tragedy is also a tragedy of the Serb people to whom they belonged the perpetrator of the crime led General Mladic. The silver tragedy is a tragedy and all European and world nations who, despite the United Nations resolution and despite UNPROFOR forces' presence in the protected zone of Srebrenica, witnessed this terrible crime on the ground of Europe and on the threshold of the 21st century. And the tragedy of all the tragedies is the fact that Srebrenica happened and that just in the form of genocide several years earlier it was explicitly announced. The night of the 14th. On October 15, 1991, nearly 4 years before the Srebrenica tragedy in the Bosnia and Herzegovina Assembly of the mouth of Radovan Karadzic were also spoken these words, I quote: "Don't think you won't take Bosnia and Herzegovina to hell, and the Muslim people may be missing. For the Muslim people cannot defend themselves if there is war here." It's a finished quote. Thus, words have been said that if Bosnia and Herzegovina does not stay in Croatia, it will go to war hell, or the Bosniak people to disappear. So the genocide was four years before it actually happened announced. Dear colleagues and colleagues, allow me today to express my pride on the loss of genocide in Srebrenica on the eve of tomorrow's memory of July 11th as a member of the Bosniak people over whom this terrible crime was committed. Despite such threats made in the Bosnia and Herzegovina Assembly, the Bosniak people together with the Croatian people, including the large part of the Serbian people and other citizens of Bosnia and Herzegovina, opted for the independence and independence of the Republic of Bosnia and Herzegovina as the highest form of democratic decision held on 29 February and 1 March 1992 as countries of three equal nations and all its citizens. The referendum included 64.31% of voters with voting rights, 92.7% of whom voted for Bosnia and Herzegovina's independence. Unsatisfactory and referendum as the greatest achievement of democratic decision-making, especially the results of a referendum in which most citizens of Bosnia and Herzegovina opted for independence based on the 1974 Constitution of the Socialist Federal Republic of Yugoslavia. The warlords decided to put Bosnia and Herzegovina in hell. My pride is that of my distinguished colleagues and colleagues as long as, after four years of aggression in Bosnia and Herzegovina, despite the far-suffering sacrifices suffered by the Bosniak people, but with a debt of pate to all the victims. The postwar message of my people again was peace and co-existence, not hatred and revenge. Because the co-existence of different peoples, religions and cultures is a Bosnian-Herzegovic past, present and future, but also the future of all humanity. And after the silver tragedy of the messages of the silver mothers, sisters, wife and daughters because the male heads were killed and this flower of Srebrenica that you all got today in this assembly, which symbolizes in fact the beauty of life, but warns that the horror of Srebrenica is no longer repeated. Dear colleagues and colleagues, parliamentary representatives, colleagues and fellow politicians, war is nothing more than a policy extended and guided by other means. The silver tragedy was not a war that, by definition, was an organized conflict between armed people as an extension of politics with such or such goals. In Srebrenica, there was a genocide where armed people plannedly, conducting an ethnic cleansing policy, killing unarmed and tied up some other people. That is why distinguished colleagues and fellow politicians want to remind us all that war but also genocide is the result of politics, that is, the result of the work we do. We politicians around the world when we forget dialogue and reach for some other means in achieving our goals we sow death, sow sorrow, destroy and destroy, play with the lives and fates of people of other people but also our own people. We challenge and wage war on other people's children, we seek excuses for them, and when we get tired of them, we sit at the table again, we negotiate peace of mind, and without meaning in the meantime of the human victims, material destruction and all the tragedy. That is why I call upon you, dear colleagues and colleagues, today in the Croatian Parliament, to remind you that today, when we are in the Croatian Parliament of the victims of a terrible crime that took place in July 1995 in Srebrenica, Croatia, from our Parliament, we are calling for all policies and all politicians around Europe and the world to never again and anywhere after the wars. That the tragedy of Srebrenica never again, anywhere and no one ever again.
ParlaMint-HR_2012-07-10-0.u6092	Thank you very much. From this table I can say that Srebrenica is a reminder of history or a historical reminder, a cry never happened again. In a minute of silence, I'd like to offer a human pate to the victims of Srebrenica. - A minute of silence - glory to them. Dear fellow MPs, can we continue our work? According to the established agenda of this session of the Croatian Parliament, it is now up to - Proposal for a law on the enforcement of sanctions imposed on minors for criminal offences and violations, first and second reading, P.Z. No. 136. The legislator is the Government of the Republic of Croatia. You received the bill by mail. The provisions of the Rules of Procedure of the Croatian Parliament relating to first reading of the law shall apply to the adoption of this law. the provisions of Articles 144 to 150. Croatian Parliament. The debate on the proposal was conducted by the Committee on Law and the Committee on Justice. Does the proposal wish to be further explained by a representative or a representative of the applicant? Yeah. Deputy Deputy Justice Minister Sandra Artuković Kunst. Here you go. There's also one of the MPs, and we don't know the reasons, so we're gonna ask him. Dear Representative Mladen Novak, come in.
ParlaMint-HR_2012-07-10-0.u12729	Your Honor, Mr. Vice President, I'm sorry I came in a little later. Is this about the Children's Law? About minors, I'm sorry. Since the Committee on Family, Youth and Sports did not have a discussion, there is today a proposal for this law. I'm asking if this is even in line with the Rules of Procedure.
ParlaMint-HR_2012-07-10-0.u12730	The home working body is the Justice Committee. I'm sorry. We're going back to work. Your Honor, Deputy Minister of the Ministry, please.
ParlaMint-HR_2012-07-10-0.u12731	Thank you very much, Mr. President. It is proposed to adopt a law on the enforcement of sanctions imposed on minors for criminal offences and offences. It is therefore an implementing regulation in the area of criminal and legal juvenile sphere. And we propose this law for the reason that, compared to the existing 2009 Penal Code, we were obliged to comply with the new provisions of the Law on Juvenile Courts and the special Penal Code, which enters into force on 1 January 2013. It was necessary to specify certain provisions in order to make the enforcement of juvenile sanctions more effective and the need to comply with these laws. The draft proposal for this law regulates the enforcement of sanctions imposed on minors and minors in criminal proceedings, which are therefore educational measures imposed on juvenile prisons and security measures, and sanctions imposed on minors in criminal proceedings. Also educational measures are the punishment of juvenile prison and protective measures. Subsidized application of the Law on Juvenile Courts, the Law on Social Care, the Law on the Enforcement of Prisons and the Law on Prosecution, the Law on the Protection of Persons with Mental Disruptions and Other Regulations is prescribed if that Law is not otherwise specified. The competent authority for the enforcement of educational measures between the Ministry of Social Care and those in the jurisdiction of the Ministry of Justice. Thus, the ministry in charge of social care affairs will take care of specific obligations to refer to a disciplinary centre, to increased care and supervision, to increased care and to monitor the living room in a educational institution, to refer to a educational institution or to a special educational institution, while in the field of justice, there will be a reference to a juvenile prison and punishment. The jurisdiction of the call and referencing of minors to the enforcement of educational measures and the punishment of juvenile prisons as well as the appeal procedure has been extended. New specific obligations such as the availability of income, the ban on the approximation or harassment of victims prescribed by the applicable Youth Court Act are also laid down. New modes of the period of stay of minors in the disciplinary centre have also been prescribed. So it's no longer a Center for Breeding like it was an earlier term than it is now a disciplinary centre, so it's also termologically consistent. The draft law stipulates that the Centre for Social Care is obliged to designate a person, a leader who will carry out an educational measure of enhanced care and supervision carried out in accordance with an individual programme of treatment against a minor. Specificities have been prescribed on the execution of a juvenile prison sentence in respect of the accommodation of minors during execution and other persons with whom a minor may be located in the execution of that sentence. Special attention is paid to the enforcement of security measures and safeguards with the obligation to monitor their enforcement by the Centre for Social Care, because in all the procedures in which the juvenile Social Care Centre is involved is actually a participant in the process and in order to protect the interests of minors. The role of the Centre for Social Care is thus strengthened and defined, and this law is in fact harmonising the implementation part related to the sanctions of minors both with the Constitution and with laws, hence the Criminal and Law on Juvenile Courts, and in particular with the UN Conventions on the Rights of the Child. This is the first reading, so I suggest that anything that can improve this text be brought out. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12732	Thank you too, Deputy Minister. Do the Committee's working bodies want to take the floor? No, I don't. I'm opening a debate. We will discuss the clubs of representatives in the Croatian Parliament. The first club is SDP representative club and respected representative Vesna Fabiančić-Križanić. There you go, dear MPs.
