Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7656	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7657	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7658	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7659	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	-	-	-	-	ArnautDamir	Arnaut, Damir	M	1975	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7660	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7661	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	-	-	-	-	ArnautDamir	Arnaut, Damir	M	1975	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7662	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7663	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	VukojaMarin	Vukoja, Marin	U	-	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7664	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7665	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	StevandićNenad	Stevandić, Nenad	M	-	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7666	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7667	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	StevandićNenad	Stevandić, Nenad	M	-	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7668	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7669	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2020-07-15-0	ParlaMint-BA_2020-07-15-0.u7670	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 08h	2020-07-15	Unicameralism	8. mandat	-	Sjednica 08h	2021-11-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
