Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u292	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u295	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	JusufovićMunib	Jusufović, Munib	M	1948	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u296	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u297	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	JusufovićMunib	Jusufović, Munib	M	1948	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u298	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u299	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u300	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u301	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u302	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u308	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u309	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u310	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	-	-	-	-	MiletićZlatko	Miletić, Zlatko	M	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u311	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u312	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u313	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u315	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u316	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u317	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u318	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u319	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u320	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u321	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ŽivkovićGordana	Živković, Gordana	U	-	
ParlaMint-BA-en_2020-01-15-0	ParlaMint-BA_2020-01-15-0.u322	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 03h	2020-01-15	Unicameralism	8. mandat	-	Sjednica 03h	2020-01-15	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
