Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1265	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1269	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1270	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1271	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Regular	MP	notMinister	-	-	-	-	MiletićZlatko	Miletić, Zlatko	M	-	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1272	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1273	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SarajlićAsim	Sarajlić, Asim	M	1975	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1274	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1275	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1276	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1277	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	BradaraLidija	Bradara, Lidija	F	-	
ParlaMint-BA-en_2020-07-29-0	ParlaMint-BA_2020-07-29-0.u1278	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 06h	2020-07-29	Unicameralism	8. mandat	-	Sjednica 06h	2020-07-29	-	COVID	English	Chairperson	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŠpirićNikola	Špirić, Nikola	M	1956	
