Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71751	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	AntičevićMarinovićIngrid	Antičević Marinović, Ingrid	F	1957	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71752	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71753	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	TomljanovićEmil	Tomljanović, Emil	M	1963	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71754	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71755	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	IDS	Istarski demokratski sabor	Coalition	Centre to centre-left	KajinDamir	Kajin, Damir	M	1962	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71756	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71757	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	OpačićMilanka	Opačić, Milanka	F	1968	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71758	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71759	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	AntičevićMarinovićIngrid	Antičević Marinović, Ingrid	F	1957	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71760	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-07-13-0	ParlaMint-HR_2006-07-13-0.u71763	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 21	2006-07-13	Unicameralism	5. mandat	-	Zasedanje 21	2006-07-13	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	PančićIvica	Pančić, Ivica	M	1968	
