Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81560	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MajdenićNevenka	Majdenić, Nevenka	F	1958	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81561	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81562	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MajdenićNevenka	Majdenić, Nevenka	F	1958	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81563	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81564	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MajdenićNevenka	Majdenić, Nevenka	F	1958	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81565	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81566	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81567	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81568	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81569	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81570	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	RadinFurio	Radin, Furio	M	1950	
ParlaMint-HR-en_2006-12-01-0	ParlaMint-HR_2006-12-01-0.u81571	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 23	2006-12-01	Unicameralism	5. mandat	-	Zasedanje 23	2006-12-15	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	ŠeksVladimir	Šeks, Vladimir	M	1943	
