Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	MihaylovGeorgi	Mihaylov, Georgi Georgiev	M	1958	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	YankovKrasimir	Yankov, Krasimir Hristov	M	1974	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RadevValentin	Radev, Valentin Ivanov	M	1958	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RadevValentin	Radev, Valentin Ivanov	M	1958	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	YankovKrasimir	Yankov, Krasimir Hristov	M	1974	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u11	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	GlavchevDimitar	Glavchev, Dimitar Borisov	M	1963	
ParlaMint-BG-en_2017-05-12	ParlaMint-BG_2017-05-12.u12	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 1, Meeting 12 (2017-05-12)	2017-05-12	Unicameralism	Четиридесет и четвърто народно събрание	1 парламентарна сесия	12 пленарно заседание	2017-05-12	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	RadevValentin	Radev, Valentin Ivanov	M	1958	
