ParlaMint-IS_2019-04-01-87.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2019-04-01-87.u2	To answer, Prime Minister, Economic and Economic Ministers, Transport and Regional Ministers, Marine and Agriculture Ministers, and Environmental and Resource Ministers.
ParlaMint-IS_2019-04-01-87.u3	President. The government has, from what I hear, approved a synopsis and bills on a so-called third energy package in the European Union. The highest. The prime minister confirms that the case will be measured on Tuesday after a week? It's the highest. Prime Minister is convinced that those who have been represented by the government or minister on this matter will keep? It's the highest. Prime Minister Convinces That the Warnings Keep? If there was a doubt that the alarm would be the highest. Nevertheless, do the prime minister approves of this project and council decree?
ParlaMint-IS_2019-04-01-87.u4	Mr. President. Thank you. A senator's inquiry. First he asks me about the program of the council that I'm not in charge of, but I'm told by the President of the Parliament that it will be measured next week. I don't have a precise timing for it, but I can confirm that it exists. That's why it's been distributed at a council if I've heard the facts of the Senate hearing before. What is this about? Yes, it is about the induction of the third energy package by the European Union, and it has been set as a warning, as it were. In regard to the aspects of the directive involved in the linking of electrical energy systems between countries, i.e. The precaution is that while Iceland is not linked to the European Union's electronic energy system, it is not relevant to the regulations of the Regulation that deal with such connections between countries. It's even Confirming the joint declaration of the secretary of state and representatives of the European Commission. This is another way that is suggested in the opinion of Stefán, the Már of Stefánsson, a law professor who has written a great report on the subject. It is full of understanding that this third pack of energy is not relevant to this country unless the sea cables are being repaired. Similarly, unless more of the Generals decide to do so, sea cables are under attack. It's at the highest. The circuit, industrial, and innovation secretary will recommend this as well in the contributions of this matter.
ParlaMint-IS_2019-04-01-87.u5	President. We have already seen how much effort there is in the EU and especially in the case that will be considered tomorrow and in the import of food. Why should we conclude that there was some possession of the General Assembly that declared it in the council resolution that its will would not be laid as different from the arrival of the General Assembly? V.E.G. The prime minister quotes the report of Stefán, the Már of Stefánsson, and seems to have heard that he had suggested that this way be gone. Well, there's another thing. It is specifically stated in the report that this route is a problem without further consideration, since it was not the assignment he was given. On the contrary, it seems clear that if there is a situation to be faced, the matter needs to return to the joint EEA committee. I reiterate the first question: If there were doubts about the warnings that they thought the prime minister was in favor of the case?
ParlaMint-IS_2019-04-01-87.u6	Mr. President. The two avenues mentioned in the report by Stefán, the Már of Stefánsson, are both tore. Both of them have problems. The first one that was. A candidate refers to it would have been a very acceptable option if the government in 2013-2016 had followed this case because then this case was under consideration by the joint EEA committee. Then the matter was discussed in the Foreign Affairs Committee. At that time, this issue was discussed on the job board, and no warning was established at that time.
ParlaMint-IS_2019-04-01-87.u7	Answer the question.
ParlaMint-IS_2019-04-01-87.u8	That would have been desirable. At that time, a senator who was then a key figure to influence the situation would have built his flag. [[Come on, come ……]] [[Up front.]] It's good to come now and worry. I'd like to say that on my part it must be completely clear--and I believe that way to the highest. The minister of state suggests that the Icelanders continue to have custody of their energy resources, whether the cables are here or not, that there will continue to be a clear explanation of the government's authority. [[The president calls.]]
ParlaMint-IS_2019-04-01-87.u9	Mr. President. The government published a weekend ago that she would help a beach totally to get to her house, and it's fine for her. Other than that, the government has not published any further action in the long run in response to WOW arraignment. In spite of this, predicting that some 3,000 people may lose their jobs, which in some respects will result in increased unemployment. In February it. There were some 5,900 persons on unemployment records, and thus they could increase by up to half. Such a blow will hurt Iceland, but apparently every man-child will be hit on Southnes for the most long time. It is hoped that other airlines can deal with tourists who would otherwise have taken WOW, but the airline is usually organized at least one year into the future, and those who have studied these matters know that there is no way to run into air traffic, so there will be failures to which this will have a dramatic impact on one of the international airports of the country, on Southnes, at least the next year. Unemployed records on Southnes were 770 in February, the majority of labor workers, and the servants. This number can be expected to double in the next few days. Will Katrín's Jakobsdóttir's government really let their only response to this be to add unemployment applications and hope that the market will eventually correct this? Since WOW's business problems were all clear last fall, is there really no plan beyond helping people get to home? Finally: is the highest. The prime minister agrees with the highest. A secretary of finance who declared it to Kashlight for a weekend, by permission of a president, that there is no other way than to let the supply and demand control these things?
ParlaMint-IS_2019-04-01-87.u10	Mr. President. I wonder what. A senator has missed a discussion on the financial program that was held here last week. The government budget is turning around. about reacting to changing our economic outlook. It's about dealing with slowing down in the economy. That's even. that is why we contribute to an increase in public investment. This is so that the public will take advantage of the economic system and ensure the level of employment. That's even. that's why they're planning construction at the Cheflavour airport, because of that. A senator wants to discuss specifically Southnes, and there are other official projects planned on the Southnes that will truly serve the purpose of ensuring the level of employment. You see, that's the whole point. The economy is very equipped to cope with challenges like this. It doesn't work that way, so I'll tell you what. A senator and the whole of Congress, that the government draws new airlines out of the drawer when one airline goes off. It's not. The government responds by staging economic management so as to be left behind when the economy begins to cool off, in order to use its own instruments and tools to secure the level of employment, to support the well - being of the country, and to direct investments where it is ideal to build up. I want less of it. It is not by chance that we are about to invest more in research, development, and innovation. This is not just because we want to do so. It is part of the government's economic and professional policy to increase the support under the Icelandic economy. That's one of the things we can certainly learn from Iceland's economics. Iceland is a resource-driven economy. It is important to increase support, and it is important to build not just on natural resources but on intelligence. That's why we're going to invest in this. For my Southnes, special and short - term reactions, I had a very good meeting with the Southnes government this morning, which covered the short - term reactions. There are ministers in the toes, Ministers of Social Affairs and Child Affairs, Education and Culture Ministers and Health Ministers, all of whom have already taken special measures for the state of the South.
ParlaMint-IS_2019-04-01-87.u11	Mr. President. No, I sure didn't miss a discussion about financial plans here the other day. On the other hand, I ask this because the government tried to talk about her having been prepared for this position just since last year, so I was surprised to hear the latest. A secretary of transportation says that the situation should be covered and considered. So I was surprised to learn that there were no answers about, for example. what would happen to the students who have been working full - time with their studies and who are not entitled to unemployment benefits and who are not entitled to student loans. I would have liked to have found answers to these questions. I would also have liked to see some kind of answer about what went wrong when we know that the main problem in WOWair was a huge debt. Can we find answers to whether the surveillance was lacking, whether it is something that needs to be considered in the future, and what the response will be? What are we going to do to make sure that there are 24 billion in debt and then just a series of filibusters on everyone's head - or that way - or maybe not, or I don't know? I don't fully understand a plan of action that doesn't start until a considerable amount of time after the damage is done.
