ParlaMint-IS_2019-04-11-94.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2019-04-11-94.u2	Borist has received a letter from the following hired advisers who are requested to provide written answers to queries: From social and child-reversary for the request of the application. 1002, of the responsibility for protecting children from harassment, from Jón Þór Ólafsson; from financial and economic secretary for the inquiry of the puzzle. 1287, of Icelandic enterprises'employment, of Oddsja G. Harðardóttir; of the Minister of Justice for the Information on the Article. 1148, with regard to religious and principles, from Andrés Ingi Jónsson, and on a deck. One hundred and seventy-five, of the chief of police in the capital area, to experts, from Sara Elísa Þórðardóttir's daughter.
ParlaMint-IS_2019-04-11-94.u3	To answer, Prime Minister, Minister of Health and Social Affairs and Children's Ministers.
ParlaMint-IS_2019-04-11-94.u4	A respectable president. Once again, it is up to us here at the legislature of the government's work against the citizens. A young mother in the Western Islands has been struggling that her baby, born with a split palate, will be restored to the services that law and order should in fact guarantee the child. I know this case came up in unprepared queries last September and did not stand at the will of the Supreme Court. A health minister to try to correct the problems that were clearly involved. If I understand that correctly, she issued a regulations that would ensure that children born with cleft palates would not be discriminated against against against others. It's clear that if the children also have a breach, they'll be reimbursed by a 95% of Iceland's Medical Insurance. You're surprised at what way Iceland's Medical Insurance is going to have to deal with the sources they're given. From this case, from the way I understand the Regulation, I direct my inquiry to the highest degree. Healthcare Minister: What's your plan? Healthcare Ministers do it to ensure that the Regulation is carried out? Or was the authority designed to question it, as it really is?
ParlaMint-IS_2019-04-11-94.u5	A respectable president. Thank you. A senator's inquiry. It is true that at the end of the year, a change in Regulation was made. It included that in the article on which the health insurance of Iceland is involved, due to necessary dentistry and dentistry, the problems to be met were specifically set aside. It seems that, because of what. A senator asks if the above regulations have not been clearly stated; there is no doubt that they have been not sufficiently clear. However, it is quite clear from my dealings with Iceland's health insurance and those that are dealing with the system, as it were, that the current assessment and decision to make payment is not clear enough to determine the experiences of the parents who are talking about, the parents of a child with a sharp mouth or a lip, who say that the process is dull and may even lead to unreasonable application payment. I've requested that the Ministry, together with Iceland's Medical Insurance, investigate this position, both the regulations and the implementation, be considered to review the process of assessment with the objective of providing these children with a better service. I think deeply about whether the arrangement that has been handled by a nation, whether it is justified or not, is the best arrangement. I think it should be discussed, at least Whether a broader professional team should consider such cases, allowing more views to be considered than exactly those discussed.
ParlaMint-IS_2019-04-11-94.u6	A respectable president. Thank you very much. The health minister for the answer. It is undisputed regarding such a birth defect for a small child and the burden to be born with a keen sense of intervention and the immediate cooperation with the child will most likely prevent a major and difficult operation during the later stages of development. So there's something to be stopped by, top dog. Healthcare Minister, simply adding it to the Regulation, making it absolutely certain that children born with this large defect will fall under the regulations? Is there any difficulty in making it clear also of the Regulation to heed the experts, both within the country as a foreign country, in this case especially that I am referring to here and now, i.e. That Iceland's health insurance takes at least Do you have a clear view of the professional values they are entitled to?
ParlaMint-IS_2019-04-11-94.u7	Mr. President. Let's do this a little better. The change in time was specifically given so that it would also address the problems associated with soft palates. However, the question remains to be asked what constitutes a serious problem and whether there is a greater or less chance that something could become a serious problem. That is, in fact, the grey area, so to speak, regarding this compatibility with the principle of the text and the interpretation. Because of what? A senator would ask clearly whether it would be possible to define this group completely, one of the things I'm having to see if it's possible to do. Experience has shown us, at least The change in the Regulation for the past year, the need for careful action. We need to know that the lawgiver's will, and hence the minister, will be clearly stated in the Regulation and that the procedure will be in accordance with that.
ParlaMint-IS_2019-04-11-94.u8	President. Recently, the government was presented with a pomp and sharp operation in support of the labour market agreements. In this regard, there is much to say about the administration of the government. Of course, in this it is something better than anything else. What beats me is that none of the measures planned for housing are actually fallen to improve tenants' status right now. When it comes to housing, people with low incomes who pay large amounts of money directly on their rent, there is nothing to meet the most need for help. There are some refinements and long - term action, but nothing to cope with the great problems facing many in the tenet now. The main weight of these measures is how to make it easier for even more people to buy a way to the housing market. In other words, each one is to be pushed into the same model because they are forced to commit their financial situation for many decades simply to have a safe roof over their head. Now, a key suggestion is that meetings will be wise ways and implementation to facilitate young ones and reduce first real estate purchases. Any loan with high credit rates and low payments during the first few years sounds like obvious poverty traps. What about when people want to grow? What if there is inflation and payments rise or the financial debt is reduced? Let us not forget the thousands of families who lost all their money in their homes in the inflation after a crash. Where will they find themselves in the next financial crisis? I fear that by this action we are not releasing people from the pressures and concerns of the Icelandic housing market but that we are further promoting the special policy of the Independence Party, where tenants are some extra size that don't matter. It's never been realistic to be tenant in Iceland for a long time. I'm going to the top. A minister who uses that fact to change and that this will be a real advantage in renting rent?
ParlaMint-IS_2019-04-11-94.u9	A respectable president. Thank you. A senator for this inquiry. The fact is that last year, it was not possible to achieve collective agreements because housing would require a big effort, and this would be the big thing that could bridge the gap between the labour market partners. Hence, the government went on to do a very busy job with a special group of campaigns, who had the responsibility of inspecting the rented market specifically and offering housing, building property. In there were the rural communities, inside were both sides of the workforce, public and general sector, and the activities community. This group produced 40 suggestions presented at the beginning of this year. All the suggestions are being taken today, and there are radical ideas that turn, including some. to continue building the tenure market, to strengthen the legal position of tenants on markets, to change rent law, etc., but also to provide greater opportunities and support for the thinking that the unions have put forth in building a Bkrad, a company that is above the Rock, and is intended, not for the most efficient, but for the above. All measures there made by the government aimed to strengthen the tenant position and tenant position. Then we offered suggestions to help those who do not wish to be rented to obtain their own housing. These are suggestions that were presented last week. When all these suggestions come together - they are in place and the apartment loan fund will follow up with the Department of Social Affairs - they will be raised in housing. In fact, unions have described a revolution in housing. I don't know what it's like. A senator here points out that we're giving money to tenants. We are giving each group a choice, the one who wants to be in a special market and the one who wants to be in a rented market. It's all gone well, and it's in good cooperation with the labour market partners.
ParlaMint-IS_2019-04-11-94.u10	President. Thank you very much. Minister of staff answers. I agree that these measures are many good, but I worry that they don't match the minimum wage people who spend very much of their money to pay for housing and may not make ends meet. I'm worried about the lease. We could do so much more to help this group. We should not forget that the main theme of collective agreements was to improve the terms of those mentioned among us. We could raise housing improvements and expand their rights. We could raise child improvement and raise the limit more. We can actually meet the group that needs help, but this must be a special goal of action, which I don't seem to be, unfortunately. I am concerned about how these measures in housing will affect the rent. When we put too much emphasis on buying our own house, except perhaps the ones mentioned among us, I would wonder and ask for the highest. Minister: Will this increase demand and reduce the lease? Has there been any consideration of how these measures will affect renting? [[The president calls.]] Was there a particular look at the effects of existing housing measures?
ParlaMint-IS_2019-04-11-94.u11	A respectable president. I agree with what. Councilman, our actions should especially focus on the lowest income group. That is why most of the government's package provided, not just for housing, but also for the development of child improvement and for the rise of limitation, aims toward the lowest income group. As a result, the union unions in this country agreeing that the government package had made a big difference in bridgeing the gap between the employment union and the trade union. What we're doing with the proposals presented in the campaign group and, to a large extent, our rent market is strengthening the status of the people there, continuing the structure of the overall apartment system, putting capitals into it, increasing the number of apartments. The suggestions are for the most efficient group, so I say what. A senator I think it's the only way to appreciate the proposals of the government, so it's not best for the most lucrative groups. The unions agree entirely with the government that these are very good suggestions and aim first and last to the most efficient groups of Icelandic society. [[The president calls.]]
ParlaMint-IS_2019-04-11-94.u12	I'm talking about the lease...
