ParlaMint-NO_2012-03-27.ana.ud780e80	The representative of Trine Skei Grande will put forward two proposals for representatives.
ParlaMint-NO_2012-03-27.ana.ud780e83	On behalf of Borghild Tenden and myself, I would like to propose a specific further education commitment for those in primary school who lack teaching skills, and proposals for updating the legislation for the health care of students.
ParlaMint-NO_2012-03-27.ana.ud780e88	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2012-03-27.ana.ud780e102	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. In addition, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-03-27.ana.ud780e111	The proposers point out that in recent years the Cultural Council has gained increased power and influence over Norwegian cultural life, and that there may be reason to ask questions about the democratic aspect of the development of the Cultural Council. The majority of the Committee is aware of the issues raised in the case, but will support the government in the fact that the Norwegian Cultural Council is too important for Norwegian cultural life to be closed, as proposed by the proposers. The Norwegian Cultural Council is a driver of new art and cultural projects, while it is an advisory body for the State on cultural issues. With its professional competence in several forms of art and culture, the Norwegian Cultural Council is also important for the development of national, regional and local cultural life. Proposals also focus on the lack of transparency, transparency and transparency in the allocations, refusals and assessments relating to the application process. For this reason, it is important for the Committee to point out the need to facilitate transparency and transparency in the allocation of funds from the Norwegian Cultural Council. The Norwegian Cultural Council is a government body and must, of course, follow the general laws and regulations applicable to the administration. It is also important to stress that the meetings of the Norwegian Cultural Council are initially open to all. Further increased transparency is expected through the use of a new electronic application and grant management system. There is reason to clarify that no annual flat-rate funding is granted from the Norwegian Cultural Fund, but that the Culture Council can provide commitments for annual and multi-annual project support from the Norwegian Cultural Fund. The majority also point to the fact that the Ministry of Culture’s budget for cultural purposes is substantially linked to the operation of different public activities and institutions at different levels of government, either fully funded by the State, or where the funding takes place in close and good cooperation between the State and the regional level within regional institutions or sub-national institutions. As regards the latter, the majority in this case would stress the importance of continuing this cooperation. The proposers point out that the composition of the Culture Council must have an independent and free role in the future. The majority believe that this is already taken into account today by the appointment of members of the Culture Council on the basis of different criteria. There shall be artistic and cultural competence, it shall represent diversity, maintain a gender balance and, in addition, have the necessary geographical distribution. The same criteria are used for the appointment of the Council's many sample sizes. As a representative from District Norway, it is important for me to have an eye on how the districts are being helped by the allocation of funds. What I've seen of allocations so far makes it extra important to keep track of the spatial intent. There is no doubt that the Culture Council can only be better placed to maintain the regional profile. After seeing the district profile in the 2010 overview of the allocations, I am not particularly impressed as a representative from Finnmark – therefore this extra clarification from my side. It is also important for the Committee to point out the need for the Culture Council to constantly assess whether it is reaching new groups of applicants. A good key in this context is having a good dialogue with the diversity of actors that culture in our vast country represents. The majority of the Committee would stress that the administrative changes made in relation to the tasks of the Norwegian Cultural Councils place great demands on the management of their responsibilities by the Council. But at the same time, it's also important for us to be a little voice to the council, so that they get the time they need to find their place. The organisation of the Norwegian Cultural Council is not static, and it would be natural to look at the outcome of the organisation when it has been over. Finally, despite the fact that we are asking for generosity so that the Council of Culture may take some time to find its place in relation to the new tasks assigned to it, the majority of the Committee of this Parliament will stress that the artistic freedom of the Council of Culture and the importance of keeping the arm's length distance do not exempt the Council of Culture from the obligation to follow the signals of the Storting on the management of different schemes. As far as the arm's length principle is concerned, it must not be so large that we do not reach each other when the need is there. The majority therefore assumes that the Culture Council will follow up the Storting's intentions for the activities, and will also stress that the Stortinget can continue to provide leadership at the overall level for specific initiatives and areas of action under the Norwegian Cultural Council.
ParlaMint-NO_2012-03-27.ana.ud780e139	The policy under the current government is clearly in the direction of increasing power concentration around central agencies in Oslo, which was also the subject of the last speech, when he said that Finnmark was getting little outnumbered in terms of cultural resources. What we see is that the Norwegian Cultural Council is still being given new tasks and is getting stronger and stronger. The party of progress has often pointed out the concern in this, and the danger of developing a bastant sense of taste and centralisation is clearly present. The Progress Party considers that the state's allocation policy, including through the Norwegian Cultural Council, should be subject to a critical review and that a new policy course may be necessary. I believe that the spread of power and greater diversity as a starting point for a dynamic cultural life are important. The alternative to today's cultural policy must be to promote Norwegian cultural life by disseminating decisions geographically and organisationally around the country. Never has more money been allocated to culture, but the feedback we get, at the latest today, is that the municipal libraries and the cultural school have seen little to the big pot that is granted. The queues increase in the cultural school, and the talents around the municipalities look little at the money. In addition, tax benefits and targeted efforts to mobilise private funds should help to provide culture with more sources of funding. A broad review of the national channels for the allocation of funds to cultural life is necessary with a view to clearer clean-up of tasks and dissemination of functions to municipalities. I would like to point out the importance of not contributing to red tape and inefficient use of funds. Norwegian Cultural Councils manage Norwegian Cultural Fund and other cultural support schemes. The Council has over 100 staff and has administrative responsibility for the Norwegian Cultural Fund. The Council is appointed by the Ministry of Culture and appoints itself a committee of experts. The Norwegian Cultural Council also has secretarial responsibility for the state's artists' scholarship, the Audio and Video Foundation and the Cultural School Bag. Everyone understands that there is a lot of power gathered here in Oslo, far from where the talents evolve. A comparison with our neighbouring countries shows that Sweden finances the culture through cooperation between county councils, municipalities and the state. This could be a model that Norway should also look at. In Denmark, the State and municipality are responsible for contributing to public cultural appropriations. The main principle for the division of tasks between the State and the municipality is that the State is responsible for the specific requirement for national action, while the municipalities take care of the cultural tasks relating to the local cultural offer and the local involvement. Denmark has also found a model that takes care of the talents in the municipalities. Finland has a system with 50/50 responsibilities for municipalities and the state. In the case of concentrated cultural power, the consequence of recent changes is that an increasing proportion of the country’s funds are managed by a handful of people, who also have very close ties to some parts of Norwegian cultural life and are being picked out by the ministry. There is reason to ask questions about the democratic aspect of the developments of the Cultural Council. This impression is reinforced by the lack of transparency with regard to the approvals and refusals granted by the Council. This is something we are constantly getting feedback about. It will therefore be in the interest of culture to take action to ensure that there is less power both in terms of resources and in terms of definition for the Council of Culture and the Ministry of Culture. What we want to achieve with our proposal is that cultural resources should benefit all municipalities. We want the funds out of Oslo – not distributed by the Council of Culture or the Department. It is important to know that the talents are created in a municipality. I think there are a few cultural talents that are created in the department or in the Cultural Council.
ParlaMint-NO_2012-03-27.ana.ud780e162	There is every reason to address the issues of power concentration and governance in connection with the Norwegian Cultural Council. The development we have seen over the last few years has shown a quite clear direction towards fewer and fewer people deciding on more and more of the means available. The structure with which we have operated over the last few years, that the Cultural Council consists of ten persons appointed by the Department – people with a professional background – has also strengthened the cultural council itself as a governance mechanism. The Council has chosen to organise itself in such a way that the respective members also participate in the Council's technical committees, perhaps also as the chairmen of these committees. This means that the signals received by the Council from the government, which should be, we should say, governance criteria in addition to purely technical qualitative criteria, will therefore be more effectively implemented in the Council's allocation policy. The right disagrees with this development and believes that there is a step in the wrong direction in relation to having a free, dynamic cultural life. For us, this violates the arm's length distance principle. We think the arms are going to be short, considering how you've organized yourself now. Our idea is not necessarily to abolish the Council of Culture. There will be too much drastic action, and we also need a professional body that is just carrying the demands and professional qualities of the Council of Culture. Our criticism is not about the work of the Culture Council as such. There's more to it on the device. We in the Right think that rather than abandoning the Council, we should sharpen it, clarify the tasks, perhaps ensure that there are fewer tasks, and clarify the debate on whether the Council should be a stand-alone body, or whether it should really be a directorate. Still, this is unclear, although it has been an objective in many of the debates we have had, precisely to bring this division of roles to the fore. The transfer of 74 to the Council of Culture strengthened the role of the Council in terms of administrative tasks, more towards being perceived as a Directorate. An important task in the future must be to spread power. It will be about perhaps lifting some tasks from the Council of Culture – without us being ready to say what it should be today. This will include finding more sources of funding, strengthening other ways of government funding by finding other environments that would preferably recruit their decision-makers from a different professional background. Where the Cultural Council today is preferably an artist-driven and artist-appointed body, it could also be thought of bodies that drew their resource people from producer environments, curatorial environments or, for that matter, from more cultural-related businesses. The conclusion of this is that the right is not included in the closure of the Cultural Council. We want to sharpen the Council of Culture, we want a spread of power by evaluating other bodies in relation to allocation, and we want to strengthen alternative forms of funding for cultural life.
ParlaMint-NO_2012-03-27.ana.ud780e177	There are several interesting issues raised in the proposal by the representatives of Horne, Thomsen and Korsberg, both the question of who to manage, have a lot of power over, the means of culture, transparency, the composition of the Council of Culture and power concentration. At the same time, the Central Party fundamentally disagrees with the Progress Party on some key issues and conclusions, and that is why we do not support the proposal, but, as I said, I think it is very good and very important that we have a debate about this. An overall committee highlights the importance of transparency and the need for the Culture Council to be constantly aware of the need to reach new groups. As the representative Mr. Kåre Simensen had in mind, it is not a good enough geographical distribution of funds. However, there are many criteria that can be taken into account, and applications should be weighed against each other. When you have a geographical distribution of funds, you have to ask yourself if there's anything wrong with the criteria and the measuring instruments, and if you have to pay attention to other things than what you do today. The organisation and responsibilities of the Culture Council have changed over time. It's not a static organization and it'll change in the future as well. We must constantly assess whether this is the best possible organization we have. For it is important that different candidate groups reach and receive the guidance they want and that they know the arrangements that exist. There is a difficult balance between what is a subject and what is a policy. What is important for me to say is that the professional is not a completely neutral and objective assessment either. Different professionals will consider much of this differently. There is a part of what can be demanding precisely in the balance between what is policy, and what should be focused there, and what is subject, and what is then emphasised. The majority of the Committee is clear that the Council of Culture has an artistic freedom, but it is also such that the Council of Culture has an obligation to follow the signals provided by the Storting on the management of different schemes. I think that is very important in order to maintain a strong commitment and a willingness to allocate a lot of money to cultural policy. As a cultural politician, you also have thoughts about what you want to focus on. We have organized ourselves in this way in relation to the Cultural Council that the individual applications are the Cultural Council that governs, but in terms of key developments, I believe it is important that we, as politicians, also have an involvement. It's a little different than what matters. Questions can be asked about gender, geography and regional development should be part of the artistic criteria, or whether these are political criteria. The balance sheet here will be demanding. As a summary, I can say that it's very interesting to have a debate on this, because it also makes the political differences between the different parties visible. At the same time, it is also very clear that the government concludes in a completely different way than the Progress Party does, because we believe that the Stortinget should still give a lot of money and spend a lot of money on culture.
ParlaMint-NO_2012-03-27.ana.ud780e192	Through its role, the Norwegian Cultural Council is an advisory body for the State on cultural issues and a driving force for new art and cultural projects and has an important role through its professional competence and the authority to which they are assigned. I am pleased that the majority in the Committee underlines this, and I am pleased that a Joint Committee points out the importance of facilitating transparency and transparency in the distribution of funds from the Council of Culture. Norwegian Cultural Councils function well according to many of the objectives as intended. At the same time, with the model chosen, we have created an institution that makes a continuous discussion of the distribution of power in cultural life important. It became no less important after the majority in the hall changed the way they put together the Council of Culture. As cultural politicians, we receive constant feedback from all over the country on how to perceive the functioning of the Cultural Council. Now, it's often going to be the dissatisfaction that calls out loudest, and we're always going to have that with us. As I have underlined, I believe that the Cultural Council, based on many of its objectives, is doing a very good job. At the same time, we should not underestimate the considerable tensions in cultural life associated with the functioning of this institution. I would like to point out two examples of that. One is what other speakers have mentioned before me, that is, the geographical distribution of funds, and not least how we have concentrated many of these decisions on an institution that works from the capital. It's true that the composition consists of people who come from different parts of the country, and that's what it should be. At the same time, it is worth discussing how other bodies, not least regional bodies around our country, can also help to complement these priorities and gain greater influence. In addition, there is a continuous tension in the understanding of culture and the purposes that deserve support. While the Cultural Council, on its side, has a one-sided focus on artistic quality – and as the Cultural Council sees it as artistic quality – we note that around the country there is a broad understanding of culture and a broad register of motifs and purposes for stimulating culture, which is active, which is based on value creation, and which takes care of communities and communities. When the Culture Council meets with its more one-dimensional approach to quality, a tension often arises, and I think it is worth spending more time discussing, because it turns out that national cultural policy often conflicts with the regional and local understanding of what culture is, what culture should be, and what the different businesses and activities should actually contribute to. I am pleased that the majority rejects the proposal to abandon the Council of Culture, but I would like to stress that the debate on both power and the way the Council of Culture works is important and must continue.
ParlaMint-NO_2012-03-27.ana.ud780e207	I agree with those representatives who have talked about the importance of having a discussion about power distribution in Norwegian cultural life. I'm also concerned about that. It is clear that the decisions taken at all times by the Council of Culture should be the subject of discussions. It should also be the case that the various professional bodies are composed of people of different artistic character, because different views on what should be eligible are taken. The Norwegian Cultural Council has the whole country as its scope. But I disagree with the proposers on the way they want to organise the Cultural Council. I am convinced that a model where this money is distributed locally will provide more bureaucracy in several places, including: for musicians in order to obtain support for tour activities. I believe that the decisions we have taken to change the Norwegian Cultural Council in recent years have helped to decentralize power. When we had political representation in the Council of Culture, those who were employed in the Council of Culture had greater influence over the artistic decisions that were made. Now, on the contrary, there are people with artistic backgrounds who can be counterbalanced to the professional competence of the staff of the Norwegian Cultural Council, and they can thus represent a variety of artistic views. There are many selections in the Council of Culture. I think there are few examples of how many people are involved in making a decision. For 2012–2013, 14 selections were appointed with a total of 64 members. In addition, we have the purchasing system for literature. They're made up of people from all over the country. They are also appointed on the basis of their competence. We have recently also transferred some authority from the Ministry of Culture to the Council of Culture. This has been done in view of the need to lay down technical criteria on the basis of the allocations made by the Council of Culture. But you also have to take geographical considerations into account. So when we look at the geographical distribution of cultural resources, we see that there is a concentration in the areas where the artist population is the largest. However, it is also the case that the proportion of applications granted is highest in, for example: municipalities in Nord-Trøndelag and other municipalities. It is easier to get support if you apply. So there's the greatest risk of rejection if you live in Oslo. But we also work systematically to increase the search competence in the counties where there are fewer applications. So that's something we have to work with all the time. Recently, we have also transferred some arrangements to the Cultural Council, and let me give you one example: Before we set the Rikskonserten and made tour plans for a number of Norwegian musicians. Now we've transferred some of that money to the Cultural Council. That means it's the local organizer themselves who decides who to invite to guest the local scene. In addition, the musicians themselves are putting up their own tours. There will be more decentralization of power. I just want to take one example: Ola Bremnes has been awarded NOK 54 000 from the Norwegian Cultural Council to the tour in North Norway. He will have concerts in Brønnøysund, Sandnessjön, Mosjön, Bodø, Narvik, Harstad, Kväfjord, Andenes, Svolvær, Finnsnes, Tromsø, Alta and Hammerfest. I am convinced that the way to organise tour activities is better than that of the Cultural Council. Then he does not want to search every municipality where he is going on tour, and it is better than if the Rikskonserten decided that he was going on a tour. Now it is more decentralised — and decentralised decision-making. We are now working with a common electronic application-handling system to make the grant management more efficient. It is somewhat unclear to me what the Right believes in that matter. They're talking about the point, but we don't get to hear what this point is about. They talk about having a cultural council with a cultural and nutrition perspective. I would warn against having two cultural councils – a cultural and nutrition council and a cultural council. If there's something we see that cultural workers are busy about, then there shouldn't be very, very many different search portals. Then it's those who are good at writing applications, who get through. I want to continue to work systematically to simplify these application processes, and I think that the model that the Progress Party sets up here leads to more bureaucracy for Norwegian artists – and less art and culture.
ParlaMint-NO_2012-03-27.ana.ud780e226	It's going to be line change.
