ParlaMint-NO_2012-02-15.ana.ud2287e26	The representative Per Arne Olsen will put forward two proposals for representatives.
ParlaMint-NO_2012-02-15.ana.ud2287e29	On behalf of Kari Kjønaas Kjos, Jon Jäger Gåsvatn and myself, I would like to make a proposal to extend the system of heart pump as long-term treatment, not just as a bridge to transplantation, and also a proposal to ensure health professionals professional updates in the pharmaceutical field.
ParlaMint-NO_2012-02-15.ana.ud2287e34	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2012-02-15.ana.ud2287e37	On behalf of Borghild Tenden and myself, I will make a proposal on climate action in Norway. It is the most comprehensive proposal I have in my time been involved in promoting, and consists of 45 measures.
ParlaMint-NO_2012-02-15.ana.ud2287e42	The representative Siri A. Meling will put forward a proposal for a representative.
ParlaMint-NO_2012-02-15.ana.ud2287e45	On behalf of the representatives of Peter Skovholt Gitmark, Lars Myraune, Nikolai Astrup, Bjørn Lødemel and myself, I would like to make a proposal for a plan of measures to reduce the concession processing time for power development and transmission systems.
ParlaMint-NO_2012-02-15.ana.ud2287e50	The representative, Mr Gjermund Hagesetter, wishes to make a proposal for a representative.
ParlaMint-NO_2012-02-15.ana.ud2287e53	On behalf of Morten Ørsal Johansen, Åge Starheim and myself, I am delighted to present a proposal for a representative on incentives to continue working on a more efficient and robust municipal structure.
ParlaMint-NO_2012-02-15.ana.ud2287e59	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2012-02-15.ana.ud2287e71	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Siv Jensen.
ParlaMint-NO_2012-02-15.ana.ud2287e78	Let me first say that I think it's very nice that the Prime Minister comes to the Stortinget, it's been a long time since we've seen him. To challenge the position is just an important part of democracy. In recent times, there have been many relatively eye-catching headlines in the media that reveal something we already know, namely that there is a dramatic and significant lag in out-of-date equipment at the country’s hospital. It is so old and out of date that it is expressed from several teams that there is a risk to patient safety. I know that a lot of people use eBay, among other things. to look for parts of veteran cars that have left production, but it becomes quite absurd when you see Norwegian doctors sitting on eBay to find spare parts and equipment to be used in the treatment of Norwegian patients. Once we get there, at least the Progress Party tells us that it is now time to decide on an investment plan with earmarked funds to ensure that all the country's hospitals can renew their equipment park for proper patient treatment. Only in the case of Health South-East is estimated to be over 3 billion. kr. Oslo University Hospital alone has a follow-up of nearly 2 billion. kr in order to obtain modern equipment for the proper treatment of patients. My question to the Prime Minister is very simple: Will he support the Progress Party's proposal for a financing plan with earmarked funds to replace the equipment at the country's hospital?
ParlaMint-NO_2012-02-15.ana.ud2287e89	The government will increase the allocation of hospitals, so that they can spend money on what they think is best and most important for patients, and to further increase the quality of Norwegian hospitals. There will be a combination of investment in equipment, investment in construction and investment in people: personnel, doctors, nurses and other health professionals. The starting point is that there are deficiencies in the Norwegian hospital system. That's why we increased the appropriations by about 10 billion. kr and will continue to increase the appropriations. The reason is also that more and more people are working in Norwegian hospitals – 120 000 people are working in Norwegian hospitals, more than ever before – and that we are treating more patients than ever before. Nevertheless, it is missing. That's why we're going to continue the escalation. But I think it's a good idea that we give hospitals some freedom to decide how we get the most health again for the extra dollars they get this year, and they're also going to get next year. The most important thing the government does is to be concerned with the quality of the health care system, and we do that by measuring more quality. Then we see that there is a lack of damage. But we also see, when we compare with other countries, that we now have one of the world's best health services. Where we have comparable numbers, for example: in the case of cancer, Norway is at the peak in terms of survival. There are 30,000 people who get cancer every year in Norway. There are many who have bad experiences associated with it, but fortunately more and more survive. For the types of cancer we can compare – e.g. Breast cancer, cervical cancer and some other cancers – Norway is either the best in the world or among those with a clear highest survival rate. The main objective of health is whether we succeed in treating more patients and in providing them with good quality. We are not good enough in Norway, but we are among the best in the world.
ParlaMint-NO_2012-02-15.ana.ud2287e101	Yes, we have received reports that growth in addition to the country's hospitals is primarily due to growth in administration and bureaucracy, not necessarily growth in patient treatment. It is also a challenge that the Prime Minister should address. But he answers what he usually does, namely, that the annual budgets of hospitals should determine the priorities the hospitals take. The problem is that the hospitals and the health minister state directly that whether there will be investment in new equipment depends on whether the hospitals are able to cope with a small surplus that frees funds for that purpose. It's an unsustainable situation over time. Hospitals need to have a sound plan to replace out-of-date, out-of-date, old health-threatening equipment with new and modern equipment. We are now in a situation where, among other things: at the Radium Hospital has been dependent on private donors to modernise the equipment park. I guess that's not how the Prime Minister wants it to be.
ParlaMint-NO_2012-02-15.ana.ud2287e108	I think it is important that a government that is responsible for the health care system sees that there are shortcomings and weaknesses, and is impatient and trying to do something about it, and that the government is looking after itself well to paint the health care situation. I am careful not to do so, and therefore I point to the defects. But I also think it's important that the opposition fits to not paint black. When you listen to Siv Jensen's articles, you get the impression that there are very sad conditions in the Norwegian hospital system. The truth is that we hardly find a single country in the world that has better results in terms of health, treatment and survival of serious diseases. It's because we've invested more money, more resources in health care. We haven't spent any money on administration. We treated 1.3 million more people in Norwegian hospitals in 2010 than we did in 2005 – so treatment and investigations have increased by 1.3 million in those years. It's an impressive increase, and it helps us get better results in the health care system.
ParlaMint-NO_2012-02-15.ana.ud2287e115	Three follow-up questions are raised – first Per Arne Olsen.
ParlaMint-NO_2012-02-15.ana.ud2287e118	The question was initially about equipment, and not the whole rule that everything is very good. Much is very good in the Norwegian health care system – it also acknowledges the Progress Party. But when we, as health politicians, talk about how happy it is with the expected increase in life expectancy, we tend to talk about patients, about the population, and not about the equipment. It is, I know, an expected life expectancy of 10.2 years of medical technology, while the average life expectancy of the device in Health South-East now is 10.6 years – that is, longer than the life expectancy. A jet engine in Oslo is now 19 years old – as old as my son and considerably older than the car of both the Prime Minister and the undersigned. What worries me the most is that research also suffers from this. The question will then be: Will the Prime Minister be involved in an investment plan to improve conditions?
ParlaMint-NO_2012-02-15.ana.ud2287e127	I have a plan. It is continuing to strengthen hospitals, giving them more money and providing them with more resources, but not least to reorganize them so that we get even more health for the large funds we spend in Norwegian hospitals. This means that there will also be money for investment in both equipment and construction. Since the state took over the hospitals, $65 billion has been invested. kr. That's a lot of money. There are certainly examples of equipment that are old. That's why we're increasing the appropriations, so that we can also do something about it. In the case of cancer treatment, which was mentioned as an example, that is the area where we have seen the best progress. Still, there are shortcomings, but we have to be glad that the probability of surviving a cancer diagnosis in Norway is the highest in the world – or among the highest in the world – for the measurable cancer forms we can compare.
ParlaMint-NO_2012-02-15.ana.ud2287e134	Bent Höie – for follow-up questions.
