ParlaMint-NO_2012-10-01.ana.ud1639e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2012-10-01.ana.ud1639e40	The President-in-Office of the Council will ask the Secretary of the last big thing, Tor Arne Stroem, to act temporarily as a secretary. A roll call was then made. The following representatives had lapsed: Laila Gustavsen, Gjermund Hagesetter, Audun Lysbakken, Jenny Klinge, Heidi Sørensen, Hans Olav Syversen, Øyvind Vaksdal and Linda C. Hofstad Helleland. From the other representatives present the application for leave [[see below]]
ParlaMint-NO_2012-10-01.ana.ud1639e52	The President-in-Office proposes that the Rules of Procedure of the Storting, adopted on 7 June 2012, be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: – from October 1st to October 1st – from October 1st to October 1st – from October 1st – from October 1st – until October 1st – from May 1st – from October 1st to October 1st – from May 1st – from May 1st – from May 1st – from October 1st – and from October 1st – from May 1st – from May 1st – and from October 1st – from May 1st – from May 1st – from May 1st – from May 1st – from May to October 1st – from May 1st – from May to October 1st – from May to October 1st – from May 1st – from May to October – from May 1st – from May to October – from May 1st – from May to October – from May 1st – from May to July 1st – from May – from May – and from May 1st – from May to October – from May to December 1st – from May – from May – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1s until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st – until 1st –until On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and accepted. 2nd@item: inlistbox The following alternates are invited to meet during the leave period: for the West Agder province: Janne Fardal Kristoffersen 1–12. October For Akershus County: Anita Orlund 1–17. October and Bente Stein Mathisen from 1 October until further notice For Buskerud County: Kjell Børre Hansen 1–5. October For Finnmark County: Anne Karin Olli 1 October–9. November For Hedmark County: Frøydis Elisabeth Sund 1–5. October For Hordaland County: Roald Aga Haug 1–17. ==References====External links== October For More and Romesdal County: Jon Georg Dale 1–17. October For Uppland County: Espen Granberg Johnsen from 1 October until further notice For Oslo: Sylvi Listhaug 1 October–9. ==References====External links== ==References====External links== October For Rogaland County: Arne Bergsvåg from 1 October until further notice For Telemark County: Lene Vågslid from 1 October until further notice For Sør-Trøndelag County: Knut Gravrök 1 October – 9 November and Aud Herbjørg Kvalvik 1–18. October
ParlaMint-NO_2012-10-01.ana.ud1639e221	Janne Fardal Kristoffersen, Anita Orlund, Bente Stein Mathisen, Kjell Børre Hansen, Anne Karin Olli, Frøydis Elisabeth Sund, Roald Aga Haug, Jon Georg Dale, Espen Granberg Johnsen, Sylvi Listhaug, Abshan Rafiq, Arne Bergsvåg, Lene Vågslid, Knut Gravråk and Aud Herbjørg Kvalvik are present and will take the seat.
ParlaMint-NO_2012-10-01.ana.ud1639e227	The Presidents and Secretaries shall then be elected. The election will be conducted in line with Paragraph 6, second and third paragraphs of the Storting Rules of Procedure. The President-in-Office will then propose that we vote in the usual way, without the use of ballots. The President-in-Office of the Council is asking for proposals from the President of Stortinget.
ParlaMint-NO_2012-10-01.ana.ud1639e239	I propose Dag Terje Andersen.
ParlaMint-NO_2012-10-01.ana.ud1639e246	Day Terje Andersen has been proposed to the President of Stortinget. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e254	The President then asks for proposals from the First Vice President of Storting.
ParlaMint-NO_2012-10-01.ana.ud1639e260	I am delighted to propose Øyvind Korsberg.
ParlaMint-NO_2012-10-01.ana.ud1639e268	Øyvind Korsberg has been proposed to the First Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e276	The President then asks for proposals on the second vice-president of Stortinget.
ParlaMint-NO_2012-10-01.ana.ud1639e281	I have the honour of proposing Per-Cristian Foss.
ParlaMint-NO_2012-10-01.ana.ud1639e290	Per-Kristian Foss has been proposed to the second Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2012-10-01.ana.ud1639e298	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2012-10-01.ana.ud1639e303	I suggest Marit Nybakk.
