ParlaMint-NO_2012-05-24.ana.ud1972e55	The representative, Henning Skumsvoll, will put forward a proposal for a representative.
ParlaMint-NO_2012-05-24.ana.ud1972e58	On behalf of the representatives of Gjermund Hagesetter, Per-Willy Amundsen, Oskar J. Grimstad, Morten Ørsal Johansen, Åge Starheim and myself, I would like to make a proposal to limit the county's right of objection in municipal planning and land matters.
ParlaMint-NO_2012-05-24.ana.ud1972e63	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2012-05-24.ana.ud1972e77	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to a member of the Government. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-05-24.ana.ud1972e86	The state of Norway is originally established in the territory of two people, Samer and Nordmann, and it is natural that we treat the Sametinge Annual Report every year. Samemen is an indigenous people who have a call for special cultural protection under international law. The majority in this committee, all except the Progress Party, also indicates that the Sameting has been established by the Law of Law of the Constitution § 110a. This gives the whole thing a special status as a popularly elected body with great freedom. It is therefore also responsible for the management areas assigned to it and for the different objectives of the framework available. The majority of the Committee has noted that there is still disagreement between the Confederation and the Government as to the possible implications of the rules of international law on indigenous peoples and minorities for the ministry's work on the government's annual draft budget for the Stortinget. The same majority have noted that there was still agreement on a set of procedures to be followed in contact between the Sameting and the Government on the parts of the State budget relating to Sami purposes. The majority ask for further work to be done on these issues with a view to obtaining a process that can be agreed between both parties. The majority of the Committee also points out that the investment in Sami languages is central to the preservation of the Sami culture. We are familiar with the challenges of finding interpreters, in particular lule and southern Sami. The majority also believe that the Sametinget has a special task in assisting municipalities in the Sami language area to develop training tools for training in Sami. The Committee recently visited Nord-Troms and met with the municipality of Kåfjord, which is part of the Sami language area. There we were made aware that Kåfjord needs to develop a great deal of teaching materials and curricula at its own expense. The majority consider that the Sameting has an important role to play in assisting and coordinating this work, and that it is also coordinated across municipal borders in the Sami language area. Then, in the context of the annual report, the government has said that it is assessed to submit the annual report of the Sameting as an annex to the budget, with effect from 2012. The majority, which is still all but the Progress Party, would then stress the importance of the Sámi issue being regularly debated by the Stortinge, and would point out that the annual report of the Sametinge provides such an occasion on an annual basis. On this basis, the majority ask that the annual report of the Sameting should continue to be presented as a separate case to the Stortinget. At the same time, we agree with the government's wish to speed up the processing of the Sameting Annual Report and ask that the government continue to contribute to this. The Committee should also contribute, but we are aware that it will take time. The annual message is to be translated into Sami after the setting has been given, so that it will be – I kept saying – a ‘backlog’ here, that you will hang a little behind, you have to expect. But that it's possible to do this a little faster than we do today, I think it's important. Otherwise, the majority do not have any comments and it is proposed that the notification be annexed to the minutes.
ParlaMint-NO_2012-05-24.ana.ud1972e105	The rapporteur has presented the large majority of the Committee in a good manner, and the lines agreed on. I still need and want to draw up some points. The applicant's rapporteur indicated that a set of procedures had been established for the parts of the State budget relating to Sami matters. There is reason to stress that it will help to improve the ability of the government to gain transparency and to form an image of the situation and the budgetary needs of the Sami community in different areas. It is also important to say that the government has followed up the majority comment of the Innst. 94 S for 2009-2010 on the activities of the Sameting in 2008 — as the majority of the Committee was also concerned with this issue. However, it is not that one has come to an agreement. As the rapporteur said, the majority have been concerned that it must be an objective to reach agreement, and we ask the government to continue working on it in order to have it as a goal. Sámi issues are important issues, and there are few occasions in the United Kingdom to discuss them separately. This has been the basis for the majority’s concern that the annual report on the activities of the Sameting should be a separate case in the Stortinget. The concern is that these important issues can drown in more – let's say – prosaic budgetary issues if they are linked to the state budget. We look forward to continuing to have at least one annual debate on indigenous and Sami issues in the Stortinget. Sami relations, the Sami people and Sami issues are not just about national policies – they have a strong international tenacity. The Northern Region Strategy of the Government – New building blocks in the North Next step in the Northern Region Strategy of the Government – was presented on 1 December 2006 and presented in March 2009. In addition, these two documents provide for a comprehensive, coordinated and long-term North Sea policy. The Northern Region policy of the Government shall also contribute to the security of indigenous languages, culture, industries and social life. One of the seven areas of activity is a priority for indigenous action. The government has been committed to facilitating the participation of indigenous peoples in processes, contributing to planning, decision-making, management, monitoring and research in order to make use of the potential for future north development. It is essential that the positive development in the north is also seen as positive for the indigenous people concerned. In the bet, emphasis is placed on, for example: cross-border indigenous actions in the fields of language, traditional knowledge, culture-based business development, capacity and build-up of competences of Sami institutions and organisations. In the government’s Northern Territory Strategy, the Sami population also has a natural place in the broad focus on people-to-people cooperation and cross-border cultural cooperation in the north. This concerns actions for children and young people and cooperation in health, sport, volunteering, language, culture, film and cultural expressions, such as: festivals. The issue of indigenous peoples is a common policy area for the members of the Arctic Council, and it is high on the agenda of the International Parliamentary Committee, which is also concerned about this and which will address it at its meeting in Iceland later this autumn. Outreach issues have a particular Circumpolar perspective. Cooperation has been established between the local sector interest and employers’ organisations – KS – Sametinget, the Ministry of Local and Regional Affairs and the Ministry of Renewal Administration and the Ministry of Churches, which aim to identify the challenges facing the local authority sector in order to meet the national and international obligations. It is about being able to provide equivalent services, including to the Sami population, especially in terms of cultural perspectives and languages. I see this as the follow-up to a majority comment from Innst. 345 S for 2009-2010, Municipal Proposition for 2011. The majority of them indicate that some schemes are in place to reimburse municipalities for specific costs of bilingualism. However, local authorities still have costs related to Sami users, without this being compensated. At the same time, some expenditure, for example: for Sami primary school education, only partially compensated. It is important for me to stress that it is Stortinget and the government's responsibility to facilitate that municipalities have sufficient framework conditions to meet the obligations undertaken by the nation, either through national law or through international agreements. I welcome the fact that this work will be completed when we find a good solution to it.
ParlaMint-NO_2012-05-24.ana.ud1972e126	The Contracting Party is responsible for ensuring that each citizen enjoys the same fundamental democratic rights, duties and freedoms. The Progress Party is of the opinion that the Sameting has been set up as a special body and that minority groups have been granted special rights because of their ethnicity, and refers, inter alia, to: Deep. 16 S for 2011-2012, cf. Prop. 1 S for 2010–2011, and Innst. 134 S for 2011-2012, cf. Document 8:154 S, where we're talking about this in a detailed way. We have not chosen to go into single points in this report. I'm not going to do that right now, but I want to mention two things, and it goes on special rights. I notice on page 14 about the criminal care and the reconciliation of the coroner. It is strange that when someone violates Norwegian law and is going to zone in a Norwegian prison, some minorities will have special rights during the settlement. If you have violated Norwegian law and are going to zone in a Norwegian prison, you should zone under the conditions of all other zones in prison, no matter what kind of minority groups you belong to. I would also like to make a brief comment on that with Sami administrative areas. It is a little special that we have Sami administrative areas that require that there should be bilingualism in these administrative areas, without even knowing how many people might speak Sami in these areas. The Progress Party is committed to maintaining Sami language and culture, but it turns out that although we have created a synthesis, this does not particularly contribute to the maintenance of culture or language. Fewer and fewer children have Sami language in kindergarten, and fewer have Sami language in school. I think, with respect to reporting, that Sami language and culture could have been preserved in a much better way even if we hadn't had the Sameeting, and even if we hadn't created a body because of ethnicity that gives special rights to a minority. In the end – and it is completely independent of what the Progress Party believes about the establishment of the Sameting: when the Stortinget is to deal with annual reports from outside bodies, it is a great advantage that these annual reports are not too old. We're going to try to discuss realities in an annual report, and when the business report from Sametinget was adopted in Sametinget on 9 March 2011, and we are discussing this matter well and well one year later, I think it's a little disrespectful not only of Stortinget, but also of Sametinget. The reality of this gets so old that it almost doesn't have a reality at all. The merger has now delivered the business report for 2011, while we are here in Stortinget and are discussing the business report for 2010. It's disrespectful. To the extent that we get back such reports and the Sameting continues to exist, I hope that the reports can come much earlier, so that we can at least discuss realities that are real and that are not out of date.
ParlaMint-NO_2012-05-24.ana.ud1972e139	Thank you to the President-in-Office for a thorough review. It has played a central role for more than 20 years, both in the Sami environment and in the general population. It is essential that the forms of cooperation and dialogue between the Federation and the Government function well. Central authorities have a separate responsibility for the preservation and further development of Sami culture. The Christian People's Party wants to build up under the diversity of the Sami society and will participate and secure the right of one's own language, culture and society. The specific nature of the joint must be ensured by passing on their way of life, culture and values to new generations. In order to develop a good policy in this area, there is a need for an understanding of the challenges that exist. At the same time, it is also important to point to all that is positive, such as the Sami film environment, Sami artists who have breakthroughs, and Sami food and travel life. All of this helps to strengthen identity and self-esteem. Common policies require follow-up at all levels of government. State policy premises the development of Sami society and Sami in the big society. State and municipal policies determine a great deal of how the concrete measures reach most people. In Sámi core areas, full bilingualism is assumed in public institutions. Like the representative Eirik Sivertsen, I am pleased that a dialogue will now be established between KS, Sametinget and the two departments responsible. However, schooling has a challenge in providing children with education in and in Sami. The number of children has fallen a lot in recent years. Sami languages and Sami cultural centres are also struggling in several municipalities to obtain financial support. Assimilation policy, which was pursued from the 1800s onwards, was very damaging to the Sami language and its reputation. Language is a very important part of culture. It is therefore important that the Sami language be preserved and continued. The rapporteur was also involved in the two languages of Southern Sami and Lulesamian, where we know that there are major challenges. Action needs to be taken, these Sami languages must be preserved for the future. Child ombudsman Reidar Hjermann has previously said that one of the biggest challenges facing Sami children today is in school. Among other things, he said: that, to put it mildly, the training situation is worrying, because of the lack of both teaching materials in their own language and teachers to learn away, and because of the fact that Vice-Chancellors will not provide room for a flexible schedule. The child ombudsman believes that Sami children do not get what they are entitled to, namely a good Sami language training. There needs to be a conscious effort to train more Sami teachers and pre-school teachers. The process of developing and updating learning materials in Sami needs to be set up. The school must contribute more to raising Norwegian children’s awareness of Sami culture and language. We must also help to ensure that the peculiarity of our fellow human beings is safeguarded by their way of life, culture and values being passed on to new generations. I look forward to having a regular debate in Stortinget on the annual report of Sametinge. I hope it will be presented so that the debate can be taken in this Chamber in an appropriate and good way, and not just as part of a budgetary process.
ParlaMint-NO_2012-05-24.ana.ud1972e162	Norway was originally established in the territory of two peoples, Samer and Nordmen, and both peoples have the same right to develop culture and language. There is a broad consensus historical and political – with the exception of the Progress Party – that together is an indigenous people. I believe that with this international law they are entitled to special cultural protection. I think it's important that we are conscious of our own indigenous people, and that their situation and position are something that we bigotry politicians are aware of. In this respect, I am pleased that once a year we can debate the annual report of the Stortinget Sameting as a matter of our own, and not just as an attachment to the budget debate. Language is essential for the preservation of culture, and the Sami language is very central to us when we want to secure the Sami culture. Keeping the Sami languages alive is demanding. The Communication refers to the fact that southern Sami and lulesamic are particularly vulnerable language directions in Sami. There are few users, and it is therefore difficult to keep them alive. In many ways, minorities in the minority language are Sami and, in my opinion, require extra attention so that this culture is not lost. A real challenge in this area is that it is difficult to find interpreters for the two languages. Here, the whole thing has a special responsibility. It is important to facilitate that all municipalities have adequate educational resources available in all these languages. Of course, it's important to have enough qualified learning skills. The drop in the number of children who choose Sami as their first or second language in primary school worries me. I want to use the opportunity to highlight the importance of good framework conditions for the reindeer industry. Purgatory is an important Sami tradition — the main traditional bearer of the Sami culture. The cleaning industry depends on good and predictable framework conditions for survival. The large increase in the number of predators that have been in recent years is perhaps the biggest challenge for the industry, and in this area the importance of the predatory game settlement can once again be seen. Increased and faster uptake of pests will help the industry a great deal. Another reason for the loss of animals is the continuous driving of trains. In this respect, I am pleased that the Ministry of Transport has now taken action, and that one through the Railway Agency has developed an action plan aimed at reducing the number of animal crashes from 2,292 in 2010 to 1,400 in 2013. The setting up of fences and other measures is under way, and it is important to prevent new tragedies.
ParlaMint-NO_2012-05-24.ana.ud1972e177	The attitude shows that there is still a high degree of political consensus on Sami matters. A large majority agree on the comments in the vote. The merger is the main political body for joint ventures in Norway and it has the task of prioritising the needs of the Sami community. It's in itself a demanding task. It won't be any easier if we, like national politicians from big business and government, were to come up with too many views on what the Sameting should do. I therefore think it is good for the majority to stress that the Sameting is responsible for the areas of management assigned to it and for priorities between different objectives, within the framework available. I agree with the majority of the committee that the investment in Sami languages is absolutely central to ensuring Sami culture. The government has taken on a clear responsibility to ensure the development of the Sami languages, including: through the Sami language action plan. My hope is that this effort will help to increase the number of Sami language users and to make the Sami languages visible in public space. There have been a number of positive developments in the work on the Sami languages, including: we see that more and more adults are taking Sami language courses and that the efforts in Southern Sami and Lulesamian languages have given new energy to the language work in these areas. New venues for meetings between children and young people from Norway and Sweden, such as language camps, have helped to increase the use of lulesamic and southern Sami languages. We need more systematic knowledge of the use of the Sami languages. The Ministry of Knowledge, the Ministry of Education and the Ministry of Renewal, Administration and the Ministry of the Church have, therefore, jointly funded a study on the extent to which the Sami languages are used. The results of the study were expected in June. The rules of international law on indigenous peoples and minorities must be interpreted and applied to specific issues. In some respects, the Confession perceives that international law goes a little further than the government thinks it does, and we have to live with such disunity. One example is the question of the implications of international law for the work of the government's annual draft budget for the Stortinget. I am pleased that the merger president and I agreed last June on a set of practical procedures to be followed in the contact between the Sameting and the government in the work on the parts of the state budget relating to Sami purposes. I am aware that the majority in the Sameting feel that these procedures are not sufficient, and that the Sameting should have a greater influence on the establishment of the budgetary framework. However, the government believes that it must continue to be that the Storing determines the extent of the appropriations allocated to the Sameting of the State Budget and that it does so on a proposal from the government. The matter has been discussed for a long time, the positions have been clarified, and the chances of reaching consensus are considered as small. I am therefore not interested in any further rounds on the question of budgetary procedures. At the same time, we will consider eventually any improvements to the practical procedures as the merger president and I agreed on almost a year ago. I take note that the majority wants to continue the system of submitting the annual reports of the Sameting in a separate notice to Stortinget, among others. because it gives the Storting an extra opportunity to debate Sami issues. The work of writing a message to the Stortinget about the Sameting business for 2011 is in progress, and I intend to submit it at the end of September. As from the following year, the Ministry intends to submit the annual notifications by the end of June. I would like to note that the message we are now discussing was presented on 25 November 2011.
ParlaMint-NO_2012-05-24.ana.ud1972e203	Several have not asked for the floor on case No. 1st@item: inlistbox
