ParlaMint-NO_2012-11-21.ana.ud530e26	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2012-11-21.ana.ud530e29	I would like, on behalf of Kari Kjønaas Kjos, Tord Lien and myself, to promote a proposal on a pharmaceutical policy for the future.
ParlaMint-NO_2012-11-21.ana.ud530e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2012-11-21.ana.ud530e46	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Siv Jensen.
ParlaMint-NO_2012-11-21.ana.ud530e53	During the weekend, we could read the very strong story of severe fire damage Even and his family. It is clear that we also saw the unreasonable rate of wealth tax that affects this family, and I would like to ask the Prime Minister to confirm what the Minister of Finance has said, namely to clean it up. So I would like to allow myself to read some of that family themselves said to VG this weekend: «Mama Karina is not ready, but has a full-time job of keeping track of the paper mill around the son. The family has a lot of extra expenses, both for medicine and travel. They have to keep time-limits for reimbursement, in order not to be economically dependent. Parents must deal with several public authorities, NAV, HELFO, Patient's Trips and Health North. The system is complex, it's hard to keep track of it. – We often do not get an answer to what we are asking for, but we are only sent on to the system. You can call a whole week just to get the right person. In order to get involved in the legislation, and to know what we really have to do, we usually have to look for the Internet ourselves. But luckily now we have been given assistance to the administrative part, says Mom." It's clear that for this family, it's great that they've got that help. But it's quite amazing that it's going to be necessary to get administrative assistance from the public in order to meet the public bureaucracy. There are more and more examples in the public space that suggest that you should be very resourceful and really quite healthy to be ill in Norway. And there's a lot of examples of that from the media. There is a notice that we have received several health bureaucrats after the hospital reform, a doctoral student who says you need to be healthy to deal with getting sick in Health-Norway, there is a notice of a break in the waiting lists – not least about Filip, who fought Nav for five years before he got a hit. My question to the Prime Minister is: Does he think this is the right way to treat sick people in Norway?
ParlaMint-NO_2012-11-21.ana.ud530e77	I think it made the impression on absolutely everyone who read that story in the VG this weekend. It is good that there has been so much attention, because I believe that attention is important both for cleaning up weaknesses and deficiencies found in the Norwegian healthcare system, and actually also for the individuals who see them being finally seen. I can confirm what the Minister of Finance has said about the wealth tax. It's obviously an unreasonable rash, and it's time for it to be cleaned up. In the case of bureaucracy, I am very concerned that public services – in healthcare and elsewhere – should be made more accessible. There's a lot of things we do to contribute to it. An important measure, which the government is in the middle of now, is digitisation. It is simply that the normal first choice in the case of forms, in the case of papers and in the case of applications should be digital solutions. It will significantly reduce paperwork, make information and forms easier to access and reduce processing time. That is why we have now also launched the most comprehensive programme for simplifying paperwork and bureaucracy in the public sector through the digitisation of the public sector. Now we also get what's called e-ID, so you can use this simpler than what we're doing today. So red tape, simpler solutions, we're very much in favour. But in this case, I think maybe the most important question is that we also want to expand the Norwegian healthcare system, so that more people can get good treatment. That's where we see evolution going in the right direction. Several receive treatment, and the quality of treatment increases when we compare the quality of Norwegian hospitals – and treatment outcomes there – with other hospitals. We're among the best, but we're not satisfied with it. We will be even better, and therefore we need to further strengthen the Norwegian health system.
ParlaMint-NO_2012-11-21.ana.ud530e88	The even case is one example, but unfortunately it's not a unique example. I don't think we have to go into the claim that it's just an individual matter. Because there are a lot of people in Norway who experience the same when they get sick, that they have to spend a lot of resources finding out what their rights are, what their demands are, and how they are going to find out what information is about them. It's a very unnecessary burden for people who really have more than enough just to get healthy. Then I might think that one thing is digitizing, another thing is coordinating information. Only in the health sector is there a wide range of health portals to be searched for, in order to access relevant information. So the question is, does the Prime Minister think that what we're seeing now is an auxiliaries or whether it's – what we're going to call it – a ‘knock in the wheels-apparatus’?
ParlaMint-NO_2012-11-21.ana.ud530e95	There are between 8 and 9 million treatments, investigations, in the specialist health service every year. There are 1.8 million different Nordics receiving treatment in Norwegian hospitals and specialist healthcare every year — more than ever. The main picture is that people receive the treatment they require and that quality is good and increasing. But when there are so many people who are being treated, and so many different treatments, there are unfortunately still too many examples of failure and lack. We want to do something about that. We want to make it easier. These include: This is why we have introduced eRecept, and that is why we are now investing significantly in better communication between hospitals, between health services and the Interaction Reform – just to make everyday life easier and health services more accessible. In addition, we have announced that we will go through the entire law on health care rights, because it is too complicated.
ParlaMint-NO_2012-11-21.ana.ud530e102	Three additional questions have been asked so far, and this will be given an opportunity – first from the representative Per Arne Olsen.
ParlaMint-NO_2012-11-21.ana.ud530e105	The Prime Minister is absolutely right that we have a very good health care system. Very, very many people get good help in the Norwegian healthcare system, but unfortunately we also see many examples like that with Even – and many others. We are told every day, and I'm sure the Prime Minister will. We also see that there are the resource strengths that win through a tough system — those who can look for other treatment sites in the home and abroad. We also see that we have a strong increase in those who sign private health insurance, and that's exactly what it says that people have no confidence that they're getting the help in health care that they should get. My question to the Prime Minister will then be whether he will help us get a society that puts the patient higher than the system, and whether he will help us to strengthen patient rights – perhaps primarily by making health care so simple that you get the help you need, and not need help to get help.
ParlaMint-NO_2012-11-21.ana.ud530e114	When we discuss health policy, I think we have to try to be nuanced all of them. It is very important that we see all the simple examples of things that do not work – people who do not receive treatment, or people who have to work too much through bureaucracy and forms, to get treatment. At the same time, we must not lose the big picture, but give recognition to all the tens of thousands who work in the Norwegian health care system every day, who do a formidable job, and who ensure that we have – based on international comparisons – one of the world's best health services measured in e.g. survival, quality of treatment, safety of operations. Then we have to see the shortcomings, but also that the big picture is that the Norwegian health care system and all those who work there – doctors, nurses, health professionals – deserve recognition. So I'm concerned with simplification. And that's exactly why we've now launched the national core journal, which is going to involve significant simplification. That's why we introduced reimbursement digitally – we did a few years ago – and many other simplifications that make it less bureaucratic.
