ParlaMint-NO_2012-06-15.ana.ud2276e160	The representative, Mr Höglund, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e163	I am pleased to make a proposal on behalf of the representatives of Torgeir Táldal, Jørund Rytman and myself on changes in the Norwegian practice of the GSP trading system with developing countries.
ParlaMint-NO_2012-06-15.ana.ud2276e168	The representative Ib Thomsen wants to put forward a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e171	On behalf of the big business representatives Solvency Horne, Øyvind Korsberg, Christian Tybring-Gjedde and myself, I would like to make a proposal for state aid to establish a new Munch museum.
ParlaMint-NO_2012-06-15.ana.ud2276e176	The representative of Borghild Tenden wishes to make two motions for a resolution.
ParlaMint-NO_2012-06-15.ana.ud2276e179	I am pleased to be promoting two representative proposals – one from the representative Trine Skei Grande and myself on several opportunities for admission to higher education, and the other from representatives Karin S. Woldseth, Ine M. Eriksen Soreide, Hans Olav Syversen and myself on the ratification of the additional protocols to the Children's Convention.
ParlaMint-NO_2012-06-15.ana.ud2276e184	The representative, Mr Solvik-Olsen, wishes to make two motions for a resolution.
ParlaMint-NO_2012-06-15.ana.ud2276e187	I would like to make proposals on behalf of the representatives of Bård Hoksrud, Christian Tybring-Gjedde and myself on the adjustment of the charging system for imports of used cars between 15 and 30 years old, and proposals on behalf of the representatives of Christian Tybring-Gedde, Kenneth Svendsen, Jørund Rytman and myself on an investigation of the dynamic effects of tax relief.
ParlaMint-NO_2012-06-15.ana.ud2276e193	The representative, Hans Olav Syversen, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e196	On behalf of the representatives of Dagrun Eriksen, Geir Jørgen Bekkevold and myself, I would like to put forward a proposal for a representative to implement an action plan against Jewish hatred.
ParlaMint-NO_2012-06-15.ana.ud2276e201	The representative, Mr Jørgen Bekkewold, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e204	On behalf of the representatives Hans Olav Syversen, Kjell Ingolf Ropstad and myself, I am delighted to promote a proposal for a representative on better coordination and strategic management of ICT projects in the public sector.
ParlaMint-NO_2012-06-15.ana.ud2276e209	The representative of Mr Sonja Irene Sjøli wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e212	On behalf of the representative Bent Höie and myself, I would like to make a proposal for a new coal strategy.
ParlaMint-NO_2012-06-15.ana.ud2276e217	The representative of Trond Helleland wants to put forward a proposal for a representative. Helleland. The representative of Greece does not want to make a proposal for a representative – but the representative of Anders B. Werp does.
