ParlaMint-NO_2012-04-25.ana.ud1447e26	The representative, Mr Svendsen, will put forward two proposals for representatives.
ParlaMint-NO_2012-04-25.ana.ud1447e29	On behalf of the representatives of Ketil Solvik-Olsen, Jørund Rytman, Christian Tybring-Gjedde and myself, I would like to make a proposal to ask the government to present a plan on how electric cars and cars using new technology will retain a predictable tax regime over time. Then, on behalf of Ketil Solvik-Olsen, Christian Tybring-Gjedde, Jørund Rytman and myself, I will present a proposal for a new anchor fast for economic policy.
ParlaMint-NO_2012-04-25.ana.ud1447e36	The representative Per Roar Bredvold will put forward two proposals for representatives.
ParlaMint-NO_2012-04-25.ana.ud1447e39	I am pleased to promote a proposal for a representative on behalf of Harald T. Nesvik, Torgeir Táldal and myself to lift the concession requirement for forest property. Then, on behalf of Harald T. Nesvik, Torgeirar Träldal and myself, I would like to make a proposal to lift the obligation to live in forest properties.
ParlaMint-NO_2012-04-25.ana.ud1447e46	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2012-04-25.ana.ud1447e49	On behalf of the representatives Erna Solberg, Sonja Irene Sjøli and myself, I would like to make a proposal to ensure the quality and accessibility of the permanent and community health service.
ParlaMint-NO_2012-04-25.ana.ud1447e54	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2012-04-25.ana.ud1447e66	The Stortinget received on Monday a message from the Prime Minister's office that the Councils of State Trond Giske, Lars Peder Breck and Rigmor Aasrud will meet for oral Question Time. The state councils advertised are present, and we're ready to start the oral question procedure. We start with the first main questions, from the representative Gjermund Hagesetter.
ParlaMint-NO_2012-04-25.ana.ud1447e73	Unlike Norway, many countries have come a long way in terms of renewing, improving and simplifying the public sector. We don't have to go that far from Norway. Denmark has done a significant job in this area. Digital mailboxes have also been introduced. Only that alone has saved the Danes for 3 billion. DKK in postage costs per year. According to Secretary-General Per Morten Hoff of ICT Norway, a conservative estimate of how much can be saved by digitising and simplifying the public sector in Norway is 17 billion. kr per year. 17 B.C.E. kr is a significant sum. It's money that we could have spent on better services in the municipalities, in the public sector. We could use them for infrastructure, we could use them to reduce hospitals. We could also use them for tax expenses. It's a lot of things that one could have spent these money on if one had brought this in. But one hasn't. Numbers from Denmark also show that a digital request costs NOK 3; a manual request costs NOK 110. So there's no reason to think it's different in Norway. The difference is likely to be the same in Norway. But here it's done very little. And so we're not going to do the grips that make it possible for you to release resources that could have been used in completely different areas. Then is my question to the Minister of Renewal: Is there something wrong with the Norwegian people, or is it the government that has not done its job, since we are not able to achieve what the Danish people open up, simply to release funds that can be used for the benefit of the Norwegian people?
ParlaMint-NO_2012-04-25.ana.ud1447e84	I do not agree with the questioner's assumption for the question, because we have actually done a lot in Norway. We have conducted a survey, a survey, of the 100 most used services in the state sector, and among the 15 with the largest extent, 13 are now fully digitised. Then I agree with the representative Hagesetter that there is still a lot to do. Therefore, 14 days ago, the government presented a digitisation programme, which has great ambitions for how to digitise more public services. In the international context, Norway is at the forefront. We have good broadband coverage for the population. We have a digitally competent population where a lot of people use digital solutions. We see that the oldest part of the population — some of whom are very concerned about — has also adopted digital solutions. Eight out of ten Nordics use digital solutions, and we see, for example, in the case of the State pension fund, two thirds of the applications come in electronically and can be processed electronically. As the representative Hagesetter says, creating a digital mailbox is a lot to pick up on postage. However, the most important thing to do when digitising is to change work processes, so that the process can be automated. That is where the great savings lie. That's what we've done – in the tax rate for tax returns, we've got it in the Loan Fund, and we've got it into the State pension fund. So now we're doing a lot of work to also get a foundation wall that makes it even more appropriate to use digital solutions for the public, and the government has notified in the digitization program that we're going to change the law, so that digital communication will become the main rule between the citizens and the public. The same will apply to business.
ParlaMint-NO_2012-04-25.ana.ud1447e95	I register that the government is conducting investigations, I record that one has a digitization program, and that one has thoughts about this. But I think it's time for action, now it's time to pick up these savings, this simplification that's in it, as Denmark has done. I feel that there are too many words, distributions and programs about this – and too little action. Denmark spent last year's $3.5 billion. kr to public IT project. In Norway, it's impossible to figure out how much we've used. In Denmark, there is also a type of ROI, Return on Investment calculations, i.e. a cost-benefit assessment, which looks at the value of an investment. There is something corresponding to it not in Norway. I am looking for when we can get action, I am not interested in hearing about the programs and the investigations and what the government is planning. That's what time we get the effect of this, I'm interested in.
