ParlaMint-NO_2012-10-10.ana.ud2057e26	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2012-10-10.ana.ud2057e38	On Monday the Stortingen received a message from the Prime Minister's office that the Councils of State, Liv Signe Navarsete, Kristin Halvorsen and Lisbeth Berg-Hansen will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Torgeir Tjäldal.
ParlaMint-NO_2012-10-10.ana.ud2057e45	I want to ask questions to the Minister for Fisheries. In this year’s budget, the government has put forward a proposal to significantly increase customs duties on cheese and meat. For example, there is an increase in the number of young people in the labour market. The cheese to 277 pst., you increase the customs duty on lamb to 429 pst., and you increase the customs duty on beef to 344 pst. This is a policy The Progress Party is strongly opposed and we want to change. Not only does this mean that consumers get much more expensive food out and poorer selections, but we have also seen that we have had major reactions from European countries, which go out and say that criminal tariffs and criminal responses and sanctions against Norwegian exports are being assessed because of the policy pursued. Fisheries policy, as the Minister knows, is incredibly important for the nation of Norway. Today we export 38 million meals of fish food out of the country every day – an industry that actually sells for 53 billion. kr every year. It's very big, and it's actually the second largest export we're doing outside the oil business. And the EU is also, in fact, the largest and most important market for us, which means that these threats of sanctions are dangerous to the nation and among others. for the fishermen in the districts and everything. So my question to the Council of State is simple: can the Council of State guarantee that the Norwegian fishing industry will not be harmed if the EU introduces increased customs duties on maritime food because of what the government is now going to introduce – so that the increase in customs duties by farmers is not allowed to go beyond the fishing industry? What does the Council of State do?
ParlaMint-NO_2012-10-10.ana.ud2057e56	The representative, Treldal, refers to what was presented in the State budget recently and indicates that the Progress Party is strongly opposed to it. What I can say is that the government is at least strong for us to have a strong, uphill agriculture throughout the country. So the issue of fisheries policy. What I agree with Mr Tåldal is that fisheries policy is very important, the fishing industry is very important. Therefore, what we work late and early to increase the market opportunities of Norwegian seafood ‘world wide’. I have to say that the industry and many others have contributed very well. The EU is, as was said, the main market for seafood, about 60 pst. Norwegian seafood from Norway enters the EU. But that actually means another thing – it is that the EU is also interdependent on Norwegian seafood. A large number of people in the EU are employed with a background in Norwegian seafood. So it's also like we have an EEA agreement that regulates a lot, it also regulates fish. There is a separate chapter dealing with trade in seafood, and Protocol 9 to the EEA Agreement states that it is largely free trade or strongly reduced rates of duty. In addition, there are some sensitive species of fish, and these are the important species of fish for us, among others. salmon. It says the percentage of product on the seafood – e.g. The salmon fillet is 2 pst. customs duties – and therefore it cannot change the EU. They are obliged to do so and, of course, cannot change it overnight, it happens through negotiations.
ParlaMint-NO_2012-10-10.ana.ud2057e67	Governments refer a lot to salmon and such things, but some of the problems are whitefish. It is the white fish, of which we also export a lot to the EU, which is the problem. We're kind of exporting the salmon around the world. That is what the Council of State also knows, that up in North Norway, where she herself comes from, Northland – which is a great fishing ground – you have extremely large quantities of white fish in stock already today, which you have not sold. And it's clear, now we're going towards a new fishing season that's coming, and the boats are about to start coming into the port and going in with a new cargo, and then we're also dependent on selling out the cargo we have. Therefore, if you get a counter-reaction from the EU, as has been said, it will be extra hard for the districts in particular and for the industry. So my question to the Council of State is: what has the Council of State done to avoid – can she clarify more precisely what to do to avoid – that you get these sanctions? And what counter-reactions can be expected from European countries?
ParlaMint-NO_2012-10-10.ana.ud2057e74	Then I almost have to repeat some of what I said in my first answer, because this relationship is actually regulated in Protocol 9 of the EEA Agreement, unlike trade in agricultural products. It's listed, line by line, percentage by species. It may be like – call it a curiosity – but it also shows that the EU is pursuing policies. The fresh salmon fillet is 2 pst. Toll on, smoked salmon is there 13 pst. On. The government said 17 pst here, but the right number is 13 pst. Of course, they protect their industry – quite normally. In the case of cod, it is, to the most extent, a world product. There's a lot of cod going to Brazil, and not least to China. It's a desirable commodity for the industry around the world. So the representative is right that there is concern in some markets, but it has absolutely nothing to do with this matter. It's all because of other things that we're working on, of course. And maintaining the good "standing" of the seafood around the world, it can't be said that this customs has any meaning for.
ParlaMint-NO_2012-10-10.ana.ud2057e86	There will be three follow-up questions – the first question is from Jon Georg Dale.
ParlaMint-NO_2012-10-10.ana.ud2057e89	I register that the government does not respond to the actual challenge associated with white fish. It is such that the Fisherman’s leaves write that there is still ‘full of fish on the freezer’ and that exports go down. In such a situation, the government chooses to increase the risk of Norwegian criminal duties on the fish that we already have full freezer stores. That's a problem. Therefore, the question to the Council of State is very simple: Is the Council of State comfortable putting Norwegian jobs at risk in Norway's second largest export industry? Is she comfortable increasing the risk of job losses in the districts, in one of the most important district industries we have? And is it a good enough purpose to put these resources at risk – saving the centre party above the barrier limit by means of increased agricultural subsidies also to the next choice?
ParlaMint-NO_2012-10-10.ana.ud2057e94	I notice the use of the term 'criminal duty'. I would warn against using that kind of thing in this debate. What has been done with regard to customs duties on agricultural products is fully compatible with WTO legislation. It's important for me to stress, because there's a code that we, the exporting state of the sea, depend on, it's the WTO code. It obliges us, and of course it also obliges our trading partners. So that's what I want to warn you about here -- there's absolutely no need to talk about criminal tariffs in any context. Norwegian seafood can do a lot about it, but it's all because of other things. Of course, when reference is made to stocks of frozen fish around them, this is not due to the customs discussion we have in Norway today. It's due to market conditions that I take in the highest seriousness, and that we work very well with, along with the industry.
ParlaMint-NO_2012-10-10.ana.ud2057e101	Jan Tore Sanner – for follow-up questions.
ParlaMint-NO_2012-10-10.ana.ud2057e104	I am surprised that the Minister for Fisheries is so carefree. It is in stark contrast to the leader of the Fiskerlag on Monday, where he said that he fears that the customs matter will shake the Norwegian fishing industry. One should not be very skilled in this area to see that measures aimed at shutting down European cheese and meat from the Norwegian market, or at least limiting access, can be met with countermeasures. In the debate on the NRK on 27 September, the leader of the Fiskerlag said that the Minister for Fisheries said: ‘She has fought a struggle in the government and lost’. [[...]] My question is: what was the position of the Ministry of Fisheries and the Minister of Fisheries on this matter when it was debated in the government? Is it true that the Minister for Fisheries fought and lost this matter?
