ParlaMint-NO_2012-01-11.ana.ud1477e26	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2012-01-11.ana.ud1477e29	I am pleased to promote a proposal by the representatives of Bård Hoksrud, Inbjørg Godskesen, Arne Sortevik, Oskar J. Grimstad, Åge Starheim and myself to set up a new vulnerability committee.
ParlaMint-NO_2012-01-11.ana.ud1477e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2012-01-11.ana.ud1477e46	On Monday the Stortingen received a message from the Prime Minister's office that the Councils of State Kristin Halvorsen, Magnhild Meltveit Kleppa and Anne-Grete Stroem-Erichsen will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We'll start with the first main question, from Per Arne Olsen's representative.
ParlaMint-NO_2012-01-11.ana.ud1477e53	My question goes to the Minister of Health. And I can, while she's on her way up here, reassure her that I'm not going to ask questions about Bente Mikkelsen's education trip to Rome, but I'm going to get into the field of cancer and prostate cancer. There were many who responded when in November I let the bar grow, as part of the Movember action. I must honestly admit that the aesthetics were not at their best, it was not beautiful, but it was not the most important thing either. In this way you can find comfort in the fact that some hotel owners have recently gone into the same barterie. What was important about the Movember action, however, was to focus on prostate cancer. Prostatic cancer is the most common form of cancer among men, and unfortunately it is also such that Norway tops the statistics on the number and mortality of prostate cases associated with this disease. In today's Business on 7 January, one of Norway's leading prostate surgeons takes the leaf from his mouth and says the following: ‘I would have gone abroad to operate prostate cancer, if I had had the resources.’ He explains this in the following way: ‘These are shorter waiting times, often given the latest equipment, the most experienced surgeons.’ He refers to the lack of medical equipment and the lack of private use as an obvious problem in Norway. We have had a year when cancer treatment, waiting times and guarantees have been the subject of great debate. It is perfectly obvious that the government will soon have to do something and not just talk. So my question to the Minister of Health is this: Will the Minister of Health, like one of Norway's leading prostate surgeons, recommend Norwegian men to go abroad?
ParlaMint-NO_2012-01-11.ana.ud1477e76	It has always been that someone chooses to travel abroad for treatment. But my concern is to create good treatment in Norway, so that there should be no question whatsoever for anyone if they should have to travel abroad. It is possible to produce the Norwegian health care system in many ways, but I would like to stress that the Norwegian health care system is at the top of the world in many areas. Then we have our missing somewhere. Prostate cancer is an area where we see, and has seen repeated media headlines and also in the debate here in Stortinget, that there are a lot of people waiting for a long time. We also saw that while this doctor in Oslo went out in today's business, there was one in the West who had a different vision. Then it's the discussions about when to operate, how to operate, and who to operate. There are demanding questions, and I've understood that it's particularly demanding in prostate cancer. There's no doubt that this is a cancer that we have to take very seriously, and that we have to build up operational capacity for in some hospitals. That's exactly why we have these objectives and have made demands on the hospitals for a treatment course in cancer that we can measure, and that they should be arranged to provide good treatment for men with prostate cancer as well as for women who get other cancers.
ParlaMint-NO_2012-01-11.ana.ud1477e85	The Health Council says that you have to create a good treatment and thus ensure that there is no need to travel abroad. That's what's at the heart of the question. What is the Council of State's response to create this good treatment? Where are the proposals to buy more and new equipment, PSA screening, for example, so that you can detect prostate cancer earlier? Where are the proposals that will increase capacity? Where are the proposals that will improve the quality of Norwegian surgeons, which are good, but which can be even better? What I'm wondering, and I think many in Norway are wondering, is not just hearing about everything that's good, but what the Council of State should do to create the good treatment she says she wants.
ParlaMint-NO_2012-01-11.ana.ud1477e90	I would like to stress that we have good treatment in Norway. So we know that in some areas we can get even better. That's why we're measuring. That's why we've increased the budgets of hospitals, so that they'll be able to renew both equipment and buildings when needed, and also competence, if that's what's necessary. That's why we've set targets, we're demanding hospitals how to arrange the treatment for 80 pst. of all cancers. We have focused on increasing competence and not least on measuring results. If we're going to know if we're getting better, we're going to have to measure. That's what we've started with. The figures have been published. We also see very happy numbers for some cancers. We've measured three especially now in terms of waiting times. Next year we're going to measure a lot more. We see joyous numbers for someone. Some hospitals are already targeting this, but we can get better in many places.
ParlaMint-NO_2012-01-11.ana.ud1477e95	Three follow-up questions have been asked and are raised – first by the representative Jon Jäger Gåssvatn.
ParlaMint-NO_2012-01-11.ana.ud1477e98	There are two critical factors we see in the suspicion of prostate cancer. One is the time that goes from the supervisor to the specialist and until you get a biopsy and possibly an MR, and the other is the time that goes on until surgery. These time factors are critical to the continuation of treatment and survival. Today it takes between 16 weeks and up towards one year here in Norway. How do the state councils view the time factors in view of the government's so-called cancer guarantee objective? That's the one question. The second is on the factor called ‘learning by doing’. In Norway, it is up to 40 pst. of the operators who have erection problems and urinary leakage after a prostate operation. In the United States we hear about hospitals where only 2 pst. have such aftereffects. How will the Council of State reduce the negative repercussions in Norway on the affected man population?
ParlaMint-NO_2012-01-11.ana.ud1477e105	I say in some areas we're good, in some areas we can get better. It is evident that the need for treatment of prostate cancer is increasing. We have to take that seriously. Competence is involved, it is an increase in operational capacity, but it is also a question of finding the right methods. In fact, precisely because of side effects, there is also a technical disagreement about when you are going to enter and operate. At least that is not a political issue, but as politicians, of course, we should facilitate surgery. In the case of general health checks and PSA tests, the health authorities’ recommendation in relation to it is at this stage that we should not do so until now, not without the general hereditary nature of the family.
