ParlaMint-NO_2012-01-31.ana.ud2406e57	The representative, Dag Terje Andersen, will present a draft constitution.
ParlaMint-NO_2012-01-31.ana.ud2406e60	On behalf of the representatives of Øyvind Korsberg, Per-Kristian Foss, Marit Nybakk, Dagfinn Høybräten, Trygve Schlagsvold Vedum, Trine Skei Grande, Snorre Serigstad Valen and myself, I am delighted to present a proposal to amend the Constitution § 14 in order to exclude the appointment of magnification representatives as state secretaries.
ParlaMint-NO_2012-01-31.ana.ud2406e65	The draft Constitution will be dealt with in a regulatory manner.
ParlaMint-NO_2012-01-31.ana.ud2406e81	The research debate may seem to be about numbers, crowns, and percentages. However, the debate on research policy must also focus on what steps we can take to lift Norwegian research, what policies and measures we can develop politically to address challenges and exploit opportunities, so that the social return on research efforts is as high as possible. At the same time, we need to think smart and long-term, bet in areas where we have special advantages, make sure to position Norway in international research cooperation, make it attractive for young talents to invest in a research career and ensure Norwegian researchers access to high-quality infrastructure. It is important to take care of schemes that reward our leading research communities, but also to ensure sufficient funding for free, curiosity-driven research. For no one has been given to know what the scientific breakthrough of the future can give us of new technologies, products, businesses and industries. In 2012, the right will also raise interpellations and promote representative proposals here in the Storting on these and other issues of research policy. Then we will first of all have to take the number debate when we deal with the budgets. Today's interpellation is partly an exception. My interpellation is about how much private research effort is and, more importantly, how much it should be in Norway and how we should get there. Enterprise investment in research and knowledge development is important for at least four reasons: The overall Norwegian research effort shall provide society with the diversity of new knowledge needed to solve challenges in all parts of society, thus safeguarding tomorrow’s value creation and well-being. It is obvious that research in enterprises is necessary to do this. It is also natural that the overall research effort of society must be a spice layer, with public funding primarily to ensure basic research, infrastructure and research where the social return is high. Private funding will naturally be channelled into more entrepreneurial research, where business-economy returns can be the first. So we know that Norwegian companies have a high cost level compared to most competitors in other countries. It is above all higher quality and more innovative products that can withstand this cost reduction. The commitment to research and development in industry contributes greatly to this and thus strengthens the competitiveness of enterprises. Finally, companies and countries that are going to do well in the future must have a high level of innovation, i.e. a willingness to change and opportunities to develop and/or implement new technologies and solutions. Business research strengthens the innovation capacity of industry and thus of the whole country. Most developed countries have set targets for their research efforts. The measurements vary roughly between 2.5 and 5 pst. GDP. Norway has relied on the EU recommendation that the total research effort should be 3 pst. GDP. This can be seen as a measure of how much of today’s value creation should be set aside and invested in new knowledge to ensure tomorrow’s value creation. Furthermore, the public interest shall be 1 pst. and business share 2 pst. GDP. Compared to most countries it is natural to compare with, Norway is making good progress in public research efforts, which are now just below the target of 1 pst. GDP. The private research effort, on the other hand, amounts to only approx. 0.7 pst. of GDP, although it has been a relatively strong growth in the last 15 years. The private research effort thus needs to be almost tripled in order to achieve the objective set by the government, as well as to have an increase that keeps pace with projected GDP growth in the future. It is not difficult to see that this will require much new policies, stronger instruments and certainly even more shy incentives than what we have today. Nevertheless, when the Right and the undersigned have challenged the Minister for Research on several occasions on this subject, the answers have been elusive. According to Soria Moria I and II, the target is 3 pst. for research, although the time-limit for reaching the target was deleted in the Soria Moria II declaration. The Minister of Research did not want to answer whether the government has a plan to achieve this goal, in addition to referring to today's instruments. But in a line-up in the debate on this year's budget, she admitted that the weak research effort in business was her great concern. I would assume that the Minister of Industry also shares this concern, as there will be agreement later on on on the importance of investing in a more knowledge-based business in the future. I also believe that the government's research committee has discussed this issue and that the Minister of Industry has therefore assessed how the existing instruments, which are largely in his department, could have been strengthened. Although industry’s increased research effort must primarily come from businesses and be financed by industry, some of the measures will involve increased public budget lines, for example. if TAX FUNN is to be extended and strengthened or other tax incentives established. Strong growth in the research effort of industry needs to be followed up with increased frameworks in the public sector schemes, such as: the scheme User-led innovation arena. I would therefore like to stress that I believe that the public research budgets need to be increased beyond 1 pst. GDP if such strong growth in the private sector is to be realised, in order to achieve the overall 3 pst. target. The comfort is that the growth in research efforts in industry does not have to be as large as today's figures suggest, unless we do not do as our Nordic neighbouring countries do and adjust the target to 4 pst. GDP. But first of all, it must be made clear whether the government has plans to achieve the goal it has set itself. Of course, there is a complicate factor in the absence of a time limit for achieving the target, after the government has removed it when the current Research Communication was adopted in 2009. I therefore look forward to the Minister of Industry's reply. So my questions are summed up: the government maintains the goal of investing 3 pst. of GDP in research? The industry's share is still going to be 2 pst.? When does the Minister of Industry think this goal can be achieved? What strategy will the Minister of Industry recommend to the government in this case?
ParlaMint-NO_2012-01-31.ana.ud2406e120	The issue of the representative Warloe travels is important and interesting, but also more complex than it is produced in the interpellation. Research gives rise to new ideas, forms of organisation and technological solutions that can contribute to increased innovation in industry and the public sector. Research is also a tool to turn ideas into innovative solutions. The research effort put into enterprises and universities, colleges, health companies and research institutes contributes to a better state of the art for the future of today's and tomorrow's activities. According to preliminary figures published by the Statistical Central Bureau on 28 October 2011, industry spent 18.5 billion. kr for own research and development carried out in 2010. The year before, business spent 18.2 billion. kr on own R & D and purchased R & D services for 5,6 billion. kr in addition to own R & D effort. Unfortunately, we do not have figures for the purchase of R & D for 2010 yet because the SSB has not planned to publish final and complete R & D statistics for 2010 until the end of February 2012. Furthermore, there was a clear growth in the R & D effort of industry from 2005 to 2008, but thereafter growth has stopped. Based on the preliminary publication by the SSB, industrial investment in own R & D as a share of gross domestic product fell from 0.78 in 2009 to 0.74 in 2010. This is about the same level as in 2007 and 2008. The number of enterprises reporting own research activity is almost unchanged. It is primarily the activity of the average entity that is somewhat diminished. There is reason to believe that this slowdown has a background to uncertainty regarding both financing and market prospects, which has followed the financial turmoil over the last few years. The international economic crisis is likely to have a noticeable impact on Norwegian business as well. One of the consequences is that Norwegian companies seem to have to postpone or reduce investment in long-term knowledge development, research and innovation. From the 2008-2010 innovation survey just presented by the SSB, we know that economic factors appear to have particular significance for the innovation activities of enterprises. Both innovators and non-innovators have seen an increase in the proportion of enterprises reporting that one or more inhibitory factors have been very important, or rather important, to prevent or limit their innovation activity. Excessive innovation costs, lack of funding within the enterprise or group and lack of funding from sources outside the enterprise are the most reported. However, the financial contribution from government to industry has never been as high as this year. The appropriations for the Research Council of the Ministry of Industry and Trade budget have increased from 896 million. SEK in 2005 to SEK 1 360 million. kr in 2012. Industrial aid to R & D above the NHD budget, which also includes R & D contracts in Innovation Norway and space research, amounted to approximately 1370 million. kr in 2005 and increased to approximately 2 200 million. kr in 2012. In other words, there has been a significant increase from this government in investment in research in and for industry. The current instruments and appropriate measures that interact with them are also located in other departments. In this respect, I would like to refer to the Minister of Research and Higher Education's response to the interpellation of the representative of Warloe on 17 November 2011. The increase from 2011 in the allocation of the budget of the NHD to the programmes of the Norwegian Research Council is aimed at strengthening research on biotechnology and nanotechnology and commercialising research results. This year’s allocation to the BIA programme will allow for a call of 450 million. kr for a four-year period. It's a significant call. The total amount allocated in the BIA since the start in 2006 is 2.3 billion. kr. Total funds invested in BIA projects — including industry’s own contribution — amount to approximately 6.5 billion. kr. The government continues to maintain a high level of activity under the scheme of R & D contracts under Innovation Norway in 2012. For 2012, this scheme will include, inter alia: emphasis is placed on projects in industry where Norway has a natural advantage and on projects contributing to the internationalisation of Norwegian enterprises. Representative Warloe also mentions SkattenFUNN, which is under the Treasury Minister's portfolio, in its interpellation. TAX FUNN was introduced for small and medium-sized enterprises from 1 January 2012 and for all enterprises from 1 January 2003. The number of enterprises using TAX FUNN has decreased every year since 2004. At the same time, average aid amounts per undertaking have grown. The government has strengthened the TaxFUNN over the last few years. As of the fiscal year 2009, the annual project cost of own R & D increased from 4 million. NOK to SEK 5.5 million. NOK 8 million and 8 million. NOK 11 million. kr for purchased R & D. Furthermore, the government updated the legislation with effect from 1 January 2011, inter alia: a new definition of experimental development was included. The tax FUNN scheme is thus now relevant to undertakings developing technologies where investment into demo or pilot installations is required. Total tax credits decreased slightly between 2005 and 2008, but increased again in 2009. In 2010 and 2011, a relatively flat trend is expected. The tax expenditure for 2012 has been estimated at approximately 1 300 million. kr. The long-term objective of total research effort to be 3 pst. GDP is fixed, broken down by public and private sectors. This is the same long-term objective that the EU has, and reflects approximately both the level and the distribution between industry and the public sector in the United States. However, the government has also underlined the need to shift the focus of research policy from such a resource effort target to the results of efforts. The development of resources used in the field of research is not in itself a good indicator of the development of quality and performance. Neither the Soria Morias 3 Pst. goal nor the OECD average is an end-of-life goal in itself, but only one of several goals of a development path that will help us, as a nation, to be sufficiently equipped to meet tomorrow's challenges. The ability of society to transfer and use research-based knowledge is central. The distance to the 3 p.m. target was marked in some years by the research policy debate in Norway. It must not overshadow what we have actually achieved in the area. The government's high level of ambition for public funds and the total amount of research investment remains constant. A good business and research policy does not depend on the achievement of the target figure in 2012 but on the contribution of the country's total resources to the best possible future value creation. Our ultimate goal is for Norway to become one of the leading, innovative, dynamic and knowledge-based economies in the world. It's an ambitious goal. Our ability to create values in the future will certainly depend even more on our ability to develop and apply new knowledge than today. This requires that Norwegian society can exploit research results that have been developed internationally, and that we ourselves are in the research front where we have opportunities to do so. The necessary transformation and further development of current business life as well as the establishment of new businesses will in the years to come be even more knowledge-based. If we are to be able to face future competition, it will be absolutely necessary to strengthen the knowledge base of the existing business as well as of the public knowledge providers. But it is also a mixed picture we have of the development, where low research investment in business coincides with Norway's high level of research annuals and research personnel. Of the resources used for R & D, the number of persons involved is likely to tell the most about the ability of the economy to build and disseminate new knowledge. As the number of year-olds is defined by the OECD, enterprises in Norway appear as the eighth most annual intensive among OECD countries. It also tells us something else about the research ambition. There are about 64 000 employees in what we call research personnel, of which more than 23 000 are in business. In 2010, there were about 10,000 new higher graduates from universities and higher education institutions and about 1,000 PhD candidates in addition. This means that even though all the graduates went into research, it will take four to five years or more before a doubling of the research staff takes place. Of course, this is too simple to compare, but it conveys that it is not reasonable to face a situation where the majority of the graduates go into pure research. Not only is it impossible to see what means we should use, but this will lead to business and administration not having access to qualified and newly educated candidates during the same period. Developing a more knowledge-based business involves increasing research focus, but increasing research activity must be a long-term process. The R & D effort of industry will depend on the general framework conditions, on the availability of research resources and knowledge, and on own funding and triggering public funding. When this is the case, it is the responsibility of industry to carry out research and development for future competitiveness. Over the course of a few years, financial market turmoil has dampened business activity. It shows how important the government’s contribution to financial markets has been and that what can be achieved through selective measures is limited. In order for new knowledge to lead to innovation in the private or public sector, it must be used. The interaction of enterprises with research environments is important. This is done directly through the commercialisation of research results and indirectly through the recruitment by industry of candidates and researchers, mission research, knowledge dissemination and development of competences. Universities, colleges, health enterprises and institutes are also important exchange ports for knowledge and technology developed in different countries through participation in international research cooperation.
ParlaMint-NO_2012-01-31.ana.ud2406e158	It is true that I have addressed this issue, as also mentioned by the Council of State, in previous interpellation, and it has been addressed in different contexts. But it's hard to get an answer to what we're asking about, and unfortunately it was also in the contribution from the Minister of Industry. I am aware that the objective remains that Norway should be one of the most innovative countries in the world. I did not choose to use it against the government in my first post, because I agree with the Council of State that it is a very ambitious goal. It may be an understatement, as it is called, especially when we know that Norway is the worst in the Nordic region. We are at the bottom of research and development efforts, we are below the average in Europe for innovation, we are also the worst in the Nordic region for the commercialisation of research results – here in Stortinget, just before Christmas, a separate proposal from the Right on enhanced commercialisation of research was discussed. We are also, showing indicators from the Research Council that came last autumn, the worst on cooperation and contact between academia – universities and colleges – and business. So Norway is different from the other Nordic countries, which are easy to compare with, actually. So in all of these conditions and factors, we're in the worst position in the Nordic region. What is a little sad is that the other Nordic countries are not only better than us in the Nordic countries, they are also at the top of the European countries. Sweden is on top, Finland is on top, Denmark is on top. So we have something to go after. That's why we are now challenging the Minister of Industry, and former Minister of Research and Higher Education: What does the government think about this? One thing is to frame up what you're doing, but it's obviously not that politics works satisfactorily when we score so badly. So I get to repeat my questions: does the government maintain the goal of investing 3 pst. of GDP in research? The industry's share is still going to be 2 pst.? When does the Council of State believe that the goal can be achieved? The NHO has developed a plan that shows that the target can be achieved by 2030, but it also requires considerable efforts. What strategy will the Minister of Industry recommend to the government in this case?
ParlaMint-NO_2012-01-31.ana.ud2406e169	As I said in my previous post, the 3 pst. goal is fixed. It is a fact that the Norwegian research effort has never increased as strongly as it has done under the red-green government. In fact, as a percentage, the research budgets have increased as much as the cultural budgets, as I know well, and as I know, the representative of Warloe also knows well. We've been talking a lot about a cultural promise. There are few who have spoken about a research promise, but the reality is that the percentage increase has been partly greater over these years – about the same as the increase in culture, but in billions much more because the starting point of course was much larger budgets. And it's also true that we're a little bit lower in private business. Now it is no disadvantage that we have a very high GDP, and therefore a great research effort does not make up as much of GDP as it does in many other countries. Among other things, it's caused by very large oil revenues, which means that we get a lot of money back. The billions we spend on research, for example. in the oil and gas sectors, large investments, but percentage of gross turnover they generate, do not constitute as much as in other industries. We're going to be happy for that, because it brings huge income to our country. At the same time, the representative Warloe describes a true and fair view that the world economy is becoming more knowledge-based, and that being an innovative nation requires continuous efforts to improve knowledge, production processes and products. I think we've gotten better over the last few years in commercialising research results. I think our universities and research institutions are doing an increasingly better job of contributing to bud shooting, to corporate investment, to patenting, to business development. We need good research environments at universities, colleges, health companies and research institutes, but we also need to have this bridge into the business community, which the representative is also involved in. It is also an important objective to increase the quality of Norwegian research, because it is not only the number of crowns or the number of heads – as it is easy to measure – that is crucial, but also that the quality of research is of international value, that it actually contributes to the development of unique, sought-after knowledge, which is also useful for Norwegian business development. It is then an important objective that the Norwegian research communities and knowledge companies have close international research cooperation, including: through broad participation in the EU Framework Programme for Research and Technological Development. We need to realise that the vast majority of new knowledge will be developed in countries other than Norway, and the fact that our environments can use it quickly and efficiently is of great importance for Norwegian business as well.
ParlaMint-NO_2012-01-31.ana.ud2406e184	It's a very important theme of the interpellant here. In order to create a basis for future value creation and well-being, it is crucial that our companies use new knowledge and research on nutrition rights. We're probably a couple of people about this, all of them. We might also be able to say that we haven't reached our goal of 3 pst. of GDP for business research. A knowledge-based society based on knowledge-intensive, commodity-based industries with a relatively low level of patenting is poorly influenced by the usual international indicators. Even research-intensive enterprises such as Statoil come out poorly, because the petroleum industry is defined as low-tech. Indicators also capture to a lesser extent the impacts of innovation in the public sector. But although it should and can be rejected more from the business side, it is not that the 3 pst. goal is a goal in itself. The government has set itself a bold goal of becoming one of the leading, innovative, dynamic and knowledge-based economies in the world. To achieve this goal, an active industrial policy will be pursued. A targeted effort, especially in the marine and maritime sectors, the environment, energy and travel, is the opposite of a business-neutral policy. Public R & D support for enterprises in industry has been significantly strengthened over the last ten years and is now at a relatively high level compared to other countries. The research council's support for business increased by more than 300 million. kr for the period 2006-2010. In 2010, there were about 2.3 billion. In order to provide public support to R & D in industry through the Research Council and the SkattenFUNN, which the representative was also involved in. It was about 10 pst. by the public support of R & D. My claim is that in this debate, too, we will experience that the representatives from the Right measure the situation we have in Norway, especially when it comes to Norwegian business. Neither research effort nor innovation in Norway is as bad as many people want it to and produce it as they do. Right will also open up to the TaxFUNN scheme to cover innovation activities. The problem is that it will create major mitigation challenges: What is innovation, and what are more operational activities? This will challenge the TaxFUNN scheme, and the danger may be that much will end up in the legal system. The government has put in place a number of mechanisms to strengthen cooperation between universities and businesses, research in and for business and the commercialisation of research results. In particular, a notable scheme with the Centre for Research-driven Innovation and Research Centres for Environmental Energy, Norwegian Centres of Expertise, the Närings-Ph.d. scheme, is a tool for regional R & D and innovation, VRI. I would also like to mention the regional research fund scheme. User-driven research, where enterprises are project leaders for the research project, has been strengthened. Here the project's expected triggering effect on the company's own R & D activity is a criterion for allocation. That's good. The system of commercialisation of research results from universities, colleges, institutes and health professionals has also been strengthened in recent years through the FORNY 2020 programme. I also want to mention HAV21 and MAREANO. We're actually researching no maritime for nearly 3 billion. kr annually in this country. There's a lot of money, but we always have to ask ourselves, do we use the resources right? What kind of knowledge do we need for years to come? Is there the area where we need to strengthen our efforts? Environmental technology is another theme I would like to pursue. In 2011, in order to increase efforts towards the development of eco-innovation, we have established an entirely new three-year eco-innovation programme. The new research message coming next year will be very important. Norway is a good country to run business. Norway is doing well, and there are many people with optimism, attitude and good ideas. That doesn't mean we don't have challenges, and we don't have to work every day to make the conditions even better. On the contrary, we work on the framework conditions for industry all the time every day.
ParlaMint-NO_2012-01-31.ana.ud2406e205	First, I would like to thank the representative for addressing this important topic of strengthening business research. Now it is once that the future will also be created, it will not be adopted. We must therefore facilitate relationships for people who are able to create values. The investment in human capital needs to be strengthened if welfare and prosperity are to be maintained. Norwegian industry and labour are not in a position to compete at prices with foreign industries. Our companies have to compete with top quality and efficient solutions to sell their goods and services. Therefore, it is of great importance that Norwegian enterprises get good and predictable incentives to engage in research and development. In order to achieve this, research efforts need to be stepped up, and then business research efforts need to be facilitated. The Research Council’s user-driven innovation arenas, the Centres for Research-driven Innovation and the TaxFUNN are important instruments to stimulate closer business-academic cooperation. Another important measure has been the gift-enhancing scheme introduced in 2006. This one's been laid off by the government. That seems to me to be in stark contrast to what Heggø says, which commends the government's commitment to cooperation between business and educational institutions. The progress party sees this as a cut in some of the most user-driven research we have. Industry and other business have a number of gift professors going on for years. The feedback from, among others: maritime nutrition is that the gift-enhancing scheme has been essential to provide a total of 20 gift-professors to maritime R & D at universities and colleges throughout the country in recent years. We believe it will be difficult to achieve the government's objective that business will be responsible for two thirds of the research effort in Norway when business research systematically loses in the budget by budget. In fact, the Progress Party was very excited about what action the Council of State would propose to strengthen business research. The councils showed that he was very aware of the importance of business research. The Government aims at Norway becoming world leader in research and development. I must say, unfortunately, the Council of State did not take the ball. He did not use the possibility of introducing any new measures to strengthen industrial research. At least it doesn't cut down on the way to the goal.
ParlaMint-NO_2012-01-31.ana.ud2406e220	This is a topic that many people are busy on, not least in Norwegian business. That's why it was a little surprising for me to hear the representative from the Workers' Party describe addressing these issues as a black paint of the situation that is. No one has said that there is something wrong with the measures being taken — on the contrary. But the goal is not achieved, and the question from the interpellant is, what can we do? Then I think it is completely wrong to dismiss it as a black paint of the situation and answer with statements that Norway is a good country to operate in. There is no doubt about that. What is now the matter is that our competitiveness has been significantly weakened in recent years. Of course, it is also linked to the crisis in Europe that the Council of State was in. It just means that, in such a situation, we need to use all the means available to repair that situation — not acutely, but in the long term. This is when research and development are at the bottom. If we are to be the leaders in the world of innovation, to which the Council of State is committed, and which we all want, that is absolutely necessary. Then I don't think it helps to bombard the Great with statistics and percentage calculations about what's done. The important thing for us, and what the interpellant is interested in hearing, is how to think about it in the future. I agree that the Minister of Industry has limited measures in his portfolio. There have been a number of people in the TaxFUNN. There we have suggested several times extensions. I think that meeting it, as the representative Heggø does, with demarcation issues, is seriously underestimating business. This means that you simply believe that they have not intended to deal with this the way they should do it. Instead of highlighting, as the Council of State does, what the public has done and what the appropriations are growing, I would rather look at what we can do for business, and especially for the existing companies – not only on what is to be created again, but on the existing companies that are going on, because there is an incredible amount of innovation, research and development going on. Then it is also natural to go a little beyond the state council's portfolio. He also occasionally likes to go beyond his own portfolio, especially in connection with property taxes – I cannot help but remind him of it. If Norwegian companies kept the 12 billion. kr-14 br. kr, which is the property tax, to invest in its own business – and then I'm talking about those who are making money, and those who, unfortunately, some say, have assets that the owners pay taxes on wealth – would certainly put that money into research and development. I think that would be one of the very good measures. Then I'd like to mention another area. We will have a review of Innovation Norway. Innovation Norway does not support direct research and development, but many enterprises and many applications for it are located in the border country. Here, too, we need to look at whether the business is forward-looking enough, whether it is in line with what we're going to live from in the future. There are considerable resources in this area every year. It should also be the subject of an assessment when we get that far.
ParlaMint-NO_2012-01-31.ana.ud2406e235	That is an important question for the representative of Mr Warloe. I myself have worked on nutrition research both in industry and at university – that is why this is a question that has been very important to me, and, as many people have been in the past, which is important both for the new business life of the future, which we do not know today, and for the existing companies that need to change. The most important basis for nutrition research is that we have a solid collection of research efforts in our country. Many people like to spread myths about Norwegian research. That is why there may be a few specific facts. Public funding for research in Norway has increased by 28 pst. under this Government. It's a real growth. We have to go back to previous governments to find a year when the real growth of the research effort from the public went down from year to year. When private funded research is involved, Norway is also well ahead in the sense that it is not privately funded but public support for private enterprises. Norway provides more public research support to businesses than our neighbouring countries do, according to GDP. The research council's support for enterprises has been doubled under this government. If we're going to strengthen that nutrition research, maybe it's one of the most important things we can do, building relationships between research institutions and business. There the government has used various tools to create arenas for cooperation. One of the biggest approaches to creating arenas for collaboration between different academic environments and different large and small enterprises is eleven research centres for environmentally friendly energy. I've been working in some of them myself. There is a good, trusting and innovative cooperation between the academic environment and business. We also have a way of cooperating between companies and research institutions that are more regionally anchored. This is done by the fact that regional business clusters – which may be national but largely regional – are linked to regional research institutions. The type of cooperation is often funded through schemes such as Innovation Norway, through the Arena programme and the Norwegian Centres of Expertise. And if I don't think wrong, the Right actually proposed in 2011 to reduce funding for these types of support schemes to finance clusters of industry and research – often regionally anchored. It's a little weird, because it's just this kind of cluster collaboration, which Professor Reve pointed out as one of the most important things we can do, when he presented his great research project, which LO and NHO have been behind, and which focuses on what kind of future business we need. My experience is that regional cooperation through good business clusters and research environment in the region may be the best arena to create the cooperation between business and research that we need to get innovation and relevance in research. Now one can certainly discuss why the big support, which the public gives companies to trigger private research, doesn't turn on when, as I was in the lead, we actually use more public funds to support research in businesses than they do in our neighboring countries. Why is it that companies do not use the corresponding amount of research on their own? Here we have a clear need to discuss whether the large support we give to companies to trigger private research is properly arranged. It's good to discuss whether it should be in other forms, or whether there should be other sizes of some programs. But what I want to point out is that today we have a situation where parts of Norwegian business go very well. This applies, for example: the offshore industry, and for periods it has at least been that the seafood industry has gone well. So what you can ask is, why won't they bet on their own resources to secure their own future?
