ParlaMint-NO_2012-06-13.ana.ud101e55	The representative Snorre Serigstad Valen will present a draft constitution.
ParlaMint-NO_2012-06-13.ana.ud101e58	On behalf of Audun Lysbakken, Rannveig Kvifte Andresen, Hallgeir H. Langeland and myself, I am delighted to promote a constitutional proposal for more transparency on Norwegian participation in the war abroad.
ParlaMint-NO_2012-06-13.ana.ud101e63	The draft Constitution will be dealt with in a regulatory manner. The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2012-06-13.ana.ud101e68	On behalf of the representatives of Robert Eriksson, Laila Marie Reiertsen, Jan-Henrik Fredriksen, Arne Sortevik and myself, I am delighted to propose the suspension of cabotage rules in road freight transport.
ParlaMint-NO_2012-06-13.ana.ud101e73	The representative, Robert Eriksson, will put forward a proposal for a representative.
ParlaMint-NO_2012-06-13.ana.ud101e76	I am delighted to make representation proposals on behalf of the representatives of Laila Marie Reiertsen, Vigdis Giltun and myself to ensure better rights to care for relatives of «seriously ill children».
ParlaMint-NO_2012-06-13.ana.ud101e81	The representative, Mr Øyvind Håbrek, will put forward a proposal for a representative.
ParlaMint-NO_2012-06-13.ana.ud101e84	On behalf of the representatives of Laila Davøy, Dagrun Eriksen, Hans Olav Syversen and myself, I have the pleasure of submitting representative proposals to strengthen family protection.
ParlaMint-NO_2012-06-13.ana.ud101e90	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will inform you that the meeting will continue, if necessary, beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2012-06-13.ana.ud101e106	At the request of the Municipal and Administrative Committee, the President will propose that the debate be limited to 1 hour and 30 minutes and that speaking time be allocated to the groups as follows: Working Party 30 minutes, Progress Party 20 minutes, Right 15 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. In addition, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after the speeches of the main speakers of each group and four lines with replies after contributions by members of the Government within the allocated speaking time. It is also proposed that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-06-13.ana.ud101e117	The municipal bill is the annual advance on the national budget of the harvest. This is the financial arrangement for the municipal sector for the next year. The final figures come as usual in the budget in October, but there is a real increase in the sector's total revenue of between 51⁄4 and 6 billion. kr. Of these, the growth in free income is between 43 and 4 billion. and 5 billion. kr. The ambition of the government and the majority of the population is a growth in free income up to 5 billion. kr. In addition, there is reason for the municipal sector to note that the tax estimate is adjusted by 2.3 billion. kr for 2012. This is money that also comes in 2013, and further increases the scope of action in the sector. I am pleased that the local community association, KS, refers to the financial arrangement as good, and that it means that the municipalities are still able to provide good welfare services to the inhabitants. The municipal sector manages a large proportion of the community's resources and is an important employer, author, social developer and creator of well-being for the population. The income of the local government sector is about 18 pst. of the gross domestic product of mainland Norway and one in five persons employed in the municipal sector. The municipal sector accounts for a large part of the Norwegian economy. A single committee stresses that good and predictable framework conditions for the municipal sector are important for the development of the country, for the development of local communities and for the quality of life of individuals. The Committee agrees that a good offer within basic services such as kindergarten, childcare, school, local health care and care for the elderly and other nursing needs is absolutely necessary in a modern welfare society. A unanimous committee also believes that the municipalities form the basis for the local government and represent the proximity, belonging, security and ability to influence the population. To a large extent, there is agreement in the Committee on the objectives of the policy towards the local government sector. However, as in many other areas, we disagree on the policy instruments to achieve these objectives. I hope today's debate can produce these political differences in a good way. Our government has prioritised increased transfers to the local government sector. It has enabled municipalities to give priority to what is most important, namely to employ more people in kindergartens, schools and the care of the elderly. Since 2005, there have been more than 53,000 annual works in the municipal sector. Municipalities are building up well-being, and the services that we all benefit from are getting better. The economic situation of municipalities has also improved. In May 2005, after nearly four years of right-wing government, 116 municipalities, more than every four municipalities, were in ROBEK. In May 2009, after almost four years of red-green government, 42 municipalities were in ROBEK, a reduction of over 60 pst. Much goes well in Norwegian municipalities. Studies show that the majority of residents are equally satisfied with the provision of services in their municipality. At the same time, there is reason to be aware of the growth of total municipal debt. Increasing debt is an expression of the development of local welfare. However, there is reason to recall that each municipality is responsible for keeping debt levels under control, even in a situation of increasing interest rates. Another condition is local government pension obligations. By letter of 7 June 2012 to the Municipal Committee, KS addressed the consequences of lower interest rates. I assume that the Ministry of the State Budget for 2013 will review the pension costs of the local government sector in 2013. Norwegian municipalities must carry out a continuous renewal work. In March 2011, the Government concluded a cooperation agreement with the KS and the main employee associations on the «Saman om ein bestemmune» programme. The main themes of cooperation are sick leave, competence and recruitment, full-time/part-time and reputation. It is good that an overall committee believes that local welfare services are best developed and quality improved, among other things. through close cooperation with employees’ organisations. The working party is engaged in a balanced presentation of the situation in Kommune-Norway. We don't want to paint the situation, but we don't see any reason to paint the situation. Much is good in Norwegian municipalities, and some can be done better. I therefore think it is a little disappointing that the right, possibly eager for government power, consistently in the setting makes the situation in Kommune-Norway in a negative way. Then it becomes the natural question of the Right: why have you not spent much more money on the local government sector in their alternative budgets in recent years? Or can we not expect from the Right a certain connection between language and money use? For the truth about the local economy of the Right, the framework is the same as that of the government parties. But the Right wants a completely different distribution of tax revenue in the municipalities than the government parties. More to the tax-rich municipalities and less to the tax-weak is Right's recipe. Almost 90 pst. by Norwegian municipalities would be lost in the tax treatment of Røjre. Those who wanted to earn the most are small and rich power municipalities. So the right will take from those who have little, and give to those who have a lot. This is a very bad policy for distribution. So what would the result be? Well, nine out of ten municipalities would get lower income levels, and it will go beyond the welfare offer in these municipalities. We would get greater differences between municipalities, greater differences in the welfare provision of the population. This, of course, is right, but since policy is firm, it is clear that there are increasing differences. In order to take a pinch of municipalities like Höre's municipal political spokesman, Trond Helleland, know well: Upper Eiker, Lower Eiker, Modum and Smoke. These four municipalities together would have lost well 50 million. kr every year, i.e. that, with the Right in Government, they would lose more than 200 million during a downturn period. kr. It's Right hand billing to municipalities with low tax revenues. The last time the income system was changed, the right government parties accused of tailoring the system to municipalities that were run by red-green parties. What happens if we apply the Right logic to the Right proposal for the income system? What are the 55 municipalities serving on the Right? More than 90 pst. of the total redistribution will be located in the right-hand-driven municipalities. To put it another way: more than 90 pst. of what is taken from municipalities with low tax incomes, ports in Right-Handed municipalities with high tax incomes. It's totally reversed Robin Hood's policy, and there's little doubt that the Right-Steering municipalities are coming out of it well with the Right configuration. Several of us remember what the situation was like last time the Right Rule ruled the municipal economy. Then there was the rapporteur's uprising against Erna Solberg, and in May 2005, after nearly four years of right-wing government, more than every four municipalities in ROBEK, where municipalities are in a difficult economic situation. To believe the Right-wing politicians who are concerned about the growth of the public sector, there is reason to fear that public services in the municipalities will again lose against the Right-wing promises of tax relief, especially if the Progress Party is involved. That's why the next big pick is going to be a direction choice. We can already make that clear. Should we return to the Right strumping of Norwegian municipalities, or should we continue with red-green policies that create activity and new annual works in important welfare areas such as kindergarten, school and care for the elderly? The Labour Party is going to do what we can to bring about the political differences. So I expect the Right Party and the Advance Party to clarify what they mean together, so that we and the voters know what a possible Right Party government will mean for the well-being of their community.
