ParlaMint-NO_2012-03-07.ana.ud1189e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e29	On behalf of the representatives of Eli Skolaand, Svein Flätten, Lars Myraune and myself, I propose to introduce a judgement in the enforcement of a breach of the rules in form completion where there is no personal gain.
ParlaMint-NO_2012-03-07.ana.ud1189e34	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e37	On behalf of Siv Aida Rui Skatem, Ulf Leirstein, Åse Michaelsen and myself, I have the pleasure of promoting a proposal for a ban on begging.
ParlaMint-NO_2012-03-07.ana.ud1189e42	The representative Michael Tetzschner will make a private proposal.
ParlaMint-NO_2012-03-07.ana.ud1189e45	On behalf of the representatives of Trond Helleland, Ingjerd Schou, André Oktay Dahl and myself, I am delighted to promote a proposal for a representative on increased housing.
ParlaMint-NO_2012-03-07.ana.ud1189e50	The representative, Jan-Henrik Fredriksen, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e53	On behalf of Bård Hoksrud, Inbjørg Godskesen, Arne Sortevik, Ketil Solvik-Olsen, Jørund Rytman and the undersigned, I am pleased to present a proposal for a representative to introduce the principle of periodicity in the public sector.
ParlaMint-NO_2012-03-07.ana.ud1189e59	The representative, Kenneth Svendsen, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e62	On behalf of the big business representatives Ketil Solvik-Olsen, Christian Tybring-Gjedde, Jørund Rytman and myself, I am pleased to present a proposal for measures for lower fuel prices.
ParlaMint-NO_2012-03-07.ana.ud1189e67	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2012-03-07.ana.ud1189e79	On Monday, the Stortinge received a message from the Prime Minister's office that the Councils of State, Liv Signe Navarsete, Tora Aasland and Anniken Huitfeldt will meet for oral Question Time. The state councils advertised are present, and we're ready to start the oral question procedure. We start with the first main questions, from the representative Gjermund Hagesetter.
