Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006115858	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120114	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120128	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120206	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120251	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120441	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120523	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006120530	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Regular	MP	Minister	S	Socialdemokratiet	Coalition	Centre-left	FrederiksenMette	Frederiksen, Mette	F	1977	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006125312	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006125324	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-10-06-20201-M1	ParlaMint-DK_20201006125409	Hansard of the session of the Danish Parliament (Folketinget), 20201, M1 (2020-10-06), preliminary version	2020-10-06	Unicameralism	Regeringen Mette Frederiksen	20201	M1	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
