Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130130	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130205	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130234	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130242	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130706	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519130711	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519131158	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519131204	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519131611	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519131616	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-05-19-20191-M112	ParlaMint-DK_20200519132037	Hansard of the session of the Danish Parliament (Folketinget), 20191, M112 (2020-05-19), preliminary version	2020-05-19	Unicameralism	Regeringen Mette Frederiksen	20191	M112	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
