Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312160000	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312210106	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312225957	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231500	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231515	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231534	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231553	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Regular	MP	notMinister	EL	Enhedslisten	-	Left to far-left	HvelplundPeder	Hvelplund, Peder	M	1967	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231812	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312231820	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Regular	MP	notMinister	NB	Nye Borgerlige	Opposition	Right to far-right	MathiesenLarsBoje	Mathiesen, Lars Boje	M	1975	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312232259	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312232313	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-12-20191-M73	ParlaMint-DK_20200312232559	Hansard of the session of the Danish Parliament (Folketinget), 20191, M73 (2020-03-12), final version	2020-03-12	Unicameralism	Regeringen Mette Frederiksen	20191	M73	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
