Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319100012	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319100053	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319100103	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319100121	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319101136	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319101249	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	NørbyEllenTrane	Nørby, Ellen Trane	F	1980	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102014	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102031	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	DF	Dansk Folkeparti	Opposition	Right	KrarupMarie	Krarup, Marie	F	1965	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102215	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102221	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	NB	Nye Borgerlige	Opposition	Right to far-right	ThiesenMette	Thiesen, Mette	F	1981	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102351	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102357	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	KF	Det Konservative Folkeparti	Opposition	Centre-right	AmmitzbøllKatarina	Ammitzbøll, Katarina	F	1969	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102703	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102711	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	UFG	Uden for folketingsgrupperne	-	-	ElbækUffe	Elbæk, Uffe	M	1954	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102745	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	notMinister	KF	Det Konservative Folkeparti	Opposition	Centre-right	AmmitzbøllKatarina	Ammitzbøll, Katarina	F	1969	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102748	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319102802	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Regular	MP	Minister	S	Socialdemokratiet	Coalition	Centre-left	RosenkrantzTheilPernille	Rosenkrantz-Theil, Pernille	F	1977	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319103211	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319103219	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2020-03-19-20191-M80	ParlaMint-DK_20200319103952	Hansard of the session of the Danish Parliament (Folketinget), 20191, M80 (2020-03-19), final version	2020-03-19	Unicameralism	Regeringen Mette Frederiksen	20191	M80	-	-	COVID	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
