Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190102	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190113	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190129	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Regular	MP	notMinister	LA	Liberal Alliance	Coalition	Centre-right to right	OlsenJoachimB	Olsen, Joachim B.	M	1977	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190159	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190208	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190258	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190319	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190328	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190337	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190407	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190448	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190458	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190518	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2017-12-22-20171-M39	ParlaMint-DK_20171222190546	Hansard of the session of the Danish Parliament (Folketinget), 20171, M39 (2017-12-22), final version	2017-12-22	Unicameralism	Regeringen Lars Løkke Rasmussen III	20171	M39	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
