Session,Date,Male,Female
ParlaMint-PT-en_2015-01-07-meta.tsv,2015-01-07,27,18
ParlaMint-PT-en_2015-01-08-meta.tsv,2015-01-08,27,19
ParlaMint-PT-en_2015-01-09-meta.tsv,2015-01-09,29,15
ParlaMint-PT-en_2015-01-14-meta.tsv,2015-01-14,25,12
ParlaMint-PT-en_2015-01-15-meta.tsv,2015-01-15,20,8
ParlaMint-PT-en_2015-01-16-meta.tsv,2015-01-16,14,10
ParlaMint-PT-en_2015-01-21-meta.tsv,2015-01-21,23,12
ParlaMint-PT-en_2015-01-22-meta.tsv,2015-01-22,35,21
ParlaMint-PT-en_2015-01-28-meta.tsv,2015-01-28,30,13
ParlaMint-PT-en_2015-01-29-meta.tsv,2015-01-29,25,13
ParlaMint-PT-en_2015-01-30-meta.tsv,2015-01-30,19,10
ParlaMint-PT-en_2015-02-04-meta.tsv,2015-02-04,27,12
ParlaMint-PT-en_2015-02-05-meta.tsv,2015-02-05,27,16
ParlaMint-PT-en_2015-02-06-meta.tsv,2015-02-06,21,12
ParlaMint-PT-en_2015-02-11-meta.tsv,2015-02-11,23,9
ParlaMint-PT-en_2015-02-12-meta.tsv,2015-02-12,23,18
ParlaMint-PT-en_2015-02-13-meta.tsv,2015-02-13,30,10
ParlaMint-PT-en_2015-02-18-meta.tsv,2015-02-18,24,7
ParlaMint-PT-en_2015-02-19-meta.tsv,2015-02-19,19,15
ParlaMint-PT-en_2015-02-20-meta.tsv,2015-02-20,22,10
ParlaMint-PT-en_2015-02-25-meta.tsv,2015-02-25,27,15
ParlaMint-PT-en_2015-02-26-meta.tsv,2015-02-26,21,13
ParlaMint-PT-en_2015-02-27-meta.tsv,2015-02-27,16,11
ParlaMint-PT-en_2015-03-04-meta.tsv,2015-03-04,20,8
ParlaMint-PT-en_2015-03-05-meta.tsv,2015-03-05,25,16
ParlaMint-PT-en_2015-03-06-meta.tsv,2015-03-06,24,9
ParlaMint-PT-en_2015-03-11-meta.tsv,2015-03-11,19,7
ParlaMint-PT-en_2015-03-12-meta.tsv,2015-03-12,28,10
ParlaMint-PT-en_2015-03-18-meta.tsv,2015-03-18,28,14
ParlaMint-PT-en_2015-03-19-meta.tsv,2015-03-19,24,14
ParlaMint-PT-en_2015-03-20-meta.tsv,2015-03-20,27,11
ParlaMint-PT-en_2015-03-25-meta.tsv,2015-03-25,26,17
ParlaMint-PT-en_2015-03-26-meta.tsv,2015-03-26,22,12
ParlaMint-PT-en_2015-03-27-meta.tsv,2015-03-27,23,13
ParlaMint-PT-en_2015-04-01-meta.tsv,2015-04-01,11,5
ParlaMint-PT-en_2015-04-02-meta.tsv,2015-04-02,23,15
ParlaMint-PT-en_2015-04-08-meta.tsv,2015-04-08,24,8
ParlaMint-PT-en_2015-04-09-meta.tsv,2015-04-09,22,9
ParlaMint-PT-en_2015-04-10-meta.tsv,2015-04-10,30,19
ParlaMint-PT-en_2015-04-15-meta.tsv,2015-04-15,16,16
ParlaMint-PT-en_2015-04-16-meta.tsv,2015-04-16,26,14
ParlaMint-PT-en_2015-04-17-meta.tsv,2015-04-17,18,11
ParlaMint-PT-en_2015-04-22-meta.tsv,2015-04-22,21,10
ParlaMint-PT-en_2015-04-23-meta.tsv,2015-04-23,18,14
ParlaMint-PT-en_2015-04-24-meta.tsv,2015-04-24,18,16
ParlaMint-PT-en_2015-04-25-meta.tsv,2015-04-25,6,3
ParlaMint-PT-en_2015-04-29-meta.tsv,2015-04-29,19,12
ParlaMint-PT-en_2015-04-30-meta.tsv,2015-04-30,35,14
ParlaMint-PT-en_2015-05-06-meta.tsv,2015-05-06,22,4
ParlaMint-PT-en_2015-05-07-meta.tsv,2015-05-07,22,15
ParlaMint-PT-en_2015-05-08-meta.tsv,2015-05-08,26,13
ParlaMint-PT-en_2015-05-13-meta.tsv,2015-05-13,25,15
ParlaMint-PT-en_2015-05-14-meta.tsv,2015-05-14,13,6
ParlaMint-PT-en_2015-05-15-meta.tsv,2015-05-15,35,17
ParlaMint-PT-en_2015-05-20-meta.tsv,2015-05-20,20,6
ParlaMint-PT-en_2015-05-21-meta.tsv,2015-05-21,29,13
ParlaMint-PT-en_2015-05-22-meta.tsv,2015-05-22,30,13
ParlaMint-PT-en_2015-05-27-meta.tsv,2015-05-27,21,16
ParlaMint-PT-en_2015-05-28-meta.tsv,2015-05-28,20,14
ParlaMint-PT-en_2015-05-29-meta.tsv,2015-05-29,22,12
ParlaMint-PT-en_2015-06-03-meta.tsv,2015-06-03,14,4
ParlaMint-PT-en_2015-06-04-meta.tsv,2015-06-04,10,10
ParlaMint-PT-en_2015-06-05-meta.tsv,2015-06-05,24,7
ParlaMint-PT-en_2015-06-11-meta.tsv,2015-06-11,18,8
ParlaMint-PT-en_2015-06-12-meta.tsv,2015-06-12,27,20
ParlaMint-PT-en_2015-06-17-meta.tsv,2015-06-17,15,12
ParlaMint-PT-en_2015-06-18-meta.tsv,2015-06-18,14,8
ParlaMint-PT-en_2015-06-19-meta.tsv,2015-06-19,25,15
ParlaMint-PT-en_2015-06-24-meta.tsv,2015-06-24,25,17
ParlaMint-PT-en_2015-06-25-meta.tsv,2015-06-25,21,16
ParlaMint-PT-en_2015-06-26-meta.tsv,2015-06-26,30,20
ParlaMint-PT-en_2015-07-01-meta.tsv,2015-07-01,33,18
ParlaMint-PT-en_2015-07-02-meta.tsv,2015-07-02,29,11
ParlaMint-PT-en_2015-07-03-meta.tsv,2015-07-03,39,22
ParlaMint-PT-en_2015-07-08-meta.tsv,2015-07-08,40,13
ParlaMint-PT-en_2015-07-22-meta.tsv,2015-07-22,34,19
ParlaMint-PT-en_2015-09-09-meta.tsv,2015-09-09,6,6
ParlaMint-PT-en_2015-10-21-meta.tsv,2015-10-21,6,4
ParlaMint-PT-en_2015-10-23-meta.tsv,2015-10-23,10,2
ParlaMint-PT-en_2015-10-28-meta.tsv,2015-10-28,2,0
ParlaMint-PT-en_2015-11-09-meta.tsv,2015-11-09,32,14
ParlaMint-PT-en_2015-11-10-meta.tsv,2015-11-10,36,10
ParlaMint-PT-en_2015-11-11-meta.tsv,2015-11-11,6,2
ParlaMint-PT-en_2015-11-18-meta.tsv,2015-11-18,29,13
ParlaMint-PT-en_2015-11-19-meta.tsv,2015-11-19,19,14
ParlaMint-PT-en_2015-11-20-meta.tsv,2015-11-20,29,18
