Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-DK-en_2014-10-07-20141-M1-meta.tsv,2014-10-07,1,1,1,0,0
ParlaMint-DK-en_2014-10-08-20141-M2-meta.tsv,2014-10-08,0,1,0,0,0
ParlaMint-DK-en_2014-10-09-20141-M3-meta.tsv,2014-10-09,2,21,31,12,0
ParlaMint-DK-en_2014-10-10-20141-M4-meta.tsv,2014-10-10,1,4,6,0,0
ParlaMint-DK-en_2014-10-21-20141-M5-meta.tsv,2014-10-21,1,6,3,2,0
ParlaMint-DK-en_2014-10-22-20141-M6-meta.tsv,2014-10-22,1,8,8,1,0
ParlaMint-DK-en_2014-10-23-20141-M7-meta.tsv,2014-10-23,2,12,14,3,0
ParlaMint-DK-en_2014-10-24-20141-M8-meta.tsv,2014-10-24,3,8,9,1,0
ParlaMint-DK-en_2014-10-30-20141-M9-meta.tsv,2014-10-30,0,12,16,6,0
ParlaMint-DK-en_2014-10-31-20141-M10-meta.tsv,2014-10-31,0,1,0,0,0
ParlaMint-DK-en_2014-10-31-20141-M11-meta.tsv,2014-10-31,1,4,10,3,0
ParlaMint-DK-en_2014-11-04-20141-M12-meta.tsv,2014-11-04,0,11,16,4,0
ParlaMint-DK-en_2014-11-05-20141-M13-meta.tsv,2014-11-05,2,6,11,1,0
ParlaMint-DK-en_2014-11-06-20141-M14-meta.tsv,2014-11-06,2,12,11,2,0
ParlaMint-DK-en_2014-11-07-20141-M15-meta.tsv,2014-11-07,1,8,9,3,0
ParlaMint-DK-en_2014-11-11-20141-M16-meta.tsv,2014-11-11,2,5,11,5,0
ParlaMint-DK-en_2014-11-12-20141-M17-meta.tsv,2014-11-12,1,7,14,2,0
ParlaMint-DK-en_2014-11-13-20141-M18-meta.tsv,2014-11-13,2,9,11,4,0
ParlaMint-DK-en_2014-11-14-20141-M19-meta.tsv,2014-11-14,1,3,6,4,0
ParlaMint-DK-en_2014-11-18-20141-M20-meta.tsv,2014-11-18,2,15,14,2,0
ParlaMint-DK-en_2014-11-19-20141-M21-meta.tsv,2014-11-19,1,4,17,2,0
ParlaMint-DK-en_2014-11-20-20141-M22-meta.tsv,2014-11-20,2,15,26,9,0
ParlaMint-DK-en_2014-11-21-20141-M23-meta.tsv,2014-11-21,0,13,11,5,0
ParlaMint-DK-en_2014-11-25-20141-M24-meta.tsv,2014-11-25,3,11,11,6,0
ParlaMint-DK-en_2014-11-26-20141-M25-meta.tsv,2014-11-26,0,7,15,2,0
ParlaMint-DK-en_2014-11-27-20141-M26-meta.tsv,2014-11-27,0,10,11,4,0
ParlaMint-DK-en_2014-11-28-20141-M27-meta.tsv,2014-11-28,2,19,15,2,0
ParlaMint-DK-en_2014-12-02-20141-M28-meta.tsv,2014-12-02,2,15,26,8,0
ParlaMint-DK-en_2014-12-03-20141-M29-meta.tsv,2014-12-03,2,11,16,4,0
