Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35734	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35735	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Regular	MP	notMinister	DC	Demokratski centar	Coalition	Centre-right	PiplovićFrano	Piplović, Frano	M	1950	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35736	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35737	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	BošnjakovićDražen	Bošnjaković, Dražen	M	1961	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35738	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35739	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	BošnjakovićDražen	Bošnjaković, Dražen	M	1961	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35740	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35741	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Regular	MP	notMinister	HSS	Hrvatska seljačka stranka	Opposition	Centre to centre-right	LedinskiŽeljko	Ledinski, Željko	M	1960	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35742	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35743	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	PermanBiserka	Perman, Biserka	F	1955	
ParlaMint-HR-en_2005-04-01-0	ParlaMint-HR_2005-04-01-0.u35744	Minutes of the National Assembly of the Republic of Croatia, Term 5, Session 13	2005-04-01	Unicameralism	5. mandat	-	Zasedanje 13	2005-04-14	-	Reference	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Opposition	Centre-right	MilinovićDarko	Milinović, Darko	M	1963	
