ParlaMint-HR_2005-09-30-0.u44507	Your Honor, Mr. President, gentlemen of the Parliament. Here I read that they...
ParlaMint-HR_2005-09-30-0.u44508	You don't have anything to read. Please sit down.
ParlaMint-HR_2005-09-30-0.u44509	The lawyers for the children resigned.
ParlaMint-HR_2005-09-30-0.u44510	You don't have anything to read and you don't have a word. Please sit down.
ParlaMint-HR_2005-09-30-0.u44511	I have the right to ask that... [[The speaker doesn't understand.]]
ParlaMint-HR_2005-09-30-0.u44512	You've got nothing. Please sit down.
ParlaMint-HR_2005-09-30-0.u44513	That someone should talk to us because you're in charge and responsible for...
ParlaMint-HR_2005-09-30-0.u44514	In accordance with Article 14.
ParlaMint-HR_2005-09-30-0.u44515	We care about Croatian institutions as much as we do.
ParlaMint-HR_2005-09-30-0.u44516	Please sit down.
ParlaMint-HR_2005-09-30-0.u44517	Something's going on out there.
ParlaMint-HR_2005-09-30-0.u44518	Please sit down, Mr. Cain! The Telecommunication Agency Council submitted a report. The debate was conducted by the Committee on Maritime Affairs, Transport and Communications, Information, Information and Media. The government delivered an opinion. I ask the President of the Council of the Telecommunications Agency, Gaspar Gachinu, to further explain the proposal. Here you go.
ParlaMint-HR_2005-09-30-0.u44519	Your Honor, Mr. President, ladies and gentlemen of the Parliament. The Croatian Telecommunications Agency as an independent, non-profit and independent legal person with public authority began working on 27 September 2004. As a legal successor, the Agency has taken over the property and documentation and the rights and obligations of the Telecommunications and Croatian Telecommunications Office Council. At the start of the Agency's work, the situation on the Croatian telecommunications market was as follows: Monopol on the fixed-net service market, a monopoly with the effect of the movable network monopoly, the approximation of the date 1.1.2005 when the exclusive rights on the Croatian telecommunications market formally ceased, high expectations for the public to finally begin full liberalisation. The unequivocal political will to liberalise has been under way, the public competition for the third GSM concessions has been under way and the unfinished process of adopting sublegal acts that are a prerequisite for the full application of the Telecommunications and Market Liberalisation Act. At the end of 2004, there has been intensive activities in the design of new regulations that I will mention only some of which have a significant impact on the development of the telecommunications market. The regulation on the portability of the number and pre-determination of the operator which entered into force in November 2004 also provides for a way to transfer the number from one telecommunications network to another. The Regulation regulated the way in which the number portability and pre-determination of operators in the Republic of Croatia were introduced and provided. The Telecommunication Services Regulation, which entered into force in December 2004, introduces the essential news necessary for the regulation of the telecommunications market and sets out, inter alia, the obligations of operators with significant market power on the relevant market. A new Regulation on the payment of compensation for the provision of telecommunications services and activities was subsequently adopted and the Regulation on concessions and licences for the provision of telecommunications services and activities has also been amended, thereby significantly reducing the price of licences and applications for the provision of telecommunications services. These sublaws are the result of the joint work of the Ministry of the Sea, Tourism, Transport and Development, the Agency and other participants in the telecommunications market. The basic principles of HT work were: protection and security of the interest of telecommunications users, insurance and promotion of a market competition with equal opportunities for all participants. Disabling the abuse of a dominant position on the market and encouraging the introduction of new telecommunications services and technologies. Of course there are others, but I've singled this out as the most significant. I would now like to highlight the important decisions made by the Council of the Croatian Telecommunications Agency by the end of 2004. That means in, at a time interval of 3 months. On 18 October, the first tender procedure was concluded with the award of two UMTS concessions and the refusal of one offer with GSM, which was widely publicised and fully explained in the full report. On 21 October, the opening of a second repeated public tender for concessions for the provision of services using radio spectrum in GSM-DSS 1800 and MTS. The first public-speaking service permit was granted on 19 November in fixed networks of Optima Telecom with a fee of 8 million under the old compensation rule. And actually with that date, it stops the monopoly in a fixed network that's been since 1876. 81st year, I'm sorry, 1881. On 16 December, a third-generation concession contract was concluded with UMTS companies VIP Net and T-Mobile with a fee of 132 million for the first year of work and 6 million fees for the use of frequencies. On 17 December, a second public-speaking service permit was granted in the fixed network of H1 Portus with an 8 million fee and finally 22 December was awarded a combined GSM DSS 1800 and in the MTS concession of TELE 2 d.o.o. In the report I gave, we gave a detailed explanation of our decisions in the first procedure and in the second and comparisons, the comparative data with which we wanted to show and explain why we refused in the first case and gave concessions in the second tender procedure. Now I'd like to say something about the Agency's professional service activities. Control and measurement. In the light of the urgency and complexity of the Agency’s control and technical examinations, the Agency’s tasks were carried out according to priorities: 1. measurement and testing of the purpose of determining and removing harmful interferences that interfere with the use of radio communications and radio and TT equipment. 2. measurement and testing of the value of the electromagnetic field in order to protect human health. 3. Control of the implementation of the Telecommunications and Sub-legislative Regulations adopted pursuant to Act 4 of conducting technical checks on 5th performance of all other obligations and tasks relating to the control of RE spectrum. The control service carried out in the control and measurement centres of the Agency Zagreb, Split, Rijeka and Osijek and during this reporting period shall carry out technical checks on a total of 759 radio stations on which reports and the basis of which the licences have been issued and prescribed. In the Department of Radio Communications during 2004, there were 7000 345 requests for authorisation for radio stations. 5545 permits were issued and 871 denied as incomplete or missing. I mention the figures to show the size of the work being done in professional services. The Agency continued its activities in optimising the use of the radio spectrum of existing users in order to increase the capacity of frequency areas. The Agency also supported the Council for Electronic Media on the provision of available frequencies and the definition of technical parameters for radio and TV concessions. International activities during 2004 focused primarily on preparing and participating in a regional radio-communication conference to develop digital television plans. I would like to stress that next year in Geneva, after 45 years, there will be a conference that will adopt a frequency plan for digital television. 44 years ago in Stockholm, there was a conference that lived, so the results of that conference were also the effects and a conference for 45 years as regards the frequency for analogue television. The Agency has participated in working groups dealing with this problem. We have held a number of successful meetings with neighbouring countries in order to ensure better preparation of the regional conference.16 meetings, a total of 30 working days. With regard to the development of a frequency plan for digital television, the Agency's experts have fought, fought for our needs and achieved compliance with neighbours other than Italy where we have reached only a technical agreement for the time being. During this reporting period the Agency has carried out the procedures for assessing the conformity of radio and TT equipment with the essential requirements of the Telecommunications Act. The Agency also implemented the procedures for issuing conditions for the construction of telecommunications, housing and business facilities, issuing certificates on the arrangements of the main projects with building conditions. During 2004, 3 000 297 documents were processed and issued. The maximum number of documents has been processed in dispatch within 5 days of the day of receipt of the documents. State of the Croatian telecom market. The overall situation of the telecommunications market can be described by showing the distribution of total revenue per segment. These revenues relate only to the use of telecommunications infrastructure and services, not to producers and distributors of telecommunications equipment. The market potential at the end of the reporting period was $12.9 billion, of which on mobile waste networks 47.78%, fixed-net services 42.39%, interconnection service 3.55%, Internet 3.24%, data transfer and water rental 2.3%, and cable distribution and AP Voice below 0.5%. The trend of traffic growth and revenues in mobile networks and data transmission is evident, while the reduction of revenues from fixed networks is evident. State of telecommunications infrastructure in the Republic of Croatia. The stationary network, the basic infrastructure of the Republic of Croatia owned by HT operator, includes more than 15 thousand kilometers of underground and underwater cables with total installed capacity of approximately 320 thousand kilometers of light thread and 50 thousand kilometers of copper cable. In addition, respectable lighting facilities have been built that are owned by Croatian highway companies, HEP, JANAF. Croatian railways and Croatian highway Rijeka-Zagreb. By connecting these cables, it is possible to build a new high-quality light source network of high transmission power at national level. The first step has already been taken by granting service permits to Croatian railway companies and Croatia's electricity industry. The total number of public voice users in an uninterrupted network, if the channels are viewed, is one million 850 thousand and if the contracts are analysed million 679 thousand 438. In mobile networks at the end of the reporting period there were 2 million 654 thousand penetration users 59%, of which T-mobiles million 393 thousand, 53% and VIP-net million 260 thousand or 47%. The number of Internet access providers during this reporting period was 17,7 providers of Internet access offers... vote via AP protocol, and another 5 service providers only give a voice through the AP protocol. [[The speaker doesn't understand.]] The total number of Internet users in the Republic of Croatia amounted to a million and 300 thousand at the end of 2004, representing about 29% of the population using the Internet, but only 22 thousand users had fast Internet access through ADSL technology. Cable distribution of radio and television programs. The service provider owned its own infrastructure was 22, the number of cable distribution users 129,000 860. I just want to point out from the financial report some relevant figures. The state budget payment on the basis of concession and licence fees in 2004 was 450 million kuna, total of which 355 million kuna since the start of the Agency's work. Also, as regards the final account, after obtaining consent to the final account of the Croatian Telecommunications Agency, the excess income over expenditure of 32 million 452 000 has also been paid into the state budget. Since it's been nine months since the beginning of the year, I'd like to tell you some of the effects of liberalisation today, because this is all I've read it was, I say, the end of last year, so given the activities carried out this year and the decisions made by us today we have 14 operators who provide public voice services in fixed networks compared to one operator that was in September last year. Of those 14 three, they provide a favor. In mobile networks we have official, we have 3 operators, unfortunately only 2 still perform services. We do, there were 17 service providers on the Internet, now there are 49. As far as fast access to the Internet is concerned, we now have 68 grand through ADSL technology to those 22,000 users as late as last year. There is the biggest progress thanks to some initiatives, incentives by operators, and also to market regulation. As for the work of new operators so far, I can only say that there are all 10,000 numbers transferred, so in total 10,000 numbers, 9 thousand numbers used by the operator's pre-election service. Investments in, so for this year since I've been following the President of the Council, have been about a billion and a half kuna. 603 new jobs have been created. However, this is not a result that we can be satisfied with, if we know that HT has been fired or left in other ways by 503 employees. The effects of liberalisation on telecommunications services, therefore the number of telecommunications users and the type of services has increased, the amount of information transferred is increasing, the speed of access to the Internet is increasing, tariff models introduced from 1 second, mobile network operators have abolished the subscription, reduced service prices for end-users and in fixed and mobile networks. I would like to stress that the real effects of liberalisation will only be seen, and as far as tariff packages and prices are concerned, I would like to stress that it is important for each user to choose an adequate tariff model in accordance with their needs and habits of telephoning and service use, then the effects of liberalisation will be for everyone. I'd just like to conclude with one conclusion that I've already said somewhere. I believe that after too long of retaining exclusive rights in the Croatian telecom market, full liberalisation has begun that cannot be stopped. Thank you very much.
ParlaMint-HR_2005-09-30-0.u44520	Thank you very much. Maritime, Transport and Communications Committee. Here you go.
ParlaMint-HR_2005-09-30-0.u44521	Mr. President, distinguished guests, colleagues and colleagues. On 1 June 2005, the Committee on Maritime, Transport and Liaison of the Croatian Parliament discussed the annual report on the work of the Croatian Telecommunications Agency and on the state and achievement of the principles and objectives of the regulation of the telecommunications market in the Republic of Croatia, which is president of the Croatian Parliament, in accordance with the provisions of Article 14(1) of the Treaty on the Functioning of the European Union. The Telecommunications Act was delivered by the Agency's Council on 24 May 2005. The Committee held an annual report on the work of the Croatian Telecommunications Agency and discussed the state and achievement of the principles and objectives of the regulation of the telecommunications market in the Republic of Croatia as a parent working body. This Regulation shall enter into force on the twentieth day following that of Rules of Procedure of the Croatian Parliament. The introduction was given by the president of the Agency's Council, who pointed out that the Croatian Telecommunications Agency, as an independent, non-profit and independent legal person with public authority, started working in September 2004, and that, on the basis of public authority, it carried out tasks of special interest for the Republic of Croatia. The debate raised the question of when natural persons will be able to choose an operator, which would allow the price to be reduced to end-users, and which is the Agency's power to move the infrastructure out of the ownership of a single operator. It is also expressed its opinion that it should work to address the area of infrastructure that HT owns. After the debate was held, the Committee on Maritime Affairs, Transport and Communications unanimously decided to propose to the Croatian Parliament to reach the following conclusion: The annual report on the work of the Croatian Telecommunications Agency and on the state and achievement of the principles and objectives of the regulation of the telecommunications market in the Republic of Croatia is hereby adopted. Thank you.
ParlaMint-HR_2005-09-30-0.u44522	Thank you. The Committee on Information, Information and Media? No, I don't. I'm opening a debate. HDZ Representatives' Club, Honored Representative Milan Meden. Here you go.
