Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13830	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13831	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	ŽivkovićMilorad	Živković, Milorad	M	1963	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13832	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13833	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	KrižanovićJozo	Križanović, Jozo	M	1944	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13834	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13835	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ĆemanMirsad	Ćeman, Mirsad	M	1955	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13836	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13837	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ĆemanMirsad	Ćeman, Mirsad	M	1955	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13838	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13839	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Regular	MP	notMinister	SPRS	Socijalistička partija	Opposition	Centre-left	GligorićTihomir	Gligorić, Tihomir	M	1955	
ParlaMint-BA-en_2004-06-25-0	ParlaMint-BA_2004-06-25-0.u13840	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 40	2004-06-25	Unicameralism	4. mandat	-	Sjednica 40	2005-04-25	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	RagužMartin	Raguž, Martin	M	1958	
