ParlaMint-FR_2020-02-04-O1132.u1	The next item is the oral questions without debate.
ParlaMint-FR_2020-02-04-O1132.u2	Mr Jean-Charles Taugordeau has the floor to put his question, No. 938, on white areas in rural areas.
ParlaMint-FR_2020-02-04-O1132.u3	I will mention here the issue of mobile and internet coverage of the territory in Anjou, particularly in the third constituency of Maine-et-Loire but, more broadly, throughout the department and even in all rural areas in France. The white areas exist: unfortunately, many communes are not yet covered – or at least not properly. The recent announcement of the deployment of 5G is, of course, good news for France's competitiveness, but we cannot be very happy about it when we know that not all inhabitants benefit, even today, from 4G or even 3G. How can we consider using new technologies in our town halls for administrative purposes or making them available to businesses, farmers or professionals – I am thinking in particular of doctors who move in the countryside – if not all territories, especially rural ones, benefit from the same means as urban areas? The State bears a real responsibility for the current inequality: local elected officials can invest heavily with operators, but unfortunately, in the absence of national dynamics, things will not change. Every time the subject is mentioned, beautiful promises are made to us, but they are not followed by effect! Would it be a pious wish to hope that 5G will develop first in rural areas, before extending to urban areas? According to the maps published by ARCEP, the Autorité de régulation des communications électroniques et des postes, Maine-et-Loire would not encounter any difficulties, or almost any difficulties. It must be noted that the reality is very different. It seems to me that we must stop basing ourselves on maps representing the areas seen from above: the waves move horizontally from the antennas, not vertically from the satellites. Mr Secretary of State, can you tell us what your concrete objectives are in order to cover the entire territory completely within a time limit which must now be short?
ParlaMint-FR_2020-02-04-O1132.u4	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2020-02-04-O1132.u5	As you said, MP: there are still white areas – it would be madness to pretend the opposite. As you know, the Government is paying particular attention to this issue, which is reflected in the New Mobile Deal announced on 14 January 2018. The agreement, passed between the Government, ARCEP and the operators, aims to generalize quality coverage, giving priority to genuine digital spatial planning. Mobile operators have made commitments in terms of mobile coverage and quality of service, which have been made mandatory when transcribing them in the form of cover obligations in authorisations for the use of frequencies. This is a major point in meeting the deadlines and commitments made. Any failure to comply with the obligations of mobile operators may be subject to sanctions by ARCEP, under the conditions laid down in the Post and Electronic Communications Code. We are also deploying a mechanism for identifying and prioritizing the needs for coverage by departmental "project" teams, which bring together the departments of the State and local authorities; The Government shall draw up annually, in consultation with the territorial authorities, lists of areas to be covered by the operators under the targeted coverage scheme. The National Agency for the Cohesion of the Territories, the ANCT, ensures the operational follow-up of the scheme and assists the communities in their identification of the areas to be covered. With this tool, communities have a lever to target places where they want a new 4G tower to be rapidly deployed. We install about a hundred of them a week. In addition, the New Deal mobile requires 4G equipment from all existing sites by the end of 2020 and, as an exception, from all "white areas" by the end of 2022 – which answers your question about deadlines. ARCEP has published since June 2018 a scoreboard to monitor the evolution of mobile coverage in the territories, including the significant progress made in recent months. I can assure you, honourable Member, that the ANC services can, if you wish, work with you, in conjunction with the local elected representatives, to better identify the areas you mentioned in your department.
ParlaMint-FR_2020-02-04-O1132.u6	Mr Jean-Charles Taugordeau has the floor.
ParlaMint-FR_2020-02-04-O1132.u7	I am pleased to accept this appointment, Secretary of State, which will allow the services of the ANCT to come and see how things are going with us. I just want to point out to the state service that the Americans recently launched a rocket containing 60 satellites, in order to cover the areas of the globe that remained unlinked. It seems to me that we could have added the means, and rather than focusing solely on fibre, cable or antennas, we could have used the satellite as well. If the latter were perceived, fifteen years ago, as having neither sufficient capacity nor sufficient speed, the technologies have since evolved, and I believe that France now has areas whose connection should be ensured by satellite.
ParlaMint-FR_2020-02-04-O1132.u8	Mr Jean-Charles Colas-Roy has the floor to put his question, No. 935, on the energy transition.
ParlaMint-FR_2020-02-04-O1132.u9	My constituency, located south of Grenoble, is a historically industrial territory. It is the cradle of the "white coal", the other name of hydro-electricity, this electrical energy produced from waterfalls and dams. Powered by hydro-electricity from the rivers of the Alpine furrow, many industries, such as stationery, have developed; Electrochemistry and electrometallurgy have emerged. Great industrialists and eminent professors have made the reputation of the university domain of Saint-Martin-d'Hères and Gières. Grenoble Alpes University has been able to capitalize on this history to become a world-class university. My riding is home to several energy-intensive industrial sites, which are called "hyper-electro-intensive" – HEI. I am thinking of the electrochemical platform of Jarrie and Champs-sur-Drac, with in particular the company Arkema or, in the vicinity, the company Ferromem, including the plant of Clavaux, in Livet-et-Gavet, produces silicon. For these HEI sites, electrical energy is a raw material. They face a twofold challenge: to secure long-term contracts with electricity suppliers to ensure a stable and sustainable price and to ensure the sustainability of activities and jobs; and to offer a potential for electrical erasure, essential to the balance of the grid, particularly for the management of peaks and peaks of consumption. Multi-annual energy programming has set a target of 4.5 gigawatts of erasure by 2023. This potential for erasure can be undermined by uncertainties about the price of electricity that will apply to HEI manufacturers. Mr Secretary of State, can you tell us what measures the Government has taken to ensure the stability of the energy price, thus ensuring the maintenance of industrial activities and corresponding jobs in our territories?
ParlaMint-FR_2020-02-04-O1132.u10	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2020-02-04-O1132.u11	As you have rightly pointed out, Mr President, the sustainability of the HEI industries – of which Ferromem is a company – is strategic in maintaining the activity of these employment pools. Their competitiveness is structuring for the French industry as a whole, since they supply our production chains and our industrial tool with processed materials, in a context of increasing international competition. France has taken many measures, from which the industrialists concerned benefit. I am thinking in particular of the scheme to enhance the flexibility of consumption or the reduction in the rate of use of public electricity networks. We therefore pay particular attention to the competitiveness of these economic actors. With regard to hydrogen, as you know, the Government has set itself a structural objective in the construction of our industrial policy: achieving carbon neutrality in 2050. We hope that France will develop the technologies that will enable us to evolve in a decarbonized world in the future. As such, the strategic nature of hydrogen technology development has been well identified. These technologies seem to be a dual challenge, both economic – because they offer the opportunity to create an industrial and environmental ecosystem – through the solutions they provide to decarbonize industry and transport. The emergence of new hydrogen-related markets opens up industrial prospects that need to be anticipated in the short, medium and long term. We have therefore supported the development of the hydrogen sector to the tune of €90 million in 2019, as part of our accompanying plan. In order to prepare a new programme of support for the sector and new actions in 2020, we launched last week a call for expressions of interest. I have no doubt that the actors you mentioned, Mr President, will be quick to respond. The teams of the Ministry of Economy and Finance are in contact with all the industrialists in the sector – notably the Michelin Group – and are trying to identify with them the levers favourable to the development of a French industrial offer, in the continuity of the accompanying plan. Our ambition, reaffirmed on several occasions in the framework of the construction of the 2025 productive pact, is simple: we want to create jobs and support industrial and technological sovereignty that allows us to chart our way towards a carbon-free economy. The activities you mentioned are important elements of this.
ParlaMint-FR_2020-02-04-O1132.u12	Mr Jean-Charles Colas-Roy has the floor.
ParlaMint-FR_2020-02-04-O1132.u13	Thank you, Secretary of State, for your response and for your determination to pursue a proactive industrial policy in support of hydropower and the development of new energies, such as green hydrogen. For the first time in years, France is again creating jobs in the industry: we can be proud of them. Let us support and invest in our dams – I know that you are working on a European scale to defend the maintenance of an optimised exploitation of our hydro-electric production structures. Support the HEI industries: this is good for employment, in sometimes fragile territories, for the environment – with local production and innovative and controlled processes – and for our economy and trade balance. Finally, let us support the industrial erasure, which is both good for the balance of our network and beneficial for the environment, as it makes it possible to dispense with the production of electricity emitting greenhouse gases. Our policy of supporting industry is very important for employment areas such as the country of Vizillois and makes it possible to support a whole fabric of subcontractors, who depend on the development of HEI – boilermakers, metalworkers, artisans, or even maintainers. Finally, I would like to recall the importance of the university for the attractiveness of a territory. Saint-Martin-d'Hères and Gières have the chance to welcome a component of Grenoble Alpes University, which is a group of universities, which cultivates the links between training, research and industry, to innovate and show that high technology and industry can develop in synergy, as hydraulics and hydrogen will do tomorrow.
ParlaMint-FR_2020-02-04-O1132.u14	The next speaker is Mr Gabriel Serville, to put his question, No 926, on overseas economic regulation.
ParlaMint-FR_2020-02-04-O1132.u15	With its 312 kilometres of coastline and 126000 square kilometres of exclusive economic zone located at the heart of the three markets: MERCOSUR – the Common Market of the South –, CARICOM – the Caribbean Community – and the European Union, Guyana has undeniable assets to integrate into the global blue economy. The difficulty is that the siltation of the coast requires infrastructure adapted to the reception of container carriers. However, the main port of commerce in Guyana is currently located at the mouth of a river whose daily dredging of access channels results in a substantial annual additional cost – about 8 million euros. While regional cabotage is one of the routes studied to develop port activity – whose organic dynamics already show 24% growth in five years – the ambition was born to provide Guyana, by 2030, with a deep water port, located off the coast. This project appears today at a halt, while the widening of the Panama Canal and the saturation of the port of Santana in Brazil make it possible to envisage a sharp increase in traffic in Guyana in the years to come. Moreover, Guyana does not currently have a border inspection post – PIF – to control imports of animal and plant products from countries outside the European Union. The result is a completely ludicrous situation, since all imports of this type are forced to transit through Europe before being sent to Guyana. For example, a fruit from the Brazilian city of Macapá, located 500 kilometres from Cayenne, has to cross the globe and takes 45 days to reach the Guiana displays through the legal channel. The dossier for the creation of the PIF of Guyana is closed; We have obtained the approval of the European Union. Only the share of government funding is missing, amounting to €2.3 million. Mr Secretary of State, the outcome of these two cases will have a direct impact on the cost of shipping to and from Guyana, and therefore on the local level of prices. I would therefore ask you to inform us of their progress and to reassure us of your engagement with us.
ParlaMint-FR_2020-02-04-O1132.u16	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2020-02-04-O1132.u17	Mr President, you are asking an extremely precise question about the development of a port in Guyana and the share of State funding. However, the oral question you tabled in writing simply stated that "Mr Gabriel Serville is questioning the Minister for Overseas Affairs on the cost of living overseas and the application of Article 4 of the Law of 20 November 2012 on Overseas Economic Regulation and on various provisions relating to overseas trade". I can, at this stage, answer this question by recalling the content of section 4 of the Act of 20 November 2012, but you will easily understand, I am sure, that I am unable to make the commitments you are asking me concerning such a specific dossier, which is followed by my colleague Minister for Overseas Affairs. I therefore propose that, in order to avoid ridicule, I should like to have the text of your question, which I shall immediately transmit to Mrs Annick Girardin, Minister for Overseas Affairs, so that an answer can be given to you as soon as possible.
ParlaMint-FR_2020-02-04-O1132.u18	Mr. Gabriel Serville has the floor.
ParlaMint-FR_2020-02-04-O1132.u19	Secretary of State, I would like to express my surprise, because I took the precaution to send the right question. No doubt there has been a problem with the transmission of information between the Overseas Ministry and yourself. I understand, however, that you are not in a position to improvise this morning an answer to such a specific question, because this answer would oblige you. I will therefore take the services of the Minister for Overseas Affairs to try to understand why the real question that I asked this morning did not come to you – which I am very sorry about.
ParlaMint-FR_2020-02-04-O1132.u20	Mrs Marie-Noëlle Battistel has the floor to raise her question, No. 949, concerning the opening of large areas without staff on Sundays and evenings.
ParlaMint-FR_2020-02-04-O1132.u21	I would like to refer to one of the diseases of capitalism, which is worrying and has a direct impact on our economic and social life: the opening of large areas on the evenings of the week and on Sundays, with automatic caisses instead of staff, and its impact on employees and customers. This is a problem that I know well, for having been asked by the staff in the constituency of which I am elected; This was done in two communes, Fontaine and Saint-Martin-d'Hères. The consequences are real. In the evening, security personnel, far too few for such large areas, are quickly overwhelmed. Flights are therefore frequent and, beyond their economic impact, endanger the safety of the premises. The next morning, employees must spend their time refurbishing the premises after the shelves were sacked the previous day. The law is not really respected, since minors have almost free access to the alcohol range, with all the risks that are known to public health and safety – not to mention the risk of fire, because employees, supposed to supervise customers if they have to evacuate the store, are obviously not present. In short, the peace of mind is no longer there. It is also a change in company model that is imposed on employees and customers. The human disappears in favour of automatic caisses, without any other reason than the permanent search for profitability – which is however quite relative given the phenomena that I have just described to you. The Casino Group asserts that this approach is a response to e-commerce and will allow customers to return. In view of the consequences and the return of experience of the employees, let me doubt it. At a time when we are collectively questioning the harms of overconsumption and its impact on the environment, such an approach is a particularly negative signal, which also raises the question of the precarisation of employment and the challenge of wage-earning activity, which is directly threatened by the extension of these poorly regulated automation processes. Of course, we have to ask ourselves: to what need, in fact, can this answer? Is shopping at midnight really a social progress? Mr Secretary of State, what can you do to put an end to these harmful practices not only for the lives of employees, but also for the lives of customers, and to combat the harm caused by this overconsumption logic?
ParlaMint-FR_2020-02-04-O1132.u22	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2020-02-04-O1132.u23	Madam Member, you are calling the Government's attention to the situation of large areas of food that open without staff on Sunday afternoons and on weekends until midnight. The Government is fully aware of this issue, which, as you stress, is not without difficulties, sometimes numerous and heterogeneous, including with regard to compliance with existing legislation and regulations. Although the Labour Code prohibits food businesses from employing employees on Sundays after 13.00 hours, it does not prevent them from opening the afternoon with automatic caisses, provided, however, that there is no prefectural order for the weekly closure of these businesses on Sundays. These opening experiments with automatic caisses on Sunday afternoon and at night are carried out with security staff, but difficulties such as those you mentioned may exist. These security personnel may work on Sundays, as they enjoy a derogation from the right to Sunday rest in connection with surveillance and guarding activities. However, it is important that they are exclusively concerned with security and that they do not, in practice, carry out assistance activities with customers in cash. Otherwise, this would constitute an infringement of the principle of Sunday rest, which may be punished by the labour inspectorate. If, moreover, they are allowed to work at night because they carry out an activity of protection of property and persons, there must nevertheless be a collective agreement governing the use of such workers at night; Failing this, this remedy must have been authorised by the labour inspector. However, both at night and on Sunday afternoon, these personnel may not perform duties other than those related to supervision, since any assistance activity to clients in cash can be considered as a means of diverting public order rules relating to night work – regardless of whether these security personnel are covered by a collective agreement. This is why the labour inspectorates carry out checks on signs which use these opening arrangements. These controls, which have been carried out in more than 13 departments, are monitored at national level and have given rise to summons in order to ensure compliance with the legislation. For the cases you have cited, we will refer them to the prefect of the department, so that the state services can also coordinate their action and ensure that all the regulations are respected in the signs you have cited.
ParlaMint-FR_2020-02-04-O1132.u24	Mrs Marie-Noëlle Battistel has the floor.
ParlaMint-FR_2020-02-04-O1132.u25	Mr Secretary of State, thank you for your answer, but the situation I have just mentioned also poses a broader problem: things can also happen when these large areas are removed and the mayors are concerned about the responsibility they may have. They must ensure supervision, at their expense, in order to guarantee safety; Such an obligation should not be based on the community. With regard to inside-store surveillance, security officers are present, but very few are present for such large areas. I have seen photos showing that the alcohol radius, which must be isolated and not accessible, is simply covered with a blue plastic tarpaulin, and therefore, it seems to me, almost in free access, which poses real problems both of compliance with the regulations and of safety.
ParlaMint-FR_2020-02-04-O1132.u26	Mrs Fadila Khattabi has the floor to put her question, No. 929, on the generalization of free employment.
