ParlaMint-FR_2020-07-29-E1024.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-29-E1024.u2	This afternoon, the Assembly continued its discussion of the articles, concluding with Amendment No 16 to Article 1.
ParlaMint-FR_2020-07-29-E1024.u3	I have before me several identical amendments, Nos 16, 274, 831, 1328 and 2097. Mr Xavier Breton has the floor to support Amendment No. 16.
ParlaMint-FR_2020-07-29-E1024.u4	There is now a logic of producing supernumerary embryos, against which you do not want to go, since you have rejected our amendments earlier, which were intended to introduce us into another logic, that of vitrification of oocytes. However, supernumerary embryos sharpen the appetites of research. Is the embryo, or is it not, a person? It is a question that has been tarnishing humanity for centuries, which will continue to arise. Potential human person, becoming... It can be given all kinds of names, but the embryo is certainly more than the cluster of cells to which some would like to reduce it. It is not a material that could serve the interests, particularly financial, of research. We therefore propose a ban on embryo research.
ParlaMint-FR_2020-07-29-E1024.u5	Amendment No 274 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-29-E1024.u6	Yes, because of the scheduled legislative time!
ParlaMint-FR_2020-07-29-E1024.u7	I call Mr Thibault Bazin to support Amendment No. 831.
ParlaMint-FR_2020-07-29-E1024.u8	I am content to say that it is defended, because of the scheduled legislative time.
ParlaMint-FR_2020-07-29-E1024.u9	Amendment No 1328, of which I am the first signatory, is being defended. I call Mr Perrut to support Amendment No. 2097.
ParlaMint-FR_2020-07-29-E1024.u10	This is the particularly sensitive issue of embryo research. It poses acute ethical problems. To date, embryonic stem cell research has not yielded results in the treatment of serious diseases; On the other hand, research on adult stem cells has led to results. That's the state of science. Once again, the legislator is faced with a tension between, on the one hand, the interest of research and new techniques developed with a view to improving human health, and, on the other hand, the limits that we must set in the name of the dignity of the person. The embryo is not just a laboratory material. The rapporteur of the 2011 bioethics law made it very clear: "the legislator refuses to consider it purely and simply as one thing". This consideration must be taken into account. In countries where supervision is less strict than in our own, such as the United Kingdom, which has been conducting embryo research for almost thirty years, these have not allowed for any real therapeutic or scientific breakthrough.
ParlaMint-FR_2020-07-29-E1024.u11	He's right!
