ParlaMint-FR_2020-12-15-O1121.u1	The next item is the question to the Government.
ParlaMint-FR_2020-12-15-O1121.u2	Mrs Duby-Muller has the floor.
ParlaMint-FR_2020-12-15-O1121.u3	As the coronavirus epidemic continues every day to make victims...
ParlaMint-FR_2020-12-15-O1121.u4	That's right!
ParlaMint-FR_2020-12-15-O1121.u5	...that our health care staff chain the waves of contamination, that our economy is at a standstill, that our traders and our cultural world are in great distress; While in the midst of an epidemic, the wave of Islamist attacks continues to spill over into French territory, and every weekend the extreme left attacks our law enforcement forces and breaks our businesses during demonstrations, the President yesterday released a referendum to include the fight for climate in the Constitution.
ParlaMint-FR_2020-12-15-O1121.u6	Yes!
ParlaMint-FR_2020-12-15-O1121.u7	He's right!
ParlaMint-FR_2020-12-15-O1121.u8	Seriously, Prime Minister, who would be against it? [[Applause on the benches of the LR group]] I am very proud to inform you that my political family has already done so, since 2005, with the Environmental Charter, which incorporated the constitutional block and was raised to the level of human rights. Now, you are threatening to break society by making a subject that must bring us together. So why the referendum? [[Approval on several benches of the LR group]] Maybe to mask your political inaction? Maybe, too, because you're very entangled with the conclusions of a citizen's agreement drawn by lot, which asks you to account? Perhaps also, because you are discreetly reopening coal-fired plants, very polluting, because of the absurd and ideological closure of the Fessenheim nuclear power plant...
ParlaMint-FR_2020-12-15-O1121.u9	Absurd and useless!
ParlaMint-FR_2020-12-15-O1121.u10	[[Applause on the benches of the LR group]] ...who, however, produced a totally decarbonated energy? Perhaps also because you support the ratification of CETA, this free trade agreement between the European Union and Canada, which, by allowing the import of hormone beef after 7,000 kilometres of aircraft, will certainly improve the lives of the French? Perhaps, at last, because your majority is about to refuse tonight the Senate's proposal to reduce VAT on train tickets, when it was a proposal from the citizens' convention!
ParlaMint-FR_2020-12-15-O1121.u11	It's really weird!
ParlaMint-FR_2020-12-15-O1121.u12	[[Applause on the benches of the LR group]] [["Very good" and applause on the benches of the LR group]] Prime Minister, in the ranks of our political family, environmental protection has always been a priority – and it is a Member of Parliament for this magnificent territory that reminds you today. When, then, will you stop instrumentalizing this cause, as you do with a gadget referendum aimed at saving face after an unglorious balance sheet on the environmental issue?
ParlaMint-FR_2020-12-15-O1121.u13	The Minister for Environmental Transition has the floor.
ParlaMint-FR_2020-12-15-O1121.u14	[[Applause on a few benches of the LaREM group. – Mr. Erwan Balanant also applauds]] You have just given us a good example of what happens often when we talk about environmental protection: this is never the time. You say you are concerned about this question: you are right, it must bring us all together because, of all the crises that we are experiencing, health or economic, the climate crisis, it, overlooks us and never stops. [[Exclaims on the benches of the LR group]] The President of the Republic therefore decided yesterday to unite us around the desire to include this issue in our supreme text of the Constitution. It is simply a matter of clarifying and enriching the work carried out with the Environmental Charter...
ParlaMint-FR_2020-12-15-O1121.u15	Diversion!
ParlaMint-FR_2020-12-15-O1121.u16	... which established in principle the right to live in a protected environment. Thus, explicitly include in the Constitution the protection of biodiversity and the fight against climate change, which reinforces and reinforces environmental law.
ParlaMint-FR_2020-12-15-O1121.u17	It's not precision you add, it's confusion!
ParlaMint-FR_2020-12-15-O1121.u18	We are living in a very important moment, in which parliamentarians will obviously be associated, since, as you know, our Constitution specifies that before being submitted to the referendum, the text will have to be adopted in the same terms by the National Assembly and the Senate. It is then 60 million of our fellow citizens who will be able to come together on this essential issue. [[Applause on a few benches of the LaREM group]] I hope, for the future of our children, that we will be able to come together on this fundamental issue, which is the inclusion of this beautiful theme in our founding text. I believe it.
ParlaMint-FR_2020-12-15-O1121.u19	[[Smile]] Applause fed on the benches of the majority!
ParlaMint-FR_2020-12-15-O1121.u20	Mr Grégory Labelle has the floor.
ParlaMint-FR_2020-12-15-O1121.u21	In his speech to the Walls on 2 October, the President of the Republic announced that school education would be made compulsory for all, from the age of three, on the grounds that, every month, so-called out-of-system children would be discovered in clandestine schools or, worse still, educated at home by parents who were supporting separatist projects. Of a curious nature, I wondered what was really the face of the 50,000 emerging terrorists educated at home every year. On 9 December, I held a video conference at which more than eighty children with family education told me about their daily lives. Well, Prime Minister, my opinion is without appeal: you are right to abolish family education. What was not my terror when Anouk, 16, smiled at the camera, explaining that family education – IF – allowed him to make more than twenty hours of music a week! How can we not be afraid to listen to the testimony of little Julien, who told me his daily life in IF, shared between readings and his association for the protection of the environment? If the consequences were not so bad, I would laugh at the combination made by the President of the Republic between families instructing their children at home and children out of the system. But, through article 21 of the bill, which reinforces respect for the principles of the Republic, you are about to abolish the fundamental freedom of parents to choose education for their child, and to replace it with a system of authorization. Prime Minister, Article 21 is a problem. Legally untenable, it will upset the lives of many families without solving the problem of out-of-system children. How long has freedom been granted? How do you intend to defend this system of authorization, which raises, however, delicate questions of constitutional conformity, according to the opinion given on 8 December by the Council of State? This article will in no way resolve the case of out-of-system children, denounced by the President of the Republic, because families in IFs must declare themselves and are monitored every year. Inspection reports are often laudable, and the existing legislative arsenal, including the Gatel Act, aimed at simplifying and better regulating the regime for the opening and monitoring of private out-of-contract institutions, and the law for the school of trust, already makes it possible to penalise defaulting parents. [[Applause on a few benches of the LR group]] On behalf of the IDU and Independent Group, I therefore ask you: why do you want to abolish the freedom of family education and subject it to an authorisation system...?
ParlaMint-FR_2020-12-15-O1121.u22	Thank you, my colleague. The next speaker is the Minister for National Education, Youth and Sport.
ParlaMint-FR_2020-12-15-O1121.u23	[[Exclaims on the benches of the LR group]] My point should be such as to reassure you: indeed, by listening to you, I did not recognize anything in the bill that I am now going to give you the nature of. First of all, I want to reassure you about the case of the girl in intensive artistic practice: this is precisely one of the exceptions provided for, from the beginning, by the text, because of course we do not seek to prevent family education in certain specific justified cases. On the other hand, you would be wrong to minimize the phenomenon that we want to put an end to, and that is far away, as one might think by listening to you, from being non-existent. Do you know that when we dismantle clandestine structures, half of the students are declared as being educated with the family? And again, it's only been two years since we have enacted the laws that you have recalled. There is therefore an important phenomenon...
ParlaMint-FR_2020-12-15-O1121.u24	Do your job!
ParlaMint-FR_2020-12-15-O1121.u25	...and I'm a little surprised that, on the same benches where we are accused of softness in the matter, we pretend not to see the problem! Because it's obvious there's a problem. [[Applause on the benches of the LaREM and Dem groups]] It is not a question of preventing family education for those who do it well. As I said last week, the bill is a balanced text, with exceptions, particularly for intensive sports and artistic practices, and specific educational projects. It allows, above all, to move from a system of verification a posteriori, not always carried out uniformly, to a system of prior authorisation. This will enable us to be certain that children are actually being educated at home, not in fundamentalist structures, dangerous not only for the Republic, but also for the rights of the child.
ParlaMint-FR_2020-12-15-O1121.u26	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2020-12-15-O1121.u27	Prime Minister, EDF is the leading electricity producer and supplier in France and Europe, and the third largest in the world.
ParlaMint-FR_2020-12-15-O1121.u28	That's right!
ParlaMint-FR_2020-12-15-O1121.u29	For us, French, this company that is a source of technology, invention, engineering and efficiency is a pride. Since 1946, no Government, whether on the right or on the left, has dared to imagine dismantling EDF. Last week, three Members of Parliament from different backgrounds, in particular my colleague Marie-Noëlle Battistel, questioned you on this subject without an answer.
ParlaMint-FR_2020-12-15-O1121.u30	We've questioned him too!
ParlaMint-FR_2020-12-15-O1121.u31	[[Applause on the SOC, FI and GDR benches]] I therefore ask you this simple question: Prime Minister, do you envisage, through the Hercules project or another, cutting EDF into three – in other words, dismantling it?
ParlaMint-FR_2020-12-15-O1121.u32	The Prime Minister has the floor.
ParlaMint-FR_2020-12-15-O1121.u33	I would like to clarify as solemnly as possible to the national representation ("Ah! The government, far from having the intention of weakening or dismantling this large national company, EDF, intends to adapt it...
ParlaMint-FR_2020-12-15-O1121.u34	How?
ParlaMint-FR_2020-12-15-O1121.u35	[[Exclaims on the banks of the GDR Group]] ...and give him the weapons to fulfill his historic mission. So, what's this all about? I will begin by referring to the issue of hydropower...
ParlaMint-FR_2020-12-15-O1121.u36	Yes!
ParlaMint-FR_2020-12-15-O1121.u37	[["So what? » on several benches of the SOC and GDR groups]] ... dear to the heart of many parliamentarians and on which – should we remind the National Assembly? – we have been in litigation with the European Commission for more than 12 years.
ParlaMint-FR_2020-12-15-O1121.u38	What about our sovereignty?
ParlaMint-FR_2020-12-15-O1121.u39	[[Applause on the benches of the LaREM group]] This problem, who solved it? After discussions with the Commission, which will allow EDF to retain its prerogatives in the field of hydropower, we will have done so. [[Exclaims on FI and GDR benches]] [[Exclaims on FI and GDR benches]] We must also give EDF – which is, I would remind you, subject to competition from other companies at European level – the means to finance its projects, such as the energy mix, and to continue to invest in renewable energies. This is the meaning of the mandate given to the Minister for the Ecological Transition, Barbara Pompili, and to the Minister for the Economy, Finance and Recovery, Bruno Le Maire, for the ongoing discussions with the European Commission.
ParlaMint-FR_2020-12-15-O1121.u40	Fossoyer!
ParlaMint-FR_2020-12-15-O1121.u41	[[Applause on the benches of the LaREM group. – Exclaims on the banks of the LR and GDR groups]] I repeat: we have no intention of dismantling EDF, which will remain a large public group. The status of staff in the energy and gas industries will be preserved: I am committed to it before the national representation.
ParlaMint-FR_2020-12-15-O1121.u42	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2020-12-15-O1121.u43	[[Applause on the SOC, FI and GDR benches]] I hear your commitment, Prime Minister, and we will help you keep it. Indeed, we are going to table a bill to create a referendum on a shared initiative to prevent EDF's sequestration. [[Protests on the benches of the LR group]] [[Applause on the SOC, FI and GDR benches. – MM. Jean-Louis Bricout and Hubert Wulfranc rose and applauded, followed by several SOC members]] Prime Minister, you are a Gaullist: the integrity of EDF must be maintained. It's out of the question of cutting it, dismantling it. We therefore appeal to all colleagues who wish to protect EDF's integrity. So that this flagship can continue to live: we propose that a referendum of shared initiative allow all French and French people to express themselves on this subject. With 1.2 million of them, we prevented you from privatising Aéroports de Paris, a decision that would have proved catastrophic; We will also prevent you from dismantling EDF, regardless of how you intend to do so.
ParlaMint-FR_2020-12-15-O1121.u44	All right!
ParlaMint-FR_2020-12-15-O1121.u45	Mr Jean-René Cazeneuve has the floor.
ParlaMint-FR_2020-12-15-O1121.u46	[[Exclaims on the benches of the LR group]] All of them in the Chamber welcomed the commitment of local elected representatives from the first day of the pandemic. We know, Prime Minister, your commitment to the territories; You have highlighted on many occasions the key role of communities, and you want the recovery to be territorialized. However, even if the impact is less than we initially feared, the impact of the crisis on the finances of local and regional authorities is violent and accounts for 3% to 4% of real operating revenues. Thanks to the four budget texts adopted in the Chamber, a considerable effort is being made by our majority to provide local and regional authorities with unprecedented support of almost EUR 7 billion, in the form of compensation, advances and investment support. The stimulus we are driving must be with the communities, which support no less than 60% of public investment. We must therefore give them visibility on their future resources: in this context, you signed an agreement with the regions in September. It will allow them to see their revenues increase significantly in 2021. The departments have also received very substantial support from the State to cope with the foreseeable increase in social spending. Prime Minister, can you tell us more about the agreement signed this weekend with the departments? Finally, should we not go further to bring more visibility to the communal bloc? [[Applause on the benches of the LaREM group]] It is now that local elected officials adopt their budgets; it is now that they decide whether or not to increase their investments; It is therefore now that we must give them visibility, because we must act together, together with local and regional authorities, if we are to succeed in the recovery.
ParlaMint-FR_2020-12-15-O1121.u47	The Prime Minister has the floor.
ParlaMint-FR_2020-12-15-O1121.u48	Thank you for this important question: it allows me to refer in this Chamber to the major issue of the finances of local and regional authorities. First of all, I would like to associate myself with your remarks by recalling the extent to which, since the beginning of the health crisis, these communities have mobilized, the extent to which the impact on their finances, as indeed on those of the State, has been strong, and, above all, the solidarity shown by this Government, the majority, to them.
ParlaMint-FR_2020-12-15-O1121.u49	That's not true! Zero!
ParlaMint-FR_2020-12-15-O1121.u50	[[Applause on the benches of the LaREM group]] I would also like to thank and congratulate you, Mr. Cazeneuve, for the considerable work you have done on this important subject on behalf of the National Assembly. In July, you gave me an extremely valuable report,...
ParlaMint-FR_2020-12-15-O1121.u51	He didn't read it!
ParlaMint-FR_2020-12-15-O1121.u52	Precious to light fire in Matignon's fireplace!
ParlaMint-FR_2020-12-15-O1121.u53	At least it's for something!
ParlaMint-FR_2020-12-15-O1121.u54	...nourri, concerning the consequences of the covid-19 on the finances of the local authorities: I thank you again, because it inspires the Government's policy. Our goal is twofold. On the one hand, it is a financial solidarity effort towards local authorities: solidarity is the State's response to all those affected by this crisis. It also involves looking to the future and, once we have restored the self-financing capacities of these communities, enabling them to contribute, alongside the state, to the revival by which our economy can return to growth. [[Exclaims on the benches of the LR group]] As you said, I first signed an agreement with the regions of France in September. There was an urgent need, as the regions' revenues will be affected by the significant fall in production taxes, in particular the ACVE, the contribution on business value added provided for in the recovery plan. The national representation was willing to retain a favourable basis, allowing the regions to earn EUR 300 million in compensation for this decline in the CVAE; I have obtained, under this agreement, that they join the State to the tune of at least 10 billion in order to participate in the recovery. This will be declined in the weeks and months to come. As for the departments, which are the subject of your question, I signed in La Rochelle...
ParlaMint-FR_2020-12-15-O1121.u55	With Ségolène?
