ParlaMint-FR_2020-05-26-O1219.u1	The next item is the question to the Government.
ParlaMint-FR_2020-05-26-O1219.u2	Mr Jean-Pierre Door has the floor.
ParlaMint-FR_2020-05-26-O1219.u3	Prime Minister, the French want to know what awaits social security, what is their property and whose deficit is growing today at an abyssal level, never before seen! Having mentioned in the Senate a deficit of 41 billion euros, we come to 92 billion by adding to it the cost of the proposals for the hospital as well as that of the many past and future promises, not to mention the future law autonomy and dependence, at the cost estimated between 7 billion and 10 billion by Mr Libault, nor of course the salary increase, expected and highly deserved, of the health professionals. There is already the most monstrous deficit in recent years, three times that of 2009-2010, after the economic crisis. It is true that after the effect of the Yellow Gilets in 2019, the health crisis plunges health insurance and ACOSS – the Central Agency of Social Security Agencies. You are breaking down the 2024 date, which is scheduled for the end of the CADES, the social debt amortization fund, under the Organic Law of 2010, because you are blowing up the debt, which is going to be more than 130 billion. And exits, of course, the return to balance. [[Applause on the benches of the LR group]] Prime Minister, national representation, like the French, wants to know your intentions: what will be your budgetary solutions in the field of social security?
ParlaMint-FR_2020-05-26-O1219.u4	Very good question!
ParlaMint-FR_2020-05-26-O1219.u5	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2020-05-26-O1219.u6	Mr President, you have been sitting in this House for a long time to know exactly how it works, and you are well aware that the current situation, beyond the crisis that we are experiencing, is not unrelated to the past. We made significant efforts to reduce the social security deficit and debt a few months ago, but our country is currently in a crisis, where we need to change our health care system. It is within this framework that we must respond to the needs of caregivers, users and patients in order to adapt our health care system to their high expectations.
ParlaMint-FR_2020-05-26-O1219.u7	"Crual mistakes" said the President!
ParlaMint-FR_2020-05-26-O1219.u8	It is important to remember that we have reversed the trend by reinvesting massively in the hospital because that is how we will answer them. It is also about maintaining the necessary link with city medicine and meeting the needs of the territories from the territories, with all the territorial authorities: this is the whole contribution of the reform "my health 2022".
ParlaMint-FR_2020-05-26-O1219.u9	It's a fiasco!
ParlaMint-FR_2020-05-26-O1219.u10	I thought the president said it was good for the trash?
ParlaMint-FR_2020-05-26-O1219.u11	And it is because we need to go even further that we must also take the issue of dependency into account by making the choice to reinvest in our health system in this way: to prepare for the future and to meet the future health needs of our fellow citizens.
ParlaMint-FR_2020-05-26-O1219.u12	Mr Jean-Pierre Door has the floor.
ParlaMint-FR_2020-05-26-O1219.u13	Madam Secretary of State, you did not answer my question:...
ParlaMint-FR_2020-05-26-O1219.u14	What are you proposing?
ParlaMint-FR_2020-05-26-O1219.u15	Nothing!
ParlaMint-FR_2020-05-26-O1219.u16	...what about compensation for social debt, over 130 billion? How will the Government do so? What solutions are envisaged at CADES level in the framework of the Organic Law of 2010? Is it about a cancellation?
ParlaMint-FR_2020-05-26-O1219.u17	The Secretary of State has the floor.
ParlaMint-FR_2020-05-26-O1219.u18	This subject will be dealt with entirely and, since it is an organic law, you will be fully associated with it like other parliamentarians.
ParlaMint-FR_2020-05-26-O1219.u19	"It's a little short," as they say in Cyrano!
ParlaMint-FR_2020-05-26-O1219.u20	Mrs Maud Petit has the floor to put the question by Mr Max Mathiasin.
