ParlaMint-FR_2020-06-09-O1230.u1	The next item is the question to the Government.
ParlaMint-FR_2020-06-09-O1230.u2	Mr Philippe Berta has the floor.
ParlaMint-FR_2020-06-09-O1230.u3	My question is to Mr Bruno Le Maire, Minister of Economy and Finance.
ParlaMint-FR_2020-06-09-O1230.u4	The Prime Minister, according to Gilles Le Gendre!
ParlaMint-FR_2020-06-09-O1230.u5	If it is an issue highlighted by the health crisis, it is the strategic importance of the health sector, both for the lives of our citizens and for the independence of our country. In this area, we must act hard and fast, because it is urgent to fully meet this challenge and to give the country of Pasteur and Curie its excellence in the service of our most precious good: health. Upstream, our research laboratories are looking for a new breath; The success of the multi-year research programming law – PBDA – is crucial to providing them with the oxygen needed for new scientific advances and to improve our transfer and enhancement capabilities. But it is also downstream, at the pre-industrial stage of clinical trials, at the industrial stage of production, and at the time of placing medicines on the market, that the difficulties arise most acutely: administrative burdens and non-competitive delays, lack of large investment funds to finance clinical trials, policy of fixing the deterrent annualised price, etc. There is no shortage of bottlenecks. It is symptomatic that in the great country of virology that is France, almost none of the antivirals from our research laboratories have been marketed by our companies and are not part of the ongoing clinical trials. Our scientific discoveries fly systematically abroad, to the detriment of the health of our fellow citizens. It is a comprehensive policy, integrating the entire health industry sector into our national priorities, which we need. It is a question of retooling our health laboratories with French tools and equipment – almost no longer exist, which increased the situation of shortages during the crisis – as well as of establishing an ecosystem favourable to the valorisation of French innovations and economic successes. Minister, given the lessons of this crisis, what are your intentions for our health industry? (Applause from the banks of the MODEM group and from a few benches of the LaREM group.)
ParlaMint-FR_2020-06-09-O1230.u6	The Secretary of State to the Minister for Economic Affairs and Finance has the floor.
ParlaMint-FR_2020-06-09-O1230.u7	You are right to stress the importance and strategic nature of the health sector. Moreover, we did not wait for the crisis of the Covid-19 to take up the matter. Indeed, as early as 2018, we installed the Health Industries Strategic Council, giving it a very clear roadmap: about 60 measures covering the various aspects that you mentioned. At the outset, the question arises of the administrative authorizations needed to conduct clinical research, to accompany it, to encourage it and to reduce delays. Until then, France did not shine at the European level by its performance. Measures have therefore been taken in this area and have now entered into force. Of course, we can always do better, but know that they are part of our road map. Secondly, we must support innovation – both public and private – and research and development. We are working on this and have just launched, together with Frédérique Vidal, a plan to support innovation and research of 550 million, including 100 million for PSPCs – structural projects for competitiveness – including those in the health sector. The third axis concerns industrialization and the re-establishment of industrial production sites, not only in France but in Europe, in order to avoid disruptions of supply. We have also made progress in this area, discussing with pharmaceutical laboratories how the price of medicines could allow them to consider the re-location of sites in France. This is the subject of Article 18 of the 2015 Framework Agreement on the price of the medicinal product. For the first time, we are planning a significant 3% increase in the envelope for innovative medicines, and an overall increase in the envelope as well. We will continue in this direction, also promoting a production and strategic approach to health at European level, which should be reflected in a European CPI – consumer price index.
ParlaMint-FR_2020-06-09-O1230.u8	What about Luxfer's oxygen bottles?
ParlaMint-FR_2020-06-09-O1230.u9	Mrs Duby-Muller has the floor.
ParlaMint-FR_2020-06-09-O1230.u10	Prime Minister, 107, this is the number of acts of violence that our law enforcement forces suffer every day. Faced with this dramatic finding, the "first cop of France" chose to submit to anti-flic hatred, ready to flout the presumption of innocence in order to give assurances to hatred. It even authorizes demonstrations bringing together 20,000 people in a state of health emergency, during which a black policeman is insulted and called "dirty sold",...
ParlaMint-FR_2020-06-09-O1230.u11	Scandalous!
