ParlaMint-FR_2020-07-31-E1028.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-31-E1028.u2	Last night, the Assembly continued its discussion of the articles of the bill, ending with article 4 bis.
ParlaMint-FR_2020-07-31-E1028.u3	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-31-E1028.u4	In a game of fakes of which we are not fooled, you say that pregnancy for others – GPA – is a red line, but, at the same time – because it is your practice – your majority has removed the device provided by the Senate with rule 4 bis. You say that GPA is still banned in France but, at the same time – full of hypocrisy – you do nothing, nothing, nothing to deter the French from going abroad to rent the body of women. Mr. Keeper of the Seals, I wrote to you about a trade show organized on the first weekend of September in the 17th arrondissement of Paris to promote GPA. You didn't answer me: double speech? Are you going to deter our compatriots from selling the woman? Ladies and gentlemen, we must not facilitate steps that regularize unacceptable practices. [[Applause on several benches in the LR group]] Instead of doing so, your majority refused to prohibit in committee the total transcription of the foreign birth certificate of a French child conceived by GPA, thus making it easier to circumvent French law.
ParlaMint-FR_2020-07-31-E1028.u5	All right!
ParlaMint-FR_2020-07-31-E1028.u6	Mr Roland Lescure has the floor.
ParlaMint-FR_2020-07-31-E1028.u7	I represent thousands of French and French people living in the United States and Canada. They have decided to make their lives abroad by professional choice, because they have had the opportunity or, disliked by some who do not like to hear this word in the Chamber, out of love. Many of them have founded a family; Sometimes these couples have had children through medically assisted procreation, or have resorted to pregnancy for others. For these families, the decision of the Court of Cassation of December, which allows the transposition of a foreign birth certificate in France, represents a major step forward in respecting their fundamental right to lead a family life, and a real breath of oxygen. It is in this sense that I wished to make you hear their voice. I am aware that this decision of the Court of Cassation has unfortunate effects and that it opens the possibility of a commodification of the GPA, if the transposition of the birth certificate is not subject to verification by the judge or a civil registry officer. It is therefore essential that the consulates, who are fully aware of the situation on the ground, do their part. If the bill that we will be voting on today, I hope, perhaps tomorrow, goes back to the decision of the Court of Cassation, it is essential that the consular administration exercise diligence so that the French and French established outside France obtain, when they are entitled to do so, the recognition of the birth certificates of children born abroad, with respect, Mr.Bazin, for the law – this is obviously the case for almost all requests from my constituency. [[Applause on the benches of the LaREM group]] In all cases, the safety of children must be given priority in order to avoid the denial of the rights of some non-biological parents due to lack of transcription, endangering the rights of their children.
ParlaMint-FR_2020-07-31-E1028.u8	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2020-07-31-E1028.u9	At this point in the debate, I want to reaffirm the clear opposition of the group of the Democratic and Republican Left to the gestation for others, which consists of instrumentalizing the body of a woman. Whatever the context, its logic necessarily implies an infringement of what we consider to be an ethical foundation. In our view, France's refusal of this practice, as stated in its laws, must be perfectly clear. I have read the opinions of the Court of Cassation. Either they express a desire to see the law and its meaning evolve, in which case we have the responsibility, as national representation, to say what our position is; or their intention is to ask the question in order to elicit clarification of the law, in which case we also have our say. In my opinion, our decision can't go back to saying, "Go do that somewhere else. France's position must be firmer.
ParlaMint-FR_2020-07-31-E1028.u10	All right!
ParlaMint-FR_2020-07-31-E1028.u11	[[Applause on several benches of the LR group and a few benches of the LaREM group]] It must continue to be a strong voice against this instrumentalization of women's bodies.
ParlaMint-FR_2020-07-31-E1028.u12	I have before me three deletion amendments, Nos 689, 1132 and 1657. Mrs Laurence Vanceunebrock has the floor to support Amendment No. 689.
ParlaMint-FR_2020-07-31-E1028.u13	The European Court of Human Rights – ECHR – recalled the obligation of Member States to propose a solution to allow the recognition of a parentage bond of a child born of a GPA abroad with his or her intended parent. If a margin of discretion is left to States regarding the method of establishing filiation, article 4 bis restricts the path chosen in France, allowing only adoption by parents of intention. However, this method of filiation does not provide the child and his or her family with sufficient legal security. Worse still, while waiting for judgment to be pronounced, it places children in great insecurity about the hazards of life, which can amputate them with part of their filiation, in the event of separation or death. In addition, this article prohibits any full transcription of a civil registration document legally established abroad for children born to GPA. It therefore impedes the enforcement of the foreign judgment establishing the dual link of filiation of the children concerned. Thus this article, by not clearly satisfying the obligation of the ECHR, prevents a positive development of our jurisprudence in this matter, even as it takes increasingly into account the best interests of the child. Only a few months ago, we adopted a resolution to ensure that the rights of the child are systematically taken into account in our work: on subjects such as this one in particular, we must be careful to make the best interests of the child take precedence over ideological considerations of more or less accepted modes of conception. So my colleague Raphaël Gérard's amendment proposes to delete Article 4a in order to return to the balance of the first reading text. As the rapporteur suggested, let us move away from the "GPA" issue of the bill.
ParlaMint-FR_2020-07-31-E1028.u14	Mr Jean-Louis Touraine has the floor to support Amendment No. 1132.
ParlaMint-FR_2020-07-31-E1028.u15	Mr. Keeper of the Seals, you wish to await the decision of the Court of Cassation concerning transgender persons and then apply it. Can you do the same for children born to GPA? In your first speech on the text, you made it clear that the rights of the child are your priority – equal rights for all children. Children born to GPA abroad suffer from the lack of immediate recognition of their filiation. Some waited until the age of 18 or 19 for their mother to finally be recognized as: their mother, their true mother, the one who took care of them, who raised them, who loved them. Let us be clear: we are not talking about GPA, but about children, who have not chosen their way of design. GPA is prohibited in France, but children are not prohibited. They are not forbidden to have parents, it is even necessary for them – it is in the best interests of the child. One cannot maintain the adoption proposal, which applies only to married parents, and presupposes harmful delays and inappropriate procedure: one does not adopt one's own child! [[Applause on several benches of the LaREM group]] There are already various circumstances in which the mother is not the woman who gives birth: in the case of adopted children, this is also the case for children born in secret. Let us therefore let the magistrates assess whether the civil status of the country of birth is safe and transcribe it when it is necessary so that, finally, all these children are no longer taken hostage.
ParlaMint-FR_2020-07-31-E1028.u16	Mrs Anne-France Brunet has the floor to support Amendment No. 1657.
ParlaMint-FR_2020-07-31-E1028.u17	The deletion of article 4 bis would allow families to finally obtain full recognition of their filiation, while guaranteeing full control of consulates, in order to avoid the various traffickings. Since instructions from the Nantes prosecutor in March 2020, case law has finally been applied for these children born abroad. The consulates now conduct a full transcript of the foreign birth certificate in the French registers, after checking that it does not disguise any fraud in adoption or other trafficking. Thus, the legislation already allows for the control of transcriptions of foreign acts; the first were effective in June.
ParlaMint-FR_2020-07-31-E1028.u18	Mrs Coralie Dubost, rapporteur of the Special Committee, has the floor to give the Committee's opinion.
ParlaMint-FR_2020-07-31-E1028.u19	A particularly sensitive subject that was the subject of the GPA, or the PPP – procreation for others – and which was originally not part of the bill. I would therefore like to remind myself of the case law so that the issues are perfectly clear and that we do not get carried away. The pregnancy for others is still prohibited in France, as you know: articles 16 et seq. of the Civil Code prohibit conventions concerning the body of women; the lack of heritage of the human body and the impossibility of holding conventions have remained regular. However, the French can carry out GPAs or PPPs abroad. In this case, when the child arrives in France with his or her parents, his or her filiation is not provided a priori. Since 2014, the European Court of Human Rights has asked France to find solutions for these children who, as many of you have pointed out, are obviously not responsible for their situation, nor for their mode of reproduction. We, the leaders, the public authorities, owe them a status, a double filiation, so that they can develop in a dignified way in society. As a first step, the jurisprudence of the Court of Cassation decided a partial transcription of the foreign civil status documents for the biological father of the child; She then authorized adoption for the second parent, the spouse, whether a man or a woman. This two-stage case law, in 2015 and 2017, remained stable until 2019. Then, during the first reading of the bill, the famous Mennesson decision was rendered, the one to which I suppose you were referring, Mr.Touraine. In the Mennesson case, where, in more than 15 years, adoption had not taken place, the Court stated that, since the French State was not in a position to ensure the conditions of rapidity guaranteeing the child a status, it was necessary to open other avenues of filiation. In the present case, it has recognized various possibilities, including state ownership and full transcription. In December, another case law systematized the Mennesson rule, and proposed that the transcription thus established for both parents become the norm, without going through the control of the judge. That is why the Senate adopted an amendment, tabled by Mr.Bruno Retailleau, to strictly prohibit systematic transcription – and aimed at the GPA. But its incomplete wording has probably inadvertently created a blind spot that leaves room for international child trafficking in matters of intercountry adoption, which is not acceptable. We have amended article 4 bis to clarify that, in applying article 47 of the Civil Code, which allows the transcription of foreign civil status documents in French law, the judge must assess the reality of the facts under French law and not under foreign law. It is therefore our ethical rules that must apply. You wish to delete this article 4 bis so that the case law of December 2019 continues to prevail, thus systematically giving a status to children returning from abroad. However, I repeat, this case law is incomplete and leaves a blind eye on intercountry adoption and trafficking in children that is not acceptable. That is why I give an unfavorable opinion to all the amendments. On the other hand, we must ensure that families, Mr. Keeper of the Seals, are quick to do so. You were not on the bench at first reading, but your predecessor, Nicole Belloubet, made a commitment to send a circular to the magistrates. However, we have not seen the content of it. I ask you to take such a circular quickly, in order to ensure, of course, that the proceedings are expeditious, but also that the judges speak. As rapporteur, I have been seized by many families and I cannot hide from this House that I have been given testimony of unfair judgments of value on them and on children. Some have been told by magistrates that they were not families, that their parents did not have to bring them here, that they should not be there!
ParlaMint-FR_2020-07-31-E1028.u20	This is outrageous!
ParlaMint-FR_2020-07-31-E1028.u21	It's outrageous. We must make this known to all judges and put an end to it. Children and families must be treated properly. [[Applause on several benches of the LaREM group. – Mrs Caroline Fiat also applauds]] [[Applause on many benches of the LaREM group]] Finally, I would like to thank Monique Limon, who worked on the very fine text of the bill to reform the adoption that we should be considering in the last quarter of 2020. It will, with the help of the Chancellery, provide a quick and lasting solution for families and especially for children, by placing them in a dual filiation, guaranteeing a legal status, while preserving our ethical principles, among which, to date, the prohibition of GPA and PPA.
ParlaMint-FR_2020-07-31-E1028.u22	The next speaker is Mr Custody of the Seals, Minister of Justice.
ParlaMint-FR_2020-07-31-E1028.u23	[[Applause on the benches of the LaREM group]] Madam rapporteur, it is not abnormal that the circular was not taken: in the order of things, the law precedes the implementing text. I pledge that the circular will be taken. I would also like to say to the families who are listening to us that if words such as those you are reporting have been made by magistrates, it is absolutely scandalous, so that things are very clear. I will elaborate on my answer, which will allow me to be shorter afterwards. Article 4 bis concerns the transcription into French civil status of the birth of a child abroad. The Government's red line is: no, no, not GPA. However, the law must take into account children born to GPA abroad. How can it be said: is it abnormal that we are trying to gain control over the way in which GPAs are carried out in totally different countries, according to completely different laws, some of which – I do not mean here which – may seem to us to be relatively unprotected of rights, whereas our legislation, it is its honour, must protect children, children and always children, Mr Touraine? Mr Lescure, as you know, consular authority is not a judicial authority. But I am committed, with the assistance of the Minister for Europe and Foreign Affairs, to addressing your legitimate concerns. I think that's the least I can do. I know that procedures are not always fluid and that legitimate questions can cross our minds. I have taken note of your remarks, and my services, as well as those of the Minister for Europe and Foreign Affairs, will work to ensure this fluidity. Mr. Touraine, you mentioned 18 years of waiting. It wouldn't be possible today. Admit that at the time, we were totally unknown. Since then, several problems have been solved. Today, no longer would a child have to wait until he or she reaches the age of 18 to see his or her birth certificate registered. That seems unimaginable to me. We'll try to go very fast. France's control over legislation that is not ours can only be carried out through the courts. That is why adoption, in this case, is the only solution. [[Exclaims on the benches of the LR group]] Don't tell me – you will if you want, you are free and I respect your freedom...
ParlaMint-FR_2020-07-31-E1028.u24	We hope, Mr. Keeper of the Seals!
ParlaMint-FR_2020-07-31-E1028.u25	Let me finish. So you'll probably tell me, I hear it already, that yesterday I said something else. Yes, but the situations are completely different! Can France legitimately want to control GPA when it takes place abroad? In my opinion, the answer is yes. Finally, Mr. Bazin, I did not receive any mail from you. I just had him checked by my services. Is this due to a lack of postal services?
ParlaMint-FR_2020-07-31-E1028.u26	This can happen!
ParlaMint-FR_2020-07-31-E1028.u27	I'll answer you, though. How can you claim in front of the national representation that we allow everything to be done? Article 227-12 of the Criminal Code provides, in its third paragraph, for an offence of intermediary to the GPA. It is enough to read it to realize that our law takes into account the hypothesis in which some would like, in a proselytism that we fight, to put forward GPA abroad. [[Applause on several benches of the LaREM group]] My opinion is obviously unfavorable.
