ParlaMint-FR_2020-10-26-O1040.u1	The next item is the debate on the second part of the finance bill for 2021 (No. 3360, 3399).
ParlaMint-FR_2020-10-26-O1040.u2	We are dealing with the examination of appropriations for research and higher education (No 3399, Annexes 33 and 34 ; No 3398, Volume X; No 3400, Volume XIV; No 3459, Volumes IV and V). Mr Chouat, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2020-10-26-O1040.u3	As we knew, the interlocking crises that hit France, Europe and the world – the health crisis, the crisis of globalisation, the economic and social crisis, the climate crisis, the crisis of democratic confidence in progress – propel research, innovation and knowledge to the heart of their resolutions, both in urgency and in time. We knew it before we even faced them, but we delayed, when others accelerated. We knew that, and that is why we must all rejoice that 2021 marks the departure of a powerful public and private effort, after three years of catch-up budget, to bring research and the scientific community up to the national and European challenge that we set out in the research programming bill under consideration in the Senate. With this draft budget, with the recovery plan, with the fourth investment programme of the future – which is itself new – with the Horizon Europe programme and the State-region plan contracts, we will be launching the rearmament of organizations, laboratories, researchers and partner research in 2021, in order to give them the real and lasting means of their ambitions. Thanks to them, we will succeed in regaining our position of great power on the international scientific scene. During the twenty-three hearings I conducted as part of the preparation of this special report, I measured the expectation of the new tools – such as the junior professor chairs – that will create a real shock of attractiveness for French research. The agreement reached on 12 October last by the Government and the majority trade union organizations will thus enable the remuneration of young researchers to be increased by EUR 92 million per year until 2027, as well as the careers of researchers, research teachers and research personnel. This draft budget does not just reinforce the momentum that has been in place since 2017: it reinforces it considerably. I will support this statement with two observations. First, at constant scope, research appropriations increase by 2.25% in commitment authorities. The resources of programmes 150 and 172 are up by EUR 165 million and EUR 224 million respectively in payment appropriations, while the decrease in appropriations under programme 193 is only due to the termination of the repayment of the French debt to the European Space Agency. The decline in appropriations under programme 192 is due to a scope measure, since the Bpifrance programme of aid for the development of innovation will be financed by the fourth investment programme for the future. Secondly, the major operators of public research are the main beneficiaries of these increases in appropriations. In accordance with the draft law on the programming of research under consideration, the ANR – the National Research Agency – will see its allocation increased to more than 1 billion euros in payment appropriations in 2021, with the ambition to significantly improve the success rate of its calls for projects, which will rise from 16 to 23%, or 7 more points in record time. At the same time, research enhancement schemes, such as CIFRE – industrial training agreements through research –, industrial chairs, LabCom and Carnot institutes, will grow in power. Of course, everything is not settled. Despite these significant increases, some operators – I am thinking for example of IFPEN, IFP Energies nouvelles, or INSERM, the National Institute of Health and Medical Research – are unable to stem the erosion of their workforce. Indeed, the decline in their own funds and recurrent loans, coupled with the burden of technological ageing, forces them to shift part of these increases towards the stabilisation of their jobs, even though their prerogatives have been extended. That is why I have tabled an amendment – which I am submitting to our debates, and in your opinion, the Minister for Higher Education, Research and Innovation – to accompany these operators in 2021, so that they can not only stabilize their workforce, but also carry out the employment scheme provided for in the research programming bill, which is an additional 315 full-time equivalents. I would also like to draw your attention to the fact that, given that the funds dedicated to dual research are now included in the recovery plan, we will have to ensure that they are sustained beyond their lifetime. Finally, I stress that the very important effort this budget will make must also be addressed through complementary funding tools. I am of course thinking of the recovery plan, which alone provides for a combined effort of EUR 4 billion for research over three years, including EUR 428 million for the acceleration of the ANR's trajectory. In addition, the "Investments for the Future" mission will contribute, through the IAP4, to the long-term support of research and innovation to the tune of EUR 16.6 billion in commitment authorisations. The Horizon Europe programme, worth EUR 91 billion, and the State-region plan contracts will also be a major part of the regionalised research and innovation effort. Finally, the research tax credit, the first tax expenditure with 6.5 billion euros, and the "innovative young business" scheme have proved their worth in times of crisis; If they are likely to deserve an in-depth audit, they must first and foremost be preserved. I therefore give a favourable opinion on the adoption of these appropriations.
ParlaMint-FR_2020-10-26-O1040.u4	Mr Fabrice Le Vigoureux, Special Rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2020-10-26-O1040.u5	In 2021, despite the population growth of the student population, expenditure per student will increase significantly. By aggregating the evolution of the appropriations of the 150 "Superior Training and University Research" and 231 "Student Life" programmes, taking into account the structuring action of the investments of the future, even if very limited and complementary to the 150 programme, as well as the State's commitment to universities in the framework of the recovery plan, its investment in the renovation of their buildings or in the digital sector, the increase of the loans guaranteed by the State for students and the contribution of student and campus life, we will be nearly 18 billion euros in 2021. This will be 2 billion more than in 2017, or more than 250 euros per student, to which should be added the exemption from the social security contribution for all students, which, let us remember, amounted to almost 230 euros for the vast majority of them. In this way, we measure what the State has done, in three or four years, for the higher education ecosystem and to promote the years of studies of French youth. I will outline the appropriations for 2021 of the two programmes for which I have the privilege of being rapporteur, starting with programme 150. First of all, an additional 164 million will be used to finance some of the advances envisaged in the research programming bill, such as the measure "2 SMIC at entry into the career" or those relating to the indemnification of lecturers and research fellows. The bill is also continuing the implementation of the Student Orientation and Success Act, which we passed in March 2018, with €73 million dedicated to the development of personalized courses, to give everyone every chance to flourish in their way of study. Finally, we can welcome the €9 million increase in the grant granted to private educational institutions of general interest, which has been requested for a long time. We are indebted to these institutions, which often pursue a policy of voluntary social openness and offer training and disseminate quality research, for having largely taken part in the reception of new students, since their numbers have increased by 88% over the last 10 years. I will ensure that these EUR 9 million are actually implemented in 2021. The additional €133.5 million allocated to the programme 231 "Student life" compared to the initial finance law for 2020, will finance important measures for students who need it most: upgrading of scholarships on social criteria – with the inclusion of revenues from 2020, not those from 2018 –, university restaurant ticket at 1 euro, or freezing at the level of 2020 of the increase in rents of university residences managed by the CROUS – the regional centres of academic and academic works. These are some examples of the very concrete and very strong measures of this programme. The network of academic and academic works has suffered significant operating losses since March 2020. Responses were provided in July in the draft Finance Amendment Bill, but these operating losses are continuing and they will need to be fully offset at the end of the management process. We will see to it, especially since I know that this line is shared by the minister. Finally, I am pleased that Bpifrance's student loan guarantee line is abounded with €4 million – this amount, which was a doubling last year compared to the previous one, was therefore renewed in the budget for 2021. It will be complemented by EUR 16 million from the recovery plan. In total, the number of beneficiaries of state-guaranteed loans will increase to 60,000 students. I would like to add a word on PIA 3, whose credits are included in the "Investments for the Future" mission: 215 million euros will benefit higher education in 2021, through the development of new curricula, the support to research universities or the financing of educational innovations. Finally, I would like to thank the higher education institutions for having responded to the questionnaire I sent them. This shows a strong demand for financial support for investments in digitisation and hybridisation of education. I welcome the fact that the recovery plan already provides EUR 35 million for this purpose. We are all aware of the need to invest in tools for the development of distance learning, which is intended to complement pre-school training intelligently. [[Applause on the benches of the LaREM groups and Action ens]] These comments, I propose that you vote for the appropriations for the 150 and 231 programmes proposed by the Government, not without first thanking the departments of the Committee on Finance, the rapporteur-general, my colleague special rapporteur Francis Chouat, the administrator Nicolas Liscia-Beaurenaut and my colleague Adrien Lariepe.
ParlaMint-FR_2020-10-26-O1040.u6	Mr Pierre Henriet, draftsman of the opinion of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2020-10-26-O1040.u7	For a long time, French research has suffered staggering budget cuts, which have logically resulted in the erosion of French scientific research abroad; in 2015, France was only the seventh largest publication in scientific journals in the world; In addition, the impact of these publications was declining, becoming lower than that of German and English publications. In view of this, the Government has chosen a different approach. As of 2018, the budget for higher education and research has been increased to 14.8 billion euros, almost 1 billion more than in the 2012 Finance Act. In 2021, appropriations will increase by EUR 400 million, totalling EUR 15.9 billion. Undoubtedly, as far as research funding is concerned, the year 2021 will be marked with a white stone. First, of course, because of the research programming bill, which should be passed before the end of the year. Finally, it sets out a strong ambition for our country by declining strategic directions and drawing a financial path that will, as everyone knows, result in an increase of EUR 25 billion in research resources in 2030. In addition to this increase in appropriations, the recovery plan, which will make a very important contribution and whose effects will be immediately visible. The same applies, in the longer term, to the fourth investment programme for the future, the IAP4. The 172 programme is central to the mission, in particular for the funding of the National Research Agency: all the missions of this programme benefit from increases in appropriations, in commitment and payment appropriations. It will also finance the general resources to support the research of the major institutions, first and foremost the CNRS – the National Centre for Scientific Research – which will receive more than 45% of this budget in excess of EUR 1 billion, which its President insistently welcomed at the hearing. The programme also budgets for the piloting and animation of research, as well as for the State-region plan contracts and the expenditure on the exploitation and dissemination of research. As you know, the research programming bill is intended to give new impetus to the funding of research through calls for projects. The NRA will benefit from incomparably higher resources, and the success rate of the projects will be much better. By adding together the appropriations for this mission and those for the recovery plan, we will even be beyond the targets set for the first stage of the programming bill. With the contribution of the recovery plan, as of next year, a total intervention budget of more than €950 million will be made available to the ANR, two years ahead of the planned rise in power. Action 17 "Research", the most important of the 150 "Superior Training and University Research" programme, accounts for 29% of the total, or almost €3.9 billion. The appropriations for the 193 "Space research" programme will be down slightly this year, as France, at the end of the 2020 financial year, will have paid its debt to the European Space Agency, which in recent years had artificially inflated the programme's expenditure. In any case, these appropriations respect the needs of the European Space Agency – ESA – and CNES – the National Centre for Space Studies – as confirmed by the President of this public institution. The complement to the recovery plan was hailed as a genuine additional effort. [[Applause on the benches of the LaREM groups and Action ens]] In conclusion, the scientific research appropriations for 2021, plus the amounts provided for in the IAP4 and in the "Relaunch Plan" mission, confirm the momentum in favour of the research programming bill. This effort is unique: since the post-war period, no government has ever been so strongly committed to scientific research in our country. Year I of the research programming bill allows the expression of a decisive direction to support a science of excellence and to put the French scientific community at the forefront of global research.
ParlaMint-FR_2020-10-26-O1040.u8	Mr Cédric Villani, draftsman of the opinion of the Committee on Economic and Monetary Affairs, has the floor.
ParlaMint-FR_2020-10-26-O1040.u9	My opinion report deals with the budget of the major research organisations. On October 7, the Nobel Prize in Chemistry was awarded to two women, including a French woman, Mrs Emmanuelle Charpentier, and an American woman, Ms Jennifer Doudna, for the development of a revolutionary genomic publishing technique, which has been famous for years. Beyond this brilliant success for French research, we must face two less pleasant realities. Firstly, French research is still particularly lacking in women, as I was able to see during the preparation of the report on this text: of the thirteen bodies, companies and administrations audited, twelve heads of delegation were men. The second unpleasant reality is illustrated by the very international character of Mrs. Charpentier's journey. Passed by the United States, Sweden and Germany, she has not returned to France since her doctorate in 1995. Of course, the international dimension is excellent, and even indispensable, in the fields of research, but only when the start is chosen. When it is linked, as in this case, to the inability of our country to provide adequate research conditions for its most prominent researchers, it is called the brain drain, and it refers to the chronic under-investment in research, in view of our ambitions, which have lasted for many years, as Pierre Henriet has just indicated. It must be recognized that the research programming bill has had the great merit of bringing these difficulties to light and facing them with a new ambition, which should be welcomed – in this regard, I agree with Francis Chouat's observation. Let us recall that, while several of our European partners have a level of internal R & D expenditure above 3% of their gross domestic product, in the case of France, this ratio has stagnated since 2014 at around 2.2%. In this context, the finance bill for 2021, within the scope that I have been given to examine, seems to me rather paradoxical. On the one hand, it has a great overall ambition; on the other, it shows a lack of coherence. Consider, in the "Research and Higher Education" mission, the allocations of programme 172 "Multidisciplinary scientific and technological research", dedicated to the funding of the main research organisations, in particular the CNRS, the ANR, the INRAE – National Research Institute for Agriculture, Food and the Environment –, the CEA – Commissariat for Atomic Energy and Alternative Energy – and the INSERM. Overall, there has been an increase of €355 million in EA – commitment authorisations – and €222 million in CP – payment appropriations – compared to 2020, largely due to the considerable increase in resources allocated to the National Research Agency. This is perfectly consistent with the directions of the research programming bill, and so much the better. However, for the other operators funded by the 172 programme, the situation is very variable. If the CNRS is to increase its staffing to a completely satisfactory level, others have to deal with some of the constraints. This is the case, in particular, of INSERM, which, because of the wave of covid -19, has to provide additional investments, from INRIA – the National Research Institute in Computer Science and Automatic Science – as it embarks on a major interface plan with the private sphere, in particular for the creation of start-ups, but also from INRAE, which is the result of the remarkable fusion that has just been conducted between INRA – the National Institute for Agronomic Research – and IRSTEA – the National Research Institute for Science and Technology for the Environment and Agriculture. As is well known, the supervisory authorities tend to wait for contracts of objectives and means to re-evaluate the allocations; I imagine that will be the case in this case. This may, however, make it difficult for organizations facing heavy management burdens, the payment of which cannot wait. And then, it reflects a lack of ambition for these organizations, which I believe is contrary to the spirit behind the work on the research programming bill, in which, as you know, I took an active part. Beyond strictly budgetary aspects, three areas of research that are eminently strategic for France's influence have been the subject of particular attention in my report: agroecology, space and energy. On space, I agree with Pierre Henriet's conclusions. I'll focus on energy. The announcement by the Government in September of a national strategy for the development of decarbonated hydrogen is welcome. Our country must mobilize the resources that will enable it to extract from its dependence on fossil fuels. We must welcome the change in ambition of this hydrogen plan: 2 billion in 2021 and 2022, without common measure with the foreground, presented in 2018. In these circumstances, it is extremely paradoxical that the draft finance law penalises one of the most advanced public research organisations in the field of hydrogen, IFPEN, IFP Energies nouvelles. The stability of the proposed staffing for this facility is unfair, on the one hand, because its activities will develop within the framework of the hydrogen plan and, on the other hand, because it has been reorienting its activities for several years towards ecological transition and sustainable mobility. It is also a matter of concern because the stability of staffing does not mask the decline in IFPEN's own resources due to the crisis of the covid-19. In short, we will ask IFPEN for additional efforts with less resources; They'll be less jobs. Taking all these points into account, I believe that the weak points dominate the strengths. I shall therefore give an opinion which is unfavourable to the adoption of the appropriations for the research and higher education mission.
ParlaMint-FR_2020-10-26-O1040.u10	All right!
ParlaMint-FR_2020-10-26-O1040.u11	Mr Vincent Descoeur, draftsman of the opinion of the Committee on Sustainable Development and Regional Planning, has the floor.
