ParlaMint-FR_2020-09-22-E2009.u1	The next item is the question to the Government.
ParlaMint-FR_2020-09-22-E2009.u2	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2020-09-22-E2009.u3	The National Financial Prosecutor's Office – PNF – was set up after a serious political-financial crisis in 2013, in order to respond to the need to improve the criminal response to financial crime. The PNF and the independence of its members are a response to the French feeling of impunity for breaches of probity, conflicts of interest and the most serious violations of economic rules in our country. This specialized prosecutor's office quickly deployed its resources and established its reputation at the international level. Together with all the agencies responsible for combating fraud, including the National Brigade for the Suppression of Fiscal Delinquency – BNRDF – it is part of a building whose work I salute here. In October 2018, when the anti-fraud law was passed, your majority in this assembly increased its mission. We then strengthened the powers of the public prosecutor's offices, including the PNF, with the opening of Bercy's lock and new legal tools given to the financial courts, such as the judicial agreement in the public interest – CJIP – and the appearance on prior recognition of guilt – CRPC. These contributions were also welcomed last week in the Finance Committee when I presented a report with Eric Diard, Member of the Republican Group.
ParlaMint-FR_2020-09-22-E2009.u4	An excellent congressman!
ParlaMint-FR_2020-09-22-E2009.u5	Faster and stronger, while placing the independence of powers at the heart of the system, this is the backbone of this prosecutor's office, which has become an admiral ship of our public action against financial crime. Mr. Keeper of the Seals, your predecessor has initiated an inspection of the PNF. The report of the General Inspectorate of Justice – IGJ – shows a good technical record and the absence of formal shortcomings. Last Friday, you announced the launch of an administrative investigation into two current members of the PNF and Ms. Eliane Houlette, former national prosecutor of the National Financial Prosecutor's Office, now retired. [[Applause on the benches of the EDS group and on some benches of the LR group]] What response do you make to the Supreme Council of the Judiciary – CSM – which, exceptionally, has expressed its concern about the additional administrative investigations you have announced and the guarantee of the independence of the judicial authority?
ParlaMint-FR_2020-09-22-E2009.u6	There's no one on Engage's benches!
ParlaMint-FR_2020-09-22-E2009.u7	[[Applause on many benches]] Ladies and gentlemen, I ask you to win your seats in silence, so that everyone can hear the questions and the answers, but also, in the future, to arrive on time!
ParlaMint-FR_2020-09-22-E2009.u8	It's the majority who's late!
ParlaMint-FR_2020-09-22-E2009.u9	The next speaker is Mr Custody of the Seals, Minister of Justice.
ParlaMint-FR_2020-09-22-E2009.u10	[[Exclaims on the benches of the LR group]] [["In two minutes? » on the benches of the LR group]] Thank you, Madam, for asking me this question that several journalists have already asked, and to which I intend to give the most complete answer to the national representation.
ParlaMint-FR_2020-09-22-E2009.u11	All right!
ParlaMint-FR_2020-09-22-E2009.u12	In two minutes, it might be difficult!
ParlaMint-FR_2020-09-22-E2009.u13	I will do so in the form of a chronological reminder, because chronology is not subject to subjectivity. First, it was Mrs Nicole Belloubet who ordered the inspection of the services, saying that she was shocked by what had happened – I recall that during a secret investigation that lasted six years, we searched in the fads of magistrates, lawyers and a journalist.
ParlaMint-FR_2020-09-22-E2009.u14	That's normal!
ParlaMint-FR_2020-09-22-E2009.u15	The magistrates' unions then shouted orfray, and tried to get the Council of State to say that the inspection was illegal. As the Conseil d'Etat replied that the inspection was perfectly legal, a syndicate of magistrates found that the Conseil d'Etat had made a very singular decision, that it was no longer interested in freedom and that it had "abdicated" – I quote the terms that were then used. I did not participate closely or by far in the drafting of the report, but I made it public as I had committed myself to it.
ParlaMint-FR_2020-09-22-E2009.u16	All right!
ParlaMint-FR_2020-09-22-E2009.u17	Our services, of which I have not held the pen, have said that there may be malfunctions due to both a lack of diligence, a lack of rigour and a lack of loyalty. What would you have done if you were me, Congresswoman? It was normal for us to go...
ParlaMint-FR_2020-09-22-E2009.u18	[[The Minister of Justice's microphone is cut a few seconds before being restored]] Thank you, Minister.
ParlaMint-FR_2020-09-22-E2009.u19	...but that magistrates do not want to respond to the inspection of services and prefer to respond to Paris Match, it saddens me!
ParlaMint-FR_2020-09-22-E2009.u20	Mr Julien Dive has the floor.
ParlaMint-FR_2020-09-22-E2009.u21	Last week, the Japanese group Bridgestone announced the closure of its Bethune tire plant in Hauts-de-France: 863 CDI employees are threatened by this announcement, as well as about 100 subcontractors – a real social carnage. This social breakdown is just another example of the dangerous deindustrialisation of our country: in the name of an economic logic more than doubtful, some industrial groups no longer hesitate to wipe their feet on the lives of thousands of employees and their families, thinking that, overnight, we can take the financial aid received and leave. It is time to whistle at the end of recreation, because the health crisis does not excuse everything. Several groups, including Bridgestone, intend to use the health context to justify job destruction, even though they have been planning this operation for several months. This is simply unacceptable! The President of the Hauts-de-France region was the first to react and demand alternatives to Bridgestone's decision. Prime Minister, are you truly determined to follow suit? Faced with the threat of eliminating these thousands of jobs, we must all come together, regardless of our political differences, to engage a real arm of arms and go further than the Florange law. Are you ready to go further, to question our model of economic support and to demand guarantees from these groups when a site closes for no reason other than financial interest or organized relocation? Since 2008, Bridgestone has received more than €4.4 million in public aid. Are you ready to present us with a more coercive law...
ParlaMint-FR_2020-09-22-E2009.u22	Give back the money!
ParlaMint-FR_2020-09-22-E2009.u23	... who, in the face of such behaviour, would require companies to repay aid such as the CICE? [[Applause on the benches of the LR group and on some benches of the FI group]] Prime Minister, it is undeniable that the health crisis has had an impact on the economy and on our businesses. Nevertheless, all public actors are there to help these groups, to support them and to find solutions. We cannot accept methods that endanger the lives of thousands of employees. We cannot want the reindustrialization of our country and the maintenance of jobs without making these groups understand that in France, the diptych "We take the money and get out! "do not work!
ParlaMint-FR_2020-09-22-E2009.u24	All right!
ParlaMint-FR_2020-09-22-E2009.u25	The next speaker is the Minister responsible for industry.
ParlaMint-FR_2020-09-22-E2009.u26	I thank you for highlighting the speed with which the President of the Hauts-de-France region and the State reacted to the situation you are talking about. On this issue, the publication of a joint press release bears witness to the full alignment of the position of local and state elected officials, as well as our commitment to respond to the 863 employees concerned, whose dignity I welcome at this difficult time. The State is determined to demonstrate a full commitment to accompany them, and I recall that he was already present last year and two years ago when the first discussions took place. Since you rightly refer to the industrial policy that destroyed employment between 2008 and 2018, I want to go back to our industrial strategy. Unlike in the previous two legislatures, over the past three years, our government has taken up the issue of industry to create net industrial employment across the territories. [[Applause on the benches of the LaREM group]] It is in this direction that we will continue to work, as we have already done in finding solutions for threatened companies such as the stationery of Condat, Arc International or the Smart factory of Hambach, but also for companies that are moving to France – I am thinking in particular of the industrial company ACC which, thanks to the French government, will manufacture electric batteries in Douvrin and thus create 2400 jobs in Pas-de-Calais.
ParlaMint-FR_2020-09-22-E2009.u27	Answer the question!
ParlaMint-FR_2020-09-22-E2009.u28	[[Applause on the benches of the LaREM group]] This is the industrial policy that we want to pursue alongside groups that are committed, create jobs and innovate!
ParlaMint-FR_2020-09-22-E2009.u29	Mr Adrien Quatennens has the floor.
ParlaMint-FR_2020-09-22-E2009.u30	[[Applause on the benches of the FI and GDR groups]] Prime Minister, Bridgestone is a scandal, and behind the Bridgestone tree hides the forest – Auchan, Cargill, Agfa, Verralia and all the others, that two minutes would not be enough to quote, but that you will find listed on the website stoplicenciement.fr. The State has been complicit in this social massacre by squandering public money, without vision and without compensation, groups that have nothing to do with the public interest and are concerned only with the profits of their shareholders. [[Applause on the benches of the FI and GDR groups]] When François Hollande created the CICE, which you have perpetuated in the form of reductions in contributions, it was understood that Mr Gattaz, president of the MEDEF, promised a million jobs everywhere. The balance sheet is now known: it is rather one million euros per job, the CICE having barely created a hundred thousand jobs! [[Applause on the benches of the FI and GDR groups]] Your recovery plan, welcomed by the MEDEF, is aimed at nothing but that: to catapult billions and billions, without coherence, without strategy and without compensation. Enough hypocrisy! Will the state refuse to approve Bridgestone's termination plan? Are you finally going to require in the law counterparties or the repayment of aid paid to these large companies? [[Exclaims on the banks of the LaREM Group]] Mr Macron had us in the morning at noon and at night with "the Europe that protects". Your Europe which protects, it is in reality Europe which destroys and organises unfair competition between the Member States! Your Europe that protects, it is the one that subsidized the installation of Bridgestone in Poland while the group abandoned the French site of Bethune! Your Europe that protects is the one that refuses social harmonisation to exacerbate the generalized competition on prices and thus gradually destroy what it took decades to build! [[Applause on the benches of the FI and GDR groups]] France is not a gaming room or a casino. How long are we going to keep our arms swinging, unprotected in the face of these situations? Prime Minister, when do we start planning?
ParlaMint-FR_2020-09-22-E2009.u31	The next speaker is the Minister responsible for industry.
ParlaMint-FR_2020-09-22-E2009.u32	[[Rites and protests on the benches of the FI and GDR groups]] Mr. MP Quaternens...
