ParlaMint-FR_2020-07-30-E1027.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-30-E1027.u2	This afternoon, the Assembly continued its consideration of the articles, concluding with Amendment No 936 to Article 4.
ParlaMint-FR_2020-07-30-E1027.u3	Mrs Caroline Fiat has the floor to support Amendment No. 936.
ParlaMint-FR_2020-07-30-E1027.u4	I will start with a comment that I wanted to make this afternoon, but I was prevented from doing so by the adjournment of the sitting. I'm sure she'll be blamed, but it doesn't matter! You know me, I can't stand injustice. If anyone is opposed to the ideas of our colleague Emmanuelle Ménard, it is me; And if someone regularly votes against Mrs Ménard's amendments, it's me again. At the end of the previous sitting, the rapporteur, you told Mrs Ménard that she had only to set up a group. I would be the first to oppose it, but I should like to know that the scheduled legislative time forces him to stay in the Chamber without talking, to prevent his amendments from falling.
ParlaMint-FR_2020-07-30-E1027.u5	Yes, I'm here!
ParlaMint-FR_2020-07-30-E1027.u6	[[Applause on several benches of the LR, SOC and EDS groups]] I would be the first not to appreciate this situation. I therefore find the comment you made to Mrs Ménard, the rapporteur, unfair. Let me turn to Amendment No 936. The bill leaves legal difficulties in establishing filiation with respect to their children for persons who have changed their sex in civil status. When people have had a child without medical intervention or through reproductive medical assistance – AMP – without a third-party donor, the common law regime must apply to establish filiation.
ParlaMint-FR_2020-07-30-E1027.u7	Mrs Coralie Dubost, rapporteur of the Special Committee, has the floor to give the committee's opinion on this amendment.
ParlaMint-FR_2020-07-30-E1027.u8	You're a great defendant of your colleagues, Mrs. Fiat! I did not say that Mrs Ménard had only to create a group, but that it was an open option – it has been so much seen in the last few months that it was an end to all the political groups in the House.
ParlaMint-FR_2020-07-30-E1027.u9	Indeed, anything is possible! It blows!
ParlaMint-FR_2020-07-30-E1027.u10	Mrs Ménard will have noted that, although she no longer has time to defend her amendments, I take the time to respond to the amendments that matter to her.
ParlaMint-FR_2020-07-30-E1027.u11	That's right! All right!
ParlaMint-FR_2020-07-30-E1027.u12	So we are far from contempt, quite the contrary. With Amendment No 936, you are once again trying to reform the law of filiation as a whole, whereas this is not the subject of this bioethics bill: here we draw the consequences of opening the MPA to women's couples. Furthermore, this amendment is not technically appropriate, since it would introduce provisions on the establishment of filiation in an article dealing with the methods of proof and challenge of filiation. Unfavorable opinion.
ParlaMint-FR_2020-07-30-E1027.u13	Mr. Custody of the Seals, Minister of Justice, has the floor to give the Government's opinion.
ParlaMint-FR_2020-07-30-E1027.u14	The establishment of filiation by transgender people is not a matter of bioethics, but of the state of people. This relevant question allows me to clarify my thinking. I know the primacy of the Constitution over the law, and I know the primacy of the law over the jurisprudence. A case relating to the matter before you is pending before the Court of Cassation. She was pleaded, and the decision will be issued shortly. In view of this decision, you will know whether or not to legislate. That's what I wanted to explain earlier, which you didn't want to hear. Unfavorable opinion.
ParlaMint-FR_2020-07-30-E1027.u15	On Amendment No 508, I have a request from the Socialist and Related Group for a public vote. The vote is announced in the National Assembly. Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-30-E1027.u16	Mr. Keeper of the Seals, I was a little confused earlier with your Government colleagues who, sitting on the bench, did not provide a legal response to one of my concerns. So I'll give you my question. Let's take a person who hasn't changed sex yet in civil status – she's still a woman – and who has access to the AMP. She has the right. During her pregnancy, she becomes a trans man in front of the civil registry. What happens when you give birth? Is it a mother man, or a man who gives birth? What about filiation in this specific situation, Mr. Keeper of Seals?
ParlaMint-FR_2020-07-30-E1027.u17	[[Protests on the benches of the LR group]] I shall put Amendment No 936 to the vote.
ParlaMint-FR_2020-07-30-E1027.u18	We are waiting for an answer from Mr. Keeper of the Seals!
ParlaMint-FR_2020-07-30-E1027.u19	The Government shall speak when it deems it necessary.
ParlaMint-FR_2020-07-30-E1027.u20	He never gives us an answer!
ParlaMint-FR_2020-07-30-E1027.u21	Mrs Marie-Noëlle Battistel has the floor to support Amendment No. 508.
ParlaMint-FR_2020-07-30-E1027.u22	I will return to the burden one last time, Madam rapporteur. The purpose of this withdrawal amendment is to extend the current law relating to the establishment of filiation to couples of married women only, in the case of AMPs: these couples could simply express their consent to the donation before a notary, as provided for in article 311-20 of the Civil Code.
ParlaMint-FR_2020-07-30-E1027.u23	Answer me, Mr. Dupond-Moretti!
ParlaMint-FR_2020-07-30-E1027.u24	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1027.u25	You persist in your desire to change the field of filiation in general, Mrs Battistel, in order to welcome all families, especially homoparental ones. I can share your argument in substance, but not in form. With this amendment, you restrict the scope of your application to that of Article 311-20 of the Civil Code, concerning heterosexual couples who use an MPA with third-party donors, whose application you want to extend to couples of married women. However, a presumption of co-maternity cannot be created in women's couples as a presumption of paternity in married heterosexual couples. In addition, this would lead to a breakdown of equality with unmarried couples, since there is no presumption of co-maternity in the rest of the civil code. We are not in a major reform of the law of filiation, which would lead us to reflect for hours on what it is possible to do or not, without undermining the consistency of Title VII of the Civil Code.
ParlaMint-FR_2020-07-30-E1027.u26	You're not ready! It's a DIY of filiation!
ParlaMint-FR_2020-07-30-E1027.u27	In this text, we are obliged to circumscribe our provisions: we must simply frame the consequences of opening the MPA to women's couples with early joint recognition. It's already a lot. I call for the amendment to be withdrawn; Failing that, adverse notice.
ParlaMint-FR_2020-07-30-E1027.u28	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1027.u29	The rapporteur has said everything, and I cannot do better. Unfavorable.
ParlaMint-FR_2020-07-30-E1027.u30	Mrs Brigitte Kuster has the floor.
ParlaMint-FR_2020-07-30-E1027.u31	I have been present since the beginning of this debate.
ParlaMint-FR_2020-07-30-E1027.u32	That's right!
ParlaMint-FR_2020-07-30-E1027.u33	[[Applause on the benches of the LR group. – Mrs Blandine Brocard and Mrs Liliana Tanguy also applaud]] Not being a lawyer, I'm listening because I need to learn. No one here has an answer to all the questions. Like many Members, my colleague Thibault Bazin has worked very hard on this text. The questions he asks may seem surreal to the French who listen to us, but they stem directly from this bioethics bill. We are so challenged by what is happening that we all have questions. The case that Mr Bazin has just mentioned may concern one, two or three couples, or even dozens – I do not know – but if you, Mr Custody of Seals, are not able to respond to it in the Chamber, what will we, as representatives of the nation, answer to all those who have trusted us to try to vote for the most humane and respectful provisions? [[Protests on several benches of the LaREM group]] For days, I have been feeling uncomfortable because I see that questions are being evacuated. It seems to make you laugh, Mr. Keeper of the Seals! Not me! Can you at least listen to our question?
ParlaMint-FR_2020-07-30-E1027.u34	He has the right to laugh, though! Don't be sensitive!
ParlaMint-FR_2020-07-30-E1027.u35	Mrs. Kuster, please...
ParlaMint-FR_2020-07-30-E1027.u36	Mr. Keeper of the Seals, I speak to you very kindly and very respectfully. I share with you the doubts and pains that we feel in the face of more than disturbing questioning. I haven't spoken in days, but I'm in the Chamber! I'm just asking you to answer us. We reveal blind angles, shadows in this text that not only engages the next generation...
ParlaMint-FR_2020-07-30-E1027.u37	Stop moralizing us!
ParlaMint-FR_2020-07-30-E1027.u38	If you want to talk, Mrs. Krimi, take the microphone!
ParlaMint-FR_2020-07-30-E1027.u39	Let me continue, Mrs. Krimi...
ParlaMint-FR_2020-07-30-E1027.u40	No, not to say that! You better keep quiet!
ParlaMint-FR_2020-07-30-E1027.u41	Mrs Kuster, you have exhausted your speaking time.
ParlaMint-FR_2020-07-30-E1027.u42	You will allow me to continue, Mr. President...
ParlaMint-FR_2020-07-30-E1027.u43	[[Protests on the benches of the LR group]] I'd like you to conclude.
ParlaMint-FR_2020-07-30-E1027.u44	This is unacceptable!
ParlaMint-FR_2020-07-30-E1027.u45	Then I'll finish. As we are in scheduled legislative time, you can let me finish.
ParlaMint-FR_2020-07-30-E1027.u46	That doesn't change anything, Mrs. Kuster.
ParlaMint-FR_2020-07-30-E1027.u47	We are well on schedule, and my group gives me the floor: I take it.
ParlaMint-FR_2020-07-30-E1027.u48	Stop moralizing!
ParlaMint-FR_2020-07-30-E1027.u49	I'd just like to understand. This text commits not only the generation to come, but also all those who will succeed it, and who will accumulate the disruptions. In a century, what will these children be? I am not just talking about those who will live in twenty years, and who will have been conceived, created or even built – an incredible, truly surrealist word that you use for children! – but also the second, third, fourth generation... We are talking here about conflicting circumstances – since we are talking about transsexuals –, about human difficulties, about people who are living in extraordinary situations, which none of us will live. We're supposed to be lawyers and write the law. Mr. Keeper of the Seals, stop laughing at the relevant question that Mr. Bazin is asking you!
ParlaMint-FR_2020-07-30-E1027.u50	Moral again! Stop! That's not possible!
