ParlaMint-FR_2020-07-30-E1025.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-30-E1025.u2	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2020-07-30-E1025.u3	[[Claims on several banks of the LaREM Group]] On the basis of Rule 56, Mr President. I must point out that there is a real problem for the smooth running of our work. Indeed, since the conclusion of the general discussion, we have been sitting for more than 20 hours and, while the Government is generally speaking at the level of 10 per cent when it presents a bill, it has so far expressed itself less than an hour, less than 5 per cent of the time already elapsed... He's running away from this debate, it's a real problem. We do not have a calm debate because the Government absolutely does not want to explain itself. I repeat: it was less than 5% of the time, whereas it is usually more than 10%.
ParlaMint-FR_2020-07-30-E1025.u4	It's a second reading!
ParlaMint-FR_2020-07-30-E1025.u5	[[Applause on the benches of the LR group]] I have checked, my dear colleague, the Government is normally more than 10 per cent, including at second reading!
ParlaMint-FR_2020-07-30-E1025.u6	You are not a member of the Government, Mr. Le Gendre!
ParlaMint-FR_2020-07-30-E1025.u7	I don't know where you got these statistics...
ParlaMint-FR_2020-07-30-E1025.u8	We're calculating!
ParlaMint-FR_2020-07-30-E1025.u9	Of which, I discover these statistics that I didn't have. You want the Government to speak more, but we also need to move the debate forward. Thank you for that point of order.
ParlaMint-FR_2020-07-30-E1025.u10	Last night, the Assembly continued its discussion of the articles of the bill, ending with amendment No. 581.
ParlaMint-FR_2020-07-30-E1025.u11	I have before me four identical amendments, Nos 581, 609, 617 and 1464. Mr Xavier Breton has the floor to support Amendment No. 581.
ParlaMint-FR_2020-07-30-E1025.u12	Defended, due to scheduled legislative time.
ParlaMint-FR_2020-07-30-E1025.u13	Amendment No 609 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-30-E1025.u14	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1025.u15	I call Mr Patrick Hetzel to support Amendment No. 617.
ParlaMint-FR_2020-07-30-E1025.u16	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u17	I call Mr Le Fur to support Amendment No. 1464.
ParlaMint-FR_2020-07-30-E1025.u18	[[Applause on the benches of the LR group]] Simply defended, of course, because of the scheduled legislative time, but our group would like the Government to respond to what our amendments propose, knowing that it does not have the same constraints as we... Constraints that have been imposed on us in an iniquitous way!
ParlaMint-FR_2020-07-30-E1025.u19	Mr Jean-Louis Touraine, rapporteur of the Special Committee, has the floor to give the Committee's opinion.
ParlaMint-FR_2020-07-30-E1025.u20	This series of amendments received an unfavourable opinion in the special committee. Indeed, they are satisfied by article L. 2141-11 of the Code of Public Health, which already organizes the conditions for the conservation of oocytes for medical reasons. The mechanism proposed in this article has another purpose, namely to combat the consequences of possible infertility, including in the absence of pathology.
ParlaMint-FR_2020-07-30-E1025.u21	I call on the Secretary of State for Children and Families to give the Government's opinion.
ParlaMint-FR_2020-07-30-E1025.u22	Same opinion, for the same reasons.
ParlaMint-FR_2020-07-30-E1025.u23	I have before me four identical amendments, Nos 583, 613, 619 and 1465. Mr Xavier Breton has the floor to support Amendment No. 583.
ParlaMint-FR_2020-07-30-E1025.u24	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u25	Mrs Ménard's amendment No. 613 is being defended.
ParlaMint-FR_2020-07-30-E1025.u26	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1025.u27	I call Mr Patrick Hetzel to support Amendment No. 619.
ParlaMint-FR_2020-07-30-E1025.u28	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u29	I call Mr Le Fur to support Amendment No. 1465.
ParlaMint-FR_2020-07-30-E1025.u30	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u31	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1025.u32	Disadvantaged since the information of those who engage in the gamete self-conservation course has already been provided to them. It is therefore not necessary to provide for any additional measures.
ParlaMint-FR_2020-07-30-E1025.u33	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u34	Same opinion, for the same reasons.
ParlaMint-FR_2020-07-30-E1025.u35	I have before me a new series of identical amendments, Nos 584, 611, 620 and 1466. Mr Xavier Breton has the floor to support Amendment No. 584.
ParlaMint-FR_2020-07-30-E1025.u36	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u37	Amendment No 611 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-30-E1025.u38	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1025.u39	I call Mr Patrick Hetzel to support Amendment No. 620.
ParlaMint-FR_2020-07-30-E1025.u40	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u41	I call Mr Le Fur to support Amendment No. 1466.
ParlaMint-FR_2020-07-30-E1025.u42	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u43	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1025.u44	Unfavorable. I would like to recall that it is already planned that the clinicobiological team will include experts in psychology. Any excessive complexity of the device would make it far too rigid and particularly dissuasive.
ParlaMint-FR_2020-07-30-E1025.u45	I have before me several identical amendments, Nos 653, 1174, 1201, 1467 and 2193. Amendment No 653 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-30-E1025.u46	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1025.u47	Mr Xavier Breton has the floor to support Amendment No. 1174.
ParlaMint-FR_2020-07-30-E1025.u48	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u49	I call Mr Patrick Hetzel to support Amendment No. 1201.
ParlaMint-FR_2020-07-30-E1025.u50	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u51	I call Mr Le Fur to support Amendment No. 1467.
ParlaMint-FR_2020-07-30-E1025.u52	Defended, because of the time schedule.
ParlaMint-FR_2020-07-30-E1025.u53	Mr Jean-Louis Touraine has the floor to support Amendment No. 2193 and to give the Committee's opinion as rapporteur on all of these identical amendments.
ParlaMint-FR_2020-07-30-E1025.u54	The committee has delivered an unfavorable opinion, but I personally understand the reasons behind the authors of the four identical amendments. I therefore rely, as far as I am concerned, on the wisdom of the House.
ParlaMint-FR_2020-07-30-E1025.u55	[[Smile]] We would like to listen to the Secretary of State because we are concerned about the rapporteur's wisdom!
ParlaMint-FR_2020-07-30-E1025.u56	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1025.u57	Ladies and gentlemen,...
ParlaMint-FR_2020-07-30-E1025.u58	Finally, the Government is speaking!
ParlaMint-FR_2020-07-30-E1025.u59	... you propose to remove the possibility of ovocal self-conservation during a puncture performed during an AMP procedure – medical assistance in procreation. The various reasons for this were not unanimous within the Government, but, for reasons already set out in the consideration of article 1, the opinion was in favour of the deletion of paragraph 12.
ParlaMint-FR_2020-07-30-E1025.u60	Amendment No 662 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-30-E1025.u61	Because of the time programmed!
ParlaMint-FR_2020-07-30-E1025.u62	Mrs Anne-France Brunet has the floor to support Amendment No. 719.
ParlaMint-FR_2020-07-30-E1025.u63	The aim of this amendment is to restore equality between all establishments capable of collecting, collecting and conserving gametes by including private for-profit centres in the scheme. The latter currently have approvals issued by regional health agencies when they carry out activities related to the LDC – medically assisted reproduction – including the use of gametes, and they perform more than 60 per cent of in vitro fertilization under medical prescription. I would remind you that they apply agreed tariffs, so that they do not exceed fees. Today, there is a break in equality in the country because the network of LDC centres is unevenly distributed, which of course has important consequences for couples, especially since, depending on financial capacity, many LDCs are carried out abroad while the requirements are not the same as in France. This obviously puts women at risk, even though private for-profit centres could accommodate them in very good conditions. I have met with different heads of service of LDC centres, both public and private, for profit or not, and whether it is the Atlantic polyclinic or the CHU of my constituency, all of them are asking me for the possibility for all private centres to carry out the self-conservation of gametes, which has been corroborated by the hearings in special committee. I ask you, ladies and gentlemen, to take good account of the ups and downs when you vote.
ParlaMint-FR_2020-07-30-E1025.u64	What is the opinion of the committee?
