ParlaMint-FR_2020-06-16-O1238.u1	The next item is the question to the Government.
ParlaMint-FR_2020-06-16-O1238.u2	Mr. Serge Letchimy has the floor.
ParlaMint-FR_2020-06-16-O1238.u3	Prime Minister, the death of George Floyd has raised the indignation of thousands of people around the world. It highlights the vertebral racism of the United States, the world's leading power whose seeds come mainly from black slavery. The nations of the West have also enriched themselves on these foundations that have created and maintained in the contemporary world a racism that cannot be tolerated by political action. Yes, against all racial violence, the Republic must be exemplary, especially with regard to the demand for justice and truth in the face of repeated human tragedies such as that experienced by Adama Traoré. But racism can also be expressed in a dark and cowardly way, by the unacceptable presence of certain monuments symbolizing the colonial period, here in the National Assembly – I am thinking of the statue of Colbert, the father of the black code – or by the word of the one who, along stands and antennas, distills with impunity the plague that serves him as a mental activity: Eric Zemmour. All of this persists a colonial spirit that is built into a system, a source of inequality and injustice from generation to generation, and that stirs up revolts that must be heard and that require exceptional measures.
ParlaMint-FR_2020-06-16-O1238.u4	It's excessive, it's very excessive!
ParlaMint-FR_2020-06-16-O1238.u5	Overseas is at the heart of this post-colonial tragedy. Inequities in everyday asphyxiation: in structural dependence, at the head of administrations, in the economy, in the levels of health facilities, in education or in culture, in the treatment of scandals like those of chlordecone, and I pass. [[Applause on the SOC and GDR benches. Mr. M的jid ElGuerrab also applauds]] The global wave of George Floyd's assassination shows that the depreciation of a human minority will no longer be accepted. Prime Minister, it is still time to give meaning to this major principle of the Declaration of Human and Citizens' Rights: "Men are born and remain free and equal in rights. It is by putting an end to racism that we can overcome the wounds of history, repair the fractures of the present and look forward with confidence. When will you finally agree to oxygenate this country?
ParlaMint-FR_2020-06-16-O1238.u6	The next speaker is the Minister for the Interior.
ParlaMint-FR_2020-06-16-O1238.u7	We share a conviction that racism is an open wound in the Republican pact. It is not an opinion but a crime that requires the permanent mobilization of all of us. We must be vigilant and, like a light that never goes off, keep our eyes open to this reality.
ParlaMint-FR_2020-06-16-O1238.u8	The minister is being demonized!
ParlaMint-FR_2020-06-16-O1238.u9	Nobody listens to him anymore!
ParlaMint-FR_2020-06-16-O1238.u10	Racism must be seen in the light of the situation in our territories, particularly those in the overseas territories. You mentioned them in your speech, referring to a history that is ours, that of the French Republic.
ParlaMint-FR_2020-06-16-O1238.u11	Dijon's mustard got in his nose!
ParlaMint-FR_2020-06-16-O1238.u12	It has its part of light, extraordinary, but also its part of shadow that we must look at in the face – you are right, Member.
ParlaMint-FR_2020-06-16-O1238.u13	What he says doesn't print anymore!
ParlaMint-FR_2020-06-16-O1238.u14	This is all at stake in the global emotion that spread following the death of George Floyd. We must never hide this reality because, in the end, whoever wants to silence it betrays it. While our history includes this part of light and that part of shadow, it is not by debunking statues, cutting them down, denouncing and trying to oppose each other that we will succeed in defeating racism, but rather by building a soothing society, which dares to look its own history in the eye, which is not always easy. With regard to the Second World War, for example, it took time and the arrival of a new generation of presidents to do so. [[Applause on the benches of the LaREM group and on several benches of the MODEM group]] Racism affects us in our history, in our daily lives. We must be fully mobilized against him. This is the meaning of the action plan that the Prime Minister presented in 2018, which includes a series of measures to combat discrimination. That is the meaning of the constant struggle that we are leading and that is mine.
ParlaMint-FR_2020-06-16-O1238.u15	Mrs Valérie Lacroute has the floor.
ParlaMint-FR_2020-06-16-O1238.u16	[[Applause on various benches]] It is not without a certain emotion that I address myself to you one time after being elected mayor of the very pretty town of Nemours. I have thus spent eight years sitting in the opposition, defending – without much success, it must be said – amendments up to now, hearing replies from the ministers dictated by the high administration,...
ParlaMint-FR_2020-06-16-O1238.u17	All right!
