ParlaMint-FR_2020-07-27-E1020.u1	The meeting was suspended.
ParlaMint-FR_2020-07-27-E1020.u2	The meeting was resumed. [[Applause on the benches of the LR, SOC, FI and EDS groups]] Mr Jean-Louis Touraine, before you arrived, I had to suspend the sitting because of the lack of a representative of the special committee to examine the bioethics bill. Whether it is the President or the rapporteurs, I should be grateful if you would remind your colleagues of their obligations.
ParlaMint-FR_2020-07-27-E1020.u3	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181). This afternoon, the Assembly began to hear the speakers in the general discussion.
ParlaMint-FR_2020-07-27-E1020.u4	Mr Thibault Bazin has the floor for a point of order.
ParlaMint-FR_2020-07-27-E1020.u5	It is based on Rule 50 of the Assembly's Rules of Procedure concerning the hours of the public meeting. Today is the first day of the review of the bioethics bill and we were supposed to resume our work at twenty-one and thirty. However, the members of the special commission are absent, with the exception of Mr Touraine, the only one to be on time – within five minutes... [[Applause on the benches of the LR, SOC, FI and EDS groups]] Bioethics is a serious subject. The minimum respect for our assembly requires that we be on time to continue our work. Not to be so is not to take seriously the subjects we are considering or national representation. This situation is probably due to the evening organised at this very moment in Paris for the majority...
ParlaMint-FR_2020-07-27-E1020.u6	And we're not there?
ParlaMint-FR_2020-07-27-E1020.u7	[[Smile]] [[Applause on the benches of the LR group]] ...– Evening you may not be invited to, colleagues! – but it is deplorable that no member of the committee is present in the Chamber to hear the speakers in the general debate.
ParlaMint-FR_2020-07-27-E1020.u8	I myself have spoken on the subject: things are clear and this situation will not happen again.
ParlaMint-FR_2020-07-27-E1020.u9	It shows all the interest we have in bioethics in this House!
ParlaMint-FR_2020-07-27-E1020.u10	Mrs Caroline Fiat has the floor for another point of order.
ParlaMint-FR_2020-07-27-E1020.u11	It is also based on Article 50 and concerns the proper holding of our debates. [[Applause on the benches of the LR group]] [[Exclaims on the benches of the LR group]] In their speeches this afternoon, the Minister of Solidarity and Health, the Keeper of Seals and the Minister of Higher Education, Research and Innovation all wanted our debates to take place in good conditions and without insults. How do you want this to happen if, from the second session devoted to bioethics, we start with five minutes late and if the rapporteurs and the Members of the majority are absent?
ParlaMint-FR_2020-07-27-E1020.u12	Where are they?
ParlaMint-FR_2020-07-27-E1020.u13	It is mocking the Members who have made the effort to be on time!
ParlaMint-FR_2020-07-27-E1020.u14	I ask for the floor for a point of order, Mr President.
ParlaMint-FR_2020-07-27-E1020.u15	Ladies and gentlemen, we are not going to make eighteen points of order over five minutes late!
ParlaMint-FR_2020-07-27-E1020.u16	Well, yes!
ParlaMint-FR_2020-07-27-E1020.u17	That's right!
ParlaMint-FR_2020-07-27-E1020.u18	You know that I have the opportunity to limit the point of order to one per group. That is not my intention, but I urge you not to overinterpret the delay with which we are opening this meeting. Madam Chairman of the Special Committee, before you arrived, I made it clear that the representatives of the Committee were obliged to suspend the sitting as soon as it opened. It would be foolish, however, to lose a quarter of an hour to discuss five minutes late!
ParlaMint-FR_2020-07-27-E1020.u19	They weren't here!
ParlaMint-FR_2020-07-27-E1020.u20	Although things have been made clear, I consent to give the floor again to a Member of a group that has not spoken. Mrs Cécile Untermaier has the floor.
ParlaMint-FR_2020-07-27-E1020.u21	[[Applause on the benches of the LR group. – Mrs Emmanuelle Ménard also applauds]] [[Applause on the benches of the LR group. – MM. Charles de Courson and Pascal Brindeau also applaud]] The members of the opposition are present tonight, disciplined, but they are denied a sitting suspension because of delay. I find it shocking! By acting as it does on a text that concerns us all, the majority usurp its rights!
ParlaMint-FR_2020-07-27-E1020.u22	Mr Chenu has the floor for a further point of order.
ParlaMint-FR_2020-07-27-E1020.u23	Your majority, Mr President, wanted this text to be included in the agenda: it was an urgent, urgent and necessary text. Was it wise to examine it in this summer? The question may be asked, but you have decided so. Non-attached Members may not request a suspension of the sitting. They are on time in the Chamber to work on this text which you consider fundamental. So, where are the deputies of the majority?
ParlaMint-FR_2020-07-27-E1020.u24	To the cocktail!
ParlaMint-FR_2020-07-27-E1020.u25	We all know, actually... This attitude towards a text that they themselves wanted to put on the agenda is very light, very casual. The members of the opposition, from all groups, were on time in the Chamber, while at this very moment, somewhere in Paris, the majority members of the House are gobbling. Their idleness says a lot about what they think of the bill: it's just an artifact to save parliamentary time!
ParlaMint-FR_2020-07-27-E1020.u26	Macron doesn't respect Parliament!
ParlaMint-FR_2020-07-27-E1020.u27	It's amateurism!
ParlaMint-FR_2020-07-27-E1020.u28	Mr Julien Aubert has the floor for a final point of order.
ParlaMint-FR_2020-07-27-E1020.u29	[[Approvals on the benches of the LR group]] [[Applause on the benches of the LR group]] It is also based on Article 50 of the Regulation. I understand, Mr President, that you do not want us to discuss this five-minute delay for fifteen minutes, but, in any case, we cannot discuss it: the normal functioning of our House is blocked because the majority is abusing its majority. His absence blocks the process! This is not the first time. I recall that the Prime Minister did not say a word about this text and that we received no response when we asked the Government about its position. This goes further: tonight, no Member of Parliament from the majority is present to discuss a text that upsets bioethics. And we're only at the beginning of the week, Mr. President! How are we going to finish it?
ParlaMint-FR_2020-07-27-E1020.u30	[[Protests on the benches of the LR group]] It's all been said. We have just devoted ten minutes to a five-minute delay. I now propose, ladies and gentlemen, that we resume the course of our debates, especially since a Member of the majority, who has been included in the general debate, is waiting to be able to speak.
ParlaMint-FR_2020-07-27-E1020.u31	They're not here!
ParlaMint-FR_2020-07-27-E1020.u32	That's contempt!
ParlaMint-FR_2020-07-27-E1020.u33	Waiting for Godot!
ParlaMint-FR_2020-07-27-E1020.u34	Mrs Michèle de Vaucouleurs has the floor.
ParlaMint-FR_2020-07-27-E1020.u35	She's walking alone!
ParlaMint-FR_2020-07-27-E1020.u36	Where's the majority? It's amazing!
ParlaMint-FR_2020-07-27-E1020.u37	They're dancing in a houseboat!
ParlaMint-FR_2020-07-27-E1020.u38	Please, ladies and gentlemen.
ParlaMint-FR_2020-07-27-E1020.u39	[[Exclaims on the benches of the LR group]] For the Group of the Democratic and Related Movement, the second reading of the bioethics bill is an opportunity to reaffirm its support for the commitment of the President of the Republic...
ParlaMint-FR_2020-07-27-E1020.u40	She's talking on her own!
