ParlaMint-FR_2020-07-21-E1016.u1	The next item is the question to the Government.
ParlaMint-FR_2020-07-21-E1016.u2	Mr Guillaume Garot has the floor.
ParlaMint-FR_2020-07-21-E1016.u3	Mr. Minister of Solidarity and Health, yesterday you were in Mayenne to meet with caregivers, volunteers and elected officials involved in large-scale screening of the population, indispensable to break the chains of covid-19 contamination. There are two questions at a time when, everywhere in France, there are signs of a resumption of the epidemic. The first concerns tests: what human means are devoted to conducting massive tests while waiting times, both for sampling and for results, are sometimes very long, and the teams involved tell us that they are very tired? The second one's on the masks. They have become mandatory in closed places receiving from the public.
ParlaMint-FR_2020-07-21-E1016.u4	Yes, he changed his mind...
ParlaMint-FR_2020-07-21-E1016.u5	It's fine, even if, for weeks, you kept telling us that they were useless. Everyone will have understood that, in reality, we did not have enough.
ParlaMint-FR_2020-07-21-E1016.u6	That's right!
ParlaMint-FR_2020-07-21-E1016.u7	The question is the financial burden that masks, which are now mandatory, place on families. For a family of four, the cost is more than 200 euros per month for surgical masks, and almost 100 euros for washable masks.
ParlaMint-FR_2020-07-21-E1016.u8	No, no, no, no, no, no, no, There's no need to buy surgical masks. Just four washable masks.
ParlaMint-FR_2020-07-21-E1016.u9	[[Applause on the SOC, LT and GDR benches]] The Socialist and related group has been advocating for weeks for the free use of masks, i.e. for the public authorities taking charge of them in the name of public health.
ParlaMint-FR_2020-07-21-E1016.u10	By the taxpayer!
ParlaMint-FR_2020-07-21-E1016.u11	If some French people cannot wear masks for financial reasons, our protection will be altered. It is therefore less of a cost than an investment in the health of everyone to get out of this epidemic as quickly as possible, which does not end. [[Applause on the SOC and GDR benches]] Minister, the wearing of the mask should not depend on the purchasing power of everyone. When are you going to allow her for free?
ParlaMint-FR_2020-07-21-E1016.u12	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2020-07-21-E1016.u13	Mr. Garot, you're asking me about the epidemic situation in Mayenne. Yesterday afternoon, I was with you in this beautiful department to see on the spot the considerable efforts that were made, very early, to combat the resurgence of the epidemic.
ParlaMint-FR_2020-07-21-E1016.u14	You don't seem convinced.
ParlaMint-FR_2020-07-21-E1016.u15	Together we visited testing facilities, including L'Huisserie, which accommodates 550 people a day, but also "drive-tests", trucks and the hospital. [[Applause on many benches]] You have seen, like me, the mobilization of all agents in the territory of Mayen to carry out mass tests. I thank civil protection, firefighters, regional health and health insurance agents, as well as the health reserve, nurses, caregivers and doctors. I will not quote them all, but all are at work, day after day, night after night, tirelessly, to test as many people as possible.
ParlaMint-FR_2020-07-21-E1016.u16	What about free?
ParlaMint-FR_2020-07-21-E1016.u17	You know the consequences of their action on the epidemic curve: a few days ago, more than 8% of the tests in Mayenne were positive, which alerted us; Yesterday, the figure had fallen to 3 per cent, which shows that our proactive policy is bearing fruit. I sincerely hope with you, honourable Member, that it will soon have results on the incidence rate. Nevertheless, the application of the barrier gestures is necessary for the inhabitants of the department, as well as for the entire French population.
ParlaMint-FR_2020-07-21-E1016.u18	What about free?
ParlaMint-FR_2020-07-21-E1016.u19	The State had five million masks distributed free of charge per week through the communal centres for social action and the municipalities...
ParlaMint-FR_2020-07-21-E1016.u20	That's not true!
ParlaMint-FR_2020-07-21-E1016.u21	It's too little!
ParlaMint-FR_2020-07-21-E1016.u22	[[Applause on a few benches of the LaREM and MODEM groups]] ... and it will resume this distribution of free masks for the precarious public, especially for the beneficiaries of complementary health solidarity. [[Applause on the benches of the LaREM and MODEM groups]] Moreover, the two million French people with a fragility can obtain reimbursement for surgical masks purchased on prescription at the pharmacy. The masks, we have them in quantity, and we invite the French to wear them massively.
ParlaMint-FR_2020-07-21-E1016.u23	That's not enough!
ParlaMint-FR_2020-07-21-E1016.u24	Mr Jean-Paul Lecoq has the floor.
ParlaMint-FR_2020-07-21-E1016.u25	Of course, Mr Minister for Europe and Foreign Affairs, you could say: "A year ago, it would never have happened that way. Germany would never have given up on the principle of a common debt. And we could have satisfied ourselves with it. Point. After marathon negotiations, Emmanuel Macron said this morning that the day was historic for the European Union.
ParlaMint-FR_2020-07-21-E1016.u26	The historic day is when he's beaten!
ParlaMint-FR_2020-07-21-E1016.u27	[["Oh! » on the benches of the LaREM group]] Indeed, it is; but not for the right reasons. The "frugals" – the Netherlands, Denmark, Austria and Sweden – have definitely taken power. They imposed all their conditions and their vision of solidarity at the discount: a reduction in total subsidies from EUR 500 billion to EUR 390 billion, a reduction in these countries' contributions to the European budget and conditionality of aid. [[Applause on the benches of the FI and GDR groups]] And the conditionality of the aid, we know! From the Paris Club to the IMF, we know what this means: the austerity of force, the forced opening of public services to the market and the tax and social competition between states. The sovereignty of the Member States of the European Union will still be undermined in order to allow obsessed citizens of the budget to interfere everywhere, at the expense, as always, of the peoples. After the Eurozone crisis, the massacre of Greece by the Troika and Brexit, the European Union struggles to be ambitious. Do we have to remind you that, compared to the 390 billion of the European Union's plan, the US recovery plan is more than 2000 billion dollars, not to mention the federated states? Do we have to remind you that, in order to validate the European plan, the Commission has had to accept a reduction in the budget for the common agricultural policy, aid for the ecological transition and the health budget?
ParlaMint-FR_2020-07-21-E1016.u28	Wrong!
