ParlaMint-FR_2020-07-28-E1022.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-28-E1022.u2	This afternoon, the Assembly began to hear the speakers on rule 1.
ParlaMint-FR_2020-07-28-E1022.u3	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-28-E1022.u4	Article 1 of the bill is not only about giving women's couples and single women access to reproductive health assistance without a father. This is only the content of paragraph 3 of an article with sixty-one. By Article 1, you are also changing the current modalities of the LDC, medically assisted reproduction, for heterosexual couples when you indicated that nothing would change for them. Thus remove the therapeutic criterion to benefit from medical assistance but also from social security care; So remove the prohibition of double donation of gametes external to the couple or to the woman alone, nullifying any biological link. Mr Minister of Solidarity and Health, how can we justify the removal of all these conditions which, until now, made the framework for access to the AGP, medical assistance for procreation, ethical? In special commission, in your absence,...
ParlaMint-FR_2020-07-28-E1022.u5	He was busy!
ParlaMint-FR_2020-07-28-E1022.u6	...your former colleagues in the majority have swept away all the corrections made by the Senate. We are very far from the search for consensus and the national unity that has been displayed. In the special committee, ladies and gentlemen, you have gone much further than the version adopted by the House last October. You have thus authorized the directed donation of oocytes, what is called the ROPA device, the receipt of oocytes from the partner, thus violating the ethical principle of anonymity of the donation. [[Applause on many benches in the LR group]] As you can see, Article 1 will also have effects on the role of the doctor, who in the future may be treated as a mere service provider. Finally, by increasing the demand for gametes tomorrow while gamete donations will decrease due to the planned lifting of anonymity, market tensions will increase, which may further undermine the ethical principle of freedom.
ParlaMint-FR_2020-07-28-E1022.u7	Mrs Emmanuelle Ménard has the floor. I would like to make it clear that the non-attached Members still have one minute and twenty seconds.
ParlaMint-FR_2020-07-28-E1022.u8	I do not need to recall that the opening of the LDC to women's couples and single women divides the country.
ParlaMint-FR_2020-07-28-E1022.u9	Oh!
ParlaMint-FR_2020-07-28-E1022.u10	We saw it a few months ago on the occasion of the demonstrations it sparked. It raises important ethical questions that no one can answer to date. With this extension of the LDC, consideration is given to the interests of adults alone, their desire for a child, without considering the best interests of the child. I intended to repeat here the litany of the arguments that you opposed to us in an attempt to convince us that it was a law of "equality", "progress", "love" – these are your terms, minister.
ParlaMint-FR_2020-07-28-E1022.u11	"A law of love"! What a delusion! It's a teenager...
ParlaMint-FR_2020-07-28-E1022.u12	Unfortunately, I don't have the time. We are just beginning the discussion of Rule 1 of the Rules of Procedure, and the non-attached have no more speaking time.
ParlaMint-FR_2020-07-28-E1022.u13	It's because of your previous rejection motion!
ParlaMint-FR_2020-07-28-E1022.u14	"We're going to have peace," we just exclaimed on the other side of the Chamber: it's very nice of you... This is probably your conception of the debate – serene and soothed, as you like to remind us. You illustrate it perfectly today. Ladies and gentlemen, this evening, some Members are muzzled and censored. Too bad: we were one of those who really wanted to defend the rights of the child.
ParlaMint-FR_2020-07-28-E1022.u15	Mr Jean Lassalle has the floor.
ParlaMint-FR_2020-07-28-E1022.u16	Be assured, ladies and gentlemen: I will only speak twice to give more time to colleagues in my group. Twice two minutes, it's not excessive. How did we get to this? Would we not be faced with a fragmented France that is fragmented every day a little bit more, engulfed by existential questions that we had lost sight of for a while? All we can do to widen the gap within this great people, through all those chapels or pseudo-chapels that are organized here or there, we do. We don't miss one! When I was a member of the Pyrénées-Atlantiques General Council, I had the chance to deal with adoption issues. What a happiness it was then to adopt! Until the day social networks appeared... Since then, the adopted boy or girl has been wondering, at the age of 13 or 14, why they are not in Saigon or Algiers when they were born there and then they begin to hate their parents.
ParlaMint-FR_2020-07-28-E1022.u17	When you're 13 or 14, it's not abnormal that you hate your parents!
ParlaMint-FR_2020-07-28-E1022.u18	[[Mrs Valérie Six and Mrs Agnes Thill applaud]] What will happen on the day a child conceived by PMA tries to understand why his parents decided to design it this way, once they see the failure of their love?
ParlaMint-FR_2020-07-28-E1022.u19	I have before me several identical amendments, Nos 27, 131, 151, 350, 444, 544, 814, 1059, 1259, 1314, 1370, 1673, 1756, 2050, 2106 and 2117 to delete Article 1. On these amendments, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Mr Xavier Breton has the floor to support Amendment No. 27.
ParlaMint-FR_2020-07-28-E1022.u20	Mr Minister, it is true that we regretted your absence from the special committee. It would probably have been interesting to have the Government's opinion on a matter of this importance. We appreciate your presence tonight. This is an opportunity to ask yourself about your conception of filiation. Can filiation be reduced to love? No, because love is random – one can love at a time and no longer love a little later – and subjective. However, we cannot build the right, which presupposes objectivity, on a subjective notion. We can see the impasses that exist today when we want to place ourselves from a subjective point of view, for example with gender issues. Someone can say that he feels or that he does not feel man: it is the order of intuition, of the intimate. This must be respected from a psychological point of view, but from a legal point of view it is untenable. But we do law, we are not in the emotional register, which is necessarily subjective, relative, random, temporary. We must rely on solid notions, not adolescent considerations, love that pass, come and go. We are here to establish a permanent bond of filiation, with the notions of responsibility and duty that it covers. So, Minister, what is your conception of filiation? Is it based on the desire of adults, their goodwill, their desire to have a child, alone, to two or, why not, to three?
ParlaMint-FR_2020-07-28-E1022.u21	And why not four!
ParlaMint-FR_2020-07-28-E1022.u22	Of course, Mrs. Bergé, four or more! Why don't you use a microphone to answer me? What will prevent you from saying to three adults who want to have a child – and who will be able to love him, it is no doubt – that no, they will not be parents if they do not base filiation on this objective reality of sexual otherness? The body resists all delusions, all fantasies.
ParlaMint-FR_2020-07-28-E1022.u23	It's outrageous to say something like that!
