ParlaMint-FR_2020-07-30-E1026.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-30-E1026.u2	This morning, the Assembly continued its discussion of the articles of the bill, with amendments Nos. 165 and 1480 in Article 3.
ParlaMint-FR_2020-07-30-E1026.u3	I have two identical amendments before me, Nos 165 and 1480. Amendment No 165 is not being defended. Amendment No 1480 is being defended.
ParlaMint-FR_2020-07-30-E1026.u4	With what a brilliance!
ParlaMint-FR_2020-07-30-E1026.u5	Mrs Coralie Dubost, rapporteur of the Special Committee, has the floor to give the Committee's opinion.
ParlaMint-FR_2020-07-30-E1026.u6	Unfavorable.
ParlaMint-FR_2020-07-30-E1026.u7	I call on the Secretary of State for Children and Families to give the Government's opinion.
ParlaMint-FR_2020-07-30-E1026.u8	Disadvantaged for the reason already mentioned: consent is revocable until the total use of gametes.
ParlaMint-FR_2020-07-30-E1026.u9	I have before me two identical amendments, Nos 166 and 1481. Mrs Valérie Beauvais has the floor to support Amendment No. 166.
ParlaMint-FR_2020-07-30-E1026.u10	Defendant.
ParlaMint-FR_2020-07-30-E1026.u11	Amendment No 1481 is being defended.
ParlaMint-FR_2020-07-30-E1026.u12	I have before me three amendments, Nos 1355, 698 and 1534, which can be presented together. Mrs Emmanuelle Ménard has the floor to support them.
ParlaMint-FR_2020-07-30-E1026.u13	They're being defended.
ParlaMint-FR_2020-07-30-E1026.u14	I call Mr Thibault Bazin to support Amendment No. 859.
ParlaMint-FR_2020-07-30-E1026.u15	Accuracy amendment.
ParlaMint-FR_2020-07-30-E1026.u16	I have before me three amendments, Nos 499, 694 and 892, which can be discussed jointly. Mrs Gisèle Biémouret has the floor to support Amendment No. 499.
ParlaMint-FR_2020-07-30-E1026.u17	The collection of information on donor health at the time of donation is of limited interest to the extent that most donors are in good health at the time of donation. On the other hand, it is useful to collect the medical history of the donor or his or her close relatives at the time of donation – for example, whether his or her sister had breast cancer.
ParlaMint-FR_2020-07-30-E1026.u18	Amendments Nos 694 by Mrs Agnes Thill and 892 by Mrs Emmanuelle Ménard are defended.
ParlaMint-FR_2020-07-30-E1026.u19	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u20	I understand the purpose of your amendment, Mrs Biémouret, but I think it is already satisfied with the text, since it provides for the collection by doctors of information concerning the donor's state of health. As you know, medical secrecy applies, so such elements cannot be included as non-identifiable information that must be disclosed. Hence a request for withdrawal, failing which the opinion will be unfavourable. The same applies to the other amendments.
ParlaMint-FR_2020-07-30-E1026.u21	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u22	Donors being selected to avoid any transmission of disease and to avoid any medical risk to unborn children, a donor with a pathology or risk of pathology would be excluded from the donation. At the time of the donation, the donor undertakes to provide information on the state of his or her health, pursuant to an order of 30 June 2017. If a genetic anomaly is discovered in a donor later on the donation, a device allows the transmission of information to those born of the donation. You see, therefore, that the channels for the transmission of medical information are perfectly organised and that there is no need to keep or collect as non-identifiable data the information you indicate, Mrs Biémouret, or the transition from a general state to a state of health referred to in your amendment, Mrs Ménard. The opinion will therefore be unfavourable on these three amendments.
ParlaMint-FR_2020-07-30-E1026.u23	Mrs Anne-France Brunet has the floor to support Amendment No. 713.
ParlaMint-FR_2020-07-30-E1026.u24	This amendment is also intended to extend the scope of non-identifiable data that may be disclosed by the donor. One of the first things a doctor asks a patient is what his parents died of or if there are cancers in his family. It seems to me extremely important to have such information on privileged or ordinary ascendants and collaterals, uncles and aunts, brothers and sisters. This information does not have to be nominative, as the donor may indicate these elements without having to give the name of the parent in question. This will allow the gifted person to anticipate at best the occurrence of any hereditary pathology.
ParlaMint-FR_2020-07-30-E1026.u25	What is the opinion of the committee?
ParlaMint-FR_2020-07-30-E1026.u26	I understand the objective you are pursuing, but it seems to me a little intrusive to ask the donor to indicate his entire family tree. I would also like to point out that donors are selected on the basis of very extensive medical questionnaires and health tests, including genetic tests. They already transmit to CECOS, the centres for the study and conservation of eggs and human semen, the data that will meet your expectations. It is also necessary, as I have just said, to take into account medical confidentiality: we do not have to reveal everything, especially since these questionnaires are already very long – about fifteen pages. In accordance with the commitment made at the time by Mrs Buzyn, I was able to read about it and after having discussed it with the representatives of the CECOS that we auditioned, I think they are already largely sufficient. What further certainty would the donor have about the state of health of his family members? We don't always know what's going on in this area.
ParlaMint-FR_2020-07-30-E1026.u27	What is the Government's opinion?
ParlaMint-FR_2020-07-30-E1026.u28	The rapporteur said everything. I would simply add that the recommendations of good practice refer to family history as information requested on that occasion. I shall therefore give the same opinion.
ParlaMint-FR_2020-07-30-E1026.u29	Mr Thibault Bazin has the floor.
ParlaMint-FR_2020-07-30-E1026.u30	This amendment surprises me a little, since in the next ten, fifteen, thirty years there will be no biological link in the world! What is the point of giving information about her aunt, uncle, and great-grandmother since we will no longer necessarily be bound to them biologically and therefore will not necessarily inherit their pathologies?
ParlaMint-FR_2020-07-30-E1026.u31	Sir is a tease!
ParlaMint-FR_2020-07-30-E1026.u32	But that's not true!
ParlaMint-FR_2020-07-30-E1026.u33	I call Mr Maxime Minot to support Amendment No. 279.
